open,high,low,close,volume,datetime
5.98,5.98,5.98,5.98,723,20220518
5.97,5.97,5.97,5.97,100,20220518
5.96,5.96,5.96,5.96,100,20220518
5.96,5.96,5.96,5.96,100,20220518
6.0,6.0,6.0,6.0,100,20220518
6.0,6.0,6.0,6.0,200,20220518
5.98,5.98,5.98,5.98,100,20220518
5.975,5.975,5.91,5.91,3678,20220518
5.9,5.9,5.84,5.84,7290,20220518
5.82,5.82,5.76,5.79,600,20220518
5.79,5.79,5.76,5.77,6400,20220518
5.775,5.775,5.775,5.775,100,20220518
5.75,5.76,5.74,5.74,1113,20220518
5.69,5.69,5.69,5.69,100,20220518
5.68,5.68,5.68,5.68,290,20220518
5.675,5.675,5.66,5.66,200,20220518
5.67,5.7,5.64,5.695,3356,20220518
5.71,5.71,5.7,5.71,700,20220518
5.73,5.73,5.73,5.73,100,20220518
5.79,5.79,5.7725,5.79,1960,20220518
5.79,5.79,5.79,5.79,100,20220518
5.85,5.85,5.85,5.85,200,20220518
5.89,5.89,5.89,5.89,100,20220518
5.86,5.86,5.86,5.86,100,20220518
5.89,5.89,5.89,5.89,100,20220518
5.87,5.87,5.87,5.87,100,20220518
5.86,5.9,5.86,5.9,200,20220518
5.86,5.86,5.86,5.86,100,20220518
5.86,5.86,5.78,5.78,808,20220518
5.76,5.76,5.76,5.76,100,20220518
5.73,5.75,5.65,5.65,500,20220518
5.75,5.75,5.65,5.7,1300,20220518
5.75,5.75,5.7,5.7425,2500,20220518
5.735,5.735,5.735,5.735,200,20220518
5.75,5.75,5.735,5.735,200,20220518
5.75,5.75,5.735,5.735,200,20220518
5.75,5.75,5.735,5.735,200,20220518
5.75,5.75,5.75,5.75,230,20220518
5.765,5.78,5.765,5.765,400,20220518
5.78,5.79,5.78,5.78,301,20220518
5.78,5.78,5.76,5.76,949,20220518
5.74,5.75,5.74,5.75,780,20220518
5.75,5.75,5.74,5.74,200,20220518
5.74,5.74,5.74,5.74,100,20220518
5.75,5.75,5.75,5.75,400,20220518
5.75,5.75,5.75,5.75,300,20220518
5.76,5.76,5.76,5.76,100,20220518
5.74,5.74,5.73,5.73,400,20220518
5.72,5.72,5.72,5.72,200,20220518
5.69,5.69,5.69,5.69,113,20220518
5.71,5.71,5.68,5.68,800,20220518
5.68,5.68,5.68,5.68,300,20220518
5.73,5.73,5.73,5.73,132,20220518
5.68,5.68,5.68,5.68,100,20220518
5.65,5.65,5.65,5.65,100,20220518
5.62,5.62,5.62,5.62,300,20220518
5.615,5.615,5.615,5.615,200,20220518
5.595,5.65,5.595,5.6,2878,20220518
5.6,5.6,5.6,5.6,100,20220518
5.6,5.61,5.6,5.61,500,20220518
5.63,5.63,5.63,5.63,100,20220518
5.63,5.63,5.63,5.63,200,20220518
5.63,5.63,5.63,5.63,300,20220518
5.65,5.65,5.65,5.65,600,20220518
5.67,5.67,5.67,5.67,100,20220518
5.655,5.655,5.63,5.63,340,20220518
5.6309,5.6309,5.6309,5.6309,132,20220518
5.635,5.635,5.59,5.615,500,20220518
5.64,5.64,5.64,5.64,200,20220518
5.7,5.7,5.7,5.7,100,20220518
5.7,5.7,5.7,5.7,100,20220518
5.68,5.68,5.66,5.66,720,20220518
5.65,5.65,5.65,5.65,104,20220518
5.56,5.56,5.56,5.56,100,20220518
5.54,5.54,5.54,5.54,400,20220518
5.525,5.54,5.5101,5.54,1303,20220518
5.54,5.54,5.5301,5.5301,600,20220518
5.58,5.58,5.58,5.58,100,20220518
5.54,5.54,5.54,5.54,700,20220518
5.535,5.535,5.535,5.535,100,20220518
5.54,5.54,5.535,5.535,275,20220518
5.54,5.54,5.54,5.54,200,20220518
5.56,5.56,5.56,5.56,100,20220518
5.56,5.56,5.56,5.56,300,20220518
5.58,5.59,5.58,5.59,300,20220518
5.58,5.58,5.58,5.58,100,20220518
5.555,5.555,5.555,5.555,200,20220518
5.56,5.56,5.56,5.56,100,20220518
5.56,5.56,5.56,5.56,100,20220518
5.55,5.55,5.55,5.55,100,20220518
5.55,5.55,5.55,5.55,100,20220518
5.55,5.55,5.55,5.55,100,20220518
5.555,5.555,5.555,5.555,100,20220518
5.55,5.55,5.55,5.55,100,20220518
5.555,5.555,5.555,5.555,100,20220518
5.55,5.56,5.55,5.56,400,20220518
5.55,5.55,5.55,5.55,500,20220518
5.545,5.545,5.545,5.545,110,20220518
5.55,5.55,5.55,5.55,400,20220518
5.545,5.55,5.545,5.55,962,20220518
5.55,5.55,5.55,5.55,110,20220518
5.545,5.55,5.545,5.55,480,20220518
5.55,5.55,5.55,5.55,300,20220518
5.54,5.54,5.52,5.52,700,20220518
5.5,5.5,5.5,5.5,100,20220518
5.48,5.48,5.48,5.48,402,20220518
5.49,5.49,5.49,5.49,600,20220518
5.495,5.495,5.495,5.495,102,20220518
5.495,5.495,5.4701,5.4701,700,20220518
5.495,5.495,5.495,5.495,100,20220518
5.49,5.49,5.49,5.49,592,20220518
5.5,5.5,5.5,5.5,200,20220518
5.495,5.5,5.495,5.5,450,20220518
5.5,5.5,5.5,5.5,200,20220518
5.505,5.505,5.505,5.505,100,20220518
5.5,5.5,5.5,5.5,100,20220518
5.51,5.51,5.51,5.51,100,20220518
5.5,5.5,5.5,5.5,500,20220518
5.5,5.5,5.495,5.495,820,20220518
5.5,5.5,5.5,5.5,780,20220518
5.5,5.5,5.5,5.5,100,20220519
5.5,5.5,5.5,5.5,100,20220519
5.52,5.52,5.52,5.52,200,20220519
5.54,5.54,5.54,5.54,400,20220519
5.58,5.58,5.58,5.58,100,20220519
5.57,5.57,5.57,5.57,100,20220519
5.57,5.575,5.57,5.575,200,20220519
5.58,5.58,5.58,5.58,100,20220519
5.57,5.57,5.57,5.57,200,20220519
5.575,5.575,5.575,5.575,100,20220519
5.575,5.575,5.575,5.575,200,20220519
5.57,5.57,5.57,5.57,100,20220519
5.575,5.575,5.575,5.575,400,20220519
5.57,5.575,5.57,5.575,500,20220519
