open,high,low,close,volume,datetime
46.1,46.13,45.8,46.13,105575,20220518
46.11,46.16,46.01,46.045,13765,20220518
46.05,46.19,46.03,46.19,17596,20220518
46.2,46.62,46.2,46.62,23749,20220518
46.63,46.78,46.52,46.655,26542,20220518
46.655,46.675,46.56,46.66,23941,20220518
46.67,46.68,46.45,46.5,17563,20220518
46.49,46.625,46.465,46.49,8416,20220518
46.48,46.59,46.47,46.59,11563,20220518
46.56,46.56,46.3901,46.52,13021,20220518
46.51,46.51,46.34,46.43,20691,20220518
46.445,46.46,46.28,46.3,6822,20220518
46.3,46.41,46.27,46.38,8830,20220518
46.39,46.45,46.3,46.45,8996,20220518
46.4775,46.5,46.39,46.41,11302,20220518
46.41,46.49,46.4,46.45,4121,20220518
46.45,46.475,46.42,46.44,3311,20220518
46.475,46.59,46.47,46.53,14705,20220518
46.53,46.55,46.43,46.47,8898,20220518
46.475,46.48,46.41,46.47,4960,20220518
46.47,46.48,46.36,46.36,6371,20220518
46.36,46.39,46.34,46.34,8853,20220518
46.34,46.35,46.285,46.32,16531,20220518
46.32,46.355,46.29,46.29,5401,20220518
46.29,46.32,46.245,46.29,5880,20220518
46.3,46.38,46.29,46.37,5948,20220518
46.37,46.37,46.29,46.315,8800,20220518
46.3,46.305,46.19,46.225,32554,20220518
46.22,46.23,46.16,46.22,11944,20220518
46.22,46.23,46.17,46.18,6706,20220518
46.2,46.3503,46.2,46.3503,21765,20220518
46.34,46.41,46.325,46.4,8297,20220518
46.38,46.38,46.24,46.265,19207,20220518
46.265,46.32,46.23,46.25,7206,20220518
46.25,46.26,46.205,46.225,15964,20220518
46.22,46.36,46.22,46.35,17313,20220518
46.36,46.4,46.29,46.3,11854,20220518
46.29,46.31,46.25,46.2845,17853,20220518
46.28,46.28,46.17,46.17,20038,20220518
46.17,46.21,46.16,46.17,7635,20220518
46.16,46.27,46.16,46.24,13509,20220518
46.25,46.25,46.19,46.22,9505,20220518
46.22,46.23,46.1,46.11,16636,20220518
46.1,46.16,46.09,46.14,21443,20220518
46.13,46.17,46.125,46.15,11947,20220518
46.15,46.22,46.125,46.22,3751,20220518
46.225,46.225,46.17,46.18,5126,20220518
46.18,46.18,46.09,46.09,18009,20220518
46.09,46.165,46.07,46.14,31622,20220518
46.13,46.13,46.08,46.11,9012,20220518
46.11,46.16,46.08,46.15,15159,20220518
46.16,46.16,46.08,46.09,20557,20220518
46.1,46.21,46.1,46.18,18757,20220518
46.16,46.2,46.14,46.14,11714,20220518
46.14,46.16,46.1,46.13,8131,20220518
46.12,46.1999,46.11,46.165,10569,20220518
46.17,46.19,46.13,46.13,2443,20220518
46.13,46.15,46.115,46.13,8619,20220518
46.14,46.15,46.13,46.13,13598,20220518
46.125,46.17,46.05,46.05,23998,20220518
46.03,46.1,45.98,46.1,13162,20220518
46.085,46.1,46.02,46.04,22679,20220518
46.05,46.13,46.05,46.1,8402,20220518
46.095,46.11,46.04,46.04,44479,20220518
46.03,46.05,46.0,46.0,61806,20220518
45.99,46.0,45.93,45.936,14572,20220518
45.93,46.01,45.93,45.99,19954,20220518
46.0,46.02,45.97,45.97,13536,20220518
45.97,46.03,45.96,46.0,24006,20220518
46.0,46.005,45.965,46.0,7428,20220518
46.02,46.02,45.95,45.96,25127,20220518
45.97,45.985,45.96,45.97,7344,20220518
45.97,45.98,45.95,45.97,15726,20220518
45.965,46.005,45.965,46.0,8299,20220518
46.0,46.0,45.99,45.99,12831,20220518
45.985,46.015,45.98,46.0,14181,20220518
46.0,46.06,46.0,46.025,14271,20220518
46.025,46.06,46.01,46.055,9872,20220518
46.07,46.165,46.0625,46.13,9745,20220518
46.13,46.16,46.12,46.16,11727,20220518
46.16,46.18,46.13,46.18,24786,20220518
46.17,46.17,46.115,46.16,6598,20220518
46.17,46.18,46.12,46.12,4132,20220518
46.115,46.17,46.11,46.12,17725,20220518
46.12,46.16,46.1,46.115,8032,20220518
46.115,46.13,46.08,46.12,8692,20220518
46.11,46.12,46.09,46.115,23065,20220518
46.12,46.14,46.11,46.14,9867,20220518
46.15,46.17,46.15,46.15,3843,20220518
46.15,46.2,46.145,46.2,11028,20220518
46.19,46.21,46.17,46.17,15756,20220518
46.17,46.195,46.14,46.14,8391,20220518
46.135,46.16,46.11,46.11,9040,20220518
46.1,46.14,46.09,46.11,28158,20220518
46.12,46.135,46.05,46.06,24833,20220518
46.05,46.05,45.99,45.9903,12635,20220518
45.99,46.0,45.93,45.93,9570,20220518
45.93,45.93,45.89,45.89,5500,20220518
45.88,45.885,45.85,45.86,4900,20220518
45.845,45.845,45.8,45.81,6331,20220518
45.81,45.8101,45.79,45.8,11535,20220518
45.8,45.82,45.785,45.82,5987,20220518
45.82,45.82,45.81,45.815,400,20220518
45.81,45.82,45.81,45.815,1108,20220518
45.815,45.815,45.81,45.81,1421,20220518
45.81,45.82,45.81,45.815,2339,20220518
45.81,45.82,45.76,45.76,13614,20220518
45.76,45.77,45.73,45.73,3639,20220518
45.74,45.74,45.64,45.66,6820,20220518
45.66,45.7,45.655,45.7,8749,20220518
