open,high,low,close,volume,datetime
66.76,66.8,66.56,66.8,17762,20220518
66.61,66.78,66.59,66.75,1075,20220518
66.76,66.76,66.61,66.63,1690,20220518
66.68,66.72,66.64,66.68,1300,20220518
66.74,67.0,66.74,67.0,1307,20220518
67.0,67.04,66.88,66.88,6460,20220518
66.89,66.91,66.78,66.82,1225,20220518
66.83,66.87,66.81,66.87,1191,20220518
66.71,66.71,66.65,66.65,478,20220518
66.58,66.63,66.5,66.5,1244,20220518
66.55,66.56,66.52,66.56,1150,20220518
66.59,66.59,66.58,66.58,529,20220518
66.54,66.54,66.54,66.54,100,20220518
66.62,66.67,66.59,66.61,2980,20220518
66.67,66.73,66.645,66.68,2143,20220518
66.71,66.76,66.695,66.76,1375,20220518
66.735,66.785,66.735,66.77,600,20220518
66.78,66.9,66.78,66.82,2990,20220518
66.85,66.85,66.82,66.83,700,20220518
66.79,66.83,66.78,66.83,400,20220518
66.83,66.83,66.675,66.675,450,20220518
66.63,66.63,66.58,66.63,900,20220518
66.62,66.73,66.6,66.73,3178,20220518
66.67,66.68,66.59,66.59,1272,20220518
66.71,66.71,66.55,66.67,6650,20220518
66.67,66.67,66.62,66.64,1303,20220518
66.64,66.64,66.62,66.625,300,20220518
66.58,66.58,66.55,66.575,756,20220518
66.54,66.55,66.51,66.53,1100,20220518
66.49,66.57,66.475,66.57,800,20220518
66.57,66.57,66.48,66.5,750,20220518
66.53,66.53,66.48,66.485,1151,20220518
66.46,66.46,66.46,66.46,100,20220518
66.51,66.6,66.5,66.6,1191,20220518
66.65,66.65,66.62,66.65,1100,20220518
66.62,66.62,66.6,66.61,658,20220518
66.62,66.63,66.59,66.59,718,20220518
66.59,66.59,66.54,66.55,800,20220518
66.58,66.63,66.57,66.57,5866,20220518
66.69,66.69,66.67,66.69,873,20220518
66.68,66.68,66.65,66.66,1358,20220518
66.635,66.635,66.61,66.61,400,20220518
66.7,66.71,66.69,66.7,2181,20220518
66.69,66.72,66.67,66.72,1293,20220518
66.72,66.73,66.7,66.7,615,20220518
66.72,66.77,66.71,66.74,1125,20220518
66.72,66.73,66.69,66.725,700,20220518
66.7,66.73,66.7,66.71,1101,20220518
66.7,66.71,66.7,66.71,258,20220518
66.76,66.82,66.76,66.78,1609,20220518
66.74,66.77,66.71,66.73,800,20220518
66.79,66.79,66.72,66.74,664,20220518
66.72,66.72,66.6698,66.6698,1048,20220518
66.715,66.715,66.715,66.715,100,20220518
66.72,66.75,66.71,66.74,2144,20220518
66.755,66.755,66.74,66.74,300,20220518
66.77,66.77,66.73,66.75,854,20220518
66.74,66.82,66.74,66.8,2621,20220518
66.805,66.82,66.78,66.8,1802,20220518
66.78,66.79,66.76,66.76,884,20220518
66.76,66.8,66.75,66.78,944,20220518
66.78,66.78,66.76,66.76,522,20220518
66.75,66.75,66.7,66.7,800,20220518
66.71,66.8,66.71,66.8,1196,20220518
66.815,66.84,66.815,66.84,440,20220518
66.85,66.87,66.83,66.85,2302,20220518
