open,high,low,close,volume,datetime
126.41,127.09,125.95,125.95,53988,20220518
125.76,126.375,125.65,126.21,10009,20220518
126.35,126.46,125.67,125.67,7176,20220518
125.67,125.67,125.12,125.14,8767,20220518
125.04,125.04,124.72,124.89,1600,20220518
124.95,125.31,124.81,124.9,10085,20220518
125.13,125.15,125.01,125.06,1200,20220518
125.16,125.255,125.115,125.255,2870,20220518
125.34,125.4042,124.55,124.55,5693,20220518
124.52,124.74,124.47,124.48,2838,20220518
124.41,124.45,124.11,124.21,6832,20220518
124.22,124.49,124.17,124.49,4496,20220518
124.54,124.72,124.48,124.72,4818,20220518
124.74,124.79,124.54,124.55,5462,20220518
124.63,124.91,124.62,124.91,3702,20220518
124.81,125.04,124.765,125.04,2459,20220518
124.97,125.21,124.94,125.2,3378,20220518
125.23,125.2854,125.16,125.27,900,20220518
125.3,125.31,125.085,125.135,3150,20220518
125.07,125.07,124.82,124.98,3664,20220518
124.93,125.135,124.9,125.01,16546,20220518
124.81,125.2,124.81,124.89,4299,20220518
124.86,125.205,124.78,125.1199,3026,20220518
124.98,125.34,124.98,125.34,6399,20220518
125.37,125.38,125.04,125.15,4030,20220518
125.2,125.33,125.1,125.195,5057,20220518
125.195,125.23,124.89,124.89,3240,20220518
124.8963,125.0195,124.8,124.98,4703,20220518
124.88,124.91,124.72,124.84,3793,20220518
124.83,124.91,124.73,124.8,5194,20220518
124.905,125.28,124.83,125.13,5280,20220518
125.16,125.37,125.04,125.13,10870,20220518
125.18,125.21,125.05,125.2,6676,20220518
125.16,125.4,124.955,125.315,8489,20220518
125.41,125.4999,125.32,125.33,3134,20220518
125.25,125.44,125.25,125.35,2166,20220518
125.3459,125.64,125.3459,125.53,14869,20220518
125.45,125.51,125.06,125.345,6548,20220518
125.43,125.52,125.34,125.39,2407,20220518
125.34,125.4,125.095,125.095,2248,20220518
125.04,125.16,124.9,125.15,7165,20220518
125.09,125.09,124.89,124.98,2955,20220518
124.83,124.94,124.8,124.81,1200,20220518
124.84,125.09,124.84,124.99,3012,20220518
125.01,125.12,125.01,125.06,2100,20220518
125.04,125.04,124.85,124.928,1903,20220518
124.84,124.91,124.64,124.91,4904,20220518
124.89,124.94,124.85,124.86,1021,20220518
124.86,124.9,124.6616,124.75,3605,20220518
124.68,124.83,124.68,124.74,4251,20220518
124.685,124.86,124.68,124.805,10305,20220518
124.81,124.86,124.61,124.73,17864,20220518
124.78,124.785,124.66,124.66,3660,20220518
124.695,124.695,124.53,124.56,5240,20220518
124.59,124.68,124.49,124.68,6412,20220518
124.62,124.7,124.53,124.53,3714,20220518
124.54,124.734,124.53,124.6,5434,20220518
124.6,124.6,124.53,124.55,5067,20220518
124.58,124.58,124.36,124.4,6363,20220518
124.37,124.45,124.09,124.26,4280,20220518
124.2801,124.5525,124.2801,124.54,4953,20220518
124.64,124.64,124.18,124.2,9670,20220518
124.2,124.2,124.0,124.06,5639,20220518
124.075,124.31,124.075,124.28,6251,20220518
124.2,124.27,123.995,124.055,8085,20220518
123.96,123.985,123.69,123.77,7476,20220518
123.73,123.82,123.4901,123.4901,16509,20220518
123.48,123.5,123.3,123.3,6920,20220518
123.36,123.67,123.33,123.655,26565,20220518
123.65,123.98,123.61,123.85,28076,20220518
123.82,123.91,123.8,123.87,5840,20220518
123.84,124.15,123.8,124.15,9794,20220518
124.14,124.2,123.9708,124.18,7768,20220518
124.18,124.235,123.895,123.96,8327,20220518
123.94,124.015,123.67,123.67,11136,20220518
123.6,123.73,123.45,123.72,5545,20220518
123.76,124.0459,123.76,123.92,3391,20220518
123.79,123.97,123.71,123.85,2326,20220518
123.95,124.04,123.75,123.775,2080,20220518
123.75,123.75,123.53,123.6,1611,20220518
123.625,123.625,123.4,123.42,1829,20220518
123.4643,123.48,123.35,123.35,4045,20220518
123.36,123.37,123.14,123.14,7860,20220518
123.16,123.37,123.16,123.21,3960,20220518
123.11,123.3001,123.11,123.24,4493,20220518
123.16,123.22,123.0762,123.0762,2265,20220518
123.065,123.17,123.06,123.07,2351,20220518
123.09,123.28,123.09,123.25,4387,20220518
123.25,123.27,123.15,123.25,4836,20220518
123.14,123.275,123.13,123.23,3231,20220518
123.25,123.29,123.14,123.175,8200,20220518
123.16,123.26,123.16,123.21,1726,20220518
123.22,123.36,123.22,123.33,5797,20220518
123.32,123.42,123.1,123.1,3911,20220518
123.14,123.17,122.975,123.01,4406,20220518
122.96,122.97,122.82,122.885,10314,20220518
122.91,122.91,122.57,122.63,8389,20220518
122.65,122.92,122.56,122.92,4874,20220518
122.89,122.93,122.8102,122.8522,5257,20220518
122.82,122.95,122.79,122.8,3687,20220518
122.76,122.85,122.728,122.74,6334,20220518
122.7,122.82,122.66,122.82,3192,20220518
122.81,122.83,122.77,122.815,900,20220518
122.86,122.8699,122.76,122.83,3101,20220518
122.83,122.83,122.8,122.8,600,20220518
122.77,122.79,122.76,122.77,2070,20220518
122.76,122.78,122.2,122.2,7150,20220518
122.14,122.17,122.07,122.07,2240,20220518
122.02,122.06,121.8,121.92,5581,20220518
121.89,121.89,121.64,121.65,6649,20220518
121.7,121.7,121.46,121.545,5363,20220518
121.47,121.525,121.27,121.48,14322,20220518
121.55,121.63,121.42,121.57,5542,20220518
121.51,121.55,121.29,121.4,5957,20220518
121.37,121.45,121.37,121.38,928,20220518
121.37,121.55,121.09,121.45,6220,20220518
121.4,121.46,121.25,121.46,3289,20220518
121.5068,121.545,121.45,121.545,890,20220518
121.61,121.67,121.5734,121.66,1425,20220518
121.6487,121.66,121.46,121.66,8986,20220518
121.645,121.74,121.41,121.41,4877,20220518
121.57,121.87,121.52,121.79,3620,20220518
121.85,121.96,121.72,121.79,3586,20220518
121.785,122.02,121.785,122.02,836,20220518
121.9,121.9,121.79,121.87,1633,20220518
121.93,122.07,121.91,121.94,3900,20220518
121.99,121.99,121.9,121.9,2892,20220518
121.86,122.19,121.75,122.11,4417,20220518
122.14,122.15,121.99,122.1086,1245,20220518
122.18,122.18,122.01,122.01,1135,20220518
122.13,122.13,121.95,122.035,900,20220518
122.13,122.26,122.13,122.1447,5857,20220518
122.21,122.24,122.07,122.16,2147,20220518
122.14,122.14,121.92,121.92,2000,20220518
