open,high,low,close,volume,datetime
643.4,645.53,643.4,644.41,6442,20220518
643.415,644.005,643.415,644.005,200,20220518
642.96,642.96,642.96,642.96,100,20220518
644.82,644.82,644.82,644.82,100,20220518
643.4275,643.4275,643.22,643.4275,300,20220518
643.85,643.85,642.57,642.57,500,20220518
641.71,641.71,641.71,641.71,100,20220518
640.16,642.53,640.16,642.53,1200,20220518
640.67,640.67,638.7,638.7,400,20220518
639.8,639.8,639.8,639.8,100,20220518
638.02,638.02,638.02,638.02,211,20220518
638.71,638.71,636.56,638.27,500,20220518
636.82,636.82,636.82,636.82,100,20220518
635.3475,635.3475,635.3475,635.3475,195,20220518
637.42,637.42,637.42,637.42,100,20220518
637.29,637.29,637.29,637.29,100,20220518
636.7,636.7,636.7,636.7,100,20220518
636.59,636.59,635.32,635.32,400,20220518
634.07,634.07,634.07,634.07,100,20220518
634.44,634.44,634.44,634.44,100,20220518
633.91,633.92,633.91,633.92,200,20220518
633.69,633.69,633.69,633.69,100,20220518
633.4,633.52,633.37,633.52,400,20220518
634.16,634.16,634.16,634.16,100,20220518
635.8,635.8,635.8,635.8,100,20220518
635.77,635.77,635.77,635.77,100,20220518
635.375,635.375,635.375,635.375,100,20220518
634.71,634.71,634.71,634.71,100,20220518
635.915,635.915,635.36,635.41,400,20220518
636.43,636.43,636.43,636.43,100,20220518
639.48,639.48,639.48,639.48,200,20220518
637.39,637.54,637.39,637.54,200,20220518
637.75,637.75,637.47,637.47,200,20220518
637.49,637.49,637.49,637.49,100,20220518
638.66,638.66,638.66,638.66,189,20220518
638.83,639.14,638.83,639.14,300,20220518
637.37,637.37,637.37,637.37,100,20220518
637.445,637.445,637.02,637.02,212,20220518
637.02,637.02,636.64,636.64,200,20220518
636.0315,636.0315,636.0315,636.0315,237,20220518
637.4,637.4,637.4,637.4,100,20220518
637.8,637.98,637.75,637.75,302,20220518
637.65,637.65,637.65,637.65,100,20220518
638.44,638.44,638.44,638.44,100,20220518
638.95,638.95,638.95,638.95,100,20220518
638.83,639.77,638.83,639.77,300,20220518
638.36,638.38,637.9,637.9,300,20220518
639.48,639.48,639.48,639.48,100,20220518
639.88,639.88,639.88,639.88,100,20220518
639.4751,640.83,639.4751,640.83,1171,20220518
639.92,639.92,639.92,639.92,213,20220518
639.745,640.2261,639.32,639.32,2024,20220518
640.06,640.47,640.06,640.47,300,20220518
640.18,640.185,640.18,640.185,1900,20220518
639.85,639.85,639.32,639.32,300,20220518
639.9,640.0,639.52,640.0,995,20220518
639.905,639.905,639.905,639.905,200,20220518
640.285,640.285,640.285,640.285,100,20220518
640.29,640.385,640.0,640.0,2200,20220518
640.105,641.33,640.105,641.33,400,20220518
640.69,640.69,640.69,640.69,100,20220518
640.14,640.14,640.14,640.14,100,20220518
639.33,639.665,639.33,639.665,500,20220518
640.0,640.13,640.0,640.0,1600,20220518
639.93,639.93,639.93,639.93,100,20220518
639.865,640.0,639.21,639.3853,1297,20220518
639.18,640.0,639.11,639.905,1500,20220518
639.75,640.0,639.75,640.0,900,20220518
639.895,639.96,639.895,639.96,200,20220518
639.675,639.675,639.615,639.615,200,20220518
639.725,639.725,639.725,639.725,100,20220518
640.17,640.17,640.17,640.17,100,20220518
639.735,639.735,639.17,639.17,200,20220518
639.16,639.16,639.16,639.16,100,20220518
639.0,639.0,638.9,638.91,400,20220518
638.785,639.39,638.54,638.54,300,20220518
638.805,638.805,638.805,638.805,100,20220518
638.1,638.68,638.1,638.68,200,20220518
638.68,638.68,638.68,638.68,100,20220518
638.0,638.475,638.0,638.475,300,20220518
638.89,638.89,638.89,638.89,100,20220518
638.36,638.96,638.36,638.96,5516,20220518
639.93,639.93,639.93,639.93,100,20220518
639.94,640.325,639.94,640.285,1100,20220518
640.3,640.315,640.3,640.315,200,20220518
640.25,640.25,640.21,640.21,200,20220518
640.61,640.61,640.07,640.07,300,20220518
640.0,640.0,640.0,640.0,100,20220518
640.46,640.57,639.21,639.21,2295,20220518
639.01,639.01,638.52,638.52,300,20220518
639.33,639.33,639.33,639.33,100,20220518
639.745,639.745,639.745,639.745,100,20220518
639.08,639.08,639.08,639.08,100,20220518
638.89,638.89,638.605,638.605,300,20220518
639.05,639.05,639.05,639.05,100,20220518
638.48,638.91,638.48,638.91,534,20220518
638.83,639.11,638.83,639.11,400,20220518
638.52,638.83,638.52,638.83,322,20220518
638.915,638.915,638.915,638.915,202,20220518
640.15,640.325,639.71,640.325,588,20220518
639.77,640.225,639.61,640.225,500,20220518
639.005,639.005,639.005,639.005,100,20220518
639.07,639.07,639.07,639.07,100,20220518
638.28,638.845,638.26,638.845,500,20220518
638.04,638.04,638.04,638.04,200,20220518
637.82,637.82,637.82,637.82,100,20220518
638.32,638.32,638.32,638.32,100,20220518
637.83,638.84,637.8,637.83,1557,20220518
638.32,638.32,637.84,638.0,400,20220518
638.28,638.285,638.195,638.195,984,20220518
638.235,638.235,638.235,638.235,100,20220518
638.175,638.175,637.3,637.3,500,20220518
637.12,637.72,637.12,637.64,400,20220518
638.19,638.19,637.44,637.44,200,20220518
637.89,638.87,637.885,638.87,1900,20220518
639.27,639.29,638.745,638.745,300,20220518
639.28,639.3,638.89,638.89,400,20220518
638.87,639.205,638.33,639.205,600,20220518
639.19,639.19,639.19,639.19,100,20220518
