open,high,low,close,volume,datetime
296.48,296.48,295.66,295.66,2819,20220518
295.92,295.92,295.92,295.92,291,20220518
295.85,295.85,295.85,295.85,500,20220518
295.75,295.75,295.75,295.75,200,20220518
295.22,295.5,295.09,295.09,400,20220518
295.21,295.27,294.825,294.825,400,20220518
295.0,295.23,295.0,295.23,600,20220518
294.89,294.89,294.89,294.89,100,20220518
294.25,294.27,294.13,294.13,550,20220518
293.08,293.08,293.08,293.08,100,20220518
293.455,293.82,293.455,293.455,300,20220518
293.23,293.37,293.23,293.2878,600,20220518
293.09,293.09,293.05,293.05,200,20220518
292.26,292.34,292.07,292.18,500,20220518
291.96,291.96,291.74,291.74,500,20220518
291.37,291.37,291.37,291.37,100,20220518
290.85,291.07,290.85,291.07,200,20220518
290.71,290.71,290.65,290.65,200,20220518
291.055,291.055,291.055,291.055,100,20220518
291.11,291.11,291.11,291.11,100,20220518
290.85,290.85,290.574,290.574,201,20220518
290.665,291.2,290.43,291.2,700,20220518
291.34,291.86,291.33,291.86,600,20220518
291.29,291.29,291.29,291.29,200,20220518
291.37,291.37,291.16,291.3,700,20220518
291.25,291.29,291.16,291.21,500,20220518
291.52,291.765,291.07,291.07,700,20220518
291.0,291.0,290.931,290.931,300,20220518
291.38,291.5,291.375,291.375,501,20220518
291.27,291.27,291.27,291.27,200,20220518
291.53,292.14,291.53,291.91,1272,20220518
291.95,291.95,291.88,291.905,1101,20220518
291.87,291.87,291.87,291.87,100,20220518
291.65,291.845,291.52,291.53,700,20220518
291.92,291.92,291.92,291.92,100,20220518
291.72,291.72,291.53,291.53,200,20220518
291.5,291.5,291.41,291.41,299,20220518
291.59,291.59,291.59,291.59,100,20220518
291.16,291.645,291.16,291.645,795,20220518
291.14,291.29,291.14,291.24,300,20220518
291.295,291.53,291.25,291.52,500,20220518
291.25,291.25,291.25,291.25,201,20220518
291.78,291.83,291.78,291.83,400,20220518
291.62,291.62,291.58,291.58,303,20220518
291.94,291.94,291.91,291.91,701,20220518
292.5,292.61,292.5,292.61,482,20220518
292.02,292.02,292.02,292.02,100,20220518
292.305,292.305,291.76,291.76,400,20220518
291.37,291.37,291.37,291.37,100,20220518
291.74,291.74,291.74,291.74,100,20220518
292.63,292.63,292.63,292.63,100,20220518
292.775,292.775,292.56,292.56,401,20220518
292.64,292.64,292.64,292.64,100,20220518
292.7,292.7,292.7,292.7,100,20220518
293.2643,293.2643,293.2643,293.2643,111,20220518
292.69,292.69,292.69,292.69,200,20220518
292.34,292.34,292.29,292.29,402,20220518
292.53,292.58,292.53,292.58,200,20220518
293.09,293.09,293.09,293.09,100,20220518
292.81,292.94,292.81,292.94,415,20220518
292.56,292.56,292.56,292.56,100,20220518
292.7,292.71,292.7,292.71,200,20220518
292.17,292.17,292.17,292.17,100,20220518
292.11,292.35,292.11,292.35,442,20220518
291.99,291.99,291.99,291.99,100,20220518
291.92,292.23,291.92,292.23,200,20220518
292.165,292.37,292.165,292.37,300,20220518
292.52,292.66,292.385,292.6,780,20220518
292.48,292.48,292.48,292.48,100,20220518
292.33,292.52,292.33,292.48,601,20220518
292.45,292.45,292.45,292.45,100,20220518
292.625,292.625,292.625,292.625,100,20220518
292.94,292.94,292.43,292.43,200,20220518
292.21,292.21,292.21,292.21,100,20220518
292.38,292.62,292.38,292.62,1100,20220518
292.635,292.64,292.6175,292.64,900,20220518
292.39,292.39,292.39,292.39,100,20220518
292.85,292.85,292.85,292.85,112,20220518
292.61,292.61,292.61,292.61,100,20220518
292.74,292.74,292.74,292.74,100,20220518
292.95,292.95,292.95,292.95,300,20220518
292.55,292.55,292.55,292.55,100,20220518
292.53,292.53,292.53,292.53,100,20220518
292.485,292.485,292.485,292.485,449,20220518
292.505,292.76,292.49,292.76,877,20220518
