open,high,low,close,volume,datetime
141.09,141.79,141.09,141.3,46006,20220518
141.47,141.48,141.32,141.32,624,20220518
141.2232,141.2232,141.08,141.21,2497,20220518
141.21,141.32,141.21,141.32,200,20220518
141.3,141.3,141.155,141.155,400,20220518
140.975,141.43,140.975,141.43,6235,20220518
141.39,141.41,141.1,141.38,2310,20220518
141.5,141.5,141.46,141.46,570,20220518
141.23,141.23,141.03,141.03,640,20220518
141.15,141.15,140.53,140.61,1866,20220518
140.47,140.52,140.4,140.48,1520,20220518
140.49,140.5475,140.44,140.48,1104,20220518
140.395,140.395,140.34,140.39,1300,20220518
140.34,140.675,140.27,140.6,4905,20220518
140.63,140.72,140.48,140.51,3385,20220518
140.39,140.585,140.39,140.48,1100,20220518
140.455,140.455,140.3,140.385,799,20220518
140.44,140.59,140.4,140.59,3348,20220518
140.465,140.495,140.33,140.4,1142,20220518
140.38,140.6251,140.37,140.6,4168,20220518
140.59,140.59,140.45,140.45,1222,20220518
140.43,140.67,140.385,140.57,2200,20220518
140.605,140.61,140.52,140.52,2142,20220518
140.54,140.58,140.36,140.38,600,20220518
140.325,140.35,140.09,140.35,2328,20220518
140.29,140.39,140.29,140.365,6434,20220518
140.31,140.34,140.23,140.3,1100,20220518
140.23,140.25,140.08,140.2209,3805,20220518
140.28,140.37,140.07,140.37,6316,20220518
140.4,140.4,140.16,140.21,2297,20220518
140.21,140.4372,140.18,140.4372,4157,20220518
140.35,140.49,140.31,140.42,1998,20220518
140.4,140.45,140.2694,140.3575,2313,20220518
140.38,140.43,140.3,140.41,2200,20220518
140.29,140.38,140.21,140.21,502,20220518
140.2,140.36,140.17,140.23,3100,20220518
140.28,140.28,140.17,140.2582,1824,20220518
140.26,140.5,140.22,140.5,3293,20220518
140.45,140.45,140.245,140.245,605,20220518
140.13,140.2,140.015,140.2,2739,20220518
140.1993,140.45,140.1993,140.35,1998,20220518
140.37,140.49,140.28,140.49,2233,20220518
140.5364,140.5364,140.31,140.4,2104,20220518
140.45,140.45,140.35,140.38,800,20220518
140.265,140.265,140.16,140.18,1400,20220518
140.2,140.36,140.07,140.36,2643,20220518
140.37,140.37,140.17,140.17,994,20220518
140.13,140.28,140.11,140.28,7598,20220518
140.33,140.42,140.28,140.28,803,20220518
140.2524,140.2524,140.2,140.23,900,20220518
140.21,140.34,140.1951,140.2492,1800,20220518
140.31,140.33,140.1,140.14,3363,20220518
140.2,140.2,140.12,140.12,200,20220518
140.1,140.19,140.07,140.15,7790,20220518
140.04,140.04,139.84,139.84,2371,20220518
139.85,139.85,139.79,139.85,2537,20220518
139.83,140.0,139.83,139.91,1500,20220518
139.86,139.87,139.81,139.81,600,20220518
139.81,139.84,139.77,139.81,4486,20220518
139.715,139.75,139.55,139.57,1600,20220518
139.48,139.62,139.47,139.6,3811,20220518
139.63,139.65,139.47,139.48,1591,20220518
139.48,139.55,139.39,139.51,2103,20220518
139.51,139.55,139.46,139.49,3654,20220518
139.5,139.51,139.4388,139.48,2114,20220518
139.47,139.47,139.37,139.44,2690,20220518
139.415,139.56,139.415,139.52,1162,20220518
139.5,139.65,139.5,139.64,1905,20220518
139.64,139.71,139.64,139.65,1776,20220518
139.62,139.66,139.59,139.66,1250,20220518
139.71,139.71,139.555,139.57,955,20220518
139.59,139.79,139.59,139.785,2129,20220518
139.81,139.82,139.67,139.69,1953,20220518
139.69,139.81,139.69,139.81,1115,20220518
139.79,139.9683,139.79,139.9683,600,20220518
139.87,139.92,139.81,139.84,2400,20220518
139.89,139.9225,139.86,139.9225,6544,20220518
139.93,139.95,139.86,139.94,2237,20220518
139.91,140.12,139.91,140.08,1301,20220518
140.06,140.0706,140.02,140.0706,505,20220518
140.04,140.05,139.98,140.03,1120,20220518
140.02,140.04,140.02,140.02,352,20220518
140.05,140.05,139.97,139.97,2080,20220518
139.96,140.058,139.96,140.04,931,20220518
140.1,140.1,140.02,140.02,854,20220518
139.97,140.0,139.92,139.98,1226,20220518
139.99,140.02,139.94,139.97,6087,20220518
140.09,140.2,140.09,140.2,2328,20220518
140.23,140.35,140.23,140.32,2047,20220518
140.25,140.32,140.23,140.32,2111,20220518
140.28,140.28,140.17,140.17,2055,20220518
140.15,140.1864,140.0158,140.0158,915,20220518
140.07,140.11,139.89,139.89,2800,20220518
139.85,139.9718,139.85,139.97,3225,20220518
139.9375,139.95,139.88,139.94,912,20220518
139.96,140.0,139.939,139.99,700,20220518
140.04,140.07,139.86,139.86,1600,20220518
139.7572,139.81,139.66,139.765,4748,20220518
139.7132,139.75,139.7,139.7,1902,20220518
139.645,139.71,139.63,139.69,3437,20220518
139.7,139.7,139.58,139.58,2230,20220518
139.57,139.64,139.55,139.62,1825,20220518
139.59,139.63,139.59,139.62,1111,20220518
139.6143,139.63,139.6143,139.63,400,20220518
139.62,139.62,139.6,139.61,1720,20220518
139.59,139.62,139.59,139.6053,1260,20220518
139.58,139.61,139.285,139.32,5367,20220518
139.26,139.3,139.22,139.22,2975,20220518
139.22,139.22,139.11,139.11,1542,20220518
139.08,139.14,139.08,139.105,1420,20220518
139.14,139.14,138.91,138.91,1720,20220518
138.92,138.96,138.775,138.775,1690,20220518
138.77,138.83,138.68,138.68,3048,20220518
138.68,138.71,138.657,138.71,3895,20220518
138.63,138.63,138.48,138.55,1641,20220518
138.6011,138.87,138.58,138.87,2140,20220518
138.885,138.885,138.79,138.79,500,20220518
138.805,138.805,138.64,138.7,825,20220518
138.64,138.65,138.635,138.65,313,20220518
138.64,138.64,138.54,138.54,1156,20220518
138.6,138.65,138.6,138.605,400,20220518
138.605,138.8,138.605,138.8,1975,20220518
138.83,138.83,138.61,138.61,3311,20220518
138.675,138.79,138.66,138.66,1263,20220518
138.66,138.725,138.66,138.725,1090,20220518
138.79,138.999,138.79,138.999,925,20220518
138.94,138.94,138.82,138.905,1250,20220518
138.98,138.98,138.98,138.98,259,20220518
139.16,139.16,138.97,139.0009,888,20220518
138.987,138.99,138.97,138.97,425,20220518
138.94,138.94,138.94,138.94,100,20220518
139.0,139.08,138.99,139.08,801,20220518
139.08,139.19,139.08,139.19,403,20220518
139.18,139.185,139.13,139.13,419,20220518
139.029,139.12,139.029,139.12,1150,20220518
139.11,139.15,139.06,139.062,761,20220518
139.05,139.05,139.03,139.03,200,20220518
139.0251,139.0251,138.9177,138.9177,1881,20220518
138.97,139.02,138.95,138.95,704,20220518
138.9078,138.98,138.9078,138.94,866,20220518
138.94,139.03,138.84,139.03,1234,20220518
139.03,139.052,139.03,139.04,398,20220518
138.985,138.985,138.89,138.89,982,20220518
138.925,138.925,138.82,138.82,400,20220518
138.6569,138.6569,138.57,138.65,653,20220518
138.49,138.56,138.49,138.56,1510,20220518
138.7,138.75,138.67,138.67,1375,20220518
138.7591,138.7591,138.735,138.735,2182,20220518
138.735,138.735,138.63,138.63,496,20220518
138.6401,138.73,138.61,138.615,2466,20220518
138.63,138.7,138.58,138.695,409,20220518
138.66,138.66,138.57,138.63,501,20220518
138.4802,138.4802,138.4802,138.4802,186,20220518
138.47,138.57,138.47,138.56,1799,20220518
138.56,138.56,138.4993,138.4993,463,20220518
138.47,138.47,138.45,138.45,500,20220518
138.45,138.46,138.45,138.46,200,20220518
138.39,138.5601,138.39,138.5601,1342,20220518
138.56,138.5609,138.5,138.5,1300,20220518
138.51,138.54,138.46,138.54,798,20220518
138.44,138.51,138.42,138.48,1113,20220518
138.515,138.53,138.515,138.53,200,20220518
138.62,138.66,138.57,138.57,900,20220518
138.61,138.6775,138.57,138.62,1119,20220518
138.57,138.74,138.56,138.7121,608,20220518
138.77,138.86,138.76,138.85,1770,20220518
138.77,138.8,138.73,138.8,1381,20220518
138.73,138.73,138.665,138.665,400,20220518
138.69,138.75,138.69,138.69,1390,20220518
138.67,138.67,138.49,138.49,1837,20220518
138.49,138.62,138.49,138.51,817,20220518
138.39,138.39,138.295,138.295,500,20220518
138.32,138.39,138.32,138.37,850,20220518
138.44,138.44,138.3563,138.3563,604,20220518
138.22,138.25,138.22,138.25,200,20220518
138.268,138.268,138.18,138.21,740,20220518
138.19,138.34,138.19,138.34,2818,20220518
138.31,138.31,138.12,138.14,2993,20220518
138.11,138.16,138.01,138.01,1205,20220518
137.98,138.18,137.98,138.18,1800,20220518
138.155,138.17,138.12,138.12,1309,20220518
138.08,138.1978,138.06,138.15,3211,20220518
138.185,138.31,138.14,138.29,2757,20220518
138.31,138.31,138.23,138.235,801,20220518
138.235,138.305,138.235,138.305,1200,20220518
138.305,138.3051,138.17,138.2191,1669,20220518
138.155,138.155,138.03,138.03,645,20220518
138.07,138.13,138.035,138.13,2218,20220518
138.1,138.16,138.1,138.16,500,20220518
138.14,138.17,138.13,138.15,509,20220518
138.14,138.14,138.03,138.09,1783,20220518
138.13,138.15,138.12,138.12,500,20220518
138.14,138.14,138.03,138.03,1701,20220518
138.04,138.04,137.99,138.01,2129,20220518
138.1,138.17,138.1,138.17,1105,20220518
138.19,138.31,138.19,138.31,800,20220518
138.28,138.28,138.22,138.22,821,20220518
138.23,138.24,138.21,138.219,1803,20220518
138.21,138.25,138.21,138.25,800,20220518
138.2614,138.28,138.23,138.25,1344,20220518
138.26,138.29,138.23,138.29,748,20220518
138.28,138.37,138.28,138.34,1410,20220518
138.27,138.325,138.255,138.325,800,20220518
138.325,138.355,138.32,138.35,1493,20220518
138.34,138.4,138.29,138.4,6949,20220518
138.43,138.52,138.41,138.52,6700,20220518
