open,high,low,close,volume,datetime
85.05,85.05,83.78,83.84,81914,20220518
83.96,84.35,83.14,83.5255,36134,20220518
83.36,83.9315,82.85,83.27,28054,20220518
83.49,83.8451,83.03,83.77,16280,20220518
83.48,84.25,83.35,83.91,24575,20220518
83.84,83.9365,83.0,83.46,18482,20220518
83.5,83.59,82.75,83.0021,22856,20220518
82.79,83.31,82.67,83.155,21040,20220518
83.08,83.68,83.08,83.68,8951,20220518
83.605,83.79,82.8,83.155,18084,20220518
82.945,83.07,82.34,82.5,19992,20220518
82.47,82.66,81.8,81.8,18129,20220518
81.83,81.95,81.18,81.82,30754,20220518
81.61,82.08,81.2,82.065,9529,20220518
82.15,82.26,81.49,81.66,9703,20220518
81.71,82.29,81.55,82.0634,7393,20220518
82.125,82.125,81.39,81.69,15472,20220518
81.81,82.22,81.66,82.22,5793,20220518
82.29,82.3,81.53,81.73,15063,20220518
81.6328,82.03,81.495,82.03,9089,20220518
82.0,82.0,81.09,81.21,27541,20220518
81.1,81.76,81.1,81.61,7731,20220518
81.575,82.3507,81.5004,82.3507,29742,20220518
82.34,83.17,82.34,83.11,18950,20220518
83.015,83.015,82.6,82.69,8476,20220518
82.59,82.59,82.05,82.5,11421,20220518
82.43,82.43,81.62,81.72,17465,20220518
81.62,81.685,81.3,81.46,10884,20220518
81.415,81.53,81.2,81.48,10627,20220518
81.485,81.64,81.36,81.47,10311,20220518
81.485,82.24,81.3654,82.24,14007,20220518
82.13,82.79,82.09,82.545,17719,20220518
82.48,82.79,82.44,82.6132,14772,20220518
82.575,82.67,82.09,82.17,12488,20220518
82.1,82.19,81.88,82.085,15771,20220518
82.04,83.25,82.04,83.15,25306,20220518
83.0938,83.35,83.06,83.34,23988,20220518
83.34,83.37,83.03,83.19,12740,20220518
83.18,83.28,82.97,83.19,16862,20220518
83.12,83.12,82.75,82.8,12032,20220518
82.795,82.86,82.42,82.6,5101,20220518
82.555,82.555,81.99,82.2735,8998,20220518
82.31,82.45,82.13,82.26,3658,20220518
82.17,82.41,82.16,82.38,3415,20220518
82.44,82.68,82.44,82.645,6102,20220518
82.52,82.7,82.315,82.7,6200,20220518
82.67,82.71,82.46,82.645,5932,20220518
82.645,82.7,82.37,82.48,6601,20220518
82.35,82.59,82.33,82.36,5958,20220518
82.33,82.34,81.98,82.11,9419,20220518
82.07,82.805,81.98,82.805,20743,20220518
82.75,82.94,82.56,82.645,12100,20220518
82.74,82.84,82.45,82.45,5400,20220518
82.45,82.4986,82.17,82.17,5472,20220518
82.09,82.41,82.0,82.265,15524,20220518
82.2,82.44,82.15,82.43,10641,20220518
82.51,82.7,82.47,82.7,5400,20220518
82.73,82.73,82.2616,82.57,3445,20220518
82.69,82.7,82.5,82.6887,2364,20220518
82.6,82.69,82.17,82.17,9349,20220518
82.15,82.435,82.01,82.435,4800,20220518
82.455,82.455,82.24,82.45,7000,20220518
82.47,82.57,82.39,82.42,7721,20220518
82.42,82.42,82.23,82.3304,3965,20220518
82.29,82.29,81.76,81.85,11108,20220518
81.89,81.89,81.67,81.72,3015,20220518
81.77,82.28,81.77,81.94,16452,20220518
81.9405,82.04,81.82,81.82,4853,20220518
81.795,82.06,81.7,81.95,6075,20220518
81.99,82.07,81.8,82.02,7157,20220518
81.99,82.07,81.61,81.74,6646,20220518
81.62,82.02,81.585,82.01,8713,20220518
82.04,82.04,81.855,81.96,2700,20220518
81.96,82.15,81.9007,82.15,6700,20220518
82.1,82.24,81.97,82.135,5982,20220518
82.1,82.1,81.64,81.8,10693,20220518
81.93,82.37,81.925,82.315,7024,20220518
82.2576,82.37,82.03,82.13,17144,20220518
82.1627,82.72,82.1627,82.615,11304,20220518
82.55,82.59,82.3201,82.48,15205,20220518
82.46,82.53,82.26,82.32,4911,20220518
82.29,82.37,82.08,82.08,2251,20220518
82.12,82.25,82.09,82.09,8825,20220518
82.0524,82.2,81.98,82.2,5850,20220518
82.26,82.33,82.06,82.13,2300,20220518
82.115,82.1199,81.98,82.035,2400,20220518
82.09,82.24,81.947,82.24,10384,20220518
