open,high,low,close,volume,datetime
68.2,68.3,67.94,68.17,12481,20220518
68.15,68.19,68.08,68.08,700,20220518
68.05,68.05,67.93,67.93,700,20220518
67.93,67.98,67.925,67.925,500,20220518
67.9394,68.2,67.9394,68.1,2054,20220518
68.12,68.16,68.1,68.1,1000,20220518
67.99,67.99,67.91,67.91,500,20220518
68.11,68.11,68.02,68.02,300,20220518
68.05,68.05,67.96,67.96,1005,20220518
67.9,67.9,67.794,67.794,801,20220518
67.79,67.79,67.75,67.775,300,20220518
67.8,67.82,67.77,67.77,700,20220518
67.72,67.78,67.72,67.77,1421,20220518
67.75,67.83,67.75,67.83,1209,20220518
67.76,67.856,67.76,67.856,3268,20220518
67.8,67.86,67.78,67.86,1111,20220518
67.83,67.9,67.83,67.9,1000,20220518
67.89,68.01,67.89,67.94,2248,20220518
67.935,67.97,67.935,67.97,1000,20220518
67.975,68.05,67.975,68.0439,2579,20220518
68.08,68.08,68.0,68.0,1207,20220518
67.995,67.995,67.93,67.93,1200,20220518
67.94,67.95,67.94,67.9478,660,20220518
67.91,67.935,67.84,67.84,923,20220518
67.82,67.92,67.82,67.9,900,20220518
67.9295,67.93,67.88,67.88,1630,20220518
67.92,67.98,67.92,67.98,1032,20220518
67.99,67.99,67.92,67.935,1013,20220518
67.9,67.9,67.84,67.84,946,20220518
67.85,67.88,67.85,67.88,721,20220518
67.87,67.89,67.83,67.86,1579,20220518
67.86,67.86,67.79,67.8,1700,20220518
67.82,67.82,67.82,67.82,100,20220518
67.88,67.94,67.87,67.93,842,20220518
67.95,67.99,67.92,67.94,1831,20220518
67.96,67.96,67.86,67.86,800,20220518
67.89,67.89,67.84,67.84,967,20220518
67.78,67.85,67.78,67.85,600,20220518
67.87,67.9,67.87,67.88,830,20220518
67.89,67.91,67.89,67.91,700,20220518
67.93,67.95,67.93,67.95,603,20220518
68.02,68.02,68.0,68.0,700,20220518
68.02,68.02,67.98,67.98,904,20220518
67.98,67.99,67.98,67.99,611,20220518
68.03,68.07,68.01,68.05,900,20220518
68.02,68.04,67.99,68.02,1000,20220518
67.99,68.01,67.95,67.97,1900,20220518
68.02,68.02,68.01,68.01,200,20220518
68.06,68.14,68.05,68.14,3622,20220518
68.09,68.13,68.07,68.11,2470,20220518
68.13,68.2,68.1,68.1,2461,20220518
68.06,68.13,68.06,68.13,400,20220518
68.06,68.07,68.05,68.07,532,20220518
68.09,68.15,68.09,68.15,300,20220518
68.17,68.2,68.13,68.14,1000,20220518
68.13,68.16,68.13,68.16,600,20220518
68.14,68.18,68.14,68.17,600,20220518
68.18,68.18,68.09,68.1,3800,20220518
68.11,68.11,68.074,68.074,200,20220518
68.09,68.14,68.09,68.14,200,20220518
68.19,68.2204,68.19,68.2204,800,20220518
68.23,68.23,68.17,68.17,923,20220518
68.185,68.185,68.185,68.185,100,20220518
68.2,68.24,68.2,68.23,400,20220518
68.27,68.27,68.26,68.27,500,20220518
68.21,68.21,68.21,68.21,600,20220518
68.18,68.24,68.18,68.24,500,20220518
68.3,68.3,68.3,68.3,100,20220518
68.3,68.32,68.27,68.29,2440,20220518
68.28,68.28,68.27,68.27,600,20220518
68.25,68.3,68.25,68.3,800,20220518
68.28,68.29,68.22,68.25,1018,20220518
68.2,68.24,68.2,68.21,1000,20220518
68.19,68.25,68.19,68.25,1101,20220518
68.235,68.25,68.23,68.23,1100,20220518
68.2,68.2,68.2,68.2,500,20220518
68.11,68.11,68.06,68.06,617,20220518
68.041,68.08,68.041,68.06,300,20220518
68.041,68.05,68.04,68.048,900,20220518
68.1,68.1,68.1,68.1,100,20220518
68.09,68.1,68.09,68.1,791,20220518
68.08,68.11,68.08,68.11,200,20220518
68.09,68.11,68.05,68.07,1200,20220518
68.04,68.05,68.02,68.04,1100,20220518
68.035,68.035,67.96,67.97,1150,20220518
67.99,68.0,67.95,67.96,825,20220518
67.99,68.06,67.99,68.06,300,20220518
68.03,68.05,68.02,68.02,6341,20220518
67.96,67.99,67.95,67.99,400,20220518
67.99,68.03,67.99,68.03,603,20220518
68.03,68.085,68.02,68.04,2900,20220518
68.05,68.05,68.004,68.004,1471,20220518
68.04,68.07,68.04,68.07,500,20220518
68.07,68.08,68.02,68.03,1100,20220518
68.02,68.07,68.02,68.07,300,20220518
68.11,68.11,68.09,68.11,400,20220518
68.06,68.07,68.02,68.06,1500,20220518
68.04,68.08,68.04,68.08,301,20220518
68.06,68.06,68.044,68.044,500,20220518
68.051,68.051,68.051,68.051,100,20220518
68.05,68.05,68.031,68.0445,577,20220518
68.02,68.04,68.02,68.04,593,20220518
68.035,68.06,68.035,68.035,2114,20220518
68.065,68.065,68.03,68.03,714,20220518
67.98,67.98,67.96,67.96,508,20220518
67.96,67.96,67.93,67.93,201,20220518
67.91,67.911,67.91,67.911,200,20220518
67.87,67.87,67.87,67.87,100,20220518
67.86,67.87,67.85,67.85,800,20220518
67.88,67.9,67.88,67.9,915,20220518
67.93,67.93,67.93,67.93,100,20220518
67.94,67.97,67.92,67.92,600,20220518
68.0,68.01,68.0,68.01,200,20220518
68.06,68.07,68.06,68.07,306,20220518
68.095,68.095,68.095,68.095,100,20220518
68.08,68.1,68.06,68.085,3553,20220518
68.04,68.04,68.04,68.04,100,20220518
68.06,68.06,68.06,68.06,200,20220518
68.03,68.03,68.03,68.03,100,20220518
68.055,68.09,68.055,68.09,603,20220518
68.03,68.0538,68.03,68.0538,348,20220518
68.02,68.03,68.0,68.01,903,20220518
67.971,68.0,67.95,67.96,800,20220518
67.97,67.97,67.96,67.96,300,20220518
67.9782,68.0,67.97,68.0,989,20220518
68.0,68.0,67.97,67.98,738,20220518
67.95,67.99,67.95,67.98,899,20220518
67.98,67.98,67.96,67.96,764,20220518
67.94,67.97,67.94,67.97,1786,20220518
67.99,67.99,67.951,67.96,800,20220518
67.95,67.96,67.9,67.9,900,20220518
67.9,67.94,67.9,67.93,818,20220518
67.94,68.0,67.92,68.0,1844,20220518
67.988,67.988,67.96,67.98,500,20220518
67.99,67.99,67.94,67.94,755,20220518
67.99,67.99,67.94,67.94,489,20220518
67.91,67.91,67.91,67.91,100,20220518
67.96,68.02,67.96,68.02,823,20220518
68.04,68.04,68.01,68.01,1238,20220518
68.0,68.01,67.99,68.01,400,20220518
68.09,68.09,68.09,68.09,100,20220518
68.085,68.085,68.085,68.085,100,20220518
