open,high,low,close,volume,datetime
47.63,47.67,47.49,47.55,148888,20220518
47.54,47.56,47.46,47.55,16720,20220518
47.55,47.58,47.46,47.5,9854,20220518
47.51,47.66,47.48,47.655,30875,20220518
47.65,47.835,47.64,47.825,29848,20220518
47.82,47.88,47.73,47.75,31570,20220518
47.74,47.785,47.72,47.785,8141,20220518
47.785,47.82,47.74,47.7891,10658,20220518
47.785,47.79,47.73,47.74,7661,20220518
47.73,47.73,47.585,47.605,12056,20220518
47.6,47.65,47.54,47.545,16704,20220518
47.54,47.57,47.515,47.53,17189,20220518
47.52,47.63,47.52,47.58,19642,20220518
47.58,47.64,47.57,47.57,10790,20220518
47.56,47.66,47.55,47.66,8830,20220518
47.67,47.72,47.59,47.705,21966,20220518
47.7,47.715,47.67,47.71,7969,20220518
47.71,47.78,47.705,47.75,9495,20220518
47.755,47.795,47.7,47.73,28604,20220518
47.735,47.76,47.7,47.73,19491,20220518
47.725,47.75,47.66,47.67,10935,20220518
47.66,47.66,47.58,47.58,9253,20220518
47.58,47.6,47.55,47.59,10048,20220518
47.57,47.57,47.5,47.54,7525,20220518
47.54,47.655,47.54,47.65,9368,20220518
47.64,47.67,47.605,47.63,10511,20220518
47.63,47.66,47.615,47.655,16252,20220518
47.65,47.65,47.58,47.6,7987,20220518
47.6,47.6,47.55,47.565,8751,20220518
47.56,47.59,47.55,47.575,11231,20220518
47.59,47.645,47.545,47.63,16769,20220518
47.61,47.62,47.55,47.57,11624,20220518
47.575,47.63,47.575,47.63,10720,20220518
47.62,47.7,47.62,47.7,13267,20220518
47.715,47.76,47.71,47.72,15233,20220518
47.725,47.74,47.68,47.69,15202,20220518
47.7,47.715,47.68,47.68,6600,20220518
47.67,47.675,47.59,47.63,8862,20220518
47.64,47.665,47.63,47.665,8894,20220518
47.68,47.74,47.68,47.705,19607,20220518
47.7,47.73,47.665,47.685,10444,20220518
47.69,47.735,47.685,47.735,6955,20220518
47.72,47.74,47.71,47.73,7113,20220518
47.72,47.73,47.7,47.715,5602,20220518
47.71,47.74,47.7,47.74,7263,20220518
47.75,47.765,47.715,47.73,7536,20220518
47.735,47.735,47.685,47.71,8392,20220518
47.705,47.715,47.68,47.715,5702,20220518
47.72,47.75,47.71,47.72,15051,20220518
47.73,47.815,47.73,47.8,17316,20220518
47.8,47.8,47.78,47.8,5731,20220518
47.79,47.81,47.76,47.76,6117,20220518
47.76,47.76,47.72,47.76,4980,20220518
47.75,47.75,47.73,47.74,5479,20220518
47.73,47.785,47.73,47.77,6574,20220518
47.78,47.8,47.75,47.75,5349,20220518
47.75,47.78,47.74,47.765,4096,20220518
47.76,47.785,47.75,47.785,4825,20220518
47.78,47.785,47.75,47.75,7937,20220518
47.75,47.775,47.75,47.77,6383,20220518
47.78,47.85,47.78,47.82,11231,20220518
47.815,47.82,47.785,47.79,10219,20220518
47.795,47.795,47.75,47.755,6543,20220518
47.755,47.8,47.755,47.795,7540,20220518
47.795,47.845,47.795,47.83,11844,20220518
47.825,47.865,47.825,47.84,12006,20220518
47.84,47.84,47.78,47.78,12548,20220518
47.775,47.805,47.77,47.79,3227,20220518
47.8,47.865,47.8,47.865,13027,20220518
47.87,47.89,47.82,47.83,10865,20220518
