open,high,low,close,volume,datetime
122.96,123.26,122.24,123.14,108494,20220518
123.22,123.775,122.72,123.405,41118,20220518
123.49,123.8699,123.12,123.62,19897,20220518
123.62,124.01,123.6,123.66,17751,20220518
123.63,124.485,123.41,124.485,27599,20220518
124.47,124.5,123.675,124.455,28320,20220518
124.58,124.82,123.35,123.35,21640,20220518
123.3,124.18,123.24,123.6175,15542,20220518
123.57,123.7,123.15,123.23,10583,20220518
123.3299,123.3299,122.215,122.54,24874,20220518
122.36,122.6,122.18,122.45,8701,20220518
122.5,122.79,122.47,122.69,10222,20220518
122.69,122.78,122.32,122.62,7835,20220518
122.67,123.24,122.49,123.105,6914,20220518
123.27,123.46,123.06,123.29,6936,20220518
123.05,123.33,122.88,123.1,10102,20220518
123.15,123.65,123.09,123.365,13770,20220518
123.34,123.95,123.23,123.83,12088,20220518
123.84,124.16,123.095,123.095,5668,20220518
123.08,123.19,122.9,123.0701,7979,20220518
123.13,123.13,122.48,122.495,7864,20220518
122.49,122.55,122.24,122.375,10685,20220518
122.37,122.67,122.31,122.625,6406,20220518
122.6674,122.89,122.35,122.41,7284,20220518
122.415,122.61,121.775,121.775,13750,20220518
121.8256,121.8256,120.95,121.0799,25254,20220518
120.975,120.975,120.67,120.82,13950,20220518
120.83,120.89,120.445,120.735,12172,20220518
120.665,120.915,120.45,120.895,25151,20220518
120.91,121.17,120.71,121.17,10248,20220518
121.19,121.63,121.135,121.63,10647,20220518
121.67,122.09,121.57,122.09,11592,20220518
122.12,122.28,121.735,121.93,16076,20220518
121.875,122.13,121.865,121.905,5433,20220518
121.77,121.84,121.35,121.35,6095,20220518
121.47,122.26,121.44,122.21,9088,20220518
122.2,122.35,121.86,122.0,6682,20220518
121.93,121.99,121.68,121.99,8269,20220518
121.93,122.49,121.92,122.13,11992,20220518
122.12,122.48,122.09,122.275,13891,20220518
122.21,122.5,122.16,122.36,9559,20220518
122.26,122.43,122.085,122.285,9781,20220518
122.39,122.4,122.15,122.19,13896,20220518
122.23,122.32,122.1031,122.16,5755,20220518
122.19,122.6,122.16,122.53,9054,20220518
122.59,123.0,122.42,123.0,14862,20220518
122.93,123.03,122.825,122.92,13483,20220518
122.84,123.33,122.79,123.135,33685,20220518
123.05,123.335,122.93,123.28,13966,20220518
123.3,123.47,123.21,123.465,9647,20220518
123.46,124.04,123.41,124.04,8806,20220518
124.09,124.3,124.06,124.22,91276,20220518
124.2,124.28,123.58,123.62,17889,20220518
123.7112,123.98,123.47,123.815,11558,20220518
123.78,123.98,123.49,123.52,8799,20220518
123.47,123.61,123.24,123.46,16211,20220518
123.49,123.74,123.49,123.705,6870,20220518
123.6,123.91,123.55,123.82,15919,20220518
123.79,123.99,123.58,123.8575,22138,20220518
123.81,123.8716,123.335,123.39,16532,20220518
123.38,123.38,123.16,123.31,10156,20220518
123.35,123.46,123.25,123.46,9216,20220518
123.57,123.7,123.45,123.67,11742,20220518
123.61,123.93,123.595,123.85,8260,20220518
123.885,123.95,123.74,123.77,11056,20220518
123.74,123.77,123.68,123.68,10250,20220518
123.72,124.075,123.72,123.795,17427,20220518
123.86,123.99,123.26,123.26,13698,20220518
123.205,123.71,123.205,123.425,22849,20220518
123.42,123.44,123.2,123.21,3690,20220518
123.22,123.38,122.98,122.99,6858,20220518
122.94,123.2,122.772,123.2,13424,20220518
123.2,123.24,122.9,122.95,5094,20220518
122.93,123.11,122.89,122.89,4750,20220518
122.82,122.82,122.59,122.59,4186,20220518
122.57,122.57,122.49,122.49,2094,20220518
122.47,122.7,122.41,122.57,7778,20220518
122.515,122.735,122.515,122.735,2743,20220518
122.76,123.09,122.76,122.765,14039,20220518
122.755,123.0,122.755,122.9,3834,20220518
122.95,122.95,122.8,122.8,2951,20220518
122.78,122.78,122.5986,122.69,6233,20220518
122.725,122.78,122.585,122.585,12032,20220518
122.595,122.74,122.595,122.65,2219,20220518
122.695,122.7,122.5,122.5,2800,20220518
122.5,122.6115,122.35,122.6115,5198,20220518
122.65,122.67,122.45,122.67,1298,20220518
122.8,122.94,122.75,122.905,3838,20220518
122.885,123.12,122.87,122.95,10902,20220518
123.01,123.18,122.95,123.18,1890,20220518
123.23,123.49,123.23,123.38,1950,20220518
123.39,123.5,123.21,123.29,4960,20220518
123.24,123.38,123.17,123.29,7769,20220518
123.27,123.37,123.175,123.305,2585,20220518
123.405,123.69,123.405,123.49,2861,20220518
123.62,123.62,123.4,123.49,1701,20220518
123.445,123.52,123.21,123.21,2500,20220518
123.14,123.2,123.03,123.11,8208,20220518
123.11,123.11,122.84,122.86,3300,20220518
122.86,122.94,122.77,122.84,7672,20220518
122.8,122.84,122.695,122.74,1751,20220518
122.74,122.745,122.49,122.525,9933,20220518
122.525,122.54,122.49,122.515,2700,20220518
122.525,122.525,122.49,122.5233,1850,20220518
122.49,122.52,122.49,122.52,1000,20220518
122.5123,122.55,122.49,122.49,2255,20220518
122.49,122.5,122.07,122.07,6198,20220518
122.03,122.11,121.91,122.11,6489,20220518
