open,high,low,close,volume,datetime
52.69,52.78,52.52,52.56,49434,20220518
52.575,52.5873,52.46,52.47,3361,20220518
52.44,52.5,52.35,52.38,7185,20220518
52.375,52.39,52.27,52.31,3625,20220518
52.32,52.36,52.24,52.29,11377,20220518
52.275,52.3875,52.26,52.375,8091,20220518
52.38,52.4,52.26,52.29,5822,20220518
52.3,52.34,52.25,52.26,6400,20220518
52.26,52.26,52.17,52.18,3559,20220518
52.175,52.175,52.11,52.15,5100,20220518
52.15,52.17,52.095,52.15,6456,20220518
52.16,52.18,52.15,52.155,5400,20220518
52.14,52.145,52.1,52.1175,3800,20220518
52.1,52.215,52.09,52.215,9250,20220518
52.215,52.215,52.13,52.14,4752,20220518
52.11,52.13,52.05,52.05,5400,20220518
52.02,52.02,51.975,51.995,5472,20220518
52.0,52.015,51.97,51.97,4922,20220518
51.96,51.97,51.89,51.925,8890,20220518
51.92,51.98,51.91,51.965,6568,20220518
51.97,52.01,51.97,51.99,5881,20220518
51.98,52.03,51.98,52.02,8306,20220518
52.03,52.08,51.93,51.93,4676,20220518
51.93,51.97,51.86,51.86,5901,20220518
51.92,52.06,51.8984,52.06,3830,20220518
52.05,52.15,52.05,52.15,3651,20220518
52.18,52.19,52.16,52.165,500,20220518
52.17,52.19,52.16,52.18,1453,20220518
52.19,52.32,52.18,52.32,3195,20220518
52.27,52.27,52.23,52.23,770,20220518
52.23,52.23,52.17,52.18,1300,20220518
52.16,52.179,52.13,52.13,3646,20220518
52.13,52.169,52.13,52.14,1046,20220518
52.14,52.149,52.13,52.13,500,20220518
52.12,52.19,52.1,52.19,1956,20220518
52.18,52.2036,52.14,52.165,2820,20220518
52.16,52.17,52.135,52.16,3100,20220518
52.15,52.25,52.15,52.22,5870,20220518
52.23,52.23,52.17,52.18,3610,20220518
52.19,52.19,52.14,52.165,1428,20220518
52.16,52.24,52.16,52.21,2016,20220518
52.21,52.21,52.19,52.21,1300,20220518
52.2,52.2,52.14,52.14,1581,20220518
52.14,52.16,52.139,52.15,1700,20220518
52.14,52.19,52.13,52.19,2267,20220518
52.18,52.24,52.16,52.22,3700,20220518
52.23,52.23,52.155,52.19,2934,20220518
52.19,52.22,52.18,52.21,2905,20220518
52.2,52.235,52.195,52.21,3080,20220518
52.18,52.21,52.16,52.21,700,20220518
52.19,52.2,52.17,52.2,1500,20220518
52.23,52.23,52.179,52.18,1980,20220518
52.17,52.19,52.16,52.16,2000,20220518
52.15,52.15,52.12,52.13,1900,20220518
52.12,52.15,52.12,52.145,2315,20220518
52.15,52.15,52.1151,52.14,900,20220518
52.18,52.19,52.155,52.17,3189,20220518
52.17,52.17,52.145,52.15,1100,20220518
52.16,52.205,52.16,52.205,4300,20220518
52.19,52.19,52.14,52.14,1400,20220518
52.15,52.17,52.12,52.17,2495,20220518
52.18,52.2,52.16,52.16,2120,20220518
52.18,52.2,52.16,52.195,4144,20220518
52.22,52.25,52.22,52.22,3300,20220518
52.21,52.21,52.18,52.2,1033,20220518
52.19,52.19,52.15,52.15,1326,20220518
52.17,52.2,52.165,52.19,1233,20220518
52.21,52.24,52.2,52.24,1950,20220518
52.24,52.28,52.24,52.28,3041,20220518
52.29,52.3041,52.28,52.3,3475,20220518
52.32,52.33,52.26,52.2702,3275,20220518
52.28,52.319,52.28,52.319,800,20220518
52.32,52.32,52.26,52.26,2436,20220518
52.27,52.31,52.2683,52.31,2425,20220518
52.31,52.35,52.3,52.35,2724,20220518
52.345,52.36,52.3443,52.35,3757,20220518
52.37,52.4,52.37,52.37,5516,20220518
52.365,52.37,52.31,52.32,20041,20220518
52.31,52.33,52.2822,52.31,3514,20220518
52.3,52.3,52.23,52.23,1450,20220518
52.24,52.24,52.189,52.2,3089,20220518
52.21,52.229,52.19,52.229,2087,20220518
52.24,52.27,52.24,52.245,1935,20220518
52.24,52.25,52.2,52.2,1200,20220518
52.18,52.18,52.15,52.15,1481,20220518
52.15,52.18,52.15,52.18,1674,20220518
52.18,52.24,52.18,52.24,1500,20220518
