open,high,low,close,volume,datetime
68.57,68.57,68.48,68.48,11608,20220518
68.94,68.94,68.57,68.69,2390,20220518
68.48,68.48,68.35,68.43,726,20220518
68.61,68.715,68.61,68.715,200,20220518
68.63,68.655,68.5,68.55,1231,20220518
68.35,68.455,68.145,68.455,1760,20220518
68.73,68.73,68.39,68.69,1900,20220518
68.72,68.73,68.54,68.605,1300,20220518
68.48,68.48,68.48,68.48,800,20220518
68.43,68.43,68.2175,68.32,1007,20220518
68.13,68.32,68.13,68.32,400,20220518
68.46,68.47,68.46,68.47,498,20220518
68.34,68.34,68.25,68.29,1100,20220518
68.09,68.26,68.08,68.26,1546,20220518
68.28,68.3025,68.23,68.3025,1004,20220518
68.42,68.42,68.34,68.34,200,20220518
68.24,68.27,68.23,68.23,968,20220518
68.3,68.515,68.3,68.46,1761,20220518
68.43,68.43,68.33,68.41,922,20220518
68.4,68.55,68.4,68.55,410,20220518
68.51,68.51,68.5,68.5,477,20220518
68.47,68.645,68.47,68.645,943,20220518
68.65,68.65,68.58,68.58,1184,20220518
68.66,68.66,68.55,68.55,1100,20220518
68.5,68.58,68.5,68.58,300,20220518
68.66,68.76,68.66,68.74,2503,20220518
68.64,68.64,68.51,68.55,600,20220518
68.5,68.5,68.43,68.45,1800,20220518
68.44,68.58,68.44,68.58,856,20220518
68.54,68.54,68.44,68.46,612,20220518
68.54,68.62,68.51,68.62,1700,20220518
68.67,68.8,68.67,68.79,2000,20220518
68.83,68.83,68.82,68.82,200,20220518
68.79,68.79,68.77,68.77,300,20220518
68.79,69.005,68.75,69.005,1611,20220518
68.95,68.97,68.9,68.97,1320,20220518
68.96,69.06,68.96,69.035,600,20220518
69.03,69.03,68.95,68.95,788,20220518
68.89,68.9,68.71,68.898,2002,20220518
68.97,68.97,68.85,68.92,1451,20220518
68.86,68.86,68.86,68.86,100,20220518
68.89,68.895,68.78,68.78,753,20220518
68.857,68.857,68.77,68.81,1116,20220518
68.76,68.8,68.74,68.8,400,20220518
68.74,68.89,68.72,68.89,1423,20220518
68.924,68.924,68.79,68.84,1800,20220518
68.81,68.81,68.81,68.81,200,20220518
68.86,68.86,68.81,68.81,400,20220518
68.78,68.78,68.7,68.71,1041,20220518
68.71,68.77,68.7,68.77,1000,20220518
68.785,68.785,68.65,68.65,1051,20220518
68.7,68.7,68.6,68.6,901,20220518
68.54,68.575,68.54,68.575,1282,20220518
68.5,68.54,68.44,68.49,1300,20220518
68.44,68.44,68.41,68.41,300,20220518
68.48,68.57,68.48,68.51,1100,20220518
68.49,68.54,68.49,68.54,1663,20220518
68.5,68.51,68.46,68.465,1473,20220518
68.42,68.42,68.24,68.24,883,20220518
68.19,68.284,68.19,68.284,854,20220518
68.29,68.29,68.17,68.17,800,20220518
68.22,68.31,68.22,68.285,854,20220518
68.26,68.3,68.26,68.3,338,20220518
68.2,68.2,68.2,68.2,301,20220518
68.13,68.17,68.12,68.17,1378,20220518
68.23,68.26,68.22,68.26,915,20220518
68.34,68.355,68.32,68.355,1754,20220518
68.31,68.34,68.27,68.27,882,20220518
68.28,68.3101,68.28,68.305,945,20220518
68.346,68.346,68.19,68.19,1200,20220518
68.18,68.31,68.18,68.31,650,20220518
68.29,68.29,68.29,68.29,400,20220518
68.24,68.24,68.24,68.24,100,20220518
68.21,68.31,68.21,68.31,1200,20220518
68.33,68.33,68.29,68.29,1000,20220518
68.34,68.45,68.34,68.45,861,20220518
68.4,68.4,68.4,68.4,200,20220518
68.36,68.555,68.36,68.555,602,20220518
68.5,68.5,68.43,68.43,1000,20220518
68.45,68.45,68.44,68.44,300,20220518
68.4463,68.5,68.4463,68.5,295,20220518
68.44,68.45,68.4,68.4,874,20220518
68.35,68.35,68.32,68.32,714,20220518
68.335,68.35,68.27,68.27,500,20220518
68.26,68.31,68.25,68.31,1129,20220518
68.26,68.33,68.26,68.27,1601,20220518
68.33,68.41,68.33,68.41,2549,20220518
68.43,68.475,68.41,68.41,1405,20220518
68.4,68.45,68.37,68.445,1100,20220518
68.465,68.465,68.38,68.38,1000,20220518
68.43,68.43,68.3323,68.3323,578,20220518
68.34,68.34,68.25,68.25,738,20220518
68.22,68.25,68.19,68.225,1147,20220518
68.18,68.204,68.13,68.14,2724,20220518
68.08,68.1,68.06,68.06,300,20220518
68.13,68.17,68.05,68.05,1502,20220518
68.02,68.06,67.99,68.06,1333,20220518
68.02,68.05,68.02,68.05,714,20220518
68.01,68.02,67.97,68.01,1202,20220518
68.03,68.03,67.975,67.975,1100,20220518
67.97,67.97,67.95,67.95,400,20220518
67.94,67.96,67.93,67.96,500,20220518
67.96,67.96,67.93,67.93,300,20220518
67.91,67.91,67.91,67.91,100,20220518
67.93,67.93,67.9,67.915,801,20220518
67.93,67.93,67.84,67.84,1400,20220518
67.785,67.81,67.76,67.79,800,20220518
67.77,67.7825,67.71,67.71,1197,20220518
67.72,67.78,67.72,67.75,3499,20220518
67.78,67.815,67.75,67.76,815,20220518
67.74,67.74,67.68,67.68,1714,20220518
67.685,67.685,67.54,67.67,1105,20220518
67.635,67.635,67.51,67.51,200,20220518
67.5,67.57,67.47,67.536,2725,20220518
67.46,67.46,67.42,67.42,300,20220518
67.35,67.35,67.34,67.34,200,20220518
67.34,67.35,67.23,67.35,1644,20220518
67.31,67.31,67.31,67.31,600,20220518
67.34,67.34,67.2011,67.2011,1703,20220518
67.215,67.34,67.215,67.34,1726,20220518
67.34,67.36,67.33,67.36,388,20220518
67.37,67.43,67.37,67.41,300,20220518
67.435,67.435,67.385,67.385,200,20220518
67.44,67.44,67.436,67.436,1281,20220518
67.39,67.45,67.34,67.45,1223,20220518
67.46,67.63,67.46,67.58,3726,20220518
67.59,67.6,67.51,67.51,2062,20220518
