open,high,low,close,volume,datetime
22.09,22.1,22.02,22.025,28090,20220518
22.02,22.02,21.99,22.02,6150,20220518
22.02,22.05,22.02,22.05,4386,20220518
22.045,22.045,22.04,22.045,700,20220518
22.04,22.065,22.04,22.05,3406,20220518
22.05,22.06,22.04,22.05,5385,20220518
22.05,22.055,22.035,22.05,6354,20220518
22.055,22.055,22.045,22.05,1906,20220518
22.05,22.06,22.04,22.04,1400,20220518
22.04,22.07,22.04,22.07,62053,20220518
22.08,22.08,22.06,22.06,2258,20220518
22.065,22.065,22.06,22.06,4895,20220518
22.06,22.08,22.06,22.08,10028,20220518
22.08,22.1,22.08,22.1,4896,20220518
22.1,22.11,22.1,22.1,7568,20220518
22.11,22.115,22.105,22.11,4875,20220518
22.115,22.125,22.11,22.125,3355,20220518
22.13,22.13,22.11,22.13,3450,20220518
22.13,22.13,22.11,22.12,4923,20220518
22.12,22.12,22.11,22.12,4650,20220518
22.115,22.12,22.11,22.115,1632,20220518
22.11,22.125,22.11,22.11,6300,20220518
22.12,22.135,22.11,22.135,5630,20220518
22.135,22.14,22.13,22.13,2200,20220518
22.13,22.14,22.13,22.13,2363,20220518
22.135,22.14,22.13,22.135,2758,20220518
22.135,22.14,22.12,22.135,8832,20220518
22.13,22.13,22.125,22.125,5031,20220518
22.12,22.14,22.12,22.14,6157,20220518
22.135,22.135,22.13,22.13,2200,20220518
22.135,22.155,22.135,22.155,6261,20220518
22.159,22.17,22.15,22.15,9746,20220518
22.15,22.165,22.15,22.165,2413,20220518
22.16,22.165,22.16,22.16,4175,20220518
22.17,22.175,22.165,22.175,3940,20220518
22.17,22.18,22.17,22.18,846,20220518
22.18,22.18,22.17,22.17,4633,20220518
22.175,22.18,22.17,22.17,5503,20220518
22.17,22.175,22.16,22.16,12881,20220518
22.16,22.185,22.16,22.185,16283,20220518
22.19,22.195,22.19,22.195,7867,20220518
22.195,22.195,22.19,22.195,4922,20220518
22.19,22.195,22.185,22.195,11685,20220518
22.1921,22.2,22.1921,22.2,20089,20220518
22.2,22.21,22.195,22.21,6139,20220518
22.21,22.22,22.2,22.21,13038,20220518
22.21,22.215,22.2,22.215,1914,20220518
22.215,22.23,22.215,22.23,4227,20220518
22.23,22.25,22.23,22.24,19078,20220518
22.245,22.245,22.24,22.245,14100,20220518
22.245,22.26,22.245,22.26,40181,20220518
22.26,22.26,22.255,22.26,3192,20220518
22.255,22.27,22.245,22.2499,31288,20220518
22.24,22.245,22.23,22.23,21300,20220518
22.23,22.245,22.23,22.24,21556,20220518
22.24,22.25,22.24,22.25,2913,20220518
22.25,22.26,22.2499,22.25,18564,20220518
22.245,22.25,22.235,22.235,15118,20220518
22.235,22.235,22.22,22.22,6100,20220518
22.22,22.24,22.215,22.24,19400,20220518
22.24,22.245,22.23,22.23,24698,20220518
22.23,22.24,22.225,22.24,7860,20220518
22.24,22.24,22.23,22.235,2961,20220518
22.235,22.26,22.2336,22.26,13044,20220518
22.255,22.26,22.25,22.255,24461,20220518
22.25,22.255,22.235,22.235,14225,20220518
22.235,22.24,22.225,22.225,6388,20220518
22.225,22.23,22.225,22.23,1000,20220518
22.23,22.24,22.225,22.235,5063,20220518
