open,high,low,close,volume,datetime
97.27,97.375,97.17,97.355,30048,20220518
97.28,97.37,97.18,97.225,1703,20220518
97.225,97.48,97.16,97.48,6301,20220518
97.62,97.71,97.52,97.71,3954,20220518
97.74,97.83,97.345,97.43,4361,20220518
97.46,97.88,97.26,97.88,1942,20220518
98.01,98.18,97.825,98.175,8916,20220518
98.17,98.29,98.07,98.29,4600,20220518
98.32,98.54,98.205,98.54,14328,20220518
98.5,98.5,98.07,98.165,4652,20220518
98.06,98.26,98.0,98.06,4934,20220518
98.0,98.12,97.95,97.95,3421,20220518
97.87,97.885,97.47,97.47,4418,20220518
97.525,97.829,97.515,97.829,1300,20220518
97.8,97.93,97.76,97.93,3152,20220518
97.91,98.01,97.91,97.96,1619,20220518
97.925,97.99,97.92,97.94,719,20220518
98.0,98.27,97.945,98.21,5039,20220518
98.21,98.24,98.135,98.17,2100,20220518
98.2,98.31,98.19,98.2372,7201,20220518
98.34,98.43,98.195,98.195,5261,20220518
98.17,98.31,98.1505,98.17,2661,20220518
98.085,98.14,98.085,98.14,500,20220518
98.16,98.27,98.12,98.14,3318,20220518
98.14,98.14,97.96,98.03,1400,20220518
97.955,97.955,97.66,97.75,2300,20220518
97.72,97.74,97.625,97.635,3900,20220518
97.59,97.65,97.57,97.6,800,20220518
97.55,97.65,97.52,97.59,2573,20220518
97.595,97.68,97.54,97.62,2300,20220518
97.56,97.81,97.44,97.8,8220,20220518
97.73,97.855,97.73,97.74,3575,20220518
97.6813,97.84,97.6501,97.79,3814,20220518
97.75,97.82,97.59,97.74,5397,20220518
97.86,97.86,97.7,97.705,8559,20220518
97.64,97.865,97.63,97.865,4352,20220518
97.85,97.86,97.79,97.81,2000,20220518
97.77,97.89,97.755,97.89,4682,20220518
97.8279,97.835,97.56,97.57,3204,20220518
97.55,97.57,97.36,97.42,6707,20220518
97.33,97.49,97.31,97.32,4948,20220518
97.34,97.375,97.15,97.26,6047,20220518
97.31,97.34,97.23,97.27,2580,20220518
97.31,97.5,97.28,97.49,2750,20220518
97.515,97.515,97.34,97.365,2413,20220518
97.3,97.46,97.3,97.435,1899,20220518
97.44,97.47,97.37,97.47,5867,20220518
97.47,97.59,97.455,97.575,33066,20220518
97.67,97.74,97.63,97.67,25193,20220518
97.56,97.65,97.56,97.56,2200,20220518
97.53,97.58,97.48,97.52,1600,20220518
97.56,97.675,97.455,97.455,2303,20220518
97.54,97.6039,97.5,97.55,1862,20220518
97.51,97.55,97.32,97.32,13929,20220518
97.35,97.475,97.27,97.43,7021,20220518
97.45,97.605,97.45,97.605,2700,20220518
97.64,97.77,97.64,97.66,1537,20220518
97.66,97.78,97.57,97.78,2005,20220518
97.7839,97.81,97.73,97.76,3139,20220518
97.72,97.74,97.535,97.545,5083,20220518
97.55,97.76,97.55,97.76,1400,20220518
97.81,97.83,97.7,97.7,3873,20220518
97.8,97.8,97.69,97.75,2203,20220518
97.74,97.88,97.73,97.84,2000,20220518
97.84,97.91,97.78,97.91,3088,20220518
97.86,97.86,97.755,97.755,1550,20220518
97.75,97.81,97.7191,97.8,2112,20220518
97.78,97.89,97.78,97.82,6914,20220518
97.76,97.89,97.76,97.81,2504,20220518
97.86,97.88,97.77,97.86,2306,20220518
97.87,97.93,97.76,97.77,4147,20220518
97.76,97.96,97.72,97.96,2643,20220518
97.96,98.01,97.9,97.96,2700,20220518
97.9,97.93,97.8875,97.8875,903,20220518
97.89,97.97,97.89,97.93,1804,20220518
97.92,97.94,97.87,97.88,3679,20220518
97.97,98.09,97.97,98.09,1537,20220518
98.01,98.18,97.97,98.06,4472,20220518
98.1,98.22,98.05,98.22,800,20220518
98.16,98.16,98.08,98.16,2321,20220518
98.13,98.13,98.025,98.05,2679,20220518
97.99,98.03,97.97,98.02,2313,20220518
98.03,98.06,98.03,98.03,506,20220518
98.12,98.16,98.055,98.16,1200,20220518
98.17,98.18,98.06,98.06,1684,20220518
98.05,98.24,98.04,98.16,2200,20220518
98.13,98.19,98.1,98.19,2430,20220518
98.175,98.36,98.175,98.355,2849,20220518
98.39,98.43,98.36,98.365,2865,20220518
98.37,98.39,98.28,98.35,2400,20220518
98.315,98.33,98.195,98.195,3156,20220518
98.16,98.22,98.085,98.12,2368,20220518
98.1,98.16,98.0,98.0,3408,20220518
97.98,98.04,97.95,98.02,2991,20220518
98.005,98.03,97.97,98.01,1769,20220518
97.97,98.02,97.95,98.01,1800,20220518
97.97,97.97,97.84,97.84,5400,20220518
97.83,97.94,97.83,97.94,2493,20220518
97.94,97.95,97.825,97.87,5629,20220518
97.825,97.9,97.825,97.9,3623,20220518
97.82,97.83,97.73,97.75,2761,20220518
97.76,97.78,97.735,97.78,2455,20220518
97.76,97.78,97.7101,97.77,891,20220518
97.74,97.75,97.7,97.7,500,20220518
97.75,97.75,97.6901,97.7,1867,20220518
97.72,97.73,97.585,97.585,4414,20220518
97.54,97.6064,97.53,97.53,2458,20220518
97.54,97.55,97.5,97.53,3016,20220518
97.53,97.69,97.5,97.69,2074,20220518
97.66,97.7,97.64,97.7,3157,20220518
97.6561,97.67,97.64,97.65,6270,20220518
97.65,97.65,97.61,97.64,5486,20220518
97.63,97.63,97.5,97.5066,1081,20220518
97.525,97.525,97.41,97.41,6493,20220518
97.48,97.58,97.48,97.545,4570,20220518
97.52,97.52,97.45,97.455,2436,20220518
97.47,97.47,97.41,97.41,900,20220518
97.45,97.46,97.38,97.43,2438,20220518
97.43,97.43,97.27,97.38,4223,20220518
97.33,97.39,97.17,97.19,4946,20220518
97.19,97.45,97.18,97.45,4205,20220518
97.45,97.45,97.43,97.43,1000,20220518
97.395,97.52,97.395,97.44,2405,20220518
97.44,97.58,97.44,97.575,2255,20220518
97.53,97.56,97.39,97.43,2237,20220518
97.43,97.51,97.38,97.49,2654,20220518
97.455,97.62,97.455,97.62,2297,20220518
97.68,97.68,97.61,97.658,1020,20220518
97.67,97.7,97.65,97.67,2011,20220518
97.68,97.78,97.68,97.78,1902,20220518
97.78,97.95,97.755,97.93,3743,20220518
97.93,97.93,97.87,97.92,4525,20220518
97.94,98.05,97.89,98.005,6038,20220518
98.035,98.22,98.02,98.22,1647,20220518
98.25,98.25,98.14,98.14,4857,20220518
98.14,98.22,98.12,98.12,2000,20220518
98.15,98.15,98.055,98.11,6100,20220518
98.15,98.19,98.1,98.14,2648,20220518
98.12,98.215,98.04,98.215,3171,20220518
98.19,98.22,98.14,98.22,3376,20220518
98.22,98.23,98.11,98.125,3635,20220518
98.13,98.19,98.06,98.06,5391,20220518
98.05,98.05,97.9161,97.9161,2627,20220518
97.92,97.96,97.83,97.83,1402,20220518
97.8446,97.89,97.82,97.89,1411,20220518
97.9,97.95,97.81,97.81,1600,20220518
97.85,97.93,97.83,97.93,4808,20220518
97.915,97.96,97.9,97.94,3814,20220518
97.925,97.98,97.925,97.935,2570,20220518
97.92,97.95,97.9036,97.9036,4542,20220518
97.92,97.99,97.86,97.96,4298,20220518
97.98,97.98,97.88,97.95,3169,20220518
97.95,97.96,97.87,97.96,6538,20220518
98.01,98.01,97.93,97.97,4118,20220518
97.95,97.97,97.7262,97.73,4232,20220518
97.73,97.76,97.7,97.73,4995,20220518
97.73,97.77,97.7,97.74,1000,20220518
97.72,97.77,97.68,97.77,2026,20220518
97.75,97.82,97.75,97.82,3008,20220518
97.78,97.81,97.77,97.81,1236,20220518
97.81,97.84,97.81,97.82,1050,20220518
97.82,97.84,97.8,97.84,1295,20220518
97.81,97.85,97.795,97.795,1112,20220518
97.79,97.79,97.76,97.77,2400,20220518
97.75,97.89,97.74,97.855,3196,20220518
97.86,97.95,97.8416,97.95,1404,20220518
97.96,98.15,97.96,98.15,2018,20220518
98.1,98.18,98.09,98.18,2838,20220518
98.17,98.17,98.115,98.115,930,20220518
98.14,98.16,98.0809,98.16,990,20220518
98.16,98.16,98.08,98.085,5189,20220518
98.12,98.16,97.98,98.01,8566,20220518
98.0,98.01,97.9135,97.94,5811,20220518
97.93,97.97,97.9,97.91,1289,20220518
97.93,97.97,97.9,97.96,1727,20220518
97.93,97.93,97.87,97.87,400,20220518
97.92,97.935,97.8938,97.895,850,20220518
97.92,98.11,97.92,98.06,8461,20220518
98.12,98.12,98.03,98.075,1889,20220518
98.09,98.09,97.99,97.99,4491,20220518
98.03,98.18,98.005,98.18,1460,20220518
98.145,98.26,98.12,98.26,4308,20220518
98.23,98.28,98.21,98.25,3880,20220518
98.23,98.27,98.16,98.26,3749,20220518
98.27,98.34,98.27,98.34,1306,20220518
98.365,98.51,98.365,98.485,10717,20220518
98.48,98.5,98.415,98.44,9399,20220518
98.41,98.49,98.34,98.35,10196,20220518
98.37,98.52,98.37,98.51,2060,20220518
98.49,98.49,98.36,98.3875,2878,20220518
98.385,98.385,98.3,98.3,1004,20220518
98.29,98.36,98.26,98.36,5128,20220518
98.34,98.39,98.34,98.365,3838,20220518
98.34,98.415,98.32,98.39,4364,20220518
98.395,98.43,98.375,98.38,1963,20220518
98.36,98.48,98.36,98.48,1676,20220518
98.46,98.57,98.46,98.5525,2488,20220518
98.575,98.58,98.5,98.545,1100,20220518
98.545,98.63,98.545,98.6,3175,20220518
98.61,98.62,98.58,98.62,2000,20220518
98.59,98.59,98.57,98.57,600,20220518
98.58,98.62,98.555,98.58,2395,20220518
98.565,98.59,98.54,98.58,3273,20220518
98.56,98.675,98.56,98.675,4014,20220518
