open,high,low,close,volume,datetime
96.32,96.73,96.32,96.72,37647,20220518
96.73,96.73,96.46,96.53,3314,20220518
96.46,96.49,96.3,96.46,4326,20220518
96.42,96.58,96.39,96.56,2887,20220518
96.605,96.62,96.38,96.385,4300,20220518
96.38,96.85,96.38,96.81,7933,20220518
96.8,97.15,96.69,97.15,8969,20220518
97.16,97.38,97.0702,97.16,7441,20220518
97.24,97.39,97.13,97.23,4974,20220518
97.23,97.29,96.96,96.98,5005,20220518
96.83,96.91,96.78,96.78,3300,20220518
96.73,96.78,96.56,96.58,2337,20220518
96.56,96.57,96.37,96.37,995,20220518
96.37,96.45,96.35,96.45,1414,20220518
96.51,96.52,96.45,96.52,613,20220518
96.56,96.67,96.55,96.575,2740,20220518
96.575,96.6,96.51,96.59,5309,20220518
96.59,96.68,96.465,96.68,3269,20220518
96.7,96.88,96.7,96.88,10486,20220518
96.83,96.83,96.79,96.8,4802,20220518
96.83,96.83,96.76,96.77,6326,20220518
96.72,96.81,96.68,96.725,4351,20220518
96.7,96.7,96.62,96.69,4209,20220518
96.7,96.71,96.62,96.64,1600,20220518
96.66,96.66,96.57,96.58,1500,20220518
96.56,96.56,96.33,96.33,2525,20220518
96.3,96.31,96.2,96.26,6147,20220518
96.215,96.27,96.19,96.23,4279,20220518
96.205,96.3228,96.15,96.3228,3143,20220518
96.32,96.32,96.19,96.21,800,20220518
96.265,96.36,96.24,96.289,3807,20220518
96.27,96.35,96.23,96.27,7980,20220518
96.27,96.3,96.22,96.27,4728,20220518
96.25,96.255,96.05,96.07,6969,20220518
96.08,96.08,95.98,95.98,3829,20220518
95.95,96.08,95.95,96.07,6317,20220518
96.07,96.12,96.02,96.02,2955,20220518
96.035,96.1,95.99,96.08,3400,20220518
96.12,96.14,95.95,96.01,4825,20220518
96.02,96.02,95.91,95.945,4606,20220518
95.88,95.97,95.88,95.9101,4577,20220518
95.94,95.94,95.78,95.86,10180,20220518
95.86,95.86,95.81,95.84,5638,20220518
95.86,96.01,95.845,96.01,3714,20220518
96.03,96.03,95.905,95.905,4637,20220518
95.9,95.9,95.8,95.895,1200,20220518
95.89,95.89,95.78,95.8,1618,20220518
95.78,95.85,95.75,95.78,4536,20220518
95.82,95.88,95.78,95.83,2817,20220518
95.7683,95.8,95.75,95.79,2750,20220518
95.73,95.75,95.68,95.68,4968,20220518
95.67,95.73,95.52,95.52,15108,20220518
95.55,95.6,95.52,95.52,3563,20220518
95.51,95.51,95.38,95.38,2467,20220518
95.35,95.53,95.35,95.51,2582,20220518
95.525,95.525,95.44,95.49,3903,20220518
95.48,95.6,95.45,95.46,6503,20220518
95.47,95.65,95.47,95.65,3740,20220518
95.62,95.62,95.57,95.58,1623,20220518
95.52,95.52,95.39,95.39,1929,20220518
95.42,95.6,95.42,95.57,1000,20220518
95.55,95.585,95.51,95.54,4841,20220518
95.53,95.55,95.42,95.49,3100,20220518
95.48,95.56,95.47,95.53,3966,20220518
95.55,95.555,95.505,95.555,1950,20220518
95.52,95.52,95.45,95.45,1477,20220518
95.4,95.44,95.375,95.44,4060,20220518
95.45,95.48,95.365,95.365,2163,20220518
95.34,95.38,95.33,95.36,3045,20220518
95.37,95.3911,95.32,95.37,3271,20220518
95.37,95.39,95.37,95.3732,1658,20220518
95.38,95.51,95.33,95.51,2220,20220518
95.52,95.59,95.475,95.59,1600,20220518
95.58,95.62,95.545,95.62,730,20220518
95.6,95.6,95.58,95.58,1058,20220518
95.55,95.55,95.46,95.48,3862,20220518
95.47,95.62,95.47,95.54,3200,20220518
95.52,95.56,95.48,95.48,2306,20220518
95.515,95.59,95.46,95.59,1450,20220518
95.57,95.59,95.52,95.52,1100,20220518
95.54,95.54,95.45,95.46,1179,20220518
95.45,95.45,95.381,95.43,600,20220518
95.48,95.48,95.45,95.45,200,20220518
95.47,95.47,95.44,95.44,1494,20220518
95.515,95.515,95.44,95.48,1066,20220518
95.43,95.54,95.43,95.505,3862,20220518
95.5,95.54,95.495,95.54,1586,20220518
95.58,95.72,95.58,95.72,2620,20220518
95.715,95.715,95.63,95.63,1392,20220518
95.66,95.66,95.64,95.64,500,20220518
95.62,95.62,95.5,95.5,1400,20220518
95.5,95.52,95.49,95.5,3016,20220518
95.48,95.54,95.39,95.39,1985,20220518
95.36,95.41,95.355,95.37,2697,20220518
95.39,95.46,95.38,95.42,2500,20220518
95.425,95.4428,95.39,95.39,893,20220518
95.41,95.41,95.29,95.31,3592,20220518
95.3,95.37,95.235,95.36,3237,20220518
95.4,95.41,95.31,95.33,2300,20220518
95.31,95.39,95.29,95.38,4828,20220518
95.37,95.37,95.31,95.31,1536,20220518
95.345,95.345,95.345,95.345,100,20220518
95.33,95.357,95.33,95.34,1370,20220518
95.313,95.313,95.313,95.313,249,20220518
95.3385,95.3385,95.3243,95.3243,289,20220518
95.325,95.33,95.31,95.31,309,20220518
95.31,95.33,95.22,95.22,4492,20220518
95.225,95.225,95.225,95.225,350,20220518
95.22,95.28,95.22,95.23,1884,20220518
95.29,95.29,95.27,95.29,3240,20220518
95.29,95.33,95.27,95.33,1463,20220518
95.355,95.355,95.31,95.33,1134,20220518
95.32,95.325,95.28,95.28,966,20220518
95.29,95.29,95.21,95.25,3320,20220518
95.26,95.265,95.18,95.23,5398,20220518
95.235,95.35,95.235,95.35,1200,20220518
95.39,95.39,95.35,95.35,623,20220518
95.32,95.33,95.3,95.32,1618,20220518
95.27,95.28,95.25,95.28,2221,20220518
95.25,95.25,95.14,95.14,2226,20220518
95.17,95.2,95.07,95.07,1513,20220518
95.07,95.235,95.01,95.235,3260,20220518
95.26,95.28,95.21,95.27,1155,20220518
95.27,95.33,95.27,95.33,502,20220518
95.28,95.4,95.26,95.4,3788,20220518
95.385,95.42,95.3,95.33,1771,20220518
95.31,95.36,95.29,95.36,2746,20220518
95.43,95.52,95.43,95.52,407,20220518
95.52,95.53,95.5,95.53,1300,20220518
95.52,95.55,95.49,95.5,2443,20220518
95.51,95.5725,95.49,95.57,2364,20220518
95.57,95.665,95.57,95.65,1700,20220518
95.67,95.72,95.63,95.72,700,20220518
95.71,95.73,95.65,95.73,7282,20220518
95.76,95.82,95.76,95.82,1650,20220518
95.82,95.89,95.8,95.86,28375,20220518
95.81,95.815,95.79,95.79,617,20220518
95.72,95.72,95.62,95.63,600,20220518
95.62,95.64,95.6,95.615,1770,20220518
95.62,95.65,95.62,95.65,300,20220518
95.63,95.68,95.62,95.64,905,20220518
