open,high,low,close,volume,datetime
25.3,25.85,25.3,25.835,29904,20220518
25.845,26.17,25.77,26.17,9078,20220518
26.1,26.11,25.78,25.78,10358,20220518
25.86,25.93,25.8,25.81,3473,20220518
25.8,26.02,25.8,25.96,6463,20220518
25.9473,25.99,25.9473,25.98,2942,20220518
26.0,26.09,25.81,25.89,13535,20220518
25.94,25.97,25.92,25.95,1092,20220518
25.95,26.0,25.94,25.94,2844,20220518
25.9001,25.93,25.86,25.92,2605,20220518
25.87,25.9,25.83,25.85,3911,20220518
25.9,26.01,25.89,25.94,7295,20220518
25.93,26.13,25.93,26.075,5952,20220518
26.05,26.23,26.05,26.23,3029,20220518
26.2,26.31,26.2,26.31,4248,20220518
26.32,26.5,26.32,26.5,7696,20220518
26.48,26.53,26.39,26.52,5609,20220518
26.57,26.66,26.55,26.66,8824,20220518
26.6794,26.81,26.6,26.805,9828,20220518
26.805,26.89,26.73,26.75,37298,20220518
26.75,26.75,26.56,26.56,6313,20220518
26.54,26.61,26.5,26.54,5970,20220518
26.5634,26.6254,26.49,26.6254,3858,20220518
26.64,26.73,26.62,26.64,3376,20220518
26.68,26.7575,26.68,26.7575,3758,20220518
26.74,26.785,26.72,26.785,2000,20220518
26.765,26.785,26.7525,26.76,10749,20220518
26.74,26.75,26.74,26.75,1780,20220518
26.73,26.735,26.6601,26.735,1379,20220518
26.72,26.79,26.72,26.76,1100,20220518
26.765,26.775,26.6673,26.72,4959,20220518
26.72,26.73,26.7,26.7,6941,20220518
26.71,26.75,26.71,26.75,2700,20220518
26.73,26.77,26.725,26.75,6736,20220518
26.755,26.78,26.7,26.7,7709,20220518
26.7,26.7,26.65,26.69,1799,20220518
26.705,26.75,26.705,26.73,3773,20220518
26.72,26.72,26.63,26.67,5446,20220518
26.685,26.71,26.67,26.71,700,20220518
26.72,26.74,26.7,26.72,5599,20220518
26.71,26.77,26.68,26.68,1900,20220518
26.661,26.69,26.66,26.69,2320,20220518
26.69,26.71,26.65,26.6692,2450,20220518
26.67,26.75,26.67,26.75,2225,20220518
26.75,26.77,26.74,26.76,5047,20220518
26.75,26.78,26.75,26.765,7325,20220518
26.78,26.8508,26.76,26.8508,6435,20220518
26.85,26.95,26.85,26.95,2704,20220518
26.97,27.0229,26.97,27.0,12050,20220518
26.97,26.97,26.89,26.92,1195,20220518
26.94,26.96,26.9,26.9,2186,20220518
26.92,26.925,26.92,26.925,300,20220518
26.95,27.045,26.94,27.0,23991,20220518
26.9682,26.98,26.9,26.9,1600,20220518
26.89,26.89,26.84,26.87,1184,20220518
26.865,26.97,26.865,26.96,3400,20220518
26.97,27.03,26.97,26.99,4380,20220518
26.98,26.98,26.91,26.94,4571,20220518
26.98,26.98,26.91,26.95,5798,20220518
26.96,26.97,26.93,26.9515,4073,20220518
26.95,27.04,26.95,27.04,9400,20220518
27.05,27.09,27.02,27.02,8901,20220518
27.0005,27.0005,26.96,26.96,2300,20220518
26.96,27.01,26.96,27.01,2400,20220518
27.01,27.015,26.948,26.95,2290,20220518
26.94,26.94,26.92,26.92,1898,20220518
26.9,26.9,26.835,26.835,2332,20220518
26.85,26.85,26.7104,26.72,9099,20220518
26.68,26.71,26.68,26.71,1675,20220518
26.72,26.74,26.71,26.74,1800,20220518
26.76,26.76,26.73,26.74,1500,20220518
26.75,26.76,26.74,26.74,3200,20220518
26.75,26.79,26.7404,26.79,1800,20220518
26.82,26.87,26.81,26.815,2963,20220518
26.81,26.84,26.8001,26.83,1150,20220518
26.845,26.845,26.775,26.775,1510,20220518
26.8,26.9,26.8,26.84,7400,20220518
26.79,26.8,26.79,26.79,300,20220518
26.785,26.82,26.785,26.81,1101,20220518
26.795,26.81,26.795,26.81,777,20220518
26.825,26.825,26.78,26.78,600,20220518
26.77,26.77,26.72,26.76,1464,20220518
26.7476,26.7476,26.67,26.67,3654,20220518
26.68,26.7621,26.68,26.74,4226,20220518
26.73,26.75,26.725,26.74,800,20220518
26.72,26.74,26.72,26.735,900,20220518
26.735,26.75,26.73,26.75,2200,20220518
26.78,26.82,26.77,26.81,1247,20220518
26.835,26.835,26.8,26.8,2161,20220518
26.81,26.8218,26.7704,26.79,5934,20220518
26.805,26.805,26.75,26.75,1700,20220518
26.76,26.78,26.74,26.74,2173,20220518
