open,high,low,close,volume,datetime
7.36,7.43,7.3,7.42,10874,20220518
7.36,7.37,7.29,7.29,3212,20220518
7.28,7.2993,7.25,7.2799,5900,20220518
7.2443,7.2443,7.17,7.17,2528,20220518
7.1951,7.21,7.1951,7.21,1761,20220518
7.15,7.18,7.14,7.15,3887,20220518
7.1697,7.1697,7.13,7.144,2249,20220518
7.16,7.16,7.12,7.1399,3260,20220518
7.14,7.16,7.14,7.14,828,20220518
7.11,7.11,7.07,7.09,2300,20220518
7.112,7.13,7.09,7.13,3822,20220518
7.15,7.16,7.1478,7.16,1919,20220518
7.13,7.13,7.1,7.11,654,20220518
7.105,7.12,7.0995,7.1,3747,20220518
7.11,7.11,7.09,7.1,1357,20220518
7.11,7.14,7.11,7.14,2000,20220518
7.16,7.16,7.16,7.16,100,20220518
7.17,7.2,7.17,7.19,41371,20220518
7.18,7.19,7.18,7.19,200,20220518
7.18,7.18,7.15,7.18,1795,20220518
7.18,7.18,7.14,7.14,995,20220518
7.14,7.17,7.14,7.17,1012,20220518
7.17,7.31,7.17,7.3,30346,20220518
7.3,7.33,7.29,7.29,1580,20220518
7.3,7.3,7.28,7.3,300,20220518
7.28,7.28,7.25,7.25,2240,20220518
7.25,7.26,7.25,7.26,1104,20220518
7.24,7.37,7.24,7.35,12819,20220518
7.3326,7.345,7.3326,7.3344,3300,20220518
7.345,7.345,7.3,7.31,5811,20220518
7.33,7.395,7.33,7.38,16676,20220518
7.37,7.41,7.37,7.39,6375,20220518
7.39,7.4,7.33,7.345,21235,20220518
7.33,7.3389,7.315,7.315,2834,20220518
7.315,7.315,7.29,7.29,2273,20220518
7.285,7.29,7.27,7.27,3324,20220518
7.28,7.28,7.2,7.235,8074,20220518
7.25,7.27,7.25,7.27,2700,20220518
7.27,7.27,7.25,7.25,944,20220518
7.23,7.25,7.22,7.25,2815,20220518
7.27,7.27,7.26,7.26,423,20220518
7.26,7.28,7.26,7.26,1100,20220518
7.28,7.282,7.25,7.25,4867,20220518
7.26,7.26,7.26,7.26,300,20220518
7.26,7.275,7.26,7.275,451,20220518
7.28,7.33,7.27,7.3,19573,20220518
7.305,7.32,7.305,7.311,2108,20220518
7.311,7.36,7.31,7.34,3653,20220518
7.33,7.34,7.31,7.31,2500,20220518
7.3,7.31,7.28,7.3,3458,20220518
7.301,7.35,7.301,7.328,4235,20220518
7.335,7.35,7.335,7.35,2800,20220518
7.376,7.376,7.376,7.376,1000,20220518
7.4,7.41,7.37,7.41,7205,20220518
7.4,7.4,7.4,7.4,654,20220518
7.395,7.395,7.395,7.395,100,20220518
7.4,7.43,7.4,7.42,1153,20220518
7.41,7.41,7.3901,7.41,620,20220518
7.4,7.4,7.37,7.37,1000,20220518
7.36,7.37,7.34,7.355,3710,20220518
7.34,7.34,7.33,7.335,600,20220518
7.33,7.33,7.32,7.32,600,20220518
7.32,7.32,7.312,7.312,500,20220518
7.31,7.33,7.31,7.33,1365,20220518
7.33,7.33,7.31,7.31,1281,20220518
7.3,7.32,7.29,7.32,1976,20220518
7.32,7.35,7.32,7.35,400,20220518
7.34,7.342,7.33,7.34,1928,20220518
7.35,7.36,7.34,7.34,1811,20220518
7.35,7.36,7.35,7.35,3849,20220518
7.37,7.38,7.36,7.36,1500,20220518
7.35,7.38,7.35,7.38,1763,20220518
7.38,7.38,7.36,7.36,1137,20220518
7.37,7.37,7.37,7.37,200,20220518
7.35,7.35,7.34,7.35,2300,20220518
7.35,7.35,7.35,7.35,100,20220518
7.35,7.39,7.35,7.39,600,20220518
7.38,7.39,7.37,7.39,1885,20220518
7.39,7.4,7.39,7.4,597,20220518
7.415,7.415,7.415,7.415,200,20220518
7.42,7.43,7.42,7.43,514,20220518
7.44,7.44,7.42,7.42,1145,20220518
7.42,7.43,7.42,7.43,769,20220518
7.435,7.435,7.42,7.42,1300,20220518
7.41,7.41,7.41,7.41,100,20220518
7.41,7.41,7.39,7.41,1902,20220518
7.43,7.43,7.42,7.43,400,20220518
7.44,7.44,7.43,7.43,417,20220518
7.43,7.44,7.43,7.44,304,20220518
7.43,7.43,7.415,7.415,526,20220518
7.415,7.42,7.41,7.41,2316,20220518
7.4,7.4,7.39,7.39,451,20220518
7.4,7.41,7.4,7.4,400,20220518
7.38,7.38,7.38,7.38,600,20220518
7.38,7.39,7.38,7.39,625,20220518
7.39,7.39,7.36,7.36,700,20220518
7.36,7.36,7.36,7.36,200,20220518
7.35,7.35,7.35,7.35,100,20220518
7.35,7.35,7.32,7.32,1184,20220518
7.33,7.33,7.33,7.33,888,20220518
7.32,7.32,7.32,7.32,100,20220518
7.34,7.34,7.34,7.34,200,20220518
7.33,7.33,7.32,7.32,625,20220518
7.33,7.33,7.315,7.315,717,20220518
7.32,7.32,7.31,7.31,200,20220518
7.31,7.31,7.31,7.31,100,20220518
7.3,7.3,7.3,7.3,200,20220518
7.3,7.3,7.3,7.3,300,20220518
7.3,7.3,7.292,7.292,800,20220518
7.3,7.3,7.3,7.3,100,20220518
7.31,7.31,7.31,7.31,1000,20220518
7.32,7.32,7.29,7.29,900,20220518
7.28,7.28,7.26,7.27,600,20220518
7.27,7.27,7.27,7.27,300,20220518
7.27,7.28,7.27,7.28,300,20220518
7.29,7.29,7.25,7.25,1146,20220518
7.26,7.28,7.26,7.28,900,20220518
7.29,7.31,7.29,7.31,2500,20220518
7.32,7.32,7.32,7.32,100,20220518
7.31,7.31,7.31,7.31,433,20220518
7.33,7.33,7.33,7.33,500,20220518
7.345,7.345,7.33,7.33,1316,20220518
7.33,7.33,7.31,7.31,900,20220518
7.31,7.32,7.31,7.32,600,20220518
7.34,7.34,7.34,7.34,216,20220518
7.34,7.35,7.34,7.35,869,20220518
7.34,7.34,7.33,7.33,1100,20220518
7.35,7.35,7.35,7.35,300,20220518
7.36,7.36,7.34,7.34,400,20220518
7.33,7.33,7.33,7.33,100,20220518
7.33,7.33,7.292,7.292,1818,20220518
7.31,7.33,7.31,7.33,500,20220518
7.31,7.31,7.31,7.31,1700,20220518
7.31,7.31,7.3,7.3,700,20220518
7.3,7.3,7.285,7.285,400,20220518
7.28,7.28,7.27,7.28,783,20220518
7.27,7.27,7.25,7.25,1000,20220518
7.26,7.26,7.26,7.26,200,20220518
7.27,7.27,7.25,7.255,3761,20220518
7.26,7.26,7.25,7.26,624,20220518
7.25,7.25,7.24,7.24,400,20220518
7.24,7.24,7.23,7.24,700,20220518
7.23,7.23,7.225,7.225,569,20220518
