open,high,low,close,volume,datetime
117.9,117.9,117.9,117.9,4559,20220518
117.37,117.65,117.09,117.09,1468,20220518
117.355,117.41,117.35,117.38,400,20220518
117.455,117.6,117.455,117.6,200,20220518
117.6,117.6,117.33,117.33,427,20220518
117.44,117.44,117.29,117.29,492,20220518
117.51,117.53,117.51,117.53,300,20220518
116.94,116.94,116.78,116.8825,461,20220518
116.885,117.0,116.825,116.825,300,20220518
116.76,116.92,116.75,116.92,550,20220518
117.05,117.05,117.05,117.05,100,20220518
117.03,117.14,116.89,117.14,1031,20220518
116.985,116.985,116.985,116.985,100,20220518
116.97,117.26,116.86,117.26,1130,20220518
117.15,117.15,117.15,117.15,100,20220518
117.19,117.19,117.19,117.19,207,20220518
117.16,117.28,116.7,116.7,803,20220518
116.555,116.63,116.555,116.63,772,20220518
116.69,116.74,116.68,116.72,1100,20220518
116.67,116.67,116.66,116.66,304,20220518
116.53,116.53,116.53,116.53,103,20220518
116.33,116.33,116.33,116.33,100,20220518
116.34,116.34,116.34,116.34,200,20220518
116.33,116.33,116.2,116.295,993,20220518
116.29,116.29,116.29,116.29,100,20220518
116.385,116.385,116.385,116.385,100,20220518
116.43,116.43,116.43,116.43,137,20220518
116.64,116.64,116.64,116.64,300,20220518
116.61,116.62,116.61,116.62,300,20220518
116.62,116.67,116.57,116.57,700,20220518
116.42,116.46,116.41,116.41,438,20220518
116.535,116.535,116.535,116.535,100,20220518
116.4,116.56,116.4,116.56,606,20220518
116.63,116.63,116.63,116.63,127,20220518
116.78,116.78,116.78,116.78,101,20220518
116.81,116.89,116.81,116.89,401,20220518
116.78,116.78,116.78,116.78,200,20220518
116.77,116.85,116.77,116.85,403,20220518
116.77,116.87,116.75,116.84,1575,20220518
116.89,116.89,116.81,116.81,512,20220518
116.78,116.81,116.76,116.81,401,20220518
116.69,116.71,116.64,116.64,558,20220518
116.625,116.625,116.625,116.625,100,20220518
116.74,116.74,116.74,116.74,100,20220518
116.665,116.665,116.665,116.665,105,20220518
116.63,116.63,116.61,116.61,203,20220518
116.4,116.4,116.32,116.32,303,20220518
116.27,116.27,116.27,116.27,101,20220518
116.115,116.26,116.115,116.26,405,20220518
116.19,116.19,116.19,116.19,101,20220518
116.13,116.13,116.08,116.08,1000,20220518
116.14,116.14,116.14,116.14,100,20220518
116.21,116.21,116.21,116.21,100,20220518
116.14,116.14,116.14,116.14,100,20220518
116.41,116.41,116.41,116.41,100,20220518
116.45,116.49,116.45,116.47,903,20220518
116.458,116.458,116.458,116.458,684,20220518
116.49,116.49,116.49,116.49,100,20220518
116.43,116.43,116.345,116.345,700,20220518
116.37,116.57,116.37,116.47,1100,20220518
116.44,116.44,116.44,116.44,463,20220518
116.39,116.39,116.39,116.39,100,20220518
116.27,116.28,116.27,116.28,200,20220518
116.29,116.29,116.29,116.29,300,20220518
116.28,116.28,116.28,116.28,100,20220518
116.31,116.31,116.29,116.31,500,20220518
116.27,116.27,116.27,116.27,100,20220518
116.23,116.35,116.23,116.35,600,20220518
116.4,116.4,116.4,116.4,100,20220518
116.58,116.58,116.58,116.58,200,20220518
116.635,116.635,116.6,116.6,300,20220518
116.63,116.67,116.61,116.64,700,20220518
116.58,116.58,116.53,116.53,300,20220518
116.49,116.51,116.41,116.41,400,20220518
116.37,116.37,116.37,116.37,100,20220518
116.3682,116.41,116.3682,116.41,249,20220518
116.45,116.45,116.44,116.45,471,20220518
116.5264,116.55,116.29,116.29,1277,20220518
116.27,116.3,116.26,116.3,600,20220518
