open,high,low,close,volume,datetime
58.89,59.12,58.89,59.12,53113,20220518
59.1,59.1,58.9,58.9,24047,20220518
58.88,59.02,58.88,58.91,1000,20220518
58.96,59.1,58.96,59.06,995,20220518
59.06,59.08,59.02,59.08,846,20220518
59.02,59.155,58.91,59.155,1102,20220518
59.26,59.26,59.06,59.13,1835,20220518
59.09,59.09,58.94,58.94,300,20220518
58.97,58.98,58.92,58.97,400,20220518
58.94,58.94,58.79,58.85,3100,20220518
58.84,58.87,58.83,58.85,500,20220518
58.89,58.89,58.8,58.8,998,20220518
58.78,58.78,58.67,58.69,700,20220518
58.69,58.81,58.66,58.8,896,20220518
58.83,58.83,58.78,58.78,1400,20220518
58.78,58.83,58.78,58.83,600,20220518
58.83,58.83,58.71,58.78,1713,20220518
58.79,58.86,58.755,58.86,2252,20220518
58.85,58.86,58.84,58.86,791,20220518
58.86,58.86,58.83,58.83,2185,20220518
58.85,58.9,58.82,58.82,1100,20220518
58.84,58.95,58.84,58.92,2821,20220518
58.9307,58.97,58.9307,58.97,1378,20220518
58.98,59.0,58.92,58.92,2653,20220518
58.91,58.94,58.9,58.94,1301,20220518
58.945,58.945,58.89,58.891,1600,20220518
58.9,58.901,58.9,58.901,200,20220518
58.9,58.935,58.875,58.935,3437,20220518
58.96,58.98,58.96,58.98,1021,20220518
58.96,58.96,58.94,58.94,700,20220518
58.94,59.04,58.94,59.0221,2474,20220518
59.02,59.07,59.02,59.06,1098,20220518
59.06,59.06,58.96,58.96,3015,20220518
58.95,58.97,58.95,58.97,2400,20220518
58.93,58.95,58.925,58.95,700,20220518
58.94,58.96,58.89,58.935,8258,20220518
58.96,59.03,58.96,58.98,2700,20220518
58.95,58.95,58.95,58.95,100,20220518
58.965,58.965,58.921,58.93,2571,20220518
58.92,58.93,58.891,58.93,4268,20220518
58.95,59.04,58.95,59.04,3107,20220518
59.07,59.09,59.05,59.07,8540,20220518
59.08,59.094,59.055,59.09,6081,20220518
59.08,59.1,59.02,59.04,14020,20220518
59.03,59.05,59.0,59.04,9620,20220518
59.04,59.13,59.0,59.13,2679,20220518
59.125,59.125,59.08,59.08,2687,20220518
59.07,59.074,59.04,59.04,4274,20220518
59.04,59.11,59.04,59.07,1804,20220518
59.04,59.05,59.01,59.05,2563,20220518
59.035,59.1,59.02,59.1,2490,20220518
59.09,59.09,59.05,59.05,1200,20220518
59.08,59.09,59.06,59.06,1913,20220518
59.05,59.11,59.05,59.07,14877,20220518
59.06,59.06,58.99,59.05,5659,20220518
59.055,59.07,59.03,59.06,4304,20220518
59.07,59.16,59.07,59.15,11895,20220518
59.15,59.15,59.12,59.13,22880,20220518
59.13,59.14,59.04,59.04,15581,20220518
59.03,59.04,58.96,58.96,6743,20220518
58.94,58.99,58.91,58.99,3666,20220518
58.99,59.04,58.99,59.02,2386,20220518
59.03,59.04,58.995,59.02,9418,20220518
59.01,59.05,58.99,59.04,1400,20220518
59.04,59.05,59.02,59.05,2295,20220518
59.05,59.06,59.0,59.0,2900,20220518
59.015,59.06,59.015,59.021,2077,20220518
59.04,59.15,59.04,59.12,10234,20220518
59.14,59.14,59.09,59.12,5066,20220518
59.115,59.13,59.1,59.12,4556,20220518
59.125,59.14,59.07,59.08,2300,20220518
59.06,59.17,59.06,59.16,4283,20220518
59.16,59.17,59.15,59.15,1700,20220518
59.16,59.24,59.16,59.24,2200,20220518
59.24,59.28,59.23,59.26,2400,20220518
59.26,59.26,59.12,59.15,10835,20220518
59.17,59.24,59.17,59.2,5680,20220518
59.195,59.23,59.17,59.18,23817,20220518
59.19,59.28,59.185,59.23,7011,20220518
59.23,59.23,59.22,59.22,400,20220518
59.2,59.21,59.18,59.21,1000,20220518
59.21,59.21,59.18,59.205,3737,20220518
59.18,59.22,59.18,59.2,1500,20220518
59.16,59.2,59.16,59.2,1218,20220518
