open,high,low,close,volume,datetime
230.52,231.26,230.37,231.03,12675,20220518
230.36,230.36,229.655,230.095,3553,20220518
230.31,230.43,230.0,230.31,700,20220518
230.47,230.47,230.47,230.47,100,20220518
230.49,230.49,230.1,230.22,719,20220518
230.38,230.44,230.38,230.44,978,20220518
230.78,231.03,230.78,231.03,404,20220518
231.15,231.15,230.64,230.65,1703,20220518
230.59,230.59,230.5,230.5,200,20220518
230.62,230.675,230.48,230.485,2133,20220518
230.32,230.32,230.32,230.32,108,20220518
230.29,230.77,230.29,230.77,500,20220518
230.69,230.7935,230.45,230.45,6183,20220518
230.38,230.57,230.33,230.51,3208,20220518
230.62,230.62,230.31,230.5082,7171,20220518
230.49,230.49,230.43,230.43,200,20220518
230.51,230.59,230.415,230.52,824,20220518
230.52,230.645,230.52,230.645,275,20220518
230.48,230.515,230.35,230.3997,842,20220518
230.37,230.37,230.1,230.1,933,20220518
229.95,230.165,229.95,229.99,400,20220518
229.83,229.87,229.72,229.87,1243,20220518
229.98,229.98,229.81,229.97,900,20220518
229.9957,230.09,229.9957,230.09,310,20220518
230.26,230.26,230.01,230.01,500,20220518
230.035,230.16,230.03,230.16,1277,20220518
230.09,230.35,230.09,230.35,1700,20220518
230.36,230.665,230.36,230.665,4109,20220518
230.625,230.65,230.47,230.65,1512,20220518
230.585,230.67,230.56,230.635,3138,20220518
230.625,230.6907,230.36,230.465,11717,20220518
230.435,230.52,230.34,230.49,1618,20220518
230.375,230.8,230.365,230.8,3973,20220518
230.705,230.83,230.705,230.83,1521,20220518
230.78,230.95,230.7,230.84,2310,20220518
230.74,230.745,230.63,230.7,3092,20220518
230.69,230.75,230.51,230.75,6611,20220518
230.77,230.83,230.695,230.695,800,20220518
230.76,231.295,230.695,231.065,7006,20220518
231.04,231.0975,230.705,230.855,1335,20220518
230.72,231.01,230.62,230.92,4255,20220518
230.915,231.14,230.85,231.14,3366,20220518
231.07,231.07,230.885,230.94,2325,20220518
230.9,231.13,230.9,231.13,300,20220518
231.15,231.15,231.05,231.1168,879,20220518
231.065,231.065,231.06,231.06,300,20220518
231.11,231.225,231.11,231.15,715,20220518
231.15,231.24,231.0675,231.0675,1000,20220518
230.985,231.24,230.98,231.185,3139,20220518
231.13,231.17,231.06,231.115,1512,20220518
231.06,231.45,231.06,231.45,11276,20220518
231.47,231.47,231.32,231.41,2902,20220518
231.35,231.49,231.315,231.315,5818,20220518
231.305,231.37,231.275,231.36,3917,20220518
231.325,231.49,231.32,231.395,4051,20220518
231.35,231.42,231.3,231.33,5169,20220518
231.31,231.38,231.29,231.38,2900,20220518
231.39,231.39,231.21,231.25,9872,20220518
231.245,231.41,231.21,231.28,5537,20220518
231.3,231.4813,231.285,231.38,2138,20220518
231.33,231.33,231.02,231.02,1403,20220518
230.57,230.62,230.57,230.605,396,20220518
230.66,231.11,230.66,231.11,2161,20220518
231.14,231.43,231.12,231.425,5160,20220518
231.39,231.845,231.39,231.81,5457,20220518
231.73,231.73,230.985,231.08,2206,20220518
230.975,231.08,230.9089,231.07,615,20220518
231.12,231.2077,231.03,231.14,600,20220518
230.96,231.4599,230.92,231.4599,3185,20220518
231.25,231.25,231.125,231.125,1000,20220518
231.2,231.28,231.2,231.28,300,20220518
231.29,231.4,231.25,231.25,940,20220518
231.2,231.2,231.08,231.08,300,20220518
231.2,231.27,231.16,231.16,500,20220518
231.14,231.22,231.14,231.22,401,20220518
231.32,231.33,231.3,231.3,524,20220518
231.3,231.31,231.23,231.31,575,20220518
231.3,231.3,231.28,231.28,400,20220518
231.19,231.28,231.16,231.16,600,20220518
230.97,231.045,230.97,231.045,640,20220518
231.0,231.54,230.98,231.26,17465,20220518
231.22,231.33,230.94,230.94,3391,20220518
231.01,231.04,230.87,231.04,2615,20220518
231.06,231.06,231.035,231.035,231,20220518
231.07,231.1846,231.07,231.1846,391,20220518
231.23,231.3424,231.23,231.24,2110,20220518
231.34,231.745,231.28,231.64,3296,20220518
231.51,231.64,231.44,231.53,4614,20220518
231.46,231.46,231.29,231.29,1500,20220518
231.1989,231.3,231.17,231.274,1797,20220518
231.25,231.37,231.21,231.21,1563,20220518
231.2,231.2,231.16,231.16,700,20220518
231.12,231.13,231.0516,231.13,1061,20220518
231.085,231.13,230.94,231.02,2906,20220518
231.09,231.09,230.83,230.89,2250,20220518
230.936,231.08,230.936,231.08,1949,20220518
231.06,231.06,230.98,231.0,980,20220518
231.0,231.07,230.955,230.97,3071,20220518
230.88,230.88,230.825,230.825,400,20220518
230.82,230.84,230.82,230.835,300,20220518
230.86,230.86,230.86,230.86,150,20220518
230.84,230.8796,230.84,230.845,300,20220518
230.89,230.93,230.88,230.93,1196,20220518
230.91,231.1,230.69,230.69,3415,20220518
230.7088,230.755,230.68,230.735,700,20220518
230.68,230.75,230.66,230.71,3121,20220518
230.665,230.83,230.665,230.83,1953,20220518
230.845,231.02,230.76,231.02,2249,20220518
231.01,231.04,230.97,230.98,1807,20220518
230.98,231.06,230.975,231.04,929,20220518
230.975,231.29,230.87,231.29,4210,20220518
231.16,231.16,230.98,230.98,3726,20220518
230.995,231.165,230.975,231.145,1201,20220518
231.07,231.1,231.05,231.05,1078,20220518
231.05,231.1,231.0,231.045,1760,20220518
231.045,231.15,231.0,231.115,1712,20220518
231.18,231.18,231.03,231.05,1701,20220518
231.045,231.06,230.98,230.98,3384,20220518
230.95,231.355,230.95,231.355,3743,20220518
231.395,231.395,231.26,231.31,994,20220518
231.25,231.25,231.12,231.12,1216,20220518
231.16,231.2,231.05,231.15,1716,20220518
231.21,231.32,231.21,231.295,1187,20220518
231.25,231.3803,231.23,231.3803,1857,20220518
231.415,231.415,231.335,231.335,1064,20220518
231.37,231.37,231.23,231.23,728,20220518
231.23,231.26,231.19,231.25,1000,20220518
231.3,231.31,231.23,231.31,334,20220518
231.39,231.4,231.315,231.4,700,20220518
231.355,231.355,231.345,231.345,1100,20220518
231.37,231.5,231.37,231.5,703,20220518
231.415,231.65,231.34,231.62,5298,20220518
231.63,231.71,231.6,231.6,2669,20220518
231.69,231.74,231.62,231.71,4738,20220518
231.695,231.765,231.5,231.5,7890,20220518
