open,high,low,close,volume,datetime
63.14,63.14,62.6901,63.05,105478,20220518
63.07,63.11,62.97,62.99,9532,20220518
62.995,63.0808,62.91,63.0808,24132,20220518
63.06,63.24,63.06,63.18,31610,20220518
63.16,63.16,62.94,63.05,7638,20220518
63.04,63.12,62.96,63.09,12835,20220518
63.065,63.1,62.97,63.005,17832,20220518
63.01,63.1,62.92,63.1,25203,20220518
63.099,63.135,63.03,63.106,24557,20220518
63.06,63.14,63.04,63.064,21690,20220518
63.05,63.05,62.97,62.97,19966,20220518
62.98,63.0816,62.98,63.055,19359,20220518
63.06,63.2,63.04,63.2,28866,20220518
63.1949,63.33,63.16,63.29,34584,20220518
63.28,63.28,63.12,63.14,16936,20220518
63.15,63.23,63.12,63.12,31949,20220518
63.12,63.22,63.11,63.19,12508,20220518
63.17,63.205,63.15,63.15,16280,20220518
63.13,63.17,63.12,63.13,11900,20220518
63.13,63.19,63.121,63.15,19696,20220518
63.145,63.195,63.12,63.16,30848,20220518
63.16,63.165,63.06,63.07,16160,20220518
63.07,63.085,63.045,63.05,12919,20220518
63.04,63.085,63.01,63.08,17624,20220518
63.09,63.1382,63.03,63.11,20250,20220518
63.12,63.24,63.11,63.2188,22164,20220518
63.23,63.4,63.23,63.37,32722,20220518
63.37,63.42,63.34,63.36,16030,20220518
63.36,63.4,63.31,63.32,17051,20220518
63.305,63.42,63.3,63.37,35051,20220518
63.365,63.37,63.2,63.285,21492,20220518
63.28,63.29,63.1101,63.12,15260,20220518
63.115,63.13,63.05,63.13,10925,20220518
63.11,63.23,63.07,63.22,22692,20220518
63.2,63.305,63.2,63.305,17583,20220518
63.28,63.3,63.19,63.19,19097,20220518
63.185,63.2,63.08,63.08,10306,20220518
63.08,63.12,63.07,63.08,6658,20220518
63.089,63.09,63.06,63.09,8188,20220518
63.11,63.12,63.0883,63.1,14755,20220518
63.09,63.115,63.07,63.1,25506,20220518
63.105,63.16,63.08,63.1548,12821,20220518
63.17,63.17,63.115,63.115,10656,20220518
63.11,63.11,63.06,63.09,7215,20220518
63.08,63.1,63.035,63.09,10981,20220518
63.08,63.135,63.075,63.123,13572,20220518
63.12,63.155,63.08,63.15,11931,20220518
63.15,63.26,63.14,63.24,13569,20220518
63.22,63.24,63.11,63.195,203554,20220518
63.19,63.28,63.19,63.28,15776,20220518
63.27,63.34,63.24,63.34,15070,20220518
63.345,63.43,63.32,63.39,9260,20220518
63.39,63.45,63.34,63.35,11904,20220518
63.35,63.38,63.335,63.36,11520,20220518
63.35,63.47,63.35,63.465,6234,20220518
63.46,63.46,63.3,63.3,19642,20220518
63.29,63.305,63.25,63.25,6889,20220518
63.24,63.29,63.24,63.265,9032,20220518
63.26,63.29,63.245,63.26,8391,20220518
63.27,63.31,63.26,63.31,13989,20220518
63.32,63.33,63.27,63.29,13412,20220518
63.29,63.29,63.255,63.27,12254,20220518
63.27,63.31,63.25,63.29,7972,20220518
63.3,63.335,63.28,63.31,7842,20220518
63.305,63.35,63.305,63.35,9240,20220518
63.3417,63.36,63.31,63.31,13227,20220518
63.31,63.365,63.295,63.3341,14206,20220518
63.34,63.355,63.285,63.29,19142,20220518
63.29,63.33,63.28,63.32,9167,20220518
63.32,63.33,63.28,63.33,9766,20220518
63.33,63.34,63.31,63.335,5239,20220518
63.34,63.39,63.34,63.37,12317,20220518
63.37,63.42,63.35,63.375,13224,20220518
63.3714,63.44,63.37,63.44,9395,20220518
63.435,63.495,63.435,63.47,8206,20220518
63.46,63.5,63.46,63.49,6788,20220518
63.49,63.51,63.465,63.465,18535,20220518
63.47,63.485,63.44,63.455,16994,20220518
63.45,63.455,63.41,63.41,10153,20220518
63.42,63.46,63.4,63.415,8777,20220518
63.41,63.41,63.37,63.37,11450,20220518
63.365,63.41,63.35,63.4,9310,20220518
63.4,63.425,63.39,63.42,12591,20220518
63.43,63.44,63.415,63.42,7759,20220518
63.42,63.445,63.38,63.4,10739,20220518
63.405,63.42,63.37,63.4,19118,20220518
63.39,63.42,63.37,63.42,7801,20220518
63.42,63.43,63.38,63.385,10173,20220518
63.38,63.44,63.38,63.43,11472,20220518
63.435,63.49,63.43,63.47,11827,20220518
63.475,63.48,63.43,63.44,11094,20220518
63.45,63.48,63.445,63.475,12964,20220518
63.47,63.495,63.45,63.45,11556,20220518
63.45,63.46,63.45,63.455,18332,20220518
63.455,63.47,63.4,63.4,16147,20220518
63.41,63.475,63.41,63.46,9432,20220518
63.475,63.485,63.415,63.415,28108,20220518
63.415,63.425,63.4,63.405,28831,20220518
63.405,63.405,63.37,63.39,8642,20220518
63.395,63.4,63.36,63.36,11098,20220518
63.35,63.35,63.3,63.3,13006,20220518
63.3,63.36,63.3,63.355,6535,20220518
63.35,63.355,63.3425,63.345,1750,20220518
63.345,63.36,63.345,63.35,3736,20220518
63.345,63.355,63.3401,63.35,1784,20220518
63.355,63.355,63.34,63.345,3504,20220518
63.35,63.36,63.3,63.3,15713,20220518
63.3,63.32,63.3,63.31,12250,20220518
63.31,63.325,63.3,63.32,7898,20220518
63.315,63.375,63.31,63.36,8136,20220518
63.365,63.41,63.3519,63.41,10981,20220518
63.42,63.42,63.33,63.34,16460,20220518
63.32,63.35,63.32,63.33,6744,20220518
63.34,63.36,63.31,63.33,10318,20220518
63.335,63.3425,63.32,63.33,3026,20220518
63.325,63.36,63.32,63.36,4280,20220518
63.35,63.365,63.3401,63.36,7468,20220518
63.36,63.37,63.33,63.33,8021,20220518
63.33,63.355,63.32,63.355,10732,20220518
63.35,63.38,63.35,63.36,10667,20220518
63.37,63.38,63.29,63.29,6831,20220518
63.285,63.405,63.28,63.39,15072,20220518
63.38,63.385,63.37,63.37,4361,20220518
63.37,63.37,63.355,63.37,3351,20220518
63.37,63.373,63.36,63.37,2697,20220518
63.37,63.39,63.37,63.39,4407,20220518
63.385,63.395,63.3663,63.395,4125,20220518
63.39,63.44,63.38,63.44,14519,20220518
63.435,63.45,63.4,63.42,8644,20220518
63.42,63.43,63.395,63.42,14647,20220518
63.42,63.455,63.41,63.44,24010,20220518
63.46,63.46,63.42,63.45,34206,20220518
63.445,63.515,63.445,63.505,13185,20220518
63.505,63.505,63.45,63.47,9669,20220518
63.48,63.53,63.48,63.53,6467,20220518
63.53,63.535,63.49,63.49,12748,20220518
63.485,63.52,63.48,63.5,7643,20220518
63.51,63.52,63.45,63.46,12842,20220518
63.46,63.475,63.435,63.435,9198,20220518
63.435,63.48,63.435,63.4758,6503,20220518
63.475,63.5,63.46,63.49,11330,20220518
63.49,63.53,63.48,63.48,15609,20220518
63.48,63.49,63.47,63.47,9585,20220518
63.47,63.485,63.45,63.46,9895,20220518
63.46,63.48,63.44,63.455,9236,20220518
63.45,63.505,63.45,63.495,10874,20220518
63.5,63.51,63.48,63.505,5402,20220518
63.51,63.56,63.51,63.56,11358,20220518
63.57,63.575,63.53,63.53,16064,20220518
63.53,63.575,63.53,63.5705,6438,20220518
63.57,63.575,63.55,63.575,8099,20220518
63.57,63.61,63.56,63.595,15793,20220518
63.595,63.6,63.57,63.575,6681,20220518
63.58,63.595,63.575,63.58,9808,20220518
63.58,63.605,63.54,63.56,7628,20220518
63.56,63.56,63.52,63.5327,7044,20220518
63.535,63.58,63.53,63.55,14172,20220518
63.555,63.58,63.525,63.555,16164,20220518
63.555,63.555,63.51,63.52,8010,20220518
63.53,63.54,63.5,63.5,7852,20220518
63.505,63.53,63.48,63.48,11475,20220518
63.485,63.54,63.48,63.535,12193,20220518
63.535,63.535,63.475,63.475,13056,20220518
63.48,63.525,63.47,63.48,12989,20220518
63.49,63.525,63.48,63.505,33371,20220518
63.51,63.555,63.505,63.55,9627,20220518
63.55,63.62,63.54,63.6,15141,20220518
63.61,63.62,63.565,63.605,14900,20220518
63.6,63.6,63.5724,63.585,13945,20220518
63.58,63.58,63.53,63.535,15378,20220518
63.535,63.535,63.5101,63.53,9209,20220518
