open,high,low,close,volume,datetime
97.8,97.8,97.6,97.6,2618,20220518
97.22,97.31,97.22,97.31,339,20220518
97.48,97.5,97.48,97.5,1236,20220518
97.68,97.72,97.5825,97.5825,523,20220518
97.33,97.33,97.27,97.27,200,20220518
97.26,97.26,97.26,97.26,200,20220518
97.31,97.32,97.31,97.32,200,20220518
97.24,97.24,97.24,97.24,800,20220518
97.44,97.44,97.3375,97.3375,400,20220518
97.45,97.45,97.38,97.38,400,20220518
97.35,97.35,97.35,97.35,100,20220518
97.31,97.31,97.31,97.31,397,20220518
97.28,97.3,97.11,97.11,400,20220518
97.02,97.02,97.02,97.02,100,20220518
96.97,96.98,96.97,96.98,267,20220518
97.0522,97.0522,97.0522,97.0522,296,20220518
97.11,97.18,97.11,97.15,1573,20220518
97.12,97.12,97.08,97.08,200,20220518
97.0,97.0,96.955,96.955,500,20220518
97.05,97.18,97.05,97.085,816,20220518
97.06,97.06,96.94,96.95,400,20220518
96.98,97.005,96.98,97.005,368,20220518
97.005,97.005,97.005,97.005,100,20220518
97.09,97.1,96.94,96.94,594,20220518
96.9,96.94,96.9,96.94,700,20220518
96.91,96.91,96.9,96.9,300,20220518
96.95,97.02,96.94,96.94,1454,20220518
96.88,97.04,96.88,96.91,717,20220518
96.875,96.875,96.83,96.83,200,20220518
96.81,96.81,96.81,96.81,200,20220518
96.77,96.86,96.75,96.83,1652,20220518
96.91,96.955,96.87,96.955,717,20220518
96.91,96.91,96.91,96.91,100,20220518
97.02,97.02,97.0,97.0,300,20220518
96.98,96.98,96.89,96.9,1100,20220518
96.9,97.019,96.9,96.965,2103,20220518
96.98,96.98,96.98,96.98,100,20220518
96.99,97.065,96.9,96.95,1424,20220518
96.82,96.85,96.82,96.85,336,20220518
96.77,96.77,96.77,96.77,207,20220518
96.64,96.64,96.62,96.62,400,20220518
96.69,96.705,96.69,96.705,200,20220518
96.8,96.8,96.76,96.76,1103,20220518
96.82,96.82,96.77,96.77,500,20220518
96.74,96.74,96.74,96.74,100,20220518
96.73,96.785,96.73,96.785,209,20220518
96.85,96.85,96.85,96.85,100,20220518
