open,high,low,close,volume,datetime
35.83,35.83,35.5,35.55,150768,20220518
35.57,35.59,35.49,35.5,18232,20220518
35.51,35.55,35.47,35.5301,11929,20220518
35.56,35.56,35.49,35.505,8498,20220518
35.5,35.5,35.4,35.445,67399,20220518
35.44,35.45,35.36,35.435,52049,20220518
35.44,35.54,35.41,35.5306,54147,20220518
35.56,35.57,35.5,35.5,8902,20220518
35.49,35.54,35.45,35.45,13453,20220518
35.44,35.44,35.345,35.385,21405,20220518
35.38,35.38,35.26,35.285,22520,20220518
35.29,35.29,35.2,35.2,41425,20220518
35.2,35.2,35.16,35.18,24033,20220518
35.175,35.19,35.15,35.175,39266,20220518
35.17,35.205,35.11,35.18,53324,20220518
35.16,35.19,35.1,35.12,62046,20220518
35.12,35.195,35.115,35.17,41256,20220518
35.18,35.3075,35.1775,35.24,47919,20220518
35.235,35.29,35.2,35.2,32743,20220518
35.2,35.24,35.185,35.23,14496,20220518
35.24,35.29,35.23,35.25,20290,20220518
35.25,35.31,35.25,35.295,8305,20220518
35.29,35.36,35.285,35.3575,12037,20220518
35.365,35.365,35.31,35.33,14984,20220518
35.32,35.32,35.27,35.27,8700,20220518
35.25,35.25,35.22,35.22,3338,20220518
35.2,35.21,35.17,35.19,13682,20220518
35.19,35.1999,35.1102,35.15,9734,20220518
35.15,35.16,35.09,35.1,31381,20220518
35.09,35.11,35.02,35.05,33826,20220518
35.06,35.13,35.05,35.12,53655,20220518
35.115,35.1275,35.105,35.105,50359,20220518
35.105,35.13,35.105,35.1175,25683,20220518
35.1175,35.1175,35.08,35.08,21429,20220518
35.08,35.0885,35.0,35.01,15954,20220518
35.01,35.01,34.955,35.0,38968,20220518
35.0,35.04,34.995,35.0,20823,20220518
35.0,35.0,34.96,34.96,8400,20220518
34.9605,34.9605,34.89,34.8986,16865,20220518
34.9,34.9,34.83,34.84,26270,20220518
34.84,34.92,34.84,34.92,23613,20220518
34.9275,35.0,34.9275,34.99,22311,20220518
34.99,34.995,34.87,34.9,53828,20220518
34.89,34.98,34.82,34.845,103839,20220518
34.85,34.88,34.83,34.88,31127,20220518
34.89,34.95,34.88,34.935,64415,20220518
34.94,34.945,34.89,34.91,20005,20220518
34.89,34.91,34.86,34.89,28218,20220518
34.885,34.94,34.87,34.91,29537,20220518
34.91,34.91,34.875,34.875,22107,20220518
34.87,34.91,34.865,34.91,15437,20220518
34.92,34.92,34.885,34.89,16847,20220518
34.88,34.89,34.85,34.86,22539,20220518
34.85,34.85,34.8,34.8,8850,20220518
34.8,34.835,34.76,34.775,25531,20220518
34.77,34.77,34.725,34.725,10994,20220518
34.72,34.76,34.705,34.705,68491,20220518
34.7,34.7278,34.695,34.72,17695,20220518
34.72,34.74,34.675,34.68,8742,20220518
34.675,34.685,34.6,34.6,9741,20220518
34.59,34.595,34.51,34.575,32252,20220518
34.575,34.6,34.57,34.59,15002,20220518
34.585,34.615,34.57,34.59,14971,20220518
34.58,34.63,34.54,34.61,23984,20220518
34.6,34.61,34.595,34.605,3222,20220518
34.6,34.61,34.58,34.61,6011,20220518
34.61,34.63,34.6,34.6,11332,20220518
34.6,34.64,34.595,34.615,17196,20220518
34.625,34.66,34.6163,34.645,5120,20220518
34.645,34.655,34.62,34.645,4970,20220518
34.645,34.645,34.605,34.635,3477,20220518
34.635,34.69,34.635,34.69,12239,20220518
34.69,34.69,34.64,34.66,4962,20220518
34.655,34.685,34.655,34.685,3655,20220518
34.68,34.695,34.65,34.695,15919,20220518
34.69,34.7,34.655,34.66,8311,20220518
34.67,34.73,34.665,34.72,5683,20220518
34.715,34.72,34.685,34.685,5197,20220518
