open,high,low,close,volume,datetime
37.5,37.6,37.42,37.57,209096,20220518
37.56,37.62,37.42,37.54,52955,20220518
37.53,37.61,37.44,37.525,46254,20220518
37.52,37.705,37.43,37.7,70288,20220518
37.69,37.74,37.54,37.62,42010,20220518
37.6,37.72,37.49,37.68,52003,20220518
37.69,37.74,37.51,37.7224,52968,20220518
37.73,37.77,37.58,37.61,30745,20220518
37.6,37.69,37.56,37.57,32040,20220518
37.57,37.57,37.29,37.42,58499,20220518
37.41,37.43,37.26,37.295,52549,20220518
37.295,37.3705,37.285,37.34,22518,20220518
37.33,37.35,37.23,37.34,31933,20220518
37.345,37.355,37.24,37.305,78673,20220518
37.305,37.385,37.285,37.38,25402,20220518
37.375,37.435,37.31,37.43,44388,20220518
37.43,37.51,37.32,37.51,45850,20220518
37.5,37.59,37.44,37.56,53183,20220518
37.55,37.59,37.44,37.46,26899,20220518
37.45,37.49,37.42,37.49,24386,20220518
37.5,37.5,37.32,37.32,22089,20220518
37.31,37.42,37.3,37.37,25486,20220518
37.36,37.4,37.32,37.365,35766,20220518
37.36,37.43,37.32,37.33,29246,20220518
37.329,37.35,37.26,37.26,29094,20220518
37.25,37.34,37.2301,37.33,32526,20220518
37.31,37.315,37.225,37.23,28565,20220518
37.23,37.25,37.18,37.21,30099,20220518
37.205,37.26,37.175,37.23,23780,20220518
37.23,37.23,37.15,37.17,19053,20220518
37.17,37.31,37.16,37.31,44743,20220518
37.31,37.38,37.295,37.32,41870,20220518
37.31,37.35,37.29,37.35,33976,20220518
37.36,37.395,37.265,37.27,27744,20220518
37.27,37.28,37.215,37.23,28093,20220518
37.22,37.305,37.22,37.305,25782,20220518
37.31,37.34,37.28,37.285,17402,20220518
37.28,37.305,37.24,37.275,18158,20220518
37.2624,37.27,37.2,37.22,35176,20220518
37.2,37.205,37.13,37.16,36950,20220518
37.15,37.22,37.145,37.18,33770,20220518
37.18,37.18,37.0703,37.14,41868,20220518
37.14,37.15,37.06,37.09,22335,20220518
37.09,37.14,37.08,37.135,23665,20220518
37.13,37.18,37.115,37.175,20086,20220518
37.1701,37.225,37.1225,37.225,29149,20220518
37.2205,37.245,37.2008,37.24,25355,20220518
37.235,37.3,37.205,37.245,31603,20220518
37.24,37.27,37.19,37.23,33132,20220518
37.22,37.225,37.125,37.155,33043,20220518
37.14,37.235,37.135,37.19,33939,20220518
37.19,37.205,37.155,37.16,15330,20220518
37.16,37.18,37.13,37.13,31802,20220518
37.13,37.13,37.095,37.1,36520,20220518
37.09,37.125,37.04,37.06,36819,20220518
37.06,37.15,37.04,37.145,47262,20220518
37.14,37.205,37.12,37.15,35907,20220518
37.135,37.15,37.1,37.13,18532,20220518
37.14,37.15,37.12,37.13,20236,20220518
37.12,37.12,36.99,37.0,74807,20220518
36.985,37.005,36.94,36.99,49248,20220518
37.0,37.01,36.95,36.965,55302,20220518
36.965,37.02,36.955,36.995,29083,20220518
36.99,37.05,36.965,37.01,28207,20220518
37.005,37.005,36.9501,36.955,13896,20220518
36.95,36.965,36.88,36.935,79527,20220518
36.935,36.96,36.92,36.9484,63853,20220518
36.95,36.98,36.91,36.9119,33850,20220518
36.91,36.92,36.88,36.885,18022,20220518
36.8857,36.935,36.88,36.92,29412,20220518
36.91,36.91,36.8618,36.895,17716,20220518
36.89,36.97,36.8737,36.97,19468,20220518
36.965,36.97,36.93,36.945,37352,20220518
36.95,36.99,36.935,36.975,19177,20220518
36.97,36.99,36.94,36.975,16237,20220518
36.97,36.975,36.9,36.925,25676,20220518
36.9355,37.04,36.93,37.0,23860,20220518
36.98,37.015,36.9509,37.0,22546,20220518
37.01,37.1,37.01,37.045,37403,20220518
37.04,37.05,37.007,37.03,12654,20220518
37.03,37.04,36.995,37.02,10235,20220518
37.03,37.04,37.01,37.025,17934,20220518
37.02,37.05,37.005,37.005,56110,20220518
37.0066,37.04,36.99,37.025,25951,20220518
37.03,37.045,37.01,37.015,17320,20220518
37.01,37.01,36.955,36.97,31935,20220518
36.97,37.01,36.96,37.01,22344,20220518
37.015,37.095,37.015,37.09,24219,20220518
37.08,37.135,37.08,37.095,41831,20220518
37.09,37.165,37.075,37.165,31659,20220518
37.16,37.16,37.1,37.1,12809,20220518
37.095,37.12,37.05,37.05,13784,20220518
37.055,37.07,37.01,37.01,14390,20220518
37.01,37.025,36.95,36.955,20033,20220518
36.955,36.97,36.92,36.92,23030,20220518
36.92,36.95,36.91,36.945,16670,20220518
36.945,36.955,36.855,36.855,41074,20220518
36.855,36.86,36.83,36.85,26214,20220518
36.845,36.88,36.84,36.86,12317,20220518
36.85,36.87,36.83,36.85,28013,20220518
36.845,36.845,36.775,36.78,34987,20220518
36.77,36.7999,36.77,36.79,15141,20220518
36.79,36.8,36.785,36.791,7051,20220518
36.7923,36.797,36.78,36.79,9258,20220518
36.7999,36.8,36.78,36.785,4485,20220518
36.785,36.8,36.78,36.79,18371,20220518
36.7909,36.8,36.7024,36.7024,39912,20220518
36.7,36.72,36.68,36.705,59047,20220518
36.7,36.7,36.6316,36.64,19230,20220518
36.635,36.69,36.63,36.675,55370,20220518
36.675,36.68,36.6411,36.68,30771,20220518
36.675,36.675,36.62,36.62,15313,20220518
36.62,36.65,36.59,36.635,48760,20220518
36.635,36.68,36.615,36.635,31182,20220518
36.63,36.64,36.57,36.62,29802,20220518
36.62,36.715,36.615,36.705,21354,20220518
36.7,36.7,36.66,36.665,31391,20220518
36.665,36.69,36.655,36.66,39435,20220518
36.665,36.665,36.58,36.61,53116,20220518
36.605,36.605,36.53,36.575,27940,20220518
36.58,36.59,36.56,36.57,27578,20220518
36.565,36.7,36.555,36.69,38998,20220518
36.68,36.69,36.63,36.66,27308,20220518
36.665,36.69,36.655,36.68,15619,20220518
36.68,36.74,36.66,36.73,19940,20220518
36.7278,36.765,36.72,36.74,16203,20220518
36.735,36.78,36.71,36.775,40507,20220518
36.775,36.9,36.77,36.8722,51536,20220518
36.87,36.875,36.82,36.84,31823,20220518
36.845,36.85,36.785,36.785,26882,20220518
36.79,36.81,36.765,36.81,23549,20220518
36.805,36.915,36.8,36.9001,27692,20220518
36.9,36.905,36.865,36.891,22253,20220518
36.885,36.89,36.815,36.815,36993,20220518
36.805,36.88,36.805,36.88,21741,20220518
36.87,36.87,36.74,36.74,27510,20220518
36.75,36.785,36.745,36.755,20453,20220518
36.755,36.755,36.705,36.72,23388,20220518
36.715,36.73,36.69,36.72,40718,20220518
36.715,36.765,36.715,36.76,63186,20220518
36.755,36.825,36.72,36.825,45915,20220518
36.83,36.83,36.755,36.76,31928,20220518
36.75,36.755,36.72,36.725,23364,20220518
36.73,36.73,36.645,36.655,46202,20220518
36.65,36.67,36.57,36.57,34134,20220518
36.57,36.6,36.55,36.58,22190,20220518
36.58,36.615,36.57,36.57,31578,20220518
36.565,36.595,36.565,36.575,26480,20220518
36.57,36.57,36.49,36.51,41763,20220518
36.5,36.52,36.465,36.47,18903,20220518
36.455,36.48,36.45,36.46,29695,20220518
36.455,36.48,36.41,36.455,63045,20220518
36.4539,36.47,36.405,36.405,37868,20220518
36.41,36.445,36.375,36.4203,52796,20220518
36.43,36.45,36.39,36.4,38914,20220518
36.4,36.405,36.3166,36.325,22712,20220518
36.32,36.36,36.295,36.295,63803,20220518
36.295,36.335,36.28,36.32,43353,20220518
36.32,36.33,36.283,36.283,21315,20220518
36.285,36.29,36.25,36.29,49077,20220518
36.29,36.3304,36.24,36.32,57952,20220518
36.32,36.38,36.31,36.37,17906,20220518
36.375,36.375,36.34,36.355,26828,20220518
36.36,36.38,36.33,36.33,43436,20220518
36.3211,36.417,36.3211,36.41,18335,20220518
36.415,36.415,36.38,36.38,28258,20220518
36.38,36.38,36.33,36.33,223441,20220518
