open,high,low,close,volume,datetime
220.91,220.91,219.5538,219.5538,7407,20220518
221.58,221.97,221.01,221.05,1883,20220518
220.94,222.0,220.94,221.6705,1382,20220518
222.265,222.65,222.104,222.65,1213,20220518
222.71,223.06,221.69,222.265,3117,20220518
222.38,222.38,222.38,222.38,101,20220518
222.225,222.225,222.225,222.225,200,20220518
221.78,221.97,221.78,221.97,200,20220518
221.995,221.995,221.54,221.725,910,20220518
220.37,220.71,220.37,220.5525,1493,20220518
220.6,220.6,220.0,220.0,1000,20220518
220.29,220.29,219.76,219.76,400,20220518
218.79,219.27,218.4763,219.27,995,20220518
218.8,218.8,218.1,218.22,6349,20220518
218.92,219.495,218.92,219.495,3137,20220518
219.88,220.9,219.88,220.9,1200,20220518
221.05,221.05,219.08,219.83,5499,20220518
220.0,220.21,220.0,220.21,342,20220518
221.62,221.62,220.01,220.02,2200,20220518
219.7,220.0,219.46,219.46,429,20220518
220.75,220.875,220.75,220.875,900,20220518
220.55,221.22,220.55,221.045,2000,20220518
222.14,222.14,221.885,221.885,200,20220518
222.25,222.25,222.25,222.25,300,20220518
222.26,222.26,222.26,222.26,200,20220518
220.705,221.12,220.705,221.11,900,20220518
220.79,221.74,220.57,221.74,2056,20220518
221.915,221.915,221.74,221.74,200,20220518
222.16,222.81,222.1528,222.21,425,20220518
222.3834,223.62,222.3834,223.42,945,20220518
224.16,224.82,224.16,224.81,600,20220518
224.22,224.22,224.22,224.22,300,20220518
224.3,224.3,224.15,224.285,713,20220518
224.38,225.45,224.14,224.74,3620,20220518
224.83,225.445,224.63,224.77,2272,20220518
225.23,225.24,225.23,225.24,200,20220518
225.29,225.29,225.01,225.01,407,20220518
224.7867,225.01,224.35,224.445,1100,20220518
223.96,224.78,223.96,224.78,506,20220518
224.0,224.0,223.85,223.85,300,20220518
224.43,224.67,224.0518,224.49,700,20220518
224.18,224.715,224.18,224.5,1250,20220518
224.1,225.0,224.1,225.0,3550,20220518
225.0,225.45,224.5202,224.555,1703,20220518
224.69,225.03,224.4,225.01,1037,20220518
225.31,225.78,225.31,225.77,500,20220518
225.75,225.78,225.3,225.63,1976,20220518
225.85,226.41,225.8249,226.41,2600,20220518
226.4,226.71,226.23,226.57,2150,20220518
226.76,226.76,226.6,226.605,300,20220518
226.595,226.76,225.72,225.72,2357,20220518
225.72,225.72,224.535,224.535,2508,20220518
224.525,224.75,224.5,224.5443,1238,20220518
225.09,225.14,225.0,225.0,400,20220518
224.715,224.77,224.43,224.615,931,20220518
224.935,224.96,224.48,224.81,713,20220518
224.45,224.45,223.57,223.57,500,20220518
222.8421,223.35,222.8421,223.2176,800,20220518
223.105,223.13,223.095,223.13,1386,20220518
222.845,223.42,222.61,223.42,2576,20220518
223.2607,223.2607,222.7454,223.09,800,20220518
222.74,222.8466,222.19,222.19,1755,20220518
222.1006,222.36,222.1006,222.23,632,20220518
222.11,222.11,222.1057,222.1057,200,20220518
221.61,222.13,221.49,222.0,1024,20220518
222.2311,222.55,221.94,222.55,705,20220518
222.42,222.42,222.13,222.26,500,20220518
221.61,222.375,221.56,222.375,3450,20220518
222.54,222.74,222.465,222.74,10455,20220518
222.57,222.66,222.505,222.66,2300,20220518
222.46,222.665,222.0,222.045,1094,20220518
222.23,222.82,222.23,222.6,1879,20220518
222.23,222.73,222.16,222.71,1600,20220518
222.83,223.295,222.83,223.295,756,20220518
223.0,223.115,223.0,223.115,325,20220518
223.005,223.005,222.985,222.985,500,20220518
222.63,223.0599,222.63,223.0599,400,20220518
222.76,222.76,222.34,222.35,800,20220518
222.135,222.75,222.135,222.69,512,20220518
222.03,222.41,221.965,222.4,1000,20220518
221.78,221.78,221.33,221.33,500,20220518
221.61,221.9816,221.335,221.9816,900,20220518
222.18,222.36,222.18,222.36,327,20220518
222.445,222.445,222.445,222.445,100,20220518
222.445,222.445,221.97,222.102,732,20220518
221.84,221.84,221.515,221.595,1605,20220518
221.41,221.41,221.19,221.19,400,20220518
221.29,221.52,221.29,221.52,311,20220518
221.0,221.08,220.6501,220.6501,2398,20220518
220.86,220.86,220.86,220.86,100,20220518
221.08,221.08,220.74,220.74,1100,20220518
220.385,220.485,220.385,220.485,300,20220518
220.18,220.2,220.0,220.14,2550,20220518
219.88,219.915,219.88,219.915,200,20220518
219.9727,219.9727,219.9727,219.9727,200,20220518
219.28,219.28,219.28,219.28,100,20220518
219.28,219.31,219.28,219.29,400,20220518
219.28,219.28,219.28,219.28,200,20220518
219.32,219.32,219.27,219.27,200,20220518
219.375,219.375,219.3638,219.3638,423,20220518
219.25,219.4,218.64,218.645,6402,20220518
218.42,218.55,218.42,218.42,500,20220518
218.07,218.07,217.66,217.69,593,20220518
217.9592,217.9592,217.83,217.83,1100,20220518
217.67,217.67,217.23,217.285,1549,20220518
216.8801,217.27,216.8801,217.27,300,20220518
217.11,217.33,217.11,217.33,450,20220518
217.25,217.27,217.155,217.155,300,20220518
216.88,217.0,216.43,216.82,1305,20220518
217.0,217.1,216.7,217.1,1200,20220518
216.9338,216.9338,216.75,216.75,500,20220518
216.805,216.805,216.67,216.67,200,20220518
216.56,216.64,216.15,216.15,900,20220518
215.98,216.015,215.57,215.7,1661,20220518
215.785,216.01,215.785,215.945,1927,20220518
215.76,215.76,215.76,215.76,100,20220518
215.515,215.515,215.515,215.515,200,20220518
215.4133,215.65,215.35,215.49,1407,20220518
215.285,215.79,215.285,215.79,600,20220518
215.51,216.29,215.51,216.29,1207,20220518
216.53,216.54,216.21,216.21,1073,20220518
216.27,216.27,216.19,216.19,536,20220518
216.06,216.06,216.06,216.06,100,20220518
216.045,216.37,216.045,216.37,1022,20220518
216.69,216.69,216.425,216.69,793,20220518
216.4626,216.4626,216.1,216.1,933,20220518
215.94,216.175,215.94,216.175,600,20220518
216.1577,216.1577,215.85,216.0,720,20220518
215.615,215.625,215.615,215.625,400,20220518
215.36,215.4502,214.66,214.66,6311,20220518
214.79,214.94,214.265,214.33,5315,20220518
214.6204,214.6204,214.37,214.37,1800,20220518
214.64,215.14,214.59,215.14,1714,20220518
214.96,215.1,214.69,214.69,929,20220518
214.94,215.015,214.94,215.015,200,20220518
214.74,215.0,214.2,214.5,3000,20220518
214.33,214.33,213.67,213.67,1192,20220518
213.6,213.91,213.44,213.77,2004,20220518
213.8212,214.0,213.68,213.885,2339,20220518
214.0,214.0,213.77,213.96,520,20220518
