open,high,low,close,volume,datetime
4.06,4.06,4.02,4.025,28054,20220518
4.025,4.025,4.015,4.015,6423,20220518
4.02,4.04,4.02,4.0375,16091,20220518
4.035,4.05,4.035,4.05,1700,20220518
4.0494,4.07,4.045,4.07,15400,20220518
4.07,4.09,4.065,4.09,12718,20220518
4.09,4.1,4.08,4.085,24809,20220518
4.095,4.095,4.09,4.09,4013,20220518
4.085,4.09,4.08,4.08,2728,20220518
4.085,4.085,4.075,4.075,2889,20220518
4.075,4.075,4.065,4.065,7651,20220518
4.07,4.08,4.07,4.07,2960,20220518
4.07,4.075,4.07,4.07,2673,20220518
4.075,4.085,4.07,4.08,5558,20220518
4.09,4.09,4.085,4.09,3204,20220518
4.095,4.105,4.095,4.105,90257,20220518
4.105,4.115,4.1,4.11,9047,20220518
4.11,4.12,4.11,4.12,15940,20220518
4.12,4.125,4.105,4.12,99600,20220518
4.12,4.1285,4.12,4.1285,1600,20220518
4.12,4.12,4.11,4.11,10320,20220518
4.1,4.11,4.1,4.1,1000,20220518
4.1,4.1,4.085,4.09,29552,20220518
4.095,4.095,4.09,4.09,2000,20220518
4.09,4.095,4.09,4.095,800,20220518
4.095,4.105,4.09,4.105,11163,20220518
4.1,4.105,4.1,4.1,800,20220518
4.1,4.1,4.08,4.08,23597,20220518
4.085,4.09,4.08,4.09,2100,20220518
4.085,4.085,4.08,4.08,958,20220518
4.08,4.095,4.08,4.095,12578,20220518
4.0962,4.1,4.095,4.095,4345,20220518
4.0943,4.1,4.0943,4.1,2809,20220518
4.1,4.11,4.1,4.11,4776,20220518
4.11,4.115,4.11,4.115,3868,20220518
4.11,4.115,4.1,4.11,7887,20220518
4.11,4.115,4.11,4.11,525,20220518
4.11,4.11,4.1,4.1,4759,20220518
4.1099,4.1099,4.09,4.09,3417,20220518
4.095,4.095,4.085,4.095,5554,20220518
4.09,4.1,4.09,4.1,1000,20220518
4.095,4.095,4.09,4.095,2627,20220518
4.095,4.095,4.085,4.085,3191,20220518
4.09,4.09,4.085,4.085,2009,20220518
