open,high,low,close,volume,datetime
12.15,12.18,11.965,11.965,158048,20220518
11.955,11.97,11.79,11.81,64948,20220518
11.815,11.85,11.72,11.75,58556,20220518
11.74,11.78,11.7,11.74,44940,20220518
11.74,11.84,11.7,11.7,44198,20220518
11.7,11.89,11.67,11.875,70981,20220518
11.875,11.875,11.71,11.72,84350,20220518
11.71,11.72,11.64,11.66,107668,20220518
11.645,11.72,11.645,11.685,39612,20220518
11.69,11.7,11.62,11.66,49647,20220518
11.649,11.655,11.59,11.645,37505,20220518
11.65,11.665,11.595,11.61,30868,20220518
11.6,11.71,11.6,11.69,105458,20220518
11.69,11.74,11.67,11.7156,30653,20220518
11.72,11.7681,11.71,11.735,22415,20220518
11.73,11.76,11.715,11.755,42920,20220518
11.755,11.885,11.755,11.82,36461,20220518
11.83,11.96,11.825,11.95,36411,20220518
11.95,11.98,11.935,11.96,29080,20220518
11.96,11.985,11.911,11.9335,18562,20220518
11.945,11.95,11.8924,11.905,21157,20220518
11.9,11.95,11.89,11.9412,14251,20220518
11.94,12.005,11.925,12.005,18413,20220518
12.005,12.0611,12.005,12.0611,24593,20220518
12.065,12.1101,12.05,12.085,31993,20220518
12.0817,12.09,12.03,12.03,19844,20220518
12.031,12.035,11.97,11.97,19864,20220518
11.98,12.02,11.97,12.01,58974,20220518
12.0,12.0326,11.99,12.025,37248,20220518
12.025,12.03,11.99,12.01,18153,20220518
12.02,12.085,12.02,12.085,28340,20220518
12.09,12.16,12.085,12.16,52801,20220518
12.165,12.185,12.15,12.17,46540,20220518
12.16,12.16,12.11,12.12,47504,20220518
12.115,12.16,12.115,12.14,23843,20220518
12.135,12.135,12.06,12.07,28948,20220518
12.07,12.07,12.025,12.025,22152,20220518
12.03,12.04,11.99,12.02,28552,20220518
12.02,12.02,11.98,12.0,21884,20220518
12.0,12.01,11.96,11.99,15818,20220518
12.0,12.04,11.995,12.005,6920,20220518
12.01,12.02,11.995,12.01,10419,20220518
12.02,12.025,11.9825,11.99,16620,20220518
11.99,12.025,11.99,11.995,21930,20220518
11.99,12.04,11.975,12.03,19248,20220518
12.025,12.05,12.005,12.0401,9708,20220518
12.04,12.05,12.025,12.03,3700,20220518
12.02,12.04,12.015,12.015,10427,20220518
12.01,12.04,12.0,12.04,12910,20220518
12.015,12.0299,11.995,12.025,8912,20220518
12.025,12.1,12.025,12.075,9985,20220518
12.08,12.08,12.04,12.07,36187,20220518
12.065,12.1,12.065,12.08,5909,20220518
12.08,12.08,12.025,12.04,47328,20220518
12.045,12.085,12.02,12.06,26000,20220518
12.065,12.125,12.06,12.115,21149,20220518
12.12,12.14,12.11,12.1299,8056,20220518
12.12,12.125,12.095,12.105,5700,20220518
12.11,12.11,12.09,12.09,6432,20220518
12.085,12.085,12.04,12.04,15383,20220518
12.03,12.035,11.995,11.9999,48006,20220518
12.0,12.005,11.96,11.96,14059,20220518
11.96,12.0,11.955,11.975,7900,20220518
11.97,11.99,11.955,11.97,21839,20220518
11.96,11.96,11.94,11.96,8547,20220518
11.96,11.96,11.92,11.936,9090,20220518
11.94,11.96,11.94,11.94,18183,20220518
11.95,11.97,11.93,11.93,11604,20220518
11.93,11.93,11.9,11.91,17608,20220518
11.915,11.939,11.91,11.939,14154,20220518
11.935,11.95,11.91,11.92,15972,20220518
11.92,11.935,11.905,11.92,11174,20220518
11.93,11.93,11.9,11.91,40799,20220518
11.91,11.92,11.905,11.91,8300,20220518
11.9,11.92,11.895,11.91,69798,20220518
11.91,11.92,11.895,11.92,28572,20220518
11.92,11.9717,11.915,11.9717,17902,20220518
11.97,11.97,11.93,11.95,18315,20220518
11.945,11.97,11.945,11.95,7823,20220518
11.95,11.95,11.92,11.94,16807,20220518
11.95,11.98,11.945,11.965,8496,20220518
11.97,11.975,11.95,11.965,7495,20220518
11.96,11.97,11.955,11.96,6216,20220518
11.95,11.96,11.94,11.945,9072,20220518
11.95,11.96,11.925,11.935,8895,20220518
11.935,11.94,11.92,11.92,13766,20220518
11.925,11.93,11.9,11.925,10929,20220518
11.925,11.96,11.925,11.96,10023,20220518
11.955,11.99,11.955,11.97,16433,20220518
11.965,11.995,11.965,11.995,4448,20220518
11.995,12.0,11.97,11.98,11579,20220518
11.97,11.97,11.93,11.94,18618,20220518
11.95,11.9587,11.925,11.925,10685,20220518
11.925,11.9367,11.9128,11.915,47039,20220518
11.91,11.93,11.895,11.91,48907,20220518
11.9,11.91,11.895,11.895,55781,20220518
11.895,11.905,11.825,11.83,63710,20220518
11.825,11.83,11.82,11.83,5401,20220518
11.825,11.835,11.815,11.835,18265,20220518
11.835,11.835,11.815,11.835,8163,20220518
11.835,11.835,11.77,11.78,84768,20220518
11.775,11.79,11.77,11.775,19218,20220518
11.785,11.79,11.775,11.79,6078,20220518
11.79,11.79,11.785,11.79,2425,20220518
11.785,11.79,11.785,11.79,2400,20220518
11.79,11.79,11.785,11.785,2300,20220518
11.79,11.79,11.77,11.77,18831,20220518
11.77,11.7799,11.77,11.775,6930,20220518
11.77,11.77,11.7455,11.7455,22973,20220518
11.745,11.77,11.74,11.77,20136,20220518
11.765,11.765,11.71,11.735,34386,20220518
11.74,11.745,11.715,11.715,38777,20220518
11.715,11.715,11.69,11.69,45671,20220518
11.69,11.72,11.675,11.705,34512,20220518
11.705,11.75,11.705,11.75,12700,20220518
11.77,11.785,11.76,11.76,12261,20220518
11.755,11.77,11.74,11.77,7437,20220518
