open,high,low,close,volume,datetime
103.08,103.08,103.08,103.08,7133,20220518
103.02,103.02,102.85,102.85,200,20220518
103.0,103.0,102.99,102.99,600,20220518
103.04,103.04,102.89,102.89,1100,20220518
103.175,103.28,103.1476,103.1476,400,20220518
103.29,103.3988,103.29,103.3988,917,20220518
103.17,103.17,103.061,103.061,710,20220518
102.82,102.88,102.81,102.86,956,20220518
102.8301,102.95,102.8301,102.95,700,20220518
103.0,103.0,102.875,102.94,1594,20220518
102.99,102.99,102.99,102.99,196,20220518
102.825,102.825,102.825,102.825,100,20220518
102.76,102.81,102.58,102.7063,1100,20220518
102.65,102.77,102.65,102.77,577,20220518
102.58,102.79,102.58,102.79,1004,20220518
102.82,102.87,102.7133,102.7133,600,20220518
102.615,102.82,102.615,102.82,481,20220518
102.91,102.91,102.91,102.91,360,20220518
102.88,103.09,102.88,103.09,1034,20220518
103.06,103.06,102.93,102.93,200,20220518
102.92,102.92,102.92,102.92,100,20220518
102.73,102.8125,102.73,102.8125,300,20220518
102.91,102.91,102.76,102.784,801,20220518
102.71,102.78,102.61,102.61,498,20220518
102.77,102.77,102.77,102.77,754,20220518
102.815,102.815,102.78,102.78,401,20220518
102.855,102.855,102.855,102.855,100,20220518
102.87,103.085,102.87,103.085,400,20220518
103.07,103.07,103.07,103.07,200,20220518
103.055,103.055,103.055,103.055,100,20220518
103.045,103.13,102.97,103.02,2912,20220518
103.06,103.06,102.98,103.0,400,20220518
102.89,102.89,102.89,102.89,100,20220518
102.94,102.94,102.91,102.91,900,20220518
102.9,102.9,102.73,102.75,3107,20220518
102.82,102.82,102.79,102.79,762,20220518
102.84,102.9,102.81,102.9,543,20220518
102.83,102.87,102.75,102.87,400,20220518
102.89,102.89,102.745,102.84,495,20220518
102.74,102.78,102.7,102.7,503,20220518
102.63,102.79,102.63,102.79,301,20220518
102.73,102.83,102.73,102.83,271,20220518
102.77,102.77,102.66,102.66,331,20220518
102.59,102.69,102.59,102.69,797,20220518
102.67,102.77,102.61,102.67,1100,20220518
102.74,102.77,102.64,102.64,800,20220518
