open,high,low,close,volume,datetime
38.25,38.34,38.01,38.01,141316,20220518
38.01,38.24,38.01,38.2,41266,20220518
38.2,38.253,38.06,38.06,15972,20220518
38.02,38.02,37.87,37.885,34936,20220518
37.87,37.875,37.76,37.81,30739,20220518
37.81,37.9082,37.78,37.78,34260,20220518
37.79,37.89,37.78,37.802,25471,20220518
37.81,37.83,37.77,37.8299,17962,20220518
37.83,37.855,37.67,37.67,19175,20220518
37.66,37.68,37.55,37.55,47840,20220518
37.55,37.6,37.5134,37.5134,15665,20220518
37.52,37.56,37.49,37.54,19284,20220518
37.52,37.64,37.52,37.63,25523,20220518
37.63,37.69,37.625,37.6282,13201,20220518
37.64,37.73,37.64,37.72,17199,20220518
37.7,37.78,37.665,37.77,30533,20220518
37.76,37.81,37.73,37.78,33041,20220518
37.77,37.86,37.77,37.84,18541,20220518
37.83,37.86,37.78,37.8,14637,20220518
37.79,37.86,37.79,37.84,20127,20220518
37.845,37.85,37.65,37.66,25742,20220518
37.655,37.72,37.621,37.6399,28919,20220518
37.64,37.72,37.624,37.68,13889,20220518
37.68,37.73,37.665,37.72,20668,20220518
37.72,37.725,37.63,37.685,30300,20220518
37.675,37.6797,37.5609,37.595,21437,20220518
37.6,37.6,37.5,37.51,14877,20220518
37.52,37.5204,37.435,37.48,37290,20220518
37.48,37.48,37.41,37.44,15438,20220518
37.45,37.51,37.44,37.51,19207,20220518
37.5,37.6,37.45,37.56,25990,20220518
37.57,37.61,37.51,37.52,22410,20220518
37.52,37.56,37.5,37.55,8472,20220518
37.54,37.6,37.515,37.585,16373,20220518
37.585,37.63,37.55,37.56,20344,20220518
37.55,37.6,37.53,37.5599,13648,20220518
37.56,37.59,37.53,37.55,21419,20220518
37.55,37.55,37.42,37.515,46190,20220518
37.515,37.52,37.46,37.52,17475,20220518
37.515,37.525,37.425,37.425,8042,20220518
37.4196,37.425,37.3682,37.4,21279,20220518
37.41,37.43,37.32,37.37,12079,20220518
37.365,37.39,37.31,37.32,10965,20220518
37.32,37.3901,37.32,37.35,10669,20220518
37.36,37.4,37.35,37.395,6064,20220518
37.39,37.4,37.34,37.34,7557,20220518
37.335,37.345,37.28,37.345,26706,20220518
37.33,37.39,37.3,37.345,9229,20220518
37.33,37.36,37.31,37.31,3640,20220518
37.31,37.335,37.28,37.28,14894,20220518
37.27,37.33,37.27,37.315,33768,20220518
37.32,37.32,37.29,37.32,31159,20220518
37.3138,37.37,37.31,37.35,12864,20220518
37.35,37.35,37.29,37.29,9907,20220518
37.285,37.29,37.24,37.28,13592,20220518
37.27,37.285,37.205,37.205,8255,20220518
37.2,37.29,37.2,37.27,13483,20220518
37.255,37.255,37.19,37.1925,9019,20220518
37.195,37.2,37.115,37.12,9609,20220518
37.12,37.16,37.09,37.13,13926,20220518
37.12,37.25,37.12,37.205,22846,20220518
37.21,37.26,37.19,37.2,24031,20220518
37.2,37.2,37.12,37.13,10042,20220518
37.145,37.25,37.14,37.22,40386,20220518
37.205,37.23,37.18,37.2,15875,20220518
37.19,37.2078,37.12,37.13,13405,20220518
37.13,37.16,37.0655,37.07,18492,20220518
37.06,37.08,37.02,37.03,16126,20220518
37.045,37.13,37.03,37.1,12324,20220518
37.1,37.16,37.08,37.16,10404,20220518
37.15,37.19,37.13,37.19,11839,20220518
37.18,37.28,37.17,37.28,22310,20220518
37.27,37.29,37.215,37.22,19302,20220518
37.24,37.265,37.185,37.195,13275,20220518
37.2,37.215,37.15,37.15,8443,20220518
37.125,37.195,37.11,37.19,18856,20220518
37.19,37.23,37.175,37.185,30008,20220518
37.168,37.19,37.135,37.18,10763,20220518
37.175,37.21,37.13,37.15,15483,20220518
37.15,37.175,37.08,37.11,18546,20220518
37.11,37.11,37.0,37.01,23797,20220518
37.015,37.04,36.995,36.995,13323,20220518
37.0,37.015,36.96,36.96,8950,20220518
36.98,37.03,36.96,36.97,10740,20220518
36.96,37.0,36.95,36.99,11095,20220518
36.98,37.02,36.98,36.9913,6245,20220518
36.96,36.99,36.945,36.97,6233,20220518
36.98,37.03,36.98,37.03,6888,20220518
37.03,37.07,37.02,37.0399,8683,20220518
37.04,37.08,37.02,37.05,7327,20220518
37.045,37.045,37.0,37.01,11485,20220518
37.0,37.035,37.0,37.03,4958,20220518
37.035,37.05,37.0,37.005,13499,20220518
37.0,37.02,36.96,36.99,20842,20220518
36.99,37.015,36.9176,36.92,14964,20220518
36.915,36.93,36.89,36.92,9737,20220518
36.91,36.91,36.82,36.83,9950,20220518
36.83,36.88,36.805,36.87,9868,20220518
36.865,36.87,36.82,36.83,8520,20220518
36.82,36.84,36.79,36.79,6152,20220518
36.78,36.8,36.705,36.71,109799,20220518
36.7,36.735,36.69,36.73,5876,20220518
36.72,36.73,36.72,36.7208,4528,20220518
36.73,36.73,36.72,36.722,1241,20220518
36.725,36.73,36.72,36.7201,4058,20220518
36.72,36.72,36.69,36.71,3567,20220518
36.71,36.72,36.53,36.53,34657,20220518
36.53,36.54,36.45,36.47,19140,20220518
36.47,36.47,36.41,36.42,23947,20220518
36.42,36.45,36.42,36.43,8820,20220518
36.4298,36.43,36.31,36.32,32682,20220518
36.32,36.34,36.25,36.28,43939,20220518
36.28,36.35,36.24,36.26,50789,20220518
36.26,36.28,36.18,36.25,17071,20220518
36.24,36.2717,36.221,36.2678,4835,20220518
36.25,36.27,36.18,36.23,16633,20220518
36.22,36.23,36.16,36.205,10740,20220518
36.22,36.23,36.13,36.15,21912,20220518
36.13,36.19,36.11,36.17,20897,20220518
36.17,36.18,36.13,36.17,12584,20220518
36.16,36.19,36.14,36.16,12083,20220518
36.1581,36.29,36.15,36.26,26279,20220518
36.2586,36.26,36.16,36.16,15073,20220518
36.155,36.225,36.155,36.18,28598,20220518
36.17,36.23,36.16,36.215,50507,20220518
36.2199,36.33,36.2,36.32,20613,20220518
36.32,36.36,36.3,36.3,18947,20220518
36.29,36.315,36.2519,36.315,10126,20220518
36.3332,36.36,36.26,36.32,18931,20220518
36.32,36.32,36.24,36.28,5842,20220518
36.27,36.3,36.24,36.24,11918,20220518
36.245,36.33,36.245,36.33,7040,20220518
36.33,36.34,36.27,36.31,13369,20220518
36.3,36.3,36.195,36.2,10067,20220518
36.2,36.29,36.2,36.27,6916,20220518
36.26,36.27,36.16,36.17,18292,20220518
36.17,36.23,36.17,36.2,6664,20220518
36.2,36.2,36.11,36.125,23748,20220518
36.12,36.13,36.03,36.045,24835,20220518
36.05,36.13,36.05,36.1005,19554,20220518
36.1,36.13,36.07,36.125,5745,20220518
36.13,36.16,36.12,36.13,9835,20220518
36.13,36.145,36.11,36.115,10550,20220518
36.1023,36.105,36.04,36.065,15259,20220518
36.06,36.08,36.01,36.01,7527,20220518
36.01,36.0444,35.99,36.03,28151,20220518
36.03,36.11,36.03,36.07,11645,20220518
36.07,36.12,36.06,36.09,11129,20220518
36.1,36.11,36.06,36.08,8289,20220518
36.05,36.1,36.05,36.07,6016,20220518
36.07,36.07,36.04,36.04,5910,20220518
36.04,36.07,36.01,36.04,18653,20220518
36.04,36.05,36.01,36.01,10792,20220518
36.01,36.03,35.995,35.995,4677,20220518
36.015,36.015,35.9566,35.9578,5023,20220518
35.955,35.955,35.87,35.87,17376,20220518
35.88,35.89,35.85,35.85,11530,20220518
35.85,35.87,35.8275,35.86,9856,20220518
35.8403,35.87,35.825,35.835,8440,20220518
35.84,35.8719,35.82,35.87,6775,20220518
35.86,35.89,35.82,35.89,7461,20220518
35.89,35.945,35.87,35.9402,27891,20220518
35.95,35.96,35.89,35.94,8528,20220518
35.94,35.985,35.94,35.97,11761,20220518
35.975,36.035,35.96,36.02,12842,20220518
36.02,36.08,35.98,36.07,8396,20220518
36.07,36.19,36.07,36.15,20872,20220518
36.155,36.16,36.125,36.1328,12468,20220518
36.12,36.125,36.055,36.06,9676,20220518
36.06,36.07,36.04,36.06,8893,20220518
36.07,36.07,35.99,35.99,7603,20220518
35.98,35.98,35.89,35.89,17150,20220518
35.9,35.94,35.885,35.89,8485,20220518
35.89,35.91,35.85,35.87,14960,20220518
35.8646,35.89,35.785,35.785,18616,20220518
35.79,35.85,35.79,35.83,21961,20220518
35.81,35.81,35.75,35.8,14178,20220518
35.8,35.83,35.8,35.82,5925,20220518
35.82,35.84,35.79,35.83,13356,20220518
35.83,35.83,35.77,35.77,9505,20220518
35.77,35.79,35.745,35.75,6095,20220518
35.74,35.78,35.74,35.78,11791,20220518
35.775,35.83,35.775,35.82,4300,20220518
35.82,35.86,35.785,35.86,10828,20220518
35.85,35.89,35.84,35.87,10624,20220518
35.885,35.92,35.885,35.92,3762,20220518
35.91,35.96,35.9,35.96,10005,20220518
35.9599,35.965,35.905,35.91,18221,20220518
35.91,35.91,35.81,35.825,9599,20220518
35.84,35.91,35.83,35.9,9614,20220518
35.89,35.905,35.875,35.89,5064,20220518
35.88,35.91,35.8771,35.89,4406,20220518
35.89,35.91,35.85,35.89,9204,20220518
35.885,35.93,35.885,35.89,8625,20220518
35.885,35.9,35.8493,35.86,7905,20220518
35.86,35.89,35.835,35.87,12125,20220518
35.87,35.97,35.87,35.97,19822,20220518
35.97,35.97,35.92,35.95,10170,20220518
35.95,35.95,35.9,35.92,6347,20220518
35.91,35.97,35.905,35.96,13803,20220518
35.97,36.05,35.96,36.02,29453,20220518
36.03,36.045,36.0,36.02,12695,20220518
36.02,36.065,36.02,36.065,9338,20220518
36.06,36.07,35.99,35.9909,15248,20220518
35.9931,36.0,35.9807,36.0,7666,20220518
36.01,36.01,35.98,35.985,6213,20220518
35.995,36.02,35.97,36.02,19529,20220518
36.0,36.055,35.995,36.05,15631,20220518
36.057,36.13,36.055,36.1,35412,20220518
36.09,36.09,36.04,36.04,12745,20220518
36.035,36.05,35.98,35.99,15192,20220518
35.98,36.015,35.965,35.97,8709,20220518
35.97,36.04,35.96,36.01,39980,20220518
36.02,36.025,35.97,35.985,35492,20220518
35.985,36.0,35.97,35.997,37599,20220518
35.997,36.0,35.9688,36.0,39696,20220518
36.0,36.01,35.92,35.92,13658,20220518
35.91,35.918,35.845,35.88,20410,20220518
35.87,35.87,35.84,35.86,6766,20220518
35.86,35.86,35.81,35.82,7471,20220518
35.82,35.8293,35.755,35.755,5145,20220518
35.76,35.77,35.75,35.76,4936,20220518
35.755,35.756,35.725,35.7301,15663,20220518
35.73,35.74,35.71,35.72,8031,20220518
35.715,35.75,35.66,35.665,14738,20220518
35.66,35.67,35.65,35.67,7891,20220518
35.67,35.69,35.62,35.63,7010,20220518
35.62,35.64,35.6135,35.64,7137,20220518
35.64,35.69,35.64,35.66,8310,20220518
35.65,35.68,35.63,35.65,5778,20220518
35.65,35.69,35.65,35.68,8480,20220518
35.68,35.77,35.67,35.725,9302,20220518
35.72,35.74,35.71,35.73,6283,20220518
35.725,35.73,35.69,35.705,15666,20220518
35.69,35.695,35.64,35.655,9195,20220518
35.66,35.69,35.65,35.66,4171,20220518
35.66,35.7,35.64,35.67,6727,20220518
35.665,35.74,35.6601,35.74,7319,20220518
35.75,35.78,35.7499,35.76,11259,20220518
35.77,35.805,35.75,35.805,8414,20220518
35.805,35.898,35.805,35.898,14266,20220518
35.9,35.94,35.9,35.94,7466,20220518
35.94,35.96,35.92,35.93,9662,20220518
35.92,35.9211,35.885,35.9,12747,20220518
35.89,35.945,35.89,35.92,6725,20220518
35.92,35.95,35.885,35.885,12738,20220518
35.88,35.91,35.86,35.9,8599,20220518
35.89,35.91,35.875,35.89,7251,20220518
35.885,35.89,35.865,35.89,13300,20220518
35.88,35.92,35.865,35.915,13117,20220518
35.92,35.92,35.83,35.83,10389,20220518
35.82,35.83,35.78,35.79,17029,20220518
35.78,35.805,35.775,35.79,9315,20220518
35.79,35.8,35.725,35.75,29413,20220518
35.75,35.78,35.73,35.73,19216,20220518
35.73,35.73,35.68,35.725,33541,20220518
35.73,35.735,35.67,35.67,19699,20220518
35.67,35.675,35.65,35.675,8512,20220518
35.675,35.69,35.665,35.67,24156,20220518
35.665,35.675,35.63,35.66,8964,20220518
35.65,35.71,35.63,35.63,12959,20220518
35.625,35.685,35.62,35.67,6699,20220518
35.665,35.7,35.665,35.675,5290,20220518
35.67,35.69,35.665,35.69,7375,20220518
35.68,35.71,35.68,35.7,6033,20220518
35.7,35.715,35.66,35.665,10928,20220518
35.67,35.74,35.67,35.74,7233,20220518
35.745,35.745,35.715,35.7399,10046,20220518
35.73,35.75,35.72,35.735,10356,20220518
35.74,35.75,35.7005,35.75,8258,20220518
35.75,35.815,35.745,35.81,11326,20220518
35.81,35.835,35.77,35.78,12729,20220518
35.76,35.78,35.675,35.687,12554,20220518
35.68,35.69,35.65,35.68,7583,20220518
35.685,35.755,35.685,35.7,9655,20220518
35.71,35.75,35.7,35.73,10877,20220518
35.71,35.72,35.69,35.695,8972,20220518
35.7,35.715,35.69,35.715,4050,20220518
35.71,35.74,35.68,35.735,14372,20220518
35.74,35.755,35.73,35.755,8026,20220518
35.75,35.78,35.69,35.74,13315,20220518
35.725,35.775,35.67,35.675,19982,20220518
35.665,35.685,35.65,35.66,13839,20220518
35.67,35.715,35.67,35.69,7502,20220518
35.7,35.71,35.66,35.66,8533,20220518
35.66,35.67,35.57,35.6,33087,20220518
35.595,35.7259,35.595,35.68,14614,20220518
35.665,35.72,35.66,35.71,11024,20220518
35.73,35.78,35.725,35.75,12421,20220518
35.755,35.83,35.755,35.78,22952,20220518
35.78,35.8,35.75,35.755,2802,20220518
35.73,35.78,35.71,35.78,8382,20220518
