open,high,low,close,volume,datetime
91.82,91.82,91.52,91.58,6358,20220518
91.59,91.69,91.44,91.555,1677,20220518
91.455,91.455,91.4,91.4,300,20220518
91.28,91.44,91.28,91.44,300,20220518
91.645,91.645,91.48,91.48,1500,20220518
91.585,91.585,91.4,91.545,1514,20220518
91.6,91.62,91.45,91.45,987,20220518
91.6,91.65,91.595,91.6,1023,20220518
91.64,91.78,91.61,91.78,1500,20220518
91.72,91.79,91.53,91.53,1436,20220518
91.53,91.66,91.53,91.61,1423,20220518
91.74,91.84,91.605,91.605,2178,20220518
91.51,91.51,91.3,91.3,1114,20220518
91.36,91.36,91.36,91.36,100,20220518
91.45,91.49,91.36,91.36,1288,20220518
91.5,91.67,91.5,91.65,2317,20220518
91.71,91.83,91.63,91.69,1625,20220518
91.69,91.8,91.67,91.72,2234,20220518
91.67,91.67,91.605,91.605,555,20220518
91.7,91.76,91.66,91.7,1301,20220518
91.81,91.85,91.81,91.82,400,20220518
91.7185,91.88,91.7185,91.84,1365,20220518
91.83,91.91,91.82,91.91,1158,20220518
91.99,91.99,91.86,91.86,1024,20220518
91.8,91.8,91.746,91.763,994,20220518
91.76,91.84,91.715,91.81,1158,20220518
91.84,91.84,91.67,91.695,813,20220518
91.65,91.74,91.6,91.74,1600,20220518
91.765,91.77,91.7,91.77,750,20220518
91.92,92.06,91.86,92.0,1200,20220518
92.06,92.18,92.0,92.11,1776,20220518
92.08,92.08,92.08,92.08,100,20220518
92.01,92.02,91.87,91.9,1400,20220518
91.91,91.91,91.91,91.91,100,20220518
91.87,91.89,91.79,91.79,583,20220518
91.85,91.85,91.79,91.79,200,20220518
91.79,91.79,91.73,91.75,825,20220518
91.65,91.65,91.55,91.55,300,20220518
91.52,91.52,91.5,91.52,660,20220518
91.58,91.685,91.58,91.68,741,20220518
91.584,91.69,91.57,91.69,700,20220518
91.67,91.67,91.52,91.52,1416,20220518
91.64,91.7,91.64,91.7,600,20220518
91.71,91.75,91.71,91.75,300,20220518
91.79,91.79,91.735,91.78,1800,20220518
91.78,91.87,91.771,91.855,600,20220518
91.79,91.79,91.79,91.79,100,20220518
91.83,91.842,91.8,91.8,500,20220518
91.77,91.86,91.77,91.81,1100,20220518
91.78,91.86,91.78,91.85,500,20220518
91.9,91.91,91.9,91.91,200,20220518
91.93,91.93,91.86,91.91,500,20220518
91.86,91.885,91.79,91.885,2300,20220518
91.78,91.87,91.78,91.87,500,20220518
91.87,91.87,91.87,91.87,100,20220518
91.87,91.89,91.82,91.89,2400,20220518
91.84,91.88,91.8,91.82,1000,20220518
91.8,91.8,91.71,91.71,400,20220518
91.67,91.73,91.67,91.725,300,20220518
91.73,91.74,91.68,91.7,1400,20220518
91.67,91.67,91.67,91.67,100,20220518
91.61,91.61,91.61,91.61,300,20220518
91.63,91.63,91.63,91.63,100,20220518
91.63,91.63,91.52,91.56,700,20220518
91.58,91.6,91.58,91.6,500,20220518
91.61,91.61,91.56,91.57,400,20220518
91.54,91.58,91.54,91.58,400,20220518
91.56,91.56,91.45,91.45,200,20220518
91.48,91.68,91.48,91.65,2000,20220518
91.65,91.65,91.62,91.62,700,20220518
91.62,91.65,91.62,91.63,1000,20220518
91.62,91.66,91.61,91.66,890,20220518
91.63,91.63,91.59,91.59,300,20220518
91.66,91.69,91.62,91.63,1500,20220518
91.59,91.605,91.57,91.605,1500,20220518
91.6,91.66,91.6,91.64,1100,20220518
91.59,91.59,91.59,91.59,100,20220518
91.63,91.71,91.61,91.71,1210,20220518
91.74,91.75,91.72,91.72,400,20220518
91.72,91.74,91.695,91.7,607,20220518
91.63,91.665,91.6,91.6,900,20220518
91.6,91.63,91.561,91.561,1020,20220518
91.56,91.56,91.51,91.51,400,20220518
91.515,91.585,91.46,91.58,1100,20220518
91.64,91.79,91.63,91.79,1596,20220518
91.8,91.89,91.8,91.85,2288,20220518
91.84,92.04,91.82,92.03,4739,20220518
92.0,92.0,91.875,91.875,500,20220518
91.835,91.835,91.67,91.67,600,20220518
91.69,91.72,91.65,91.675,700,20220518
91.629,91.629,91.629,91.629,102,20220518
91.51,91.55,91.51,91.55,200,20220518
91.46,91.52,91.46,91.52,1414,20220518
91.58,91.58,91.515,91.56,400,20220518
91.45,91.5,91.34,91.34,700,20220518
91.31,91.315,91.31,91.315,200,20220518
91.3273,91.38,91.28,91.28,986,20220518
91.28,91.32,91.23,91.32,1300,20220518
91.35,91.35,91.35,91.35,100,20220518
91.315,91.315,91.315,91.315,100,20220518
91.35,91.35,91.35,91.35,200,20220518
91.29,91.34,91.23,91.282,1407,20220518
91.15,91.15,91.15,91.15,374,20220518
91.09,91.16,91.09,91.16,588,20220518
91.13,91.19,91.13,91.19,524,20220518
91.15,91.18,91.15,91.18,600,20220518
91.23,91.27,91.23,91.27,400,20220518
91.17,91.17,91.12,91.12,600,20220518
91.11,91.11,91.11,91.11,100,20220518
91.075,91.08,91.075,91.08,200,20220518
91.05,91.05,90.98,90.98,400,20220518
90.985,91.17,90.94,91.17,2517,20220518
91.12,91.12,91.085,91.085,700,20220518
91.12,91.12,91.12,91.12,600,20220518
91.12,91.23,91.12,91.16,846,20220518
91.1281,91.29,91.1281,91.26,989,20220518
91.33,91.33,91.26,91.26,1000,20220518
91.2,91.23,91.19,91.215,1003,20220518
91.21,91.21,91.18,91.18,400,20220518
91.24,91.31,91.225,91.31,556,20220518
91.29,91.3502,91.29,91.3502,600,20220518
91.355,91.355,91.3,91.315,600,20220518
91.34,91.395,91.34,91.395,200,20220518
91.37,91.38,91.24,91.24,1100,20220518
91.24,91.24,91.08,91.1,500,20220518
91.17,91.18,91.17,91.18,300,20220518
91.14,91.19,91.14,91.19,409,20220518
