open,high,low,close,volume,datetime
70.51,70.51,70.4861,70.4861,10615,20220518
70.45,70.45,70.12,70.12,1515,20220518
70.13,70.49,70.13,70.47,4461,20220518
70.37,70.5,70.37,70.5,400,20220518
70.51,70.61,70.46,70.61,3597,20220518
70.69,70.76,70.67,70.76,568,20220518
70.79,70.9,70.65,70.875,6449,20220518
70.94,70.95,70.755,70.755,3194,20220518
70.8,70.86,70.71,70.76,4866,20220518
70.75,70.785,70.585,70.585,3342,20220518
70.59,70.64,70.5,70.5,993,20220518
70.5,70.63,70.39,70.39,5195,20220518
70.38,70.425,70.38,70.38,400,20220518
70.39,70.42,70.37,70.4,6373,20220518
70.39,70.415,70.28,70.28,2626,20220518
70.36,70.46,70.36,70.44,1369,20220518
70.52,70.54,70.475,70.54,400,20220518
70.53,70.62,70.475,70.62,4176,20220518
70.6,70.625,70.48,70.52,3819,20220518
70.58,70.63,70.56,70.63,1623,20220518
70.63,70.63,70.36,70.37,3064,20220518
70.305,70.45,70.305,70.42,1110,20220518
70.44,70.48,70.41,70.41,1680,20220518
70.4,70.435,70.32,70.435,2038,20220518
70.41,70.44,70.38,70.4,907,20220518
70.42,70.44,70.36,70.36,2200,20220518
70.36,70.36,70.29,70.29,1225,20220518
70.29,70.29,70.18,70.22,1402,20220518
70.21,70.21,70.13,70.15,1223,20220518
70.11,70.26,70.11,70.26,710,20220518
70.22,70.32,70.2,70.32,1000,20220518
70.315,70.315,70.21,70.21,2510,20220518
70.21,70.28,70.18,70.245,2487,20220518
70.27,70.28,70.245,70.25,524,20220518
70.34,70.34,70.28,70.33,1918,20220518
70.3,70.32,70.21,70.316,2300,20220518
70.28,70.28,70.23,70.23,912,20220518
70.21,70.22,70.19,70.19,827,20220518
70.21,70.21,70.145,70.145,1816,20220518
70.065,70.19,70.065,70.19,1300,20220518
70.23,70.25,70.23,70.235,1424,20220518
70.24,70.28,70.24,70.28,600,20220518
70.27,70.27,70.195,70.23,903,20220518
70.25,70.25,70.25,70.25,200,20220518
70.22,70.27,70.2,70.27,1100,20220518
70.335,70.36,70.32,70.36,1787,20220518
70.37,70.38,70.35,70.35,1701,20220518
