open,high,low,close,volume,datetime
133.11,133.93,133.11,133.64,13390,20220518
133.83,133.85,133.23,133.85,2024,20220518
133.85,134.05,133.55,133.55,2705,20220518
133.34,133.67,133.34,133.67,500,20220518
133.495,133.75,133.37,133.575,2202,20220518
133.77,133.91,133.48,133.76,1284,20220518
134.17,134.17,134.17,134.17,100,20220518
133.93,133.93,133.78,133.78,610,20220518
133.8,133.8,133.63,133.63,645,20220518
133.76,133.79,132.72,132.72,2611,20220518
132.72,132.785,132.72,132.785,200,20220518
133.11,133.47,132.97,133.225,1830,20220518
133.01,133.01,132.64,132.76,1559,20220518
132.75,132.85,132.55,132.85,1395,20220518
132.95,133.13,132.86,132.86,1541,20220518
133.255,133.255,133.255,133.255,100,20220518
133.295,133.295,133.295,133.295,100,20220518
133.32,133.59,133.32,133.59,418,20220518
133.69,133.69,133.49,133.54,2674,20220518
133.35,133.35,133.21,133.21,300,20220518
133.22,133.4,132.74,132.74,1789,20220518
132.78,132.88,132.5774,132.81,2796,20220518
133.03,133.14,133.03,133.14,300,20220518
133.45,133.45,133.38,133.38,300,20220518
133.38,133.445,133.075,133.15,2029,20220518
133.225,133.225,132.945,132.945,5187,20220518
132.935,132.935,132.63,132.68,2210,20220518
132.615,132.615,132.41,132.46,1200,20220518
132.46,132.52,132.39,132.485,1000,20220518
132.595,132.72,132.595,132.72,444,20220518
132.89,133.07,132.78,133.0,2299,20220518
133.02,133.145,132.9,133.145,2148,20220518
133.135,133.24,133.02,133.03,1842,20220518
133.15,133.33,133.15,133.315,900,20220518
133.27,133.4286,133.13,133.155,2047,20220518
133.2,133.44,133.16,133.39,1801,20220518
133.46,133.53,133.32,133.35,3074,20220518
133.44,133.485,133.36,133.44,1401,20220518
133.42,133.53,133.34,133.53,2662,20220518
133.45,133.5,133.415,133.42,1802,20220518
133.44,133.71,133.42,133.64,2387,20220518
133.64,133.71,133.49,133.66,4122,20220518
133.61,133.83,133.59,133.76,2515,20220518
133.72,133.91,133.72,133.805,2032,20220518
133.805,134.165,133.76,133.955,2516,20220518
133.94,134.0,133.785,133.86,1730,20220518
133.86,133.92,133.7,133.92,900,20220518
133.955,134.08,133.9,134.035,1238,20220518
134.11,134.29,134.0,134.0,11199,20220518
134.0,134.02,133.9,134.005,2200,20220518
133.9,134.28,133.9,134.27,1300,20220518
134.28,134.28,133.97,134.0,1791,20220518
134.07,134.11,133.985,133.985,1000,20220518
133.96,134.13,133.87,133.88,21099,20220518
133.835,133.96,133.73,133.86,1200,20220518
133.67,133.715,133.67,133.715,353,20220518
133.69,133.745,133.59,133.59,914,20220518
133.54,133.54,133.26,133.34,855,20220518
133.44,133.48,133.37,133.37,789,20220518
133.21,133.21,132.89,132.89,1270,20220518
132.76,132.76,132.53,132.66,2055,20220518
132.7,132.79,132.7,132.75,1352,20220518
132.83,132.85,132.705,132.85,801,20220518
132.84,133.13,132.78,133.02,1701,20220518
132.96,133.0978,132.93,133.0978,5744,20220518
132.94,132.96,132.69,132.69,852,20220518
132.75,132.97,132.75,132.75,2949,20220518
132.82,132.82,132.7,132.7,2826,20220518
132.64,132.75,132.565,132.75,504,20220518
132.7,132.72,132.66,132.69,1459,20220518
132.71,132.71,132.4,132.44,2883,20220518
132.42,132.7,132.33,132.67,2819,20220518
132.71,132.75,132.64,132.64,957,20220518
132.77,132.77,132.71,132.71,436,20220518
132.69,132.85,132.69,132.76,800,20220518
132.75,132.75,132.69,132.69,326,20220518
132.74,132.83,132.72,132.765,1302,20220518
132.615,132.69,132.615,132.635,900,20220518
132.645,132.92,132.62,132.92,770,20220518
132.82,132.82,132.66,132.66,1361,20220518
132.73,132.73,132.71,132.71,200,20220518
132.655,132.7,132.655,132.7,500,20220518
132.78,132.83,132.64,132.64,2950,20220518
132.64,132.75,132.5,132.5,2286,20220518
132.5,132.62,132.5,132.62,1485,20220518
132.56,132.56,132.36,132.39,10121,20220518
132.45,132.57,132.41,132.545,2289,20220518
132.61,132.71,132.61,132.635,672,20220518
132.615,132.69,132.615,132.69,570,20220518
132.685,132.76,132.58,132.76,2335,20220518
132.72,132.72,132.69,132.69,374,20220518
132.69,132.7,132.63,132.64,611,20220518
132.61,132.61,132.35,132.39,2033,20220518
132.32,132.39,132.32,132.355,5505,20220518
132.34,132.54,132.34,132.49,1714,20220518
132.44,132.44,132.32,132.32,5716,20220518
132.4,132.4,132.1,132.1,5528,20220518
132.135,132.18,132.04,132.17,1013,20220518
132.14,132.23,132.14,132.175,400,20220518
132.13,132.13,132.0204,132.07,3215,20220518
132.03,132.12,131.97,132.07,5226,20220518
132.15,132.18,132.04,132.1,1481,20220518
132.142,132.2099,132.1256,132.16,2114,20220518
132.175,132.175,132.175,132.175,160,20220518
132.18,132.18,132.1502,132.1502,520,20220518
132.12,132.18,131.97,131.97,6437,20220518
131.97,131.98,131.97,131.97,1719,20220518
131.945,131.945,131.77,131.77,7711,20220518
131.68,131.735,131.55,131.645,3531,20220518
131.52,131.65,131.52,131.65,745,20220518
131.54,131.58,131.54,131.58,1029,20220518
131.55,131.55,131.55,131.55,200,20220518
131.5,131.5,131.405,131.46,1534,20220518
131.415,131.47,131.415,131.47,402,20220518
131.48,131.7,131.48,131.7,1012,20220518
131.63,131.66,131.5689,131.66,987,20220518
131.61,131.67,131.61,131.67,406,20220518
131.62,131.62,131.55,131.57,1000,20220518
