open,high,low,close,volume,datetime
78.92,79.01,78.7,78.79,67402,20220518
78.55,79.02,78.55,78.9,1721,20220518
79.02,79.02,78.88,78.945,1000,20220518
78.87,79.02,78.85,78.925,16172,20220518
78.9,78.91,78.7,78.73,3036,20220518
78.67,78.67,78.57,78.57,1094,20220518
78.43,78.55,78.43,78.51,1837,20220518
78.45,78.45,78.45,78.45,300,20220518
78.43,78.64,78.43,78.64,3992,20220518
78.59,78.59,78.54,78.54,2400,20220518
78.62,78.79,78.62,78.655,3367,20220518
78.565,78.59,78.565,78.59,500,20220518
78.62,78.765,78.59,78.765,10947,20220518
78.72,78.79,78.71,78.79,972,20220518
78.72,78.72,78.6,78.7,4393,20220518
78.65,78.77,78.615,78.77,16145,20220518
78.765,78.765,78.58,78.605,8805,20220518
78.57,78.685,78.56,78.68,3791,20220518
78.67,78.67,78.67,78.67,100,20220518
78.66,78.71,78.62,78.7,3603,20220518
78.7,78.71,78.6,78.63,3749,20220518
78.61,78.71,78.61,78.71,1342,20220518
78.71,78.71,78.55,78.58,2699,20220518
78.6,78.6,78.46,78.52,2283,20220518
78.53,78.595,78.53,78.595,400,20220518
78.56,78.58,78.44,78.44,1432,20220518
78.43,78.43,78.43,78.43,100,20220518
78.395,78.395,78.33,78.35,1441,20220518
78.355,78.355,78.355,78.355,100,20220518
78.33,78.51,78.33,78.51,3282,20220518
78.47,78.49,78.23,78.24,2700,20220518
78.2,78.29,78.11,78.29,3306,20220518
78.28,78.29,78.22,78.22,2500,20220518
78.21,78.24,78.21,78.24,300,20220518
78.24,78.33,78.24,78.26,1464,20220518
78.24,78.24,78.14,78.15,1458,20220518
78.165,78.219,78.065,78.065,700,20220518
78.04,78.07,78.0,78.0,1836,20220518
77.96,77.99,77.91,77.925,2076,20220518
77.97,78.05,77.97,78.01,1374,20220518
78.04,78.04,77.935,77.935,895,20220518
77.91,77.91,77.81,77.89,2075,20220518
77.85,77.85,77.77,77.77,1100,20220518
77.78,77.85,77.72,77.825,2279,20220518
77.88,77.88,77.825,77.85,2706,20220518
77.85,77.875,77.8,77.875,1968,20220518
77.9,77.9,77.875,77.89,900,20220518
77.89,77.99,77.89,77.99,3372,20220518
77.96,78.05,77.92,78.045,16763,20220518
78.02,78.06,77.9206,78.03,4384,20220518
78.02,78.02,77.82,77.855,2612,20220518
77.88,77.94,77.87,77.94,2046,20220518
77.935,77.935,77.935,77.935,100,20220518
77.93,77.93,77.8,77.8,1700,20220518
77.78,77.89,77.78,77.85,2163,20220518
77.91,77.91,77.81,77.81,400,20220518
77.81,77.89,77.8,77.89,1867,20220518
77.91,77.91,77.89,77.91,900,20220518
77.95,77.97,77.88,77.88,1300,20220518
77.89,77.89,77.75,77.81,1000,20220518
77.77,77.775,77.71,77.75,3100,20220518
77.7,77.72,77.67,77.72,2902,20220518
77.72,77.72,77.685,77.71,2715,20220518
77.725,77.756,77.7,77.756,600,20220518
77.7,77.72,77.69,77.69,400,20220518
77.655,77.78,77.645,77.676,6241,20220518
77.64,77.685,77.64,77.675,3822,20220518
77.69,77.73,77.69,77.73,1100,20220518
77.76,77.77,77.73,77.77,900,20220518
77.78,77.795,77.77,77.78,1192,20220518
77.78,77.78,77.7759,77.7759,240,20220518
77.76,77.77,77.69,77.75,4254,20220518
77.78,77.84,77.76,77.81,2061,20220518
77.84,77.85,77.765,77.765,1160,20220518
77.77,77.77,77.73,77.73,400,20220518
77.76,77.8,77.76,77.8,784,20220518
77.78,77.8,77.72,77.735,1528,20220518
77.7212,77.86,77.7212,77.86,2258,20220518
77.865,77.865,77.81,77.81,1400,20220518
77.805,77.87,77.805,77.87,839,20220518
77.91,77.97,77.91,77.97,1549,20220518
77.99,78.02,77.99,78.02,251,20220518
78.065,78.09,78.04,78.04,680,20220518
78.0,78.01,77.98,77.98,1145,20220518
77.985,78.035,77.985,78.0,3064,20220518
78.0,78.05,78.0,78.05,1765,20220518
78.056,78.065,78.056,78.065,500,20220518
78.04,78.04,77.97,77.975,3206,20220518
77.93,77.98,77.92,77.955,1287,20220518
77.955,77.96,77.93,77.93,1689,20220518
77.93,77.95,77.9,77.95,2278,20220518
77.96,78.06,77.96,78.06,5003,20220518
78.06,78.06,78.035,78.04,600,20220518
78.08,78.11,78.05,78.11,1073,20220518
78.12,78.14,78.12,78.13,1768,20220518
78.13,78.13,77.97,77.97,5514,20220518
77.91,77.94,77.885,77.92,1068,20220518
77.92,77.92,77.86,77.86,400,20220518
77.81,77.88,77.805,77.84,2988,20220518
77.81,77.81,77.78,77.78,496,20220518
77.76,77.786,77.75,77.786,2600,20220518
77.775,77.81,77.775,77.78,600,20220518
77.786,77.786,77.786,77.786,100,20220518
77.76,77.76,77.76,77.76,100,20220518
77.75,77.75,77.655,77.655,1700,20220518
77.655,77.66,77.62,77.655,800,20220518
77.66,77.66,77.66,77.66,100,20220518
77.65,77.72,77.65,77.7,2118,20220518
77.7,77.7,77.64,77.67,2189,20220518
77.64,77.66,77.63,77.66,1319,20220518
77.645,77.68,77.61,77.68,874,20220518
77.63,77.63,77.555,77.6,2976,20220518
77.54,77.6,77.54,77.57,300,20220518
77.6,77.6,77.5555,77.5555,774,20220518
77.57,77.59,77.51,77.56,3307,20220518
77.57,77.62,77.57,77.62,444,20220518
77.59,77.59,77.51,77.53,1116,20220518
77.52,77.62,77.5,77.616,2980,20220518
77.5825,77.59,77.565,77.59,807,20220518
77.565,77.62,77.565,77.62,1120,20220518
77.625,77.625,77.56,77.56,700,20220518
77.59,77.65,77.59,77.65,1070,20220518
77.64,77.65,77.62,77.65,444,20220518
77.6445,77.68,77.62,77.68,820,20220518
77.7,77.7,77.7,77.7,300,20220518
77.705,77.74,77.705,77.73,975,20220518
77.72,77.725,77.655,77.69,12060,20220518
77.69,77.81,77.69,77.78,2530,20220518
77.78,77.78,77.77,77.77,300,20220518
77.77,77.77,77.65,77.65,2446,20220518
77.64,77.64,77.62,77.62,200,20220518
77.66,77.68,77.53,77.54,2389,20220518
77.55,77.57,77.54,77.57,800,20220518
77.52,77.54,77.51,77.53,800,20220518
77.51,77.51,77.49,77.51,602,20220518
77.5,77.54,77.5,77.515,500,20220518
77.515,77.54,77.46,77.54,2607,20220518
77.54,77.56,77.53,77.55,1100,20220518
77.57,77.64,77.57,77.64,1327,20220518
77.635,77.635,77.55,77.55,1755,20220518
77.5425,77.55,77.48,77.48,400,20220518
77.48,77.48,77.45,77.47,2147,20220518
77.48,77.495,77.43,77.435,2579,20220518
77.45,77.46,77.27,77.3,13549,20220518
77.31,77.35,77.31,77.33,4013,20220518
77.34,77.395,77.3325,77.395,1367,20220518
77.36,77.36,77.315,77.315,500,20220518
77.32,77.38,77.2725,77.38,1553,20220518
77.35,77.35,77.35,77.35,200,20220518
77.315,77.35,77.3,77.35,1100,20220518
77.335,77.4,77.335,77.4,15488,20220518
77.395,77.395,77.365,77.365,962,20220518
77.37,77.41,77.37,77.4,970,20220518
77.41,77.43,77.41,77.43,200,20220518
77.41,77.46,77.41,77.46,500,20220518
77.49,77.55,77.49,77.55,755,20220518
77.53,77.53,77.375,77.375,2283,20220518
77.42,77.44,77.42,77.44,817,20220518
77.48,77.48,77.42,77.4372,1000,20220518
77.4338,77.555,77.4338,77.555,1656,20220518
77.58,77.6,77.52,77.6,1633,20220518
77.63,77.68,77.63,77.68,979,20220518
77.67,77.675,77.66,77.66,1215,20220518
77.69,77.755,77.69,77.74,1976,20220518
77.78,77.78,77.73,77.73,1447,20220518
77.71,77.78,77.71,77.77,1100,20220518
77.79,77.81,77.75,77.75,2198,20220518
77.74,77.74,77.66,77.66,2022,20220518
77.64,77.66,77.63,77.63,1800,20220518
77.59,77.6,77.49,77.5,1900,20220518
77.54,77.5796,77.5325,77.5325,1402,20220518
77.57,77.58,77.57,77.575,554,20220518
77.61,77.61,77.5725,77.58,500,20220518
77.58,77.6249,77.58,77.62,1816,20220518
77.6,77.65,77.57,77.646,1914,20220518
77.6,77.6,77.57,77.6,800,20220518
