open,high,low,close,volume,datetime
197.7605,198.69,196.98,197.038,38911,20220518
197.07,197.245,196.735,196.8664,4226,20220518
196.83,196.83,196.42,196.74,2922,20220518
196.66,196.71,196.56,196.64,3687,20220518
196.56,196.56,196.27,196.34,4721,20220518
196.205,197.08,196.205,197.03,4766,20220518
197.14,197.415,197.06,197.3,4448,20220518
197.45,197.45,197.115,197.115,3503,20220518
197.15,197.15,196.98,197.015,1675,20220518
196.92,197.315,196.845,197.0437,10370,20220518
197.07,197.37,197.06,197.24,5372,20220518
197.21,197.365,197.15,197.2,4208,20220518
197.16,197.21,197.065,197.2,1882,20220518
197.12,197.28,197.04,197.28,1005,20220518
197.44,197.62,197.2,197.2725,6948,20220518
197.24,197.53,197.06,197.31,15569,20220518
197.14,197.33,197.09,197.21,1800,20220518
197.29,197.55,197.29,197.53,2950,20220518
197.48,197.48,197.24,197.33,4597,20220518
197.38,197.4734,197.28,197.37,2332,20220518
197.43,197.575,197.32,197.51,11238,20220518
197.55,198.13,197.53,198.02,6080,20220518
198.02,198.12,197.88,197.96,6304,20220518
197.92,197.94,197.47,197.47,1655,20220518
197.5,197.52,197.35,197.51,1588,20220518
197.515,197.68,197.515,197.62,2050,20220518
197.6,197.66,197.5,197.5,1180,20220518
197.5926,197.66,197.52,197.57,3087,20220518
197.55,198.02,197.54,198.02,14542,20220518
197.99,198.06,197.91,198.01,3805,20220518
198.005,198.13,197.95,197.985,3958,20220518
197.89,198.085,197.85,198.0,1099,20220518
198.0176,198.31,198.0176,198.27,7776,20220518
198.27,198.27,198.06,198.12,1933,20220518
198.05,198.05,197.985,198.035,811,20220518
197.96,198.155,197.91,198.12,3269,20220518
198.19,198.19,198.0266,198.1,2612,20220518
198.07,198.29,198.03,198.29,1174,20220518
198.24,198.24,198.09,198.24,3525,20220518
198.24,198.26,198.05,198.05,2358,20220518
198.09,198.445,198.09,198.27,2419,20220518
198.21,198.23,198.08,198.15,997,20220518
198.167,198.23,198.12,198.15,2830,20220518
198.12,198.275,198.12,198.25,2138,20220518
198.285,198.34,198.19,198.3,3627,20220518
198.26,198.465,198.19,198.465,2322,20220518
198.42,198.46,198.28,198.3,2900,20220518
198.07,198.0734,197.86,197.86,1200,20220518
197.86,197.98,197.85,197.93,3702,20220518
197.855,197.905,197.8,197.905,2832,20220518
197.85,198.01,197.81,197.89,1700,20220518
197.96,197.98,197.82,197.94,2265,20220518
197.76,198.01,197.76,197.96,2800,20220518
197.81,197.925,197.81,197.83,3339,20220518
197.78,197.94,197.74,197.9,4018,20220518
197.87,197.99,197.87,197.89,1938,20220518
197.87,198.05,197.87,197.94,19557,20220518
197.88,197.88,197.865,197.865,500,20220518
197.87,197.88,197.71,197.71,3614,20220518
197.62,197.68,197.5,197.5,2600,20220518
197.37,197.6,197.37,197.6,1997,20220518
197.63,197.63,197.47,197.48,2795,20220518
197.56,197.76,197.5,197.68,5950,20220518
197.7399,197.88,197.69,197.86,1534,20220518
197.77,197.77,197.7,197.7207,1306,20220518
197.6615,197.75,197.63,197.67,1520,20220518
197.625,197.72,197.62,197.71,1132,20220518
