open,high,low,close,volume,datetime
85.89,86.26,85.57,86.26,9510,20220518
86.14,86.39,86.14,86.39,1547,20220518
86.36,86.36,86.36,86.36,200,20220518
86.56,86.66,86.37,86.66,1721,20220518
86.505,86.79,86.505,86.6296,1804,20220518
86.78,87.14,86.78,87.05,5779,20220518
87.005,87.28,86.91,87.28,1921,20220518
87.125,87.125,86.97,87.06,3434,20220518
87.0,87.0,86.86,86.93,1201,20220518
86.875,86.875,86.85,86.85,200,20220518
86.7071,86.7071,86.63,86.63,400,20220518
86.475,86.58,86.475,86.58,500,20220518
86.47,86.48,86.47,86.48,900,20220518
86.53,86.61,86.47,86.52,917,20220518
86.34,86.5,86.34,86.45,1000,20220518
86.39,86.43,86.39,86.43,211,20220518
86.44,86.44,86.44,86.44,200,20220518
86.49,86.49,86.385,86.385,400,20220518
86.39,86.48,86.39,86.4,1200,20220518
86.425,86.48,86.37,86.455,4700,20220518
86.43,86.48,86.355,86.355,5752,20220518
86.365,86.365,86.36,86.36,620,20220518
86.31,86.35,86.24,86.24,1226,20220518
86.22,86.24,86.11,86.24,1219,20220518
86.235,86.235,86.18,86.18,300,20220518
86.16,86.23,86.155,86.205,1100,20220518
86.18,86.27,86.17,86.24,1600,20220518
86.2,86.2,86.2,86.2,100,20220518
86.17,86.18,86.15,86.15,500,20220518
86.215,86.28,86.09,86.09,2125,20220518
86.015,86.025,85.92,85.92,310,20220518
85.94,85.94,85.84,85.855,981,20220518
85.91,85.915,85.86,85.89,750,20220518
85.925,85.925,85.83,85.835,828,20220518
85.82,85.82,85.7,85.73,700,20220518
85.675,85.685,85.6,85.64,1221,20220518
85.64,85.64,85.57,85.62,1183,20220518
85.62,85.62,85.52,85.52,800,20220518
85.48,85.56,85.48,85.54,400,20220518
85.47,85.48,85.47,85.48,400,20220518
85.48,85.48,85.48,85.48,100,20220518
85.47,85.48,85.47,85.48,400,20220518
85.42,85.5,85.42,85.49,300,20220518
85.455,85.455,85.455,85.455,100,20220518
85.46,85.46,85.43,85.44,600,20220518
85.39,85.39,85.33,85.33,203,20220518
85.35,85.44,85.35,85.39,1070,20220518
85.49,85.49,85.49,85.49,200,20220518
85.44,85.475,85.43,85.445,1700,20220518
85.45,85.53,85.45,85.53,1297,20220518
85.59,85.59,85.52,85.52,364,20220518
85.575,85.59,85.56,85.56,710,20220518
85.48,85.57,85.48,85.57,300,20220518
85.565,85.565,85.48,85.48,480,20220518
85.47,85.47,85.42,85.42,520,20220518
85.43,85.49,85.42,85.47,1733,20220518
85.53,85.64,85.53,85.59,4590,20220518
85.59,85.65,85.59,85.635,833,20220518
85.65,85.72,85.65,85.72,1000,20220518
85.705,85.78,85.705,85.78,500,20220518
