open,high,low,close,volume,datetime
20.6,20.7,20.57,20.61,98407,20220518
20.61,20.65,20.5,20.56,10921,20220518
20.56,20.61,20.53,20.53,16612,20220518
20.53,20.54,20.48,20.5,20544,20220518
20.5,20.53,20.46,20.53,14481,20220518
20.53,20.57,20.48,20.56,11241,20220518
20.57,20.6,20.55,20.59,25143,20220518
20.59,20.61,20.57,20.59,19767,20220518
20.59,20.59,20.555,20.56,66855,20220518
20.57,20.57,20.52,20.54,19415,20220518
20.54,20.55,20.525,20.55,14713,20220518
20.545,20.57,20.54,20.565,19213,20220518
20.56,20.6,20.56,20.6,28107,20220518
20.59,20.635,20.59,20.635,15651,20220518
20.65,20.68,20.65,20.665,11941,20220518
20.66,20.69,20.64,20.69,15843,20220518
20.685,20.715,20.66,20.705,25868,20220518
20.71,20.74,20.71,20.74,9723,20220518
20.74,20.75,20.69,20.69,24309,20220518
20.685,20.73,20.685,20.725,12391,20220518
20.73,20.735,20.62,20.63,45842,20220518
20.635,20.64,20.6,20.625,16008,20220518
20.62,20.67,20.6,20.6625,16714,20220518
20.67,20.695,20.66,20.68,8836,20220518
20.68,20.68,20.61,20.615,14706,20220518
20.615,20.615,20.57,20.57,7626,20220518
20.57,20.575,20.53,20.53,6444,20220518
20.53,20.565,20.52,20.55,7624,20220518
20.55,20.58,20.545,20.575,4955,20220518
20.575,20.61,20.575,20.6,13860,20220518
20.605,20.64,20.605,20.64,16045,20220518
20.65,20.665,20.64,20.66,15314,20220518
20.655,20.69,20.655,20.68,5463,20220518
20.685,20.695,20.65,20.665,30584,20220518
20.66,20.68,20.645,20.65,20466,20220518
20.65,20.7,20.65,20.7,25436,20220518
20.695,20.73,20.695,20.72,7818,20220518
20.73,20.755,20.71,20.755,14653,20220518
20.75,20.7785,20.75,20.775,14733,20220518
20.77,20.795,20.77,20.79,29605,20220518
20.785,20.83,20.7817,20.825,9979,20220518
20.825,20.825,20.8,20.815,23027,20220518
20.82,20.825,20.8,20.8,10008,20220518
20.81,20.86,20.805,20.84,19324,20220518
20.845,20.86,20.84,20.855,14673,20220518
20.86,20.9,20.825,20.885,27749,20220518
20.89,20.895,20.855,20.855,14286,20220518
20.86,20.875,20.855,20.87,11808,20220518
20.87,20.9,20.86,20.895,16108,20220518
20.89,20.905,20.88,20.905,18686,20220518
20.905,20.94,20.9,20.92,27272,20220518
20.92,20.935,20.9,20.91,14091,20220518
20.91,20.915,20.9,20.9,10375,20220518
20.895,20.91,20.885,20.885,29063,20220518
20.885,20.9,20.865,20.885,16332,20220518
20.88,20.905,20.88,20.885,19248,20220518
20.885,20.92,20.88,20.91,16116,20220518
