open,high,low,close,volume,datetime
34.81,34.81,34.69,34.74,12770,20220518
34.69,34.73,34.68,34.68,1560,20220518
34.71,34.765,34.71,34.765,650,20220518
34.76,34.79,34.68,34.79,1093,20220518
34.86,34.86,34.73,34.73,761,20220518
34.83,34.84,34.83,34.84,200,20220518
34.86,34.88,34.85,34.85,600,20220518
34.92,34.92,34.875,34.875,458,20220518
34.91,34.94,34.91,34.915,1743,20220518
34.9,34.99,34.87,34.98,5400,20220518
34.975,34.98,34.945,34.98,500,20220518
34.97,34.97,34.97,34.97,100,20220518
34.96,35.0,34.95,34.965,33910,20220518
34.98,35.01,34.96,35.01,400,20220518
35.0,35.04,34.975,34.975,1978,20220518
34.99,35.02,34.965,35.02,9657,20220518
35.035,35.06,34.99,35.0,32863,20220518
34.995,35.07,34.9606,35.07,10285,20220518
35.02,35.13,34.99,35.12,22775,20220518
35.1,35.25,35.07,35.08,39851,20220518
35.09,35.1,34.97,35.02,19463,20220518
34.97,35.0,34.96,34.99,4477,20220518
34.97,35.0,34.97,35.0,900,20220518
35.05,35.07,35.045,35.07,1040,20220518
35.07,35.07,35.035,35.04,800,20220518
34.98,35.01,34.965,35.01,811,20220518
34.98,35.0,34.92,34.935,3290,20220518
34.91,34.93,34.85,34.87,2889,20220518
34.82,34.83,34.82,34.83,444,20220518
34.82,34.85,34.81,34.85,600,20220518
34.815,34.89,34.815,34.89,900,20220518
34.895,34.97,34.895,34.92,2237,20220518
34.91,34.98,34.91,34.98,2000,20220518
34.97,35.01,34.945,35.0,5203,20220518
34.99,35.08,34.99,35.0,2492,20220518
35.0,35.05,35.0,35.05,3255,20220518
35.06,35.08,35.04,35.08,2278,20220518
35.085,35.11,35.07,35.11,5327,20220518
35.13,35.13,35.06,35.0606,3965,20220518
35.06,35.08,35.06,35.075,2086,20220518
35.09,35.139,35.09,35.105,5596,20220518
35.09,35.105,35.045,35.045,5278,20220518
35.06,35.065,35.01,35.02,1574,20220518
35.015,35.039,35.015,35.039,200,20220518
35.02,35.08,35.015,35.08,1549,20220518
35.08,35.14,35.08,35.14,2200,20220518
35.139,35.15,35.11,35.14,13441,20220518
35.13,35.15,35.13,35.15,2762,20220518
35.16,35.185,35.15,35.155,8565,20220518
35.13,35.13,35.09,35.1,1412,20220518
35.08,35.14,35.08,35.14,1511,20220518
35.17,35.17,35.13,35.13,900,20220518
35.14,35.14,35.13,35.13,968,20220518
35.095,35.1,35.08,35.08,724,20220518
35.04,35.089,35.04,35.05,2879,20220518
35.06,35.06,35.039,35.05,3149,20220518
35.05,35.07,35.03,35.05,700,20220518
35.03,35.03,35.0,35.0,608,20220518
34.99,34.999,34.99,34.99,1049,20220518
34.98,34.98,34.91,34.91,1050,20220518
34.89,34.935,34.855,34.92,3697,20220518
34.92,34.92,34.88,34.88,631,20220518
34.88,34.88,34.88,34.88,790,20220518
34.87,34.93,34.87,34.93,2534,20220518
34.9,34.9,34.8997,34.9,809,20220518
34.9,34.9,34.86,34.86,475,20220518
34.88,34.89,34.88,34.88,1252,20220518
34.88,34.88,34.86,34.86,400,20220518
34.84,34.88,34.83,34.88,1702,20220518
34.87,34.9,34.84,34.9,1200,20220518
34.89,34.899,34.88,34.899,1403,20220518
34.9,34.98,34.9,34.98,1200,20220518
34.96,34.96,34.94,34.94,1010,20220518
34.96,35.005,34.96,34.969,10689,20220518
34.94,34.96,34.94,34.96,900,20220518
34.94,34.95,34.915,34.92,1026,20220518
34.91,34.98,34.9,34.98,1901,20220518
34.95,34.96,34.925,34.95,2200,20220518
34.94,34.99,34.94,34.98,1666,20220518
34.96,34.97,34.95,34.97,700,20220518
34.97,34.97,34.96,34.96,600,20220518
34.945,34.97,34.93,34.94,2285,20220518
34.939,34.939,34.9,34.91,1576,20220518
34.88,34.92,34.88,34.91,2102,20220518
34.9,34.9,34.875,34.88,700,20220518
34.87,34.91,34.87,34.9,3405,20220518
34.9,34.91,34.895,34.91,854,20220518
34.93,34.98,34.92,34.925,7188,20220518
34.94,34.94,34.93,34.93,300,20220518
34.92,34.92,34.885,34.91,1324,20220518
34.9,34.905,34.89,34.89,1216,20220518
34.89,34.89,34.85,34.86,4835,20220518
34.87,34.89,34.82,34.835,13648,20220518
34.84,34.85,34.82,34.85,11110,20220518
34.85,34.85,34.84,34.84,482,20220518
34.82,34.83,34.815,34.82,900,20220518
34.83,34.84,34.73,34.76,4245,20220518
34.71,34.74,34.71,34.71,753,20220518
34.71,34.75,34.66,34.675,9656,20220518
34.65,34.65,34.62,34.62,2616,20220518
34.59,34.61,34.55,34.55,3111,20220518
34.54,34.58,34.54,34.58,2065,20220518
34.56,34.56,34.56,34.56,100,20220518
34.59,34.59,34.58,34.58,2527,20220518
34.59,34.59,34.58,34.585,950,20220518
34.58,34.59,34.56,34.56,2132,20220518
34.53,34.53,34.53,34.53,300,20220518
34.52,34.52,34.46,34.47,760,20220518
34.47,34.5,34.47,34.49,2994,20220518
34.49,34.49,34.46,34.46,543,20220518
34.45,34.46,34.4306,34.4306,872,20220518
34.425,34.425,34.42,34.42,200,20220518
34.425,34.425,34.39,34.42,3097,20220518
34.395,34.395,34.38,34.38,604,20220518
34.39,34.43,34.39,34.41,3628,20220518
34.38,34.39,34.36,34.36,745,20220518
34.36,34.36,34.34,34.36,2007,20220518
34.36,34.36,34.3206,34.3206,401,20220518
34.32,34.32,34.3,34.31,1145,20220518
34.315,34.315,34.26,34.265,1533,20220518
34.25,34.37,34.25,34.37,2995,20220518
34.36,34.36,34.33,34.33,575,20220518
34.32,34.33,34.27,34.32,2514,20220518
34.3,34.31,34.26,34.3,4927,20220518
34.31,34.31,34.31,34.31,548,20220518
34.29,34.34,34.29,34.34,2262,20220518
34.33,34.36,34.32,34.36,800,20220518
34.38,34.38,34.35,34.37,1564,20220518
34.33,34.33,34.32,34.33,400,20220518
34.34,34.38,34.34,34.37,2763,20220518
34.39,34.4,34.375,34.4,1004,20220518
34.41,34.41,34.37,34.37,1357,20220518
34.36,34.39,34.36,34.39,1300,20220518
34.39,34.4,34.33,34.33,1100,20220518
34.34,34.345,34.34,34.345,400,20220518
34.32,34.33,34.31,34.31,639,20220518
34.31,34.319,34.29,34.29,2092,20220518
34.28,34.309,34.28,34.295,1200,20220518
34.29,34.3,34.27,34.29,3118,20220518
34.31,34.32,34.28,34.28,1717,20220518
34.29,34.29,34.28,34.28,600,20220518
34.26,34.27,34.18,34.2,5088,20220518
34.206,34.206,34.15,34.15,3902,20220518
34.15,34.2,34.14,34.2,2590,20220518
34.22,34.22,34.2,34.2,700,20220518
34.19,34.23,34.185,34.225,2537,20220518
34.23,34.23,34.17,34.17,1318,20220518
34.16,34.16,34.16,34.16,212,20220518
34.16,34.16,34.15,34.15,500,20220518
34.145,34.19,34.13,34.17,7574,20220518
34.17,34.17,34.14,34.16,2155,20220518
34.14,34.16,34.13,34.14,1854,20220518
34.15,34.157,34.1,34.11,711,20220518
34.08,34.08,34.08,34.08,500,20220518
34.055,34.06,34.03,34.03,2900,20220518
34.02,34.04,34.02,34.03,1744,20220518
34.025,34.03,34.0,34.0,807,20220518
34.0,34.0,33.97,33.99,9791,20220518
33.975,34.01,33.96,33.995,3282,20220518
33.995,34.01,33.99,34.0,1034,20220518
34.01,34.01,33.98,34.01,3204,20220518
34.015,34.055,34.015,34.04,4194,20220518
34.0404,34.07,34.04,34.07,2250,20220518
34.045,34.06,34.045,34.06,1210,20220518
34.08,34.15,34.08,34.15,1700,20220518
34.15,34.18,34.15,34.18,1710,20220518
34.17,34.17,34.13,34.15,1400,20220518
