open,high,low,close,volume,datetime
97.86,98.36,97.23,97.27,45008,20220518
97.28,97.51,97.14,97.25,6231,20220518
97.26,97.35,97.06,97.35,2196,20220518
97.445,97.81,97.41,97.81,9534,20220518
97.72,97.96,97.59,97.96,8567,20220518
97.975,98.15,97.81,98.15,5029,20220518
98.17,98.17,97.75,97.86,3303,20220518
97.86,97.97,97.71,97.955,7003,20220518
97.935,97.95,97.8,97.86,2198,20220518
97.845,97.85,97.635,97.72,3969,20220518
97.7,97.8,97.665,97.775,1615,20220518
97.775,97.84,97.7224,97.735,5122,20220518
97.74,97.76,97.58,97.65,3728,20220518
97.655,97.66,97.33,97.6,6091,20220518
97.605,97.71,97.6,97.665,6289,20220518
97.645,97.75,97.61,97.7346,5717,20220518
97.7,97.7,97.535,97.54,5481,20220518
97.61,97.95,97.6,97.67,14207,20220518
97.67,97.76,97.645,97.67,3460,20220518
97.6,97.6,97.4,97.51,2089,20220518
97.515,97.64,97.4,97.44,3256,20220518
97.32,97.32,97.14,97.15,1100,20220518
97.02,97.16,97.02,97.11,2500,20220518
97.02,97.07,96.97,96.97,991,20220518
97.02,97.02,96.99,97.0,938,20220518
96.96,97.05,96.82,96.86,2352,20220518
96.83,96.889,96.83,96.85,2293,20220518
96.84,96.96,96.78,96.95,3668,20220518
96.94,96.94,96.885,96.92,1753,20220518
96.92,97.4,96.87,97.07,7647,20220518
97.17,97.17,96.79,96.84,6935,20220518
96.78,97.12,96.77,97.1,7457,20220518
97.09,97.09,96.97,97.07,1932,20220518
97.01,97.06,96.93,97.04,3638,20220518
97.01,97.07,96.91,96.91,1913,20220518
96.91,97.02,96.905,96.975,1680,20220518
96.975,97.075,96.95,96.995,2611,20220518
96.94,97.04,96.935,96.99,1934,20220518
96.98,96.992,96.85,96.91,1685,20220518
96.89,96.89,96.69,96.73,1834,20220518
96.65,96.706,96.5,96.5877,7380,20220518
96.589,96.6499,96.46,96.5203,7303,20220518
96.5464,96.6026,96.48,96.48,4369,20220518
96.5,96.6,96.5,96.53,1139,20220518
96.59,96.62,96.54,96.61,931,20220518
96.58,96.69,96.58,96.69,1182,20220518
96.73,96.73,96.62,96.67,2609,20220518
96.64,96.67,96.48,96.64,2530,20220518
96.64,96.66,96.58,96.66,5726,20220518
96.65,96.69,96.445,96.54,5649,20220518
96.54,96.6215,96.54,96.575,1511,20220518
96.56,96.61,96.48,96.48,1550,20220518
96.49,96.53,96.49,96.53,1891,20220518
96.48,96.53,96.43,96.43,4496,20220518
96.41,96.5,96.33,96.48,2330,20220518
96.48,96.55,96.48,96.51,2508,20220518
96.45,96.53,96.45,96.48,2187,20220518
96.48,96.49,96.41,96.49,1963,20220518
96.45,96.45,96.37,96.39,1700,20220518
96.33,96.36,96.18,96.18,3265,20220518
96.13,96.21,96.06,96.21,4358,20220518
96.14,96.15,96.11,96.13,2411,20220518
96.1,96.1,95.99,95.99,2140,20220518
96.0,96.14,95.99,96.105,3826,20220518
96.1,96.2,96.05,96.145,4683,20220518
96.155,96.155,96.07,96.13,1607,20220518
96.13,96.2,96.13,96.1599,3123,20220518
96.14,96.21,96.14,96.21,400,20220518
96.175,96.31,96.175,96.27,2362,20220518
96.3,96.32,96.23,96.27,1805,20220518
96.3,96.3,96.18,96.18,1100,20220518
96.18,96.33,96.13,96.25,17877,20220518
96.285,96.285,96.24,96.27,3779,20220518
96.29,96.29,96.2,96.24,1372,20220518
96.28,96.32,96.17,96.17,2044,20220518
96.17,96.17,96.1,96.1,1477,20220518
96.11,96.15,96.07,96.15,3132,20220518
96.18,96.23,96.115,96.115,2593,20220518
96.105,96.16,96.06,96.14,1727,20220518
96.14,96.14,96.055,96.115,2023,20220518
96.125,96.125,95.99,95.99,1284,20220518
95.98,96.05,95.9503,96.05,2274,20220518
96.08,96.08,96.0,96.03,3874,20220518
96.03,96.03,96.0,96.03,923,20220518
96.04,96.1,96.04,96.054,1900,20220518
96.06,96.27,96.06,96.25,8145,20220518
96.24,96.3,96.24,96.26,3279,20220518
96.25,96.35,96.16,96.34,8017,20220518
96.34,96.48,96.32,96.37,4367,20220518
96.38,96.4099,96.34,96.395,2858,20220518
96.43,96.43,96.23,96.28,2938,20220518
96.32,96.39,96.295,96.39,1122,20220518
96.34,96.42,96.3,96.3,3436,20220518
96.27,96.28,96.235,96.245,860,20220518
96.27,96.33,96.26,96.32,4807,20220518
96.36,96.492,96.36,96.45,4062,20220518
96.4599,96.48,96.3,96.3,5057,20220518
96.32,96.45,96.31,96.43,8866,20220518
96.44,96.54,96.44,96.49,6344,20220518
96.485,96.59,96.46,96.55,5032,20220518
96.58,96.58,96.34,96.34,5213,20220518
96.32,96.385,96.32,96.385,2291,20220518
96.39,96.39,96.39,96.39,200,20220518
96.39,96.4,96.39,96.39,1000,20220518
96.39,96.39,96.39,96.39,861,20220518
96.39,96.41,96.37,96.395,1811,20220518
96.39,96.42,96.36,96.38,9402,20220518
96.39,96.4,96.36,96.4,1386,20220518
96.4,96.4,96.37,96.37,2124,20220518
96.38,96.4,96.35,96.35,3746,20220518
96.4,96.4,96.34,96.35,3737,20220518
96.35,96.35,96.29,96.29,2124,20220518
96.28,96.3,96.14,96.14,3896,20220518
96.1,96.32,96.07,96.15,7182,20220518
96.15,96.15,96.035,96.1,2897,20220518
96.12,96.175,96.1,96.13,2925,20220518
96.1,96.13,96.05,96.09,822,20220518
96.09,96.13,96.05,96.13,1385,20220518
96.09,96.12,96.09,96.12,1131,20220518
96.1,96.12,95.98,96.05,2056,20220518
96.05,96.05,95.875,95.875,1411,20220518
95.86,95.93,95.86,95.91,900,20220518
95.92,95.99,95.91,95.99,1712,20220518
95.955,96.06,95.955,96.035,1210,20220518
96.03,96.12,96.03,96.12,2415,20220518
96.12,96.21,96.12,96.195,2395,20220518
96.17,96.27,96.17,96.27,3805,20220518
96.27,96.36,96.24,96.3,5970,20220518
96.29,96.29,96.26,96.26,1217,20220518
96.27,96.27,96.23,96.26,1497,20220518
96.27,96.27,96.21,96.25,3858,20220518
96.28,96.33,96.28,96.3,950,20220518
96.3,96.36,96.25,96.36,1783,20220518
96.35,96.35,96.3,96.3,4078,20220518
96.3,96.41,96.26,96.41,2553,20220518
96.4,96.405,96.27,96.29,3737,20220518
96.305,96.42,96.29,96.36,4849,20220518
96.3,96.3,96.28,96.3,584,20220518
96.27,96.34,96.26,96.26,5215,20220518
96.245,96.28,96.225,96.28,534,20220518
96.25,96.32,96.24,96.32,2859,20220518
96.3,96.31,96.29,96.29,655,20220518
96.28,96.29,96.245,96.245,1626,20220518
96.22,96.24,96.15,96.17,6189,20220518
96.145,96.2,96.1,96.1,2048,20220518
96.1,96.14,96.065,96.12,1935,20220518
96.14,96.275,96.12,96.23,8425,20220518
96.235,96.34,96.235,96.32,7598,20220518
96.34,96.42,96.3,96.34,13418,20220518
96.35,96.43,96.33,96.39,13914,20220518
96.36,96.435,96.35,96.41,2297,20220518
96.4,96.44,96.36,96.42,3038,20220518
96.41,96.45,96.325,96.33,2829,20220518
96.31,96.41,96.31,96.41,2091,20220518
96.41,96.45,96.395,96.395,1265,20220518
96.36,96.37,96.33,96.34,1533,20220518
96.35,96.42,96.34,96.35,2973,20220518
96.35,96.37,96.3,96.3,956,20220518
96.3,96.3,96.22,96.25,2812,20220518
96.275,96.36,96.26,96.36,2732,20220518
96.35,96.435,96.35,96.37,9186,20220518
96.35,96.36,96.3136,96.36,1603,20220518
96.39,96.41,96.3,96.3,1524,20220518
96.36,96.3723,96.31,96.31,844,20220518
96.285,96.32,96.285,96.32,487,20220518
96.31,96.36,96.31,96.3101,1691,20220518
96.325,96.35,96.325,96.34,992,20220518
96.35,96.42,96.325,96.37,1900,20220518
96.4,96.4,96.32,96.32,500,20220518
96.3,96.35,96.29,96.34,1402,20220518
96.34,96.35,96.2915,96.32,2177,20220518
96.31,96.31,96.2,96.2,1722,20220518
96.215,96.35,96.21,96.29,8100,20220518
96.28,96.36,96.25,96.275,18685,20220518
96.275,96.39,96.27,96.35,29841,20220518
96.35,96.365,96.27,96.27,6022,20220518
96.295,96.34,96.28,96.29,4652,20220518
96.27,96.275,96.24,96.25,3274,20220518
96.25,96.28,96.2,96.2577,15818,20220518
96.2794,96.3271,96.27,96.3271,2902,20220518
96.3,96.3,96.25,96.25,1492,20220518
96.25,96.34,96.25,96.32,4130,20220518
96.32,96.37,96.3,96.37,4915,20220518
96.38,96.4,96.29,96.335,9523,20220518
96.33,96.43,96.33,96.42,8812,20220518
96.4,96.415,96.37,96.375,2450,20220518
96.37,96.41,96.32,96.32,4367,20220518
96.32,96.345,96.27,96.305,8342,20220518
96.29,96.29,96.25,96.26,3600,20220518
96.29,96.38,96.28,96.36,10209,20220518
96.36,96.36,96.23,96.27,7899,20220518
96.26,96.27,96.26,96.27,200,20220518
96.23,96.27,96.22,96.25,2651,20220518
96.26,96.3,96.26,96.27,792,20220518
96.2744,96.2744,96.22,96.22,2587,20220518
96.225,96.28,96.2,96.23,2339,20220518
96.23,96.29,96.23,96.29,2540,20220518
96.31,96.38,96.3,96.38,2428,20220518
96.37,96.37,96.28,96.29,868,20220518
96.31,96.35,96.29,96.35,1335,20220518
96.33,96.43,96.33,96.43,2158,20220518
96.39,96.43,96.39,96.39,1100,20220518
96.37,96.39,96.36,96.38,1200,20220518
96.36,96.36,96.36,96.36,1109,20220518
96.34,96.38,96.33,96.375,3023,20220518
96.38,96.38,96.33,96.33,1492,20220518
96.33,96.33,96.245,96.245,1440,20220518
96.22,96.29,96.22,96.29,1734,20220518
96.29,96.3,96.26,96.3,4676,20220518
96.3,96.31,96.26,96.3,2409,20220518
96.32,96.32,96.25,96.25,4742,20220518
96.235,96.25,96.22,96.24,3200,20220518
96.26,96.27,96.21,96.21,2081,20220518
96.21,96.25,96.2,96.21,1500,20220518
96.2,96.23,96.2,96.22,776,20220518
96.24,96.24,96.15,96.155,5122,20220518
96.16,96.19,96.16,96.19,2493,20220518
96.18,96.19,96.15,96.16,5764,20220518
96.15,96.15,96.1,96.1,2948,20220518
96.1,96.11,95.995,96.0,6149,20220518
96.03,96.05,96.02,96.04,1932,20220518
96.05,96.13,96.04,96.11,13489,20220518
96.14,96.18,96.06,96.11,21408,20220518
96.09,96.09,96.02,96.06,7980,20220518
96.04,96.18,96.04,96.17,11791,20220518
96.1704,96.1704,96.1,96.11,20920,20220518
96.11,96.125,96.03,96.03,13340,20220518
96.03,96.05,96.0,96.0,6871,20220518
96.02,96.07,96.02,96.045,3846,20220518
96.03,96.03,95.84,95.84,13763,20220518
95.865,95.97,95.84,95.91,8624,20220518
95.95,95.975,95.9,95.9,4218,20220518
95.86,95.92,95.835,95.92,4762,20220518
95.9394,95.99,95.93,95.96,5398,20220518
96.0,96.03,95.95,95.95,18067,20220518
95.96,96.0,95.9492,96.0,3914,20220518
95.98,95.99,95.94,95.96,5493,20220518
95.96,95.97,95.9,95.92,3662,20220518
95.94,95.995,95.94,95.995,1900,20220518
95.97,96.0,95.92,95.92,2506,20220518
95.92,95.935,95.87,95.895,11682,20220518
95.92,96.0,95.92,95.995,2370,20220518
96.0,96.0,95.93,95.93,8324,20220518
95.92,95.99,95.91,95.99,4313,20220518
96.02,96.05,96.01,96.05,974,20220518
96.03,96.1,96.01,96.02,3640,20220518
96.013,96.04,96.01,96.01,991,20220518
96.02,96.09,96.01,96.065,2208,20220518
96.06,96.06,96.035,96.05,2222,20220518
96.03,96.07,96.03,96.07,3487,20220518
96.07,96.0826,96.05,96.05,8471,20220518
96.05,96.06,96.01,96.02,3829,20220518
95.99,96.0,95.945,95.95,6803,20220518
95.94,95.94,95.9,95.9,2852,20220518
95.9,95.92,95.87,95.875,12771,20220518
95.89,95.91,95.85,95.86,2945,20220518
95.865,95.92,95.86,95.88,4006,20220518
95.89,95.89,95.82,95.82,6798,20220518
95.8,95.86,95.77,95.84,5455,20220518
95.84,95.845,95.8,95.81,5855,20220518
95.81,95.81,95.742,95.75,3939,20220518
95.75,95.82,95.75,95.77,2578,20220518
95.75,95.77,95.71,95.71,4519,20220518
95.7,95.705,95.63,95.645,4266,20220518
95.65,95.74,95.64,95.73,10354,20220518
95.72,95.72,95.63,95.64,6006,20220518
95.65,95.67,95.57,95.57,9430,20220518
95.59,95.78,95.58,95.6471,19407,20220518
95.695,95.82,95.68,95.81,32871,20220518
95.82,95.85,95.695,95.78,24043,20220518
95.75,95.81,95.66,95.7,16276,20220518
95.71,95.8,95.7,95.75,10937,20220518
95.73,95.75,95.65,95.65,2987,20220518
95.615,95.62,95.58,95.585,1187,20220518
95.58,95.65,95.58,95.62,6291,20220518
95.625,95.655,95.6,95.65,3861,20220518
95.63,95.67,95.6,95.61,3663,20220518
95.62,95.69,95.595,95.67,9635,20220518
95.665,95.69,95.625,95.64,12620,20220518
95.68,95.78,95.68,95.78,1973,20220518
95.77,95.77,95.65,95.675,3500,20220518
95.7,95.72,95.61,95.61,1001,20220518
95.58,95.58,95.48,95.52,2214,20220518
95.48,95.48,95.3806,95.39,3281,20220518
95.39,95.42,95.36,95.39,9081,20220518
95.425,95.48,95.29,95.315,9820,20220518
95.25,95.51,95.25,95.45,6478,20220518
95.4,95.45,95.3207,95.39,849,20220518
95.38,95.45,95.37,95.37,1614,20220518
95.41,95.5297,95.4,95.5297,24413,20220518
95.5,95.55,95.49,95.51,2260,20220518
95.44,95.5,95.42,95.5,1637,20220518
95.53,95.575,95.5276,95.5276,2182,20220518
95.48,95.58,95.45,95.58,3482,20220518
95.56,95.56,95.51,95.535,1823,20220518
95.55,95.58,95.53,95.56,2092,20220518
95.52,95.6,95.52,95.58,1379,20220518
95.6,95.615,95.585,95.6,1934,20220518
95.59,95.63,95.59,95.63,1100,20220518
95.62,95.62,95.585,95.585,903,20220518
95.56,95.66,95.545,95.545,5570,20220518
95.52,95.52,95.4,95.4,810,20220518
95.41,95.455,95.395,95.45,3830,20220518
95.45,95.45,95.41,95.41,589,20220518
95.43,95.43,95.38,95.39,2151,20220518
95.39,95.41,95.35,95.37,1984,20220518
95.34,95.34,95.215,95.215,795,20220518
95.16,95.21,95.16,95.19,1776,20220518
95.195,95.34,95.195,95.32,2209,20220518
95.3,95.34,95.25,95.26,1100,20220518
95.28,95.41,95.28,95.37,4135,20220518
95.37,95.37,95.31,95.33,932,20220518
95.34,95.34,95.2501,95.28,4315,20220518
95.28,95.28,95.23,95.2457,1746,20220518
95.23,95.255,95.2,95.2479,2391,20220518
95.26,95.26,95.1973,95.22,2059,20220518
95.2,95.24,95.2,95.23,2634,20220518
95.21,95.22,95.16,95.18,3672,20220518
95.155,95.29,95.07,95.29,5481,20220518
95.29,95.34,95.28,95.3,1983,20220518
95.27,95.335,95.24,95.28,3588,20220518
95.27,95.27,95.17,95.2,3658,20220518
95.17,95.18,95.13,95.175,1228,20220518
95.13,95.21,95.11,95.1951,4367,20220518
95.18,95.18,95.07,95.12,2440,20220518
95.08,95.18,95.08,95.16,3771,20220518
95.14,95.145,95.07,95.07,1194,20220518
95.07,95.11,95.05,95.07,3044,20220518
95.05,95.05,94.95,94.95,3830,20220518
94.9,95.02,94.9,94.95,3830,20220518
94.95,95.07,94.95,95.05,1902,20220519
95.01,95.03,94.955,95.0,1927,20220519
95.0,95.03,94.965,94.965,2277,20220519
94.98,95.02,94.9696,94.99,3318,20220519
94.98,94.99,94.97,94.97,1202,20220519
94.96,95.08,94.96,95.065,4612,20220519
95.04,95.09,95.02,95.09,2066,20220519
95.07,95.16,95.06,95.15,1512,20220519
95.12,95.12,95.01,95.03,2507,20220519
95.03,95.05,94.94,94.94,4460,20220519
94.925,95.05,94.925,95.05,3842,20220519
95.03,95.09,94.98,95.08,4387,20220519
95.05,95.08,95.01,95.08,4330,20220519
95.07,95.07,94.9104,94.935,2398,20220519
94.98,94.98,94.91,94.935,4856,20220519
94.9,95.07,94.9,95.01,5581,20220519
94.99,95.06,94.9773,95.02,2259,20220519
95.02,95.035,94.97,94.975,2935,20220519
94.96,94.99,94.91,94.92,2726,20220519
94.91,94.97,94.91,94.95,3611,20220519
94.93,95.06,94.93,95.05,4411,20220519
95.02,95.06,94.95,94.95,2745,20220519
94.9205,94.9205,94.78,94.88,3409,20220519
94.86,94.86,94.8,94.8,1840,20220519
94.8,94.8,94.74,94.76,3759,20220519
