open,high,low,close,volume,datetime
361.59,361.59,361.15,361.15,5881,20220518
361.725,361.725,361.725,361.725,100,20220518
360.86,361.66,360.86,361.66,300,20220518
360.53,361.31,360.44,361.06,800,20220518
361.405,361.405,361.405,361.405,215,20220518
361.055,361.055,360.0,360.0,1300,20220518
358.89,358.94,358.67,358.76,700,20220518
358.08,358.08,358.08,358.08,100,20220518
357.46,357.62,357.12,357.12,300,20220518
357.82,357.895,357.82,357.895,200,20220518
358.02,358.02,357.47,357.47,235,20220518
357.0,357.0,357.0,357.0,100,20220518
356.725,357.8,356.725,357.47,1120,20220518
356.98,356.98,355.71,355.71,300,20220518
356.76,357.77,356.76,357.27,800,20220518
357.545,357.545,356.36,356.36,1000,20220518
356.27,357.48,356.27,357.48,717,20220518
356.575,356.575,356.575,356.575,100,20220518
355.81,355.81,355.79,355.79,841,20220518
355.695,355.695,355.17,355.17,300,20220518
355.4,356.71,355.4,356.71,500,20220518
356.46,357.53,356.46,357.53,304,20220518
357.74,357.74,357.74,357.74,240,20220518
357.09,357.22,356.755,356.795,600,20220518
356.855,357.41,356.83,356.835,595,20220518
356.36,356.36,354.9,354.9,600,20220518
355.77,356.27,355.77,356.27,200,20220518
355.87,355.87,355.87,355.87,100,20220518
356.34,356.61,356.25,356.61,500,20220518
356.39,356.55,356.39,356.55,200,20220518
356.69,356.995,356.69,356.995,200,20220518
357.01,357.37,357.01,357.37,859,20220518
357.4091,358.24,357.15,357.15,6493,20220518
356.85,357.095,356.69,356.69,928,20220518
356.46,357.205,356.46,357.205,500,20220518
357.62,357.62,356.83,357.42,1018,20220518
356.89,356.89,356.605,356.84,600,20220518
357.66,357.66,356.3,356.3,400,20220518
356.83,356.83,356.73,356.73,200,20220518
356.94,356.94,356.47,356.47,203,20220518
356.66,356.79,356.66,356.79,200,20220518
356.73,357.21,356.73,357.21,500,20220518
357.85,358.37,357.85,358.37,600,20220518
357.87,357.95,357.87,357.95,400,20220518
357.585,357.585,357.39,357.39,700,20220518
357.34,357.63,357.34,357.63,200,20220518
357.57,358.3,357.57,358.3,300,20220518
357.33,357.48,357.33,357.41,400,20220518
357.93,357.93,357.88,357.88,600,20220518
358.365,358.365,358.365,358.365,100,20220518
358.26,358.86,358.25,358.86,1110,20220518
357.965,359.05,357.965,358.15,700,20220518
358.885,358.885,358.885,358.885,100,20220518
359.675,359.675,359.675,359.675,100,20220518
359.42,359.42,359.19,359.4,1000,20220518
359.055,359.055,359.055,359.055,100,20220518
359.06,359.49,358.77,358.77,2511,20220518
357.605,357.605,357.605,357.605,100,20220518
358.17,358.46,357.79,358.46,500,20220518
357.77,357.77,357.77,357.77,100,20220518
357.88,358.125,357.82,357.82,397,20220518
357.9,358.03,357.61,357.61,500,20220518
357.225,357.225,357.225,357.225,100,20220518
357.67,357.67,357.62,357.62,300,20220518
357.99,357.99,357.99,357.99,100,20220518
358.23,358.54,358.23,358.54,400,20220518
358.08,358.08,357.93,357.93,200,20220518
358.28,358.28,358.28,358.28,100,20220518
358.25,358.5,358.24,358.475,600,20220518
358.31,358.51,358.26,358.46,600,20220518
358.11,358.11,358.11,358.11,100,20220518
