open,high,low,close,volume,datetime
128.31,128.31,128.03,128.2731,16697,20220518
128.49,128.65,128.49,128.65,228,20220518
128.94,129.355,128.89,128.89,1061,20220518
128.82,129.13,128.82,129.13,532,20220518
129.0,129.0,129.0,129.0,100,20220518
129.13,129.13,128.94,129.02,400,20220518
128.91,128.96,128.29,128.96,1394,20220518
128.78,128.88,128.665,128.88,300,20220518
128.87,128.87,128.87,128.87,100,20220518
128.81,128.81,128.36,128.36,1948,20220518
128.57,128.57,128.04,128.04,1886,20220518
128.32,128.32,127.94,128.32,500,20220518
128.32,128.32,128.32,128.32,100,20220518
127.97,128.29,127.85,128.29,2110,20220518
128.29,128.31,128.25,128.25,600,20220518
128.04,128.225,128.03,128.225,400,20220518
128.11,128.265,128.09,128.265,2100,20220518
128.07,128.47,128.06,128.47,1590,20220518
128.395,128.42,128.355,128.355,500,20220518
128.24,128.42,128.22,128.42,687,20220518
128.42,128.62,128.37,128.37,3300,20220518
128.36,128.66,128.36,128.49,1000,20220518
128.41,128.41,128.41,128.41,200,20220518
128.49,128.62,128.37,128.37,1505,20220518
128.42,128.42,128.42,128.42,100,20220518
128.32,128.32,128.19,128.19,300,20220518
128.18,128.2,128.13,128.13,322,20220518
128.19,128.22,128.08,128.08,1537,20220518
128.22,128.22,128.22,128.22,600,20220518
128.22,128.38,128.22,128.375,900,20220518
128.375,128.375,128.17,128.17,200,20220518
128.43,128.45,128.33,128.45,300,20220518
128.38,128.58,128.35,128.57,1524,20220518
128.38,128.48,128.35,128.45,1735,20220518
128.42,128.42,128.28,128.38,1713,20220518
128.18,128.18,128.18,128.18,200,20220518
128.0,128.0,128.0,128.0,100,20220518
128.07,128.08,128.01,128.01,634,20220518
128.02,128.04,128.02,128.04,600,20220518
128.065,128.065,127.99,128.06,1065,20220518
127.99,128.01,127.88,127.88,1400,20220518
128.01,128.18,128.01,128.18,1000,20220518
128.2,128.2,128.07,128.2,300,20220518
128.25,128.28,128.19,128.28,2300,20220518
128.27,128.27,128.14,128.25,3595,20220518
128.165,128.36,128.05,128.19,9490,20220518
128.19,128.39,128.17,128.21,4031,20220518
128.21,128.5,128.05,128.5,2400,20220518
128.44,128.56,128.41,128.495,1278,20220518
128.55,128.57,128.43,128.53,2184,20220518
128.48,128.48,128.48,128.48,200,20220518
128.41,128.65,128.37,128.65,2916,20220518
128.67,128.67,128.67,128.67,100,20220518
128.74,128.98,128.74,128.98,1500,20220518
128.93,129.06,128.842,129.06,2300,20220518
129.11,129.11,129.075,129.075,1700,20220518
129.01,129.11,128.67,128.67,3121,20220518
128.63,128.63,128.63,128.63,200,20220518
128.46,128.46,128.425,128.425,460,20220518
128.38,128.53,128.38,128.46,1245,20220518
128.495,128.495,128.3,128.3,790,20220518
128.31,128.32,128.13,128.13,585,20220518
128.2,128.44,128.2,128.355,3739,20220518
128.43,128.43,128.4,128.4,300,20220518
128.48,128.52,128.385,128.46,864,20220518
128.52,128.52,128.46,128.48,555,20220518
128.575,128.575,128.575,128.575,100,20220518
128.51,128.58,128.47,128.58,2289,20220518
128.62,128.63,128.62,128.63,300,20220518
128.68,128.73,128.68,128.68,335,20220518
128.68,128.68,128.63,128.68,601,20220518
128.57,128.57,128.52,128.52,500,20220518
128.48,128.48,128.47,128.47,315,20220518
128.43,128.46,128.31,128.31,6904,20220518
128.26,128.41,128.26,128.3,1600,20220518
128.3,128.3,128.3,128.3,100,20220518
128.225,128.23,128.17,128.23,300,20220518
128.11,128.11,128.11,128.11,100,20220518
128.19,128.19,128.19,128.19,100,20220518
128.12,128.12,128.12,128.12,100,20220518
128.16,128.22,128.15,128.17,1180,20220518
128.19,128.34,128.19,128.33,303,20220518
128.38,128.43,128.35,128.36,1765,20220518
128.45,128.46,128.365,128.365,906,20220518
128.31,128.33,128.31,128.31,300,20220518
128.21,128.25,128.21,128.235,841,20220518
128.2,128.21,128.175,128.21,505,20220518
128.15,128.17,128.09,128.11,1200,20220518
128.08,128.11,127.96,127.96,1523,20220518
127.91,127.91,127.86,127.87,400,20220518
127.835,127.99,127.8,127.98,2900,20220518
127.99,127.99,127.99,127.99,200,20220518
128.07,128.1,127.94,128.01,1446,20220518
127.94,128.025,127.92,128.025,500,20220518
128.01,128.01,127.99,127.99,200,20220518
127.97,127.97,127.965,127.965,374,20220518
127.93,127.96,127.82,127.82,2504,20220518
127.91,127.93,127.88,127.93,400,20220518
127.97,127.97,127.97,127.97,100,20220518
127.925,127.925,127.925,127.925,100,20220518
127.89,127.925,127.88,127.89,3451,20220518
127.88,127.88,127.67,127.67,2570,20220518
127.62,127.68,127.62,127.68,300,20220518
127.62,127.68,127.58,127.62,2099,20220518
127.605,127.69,127.605,127.68,300,20220518
127.71,127.76,127.7,127.71,980,20220518
127.77,127.77,127.68,127.7,400,20220518
127.72,127.76,127.72,127.72,500,20220518
127.76,127.76,127.7,127.74,1000,20220518
127.74,127.74,127.67,127.685,2401,20220518
127.685,127.79,127.685,127.76,1403,20220518
127.72,127.72,127.68,127.69,676,20220518
127.71,127.72,127.675,127.675,688,20220518
127.67,127.67,127.62,127.64,1601,20220518
127.66,127.66,127.61,127.66,1700,20220518
127.7,127.7,127.575,127.575,1777,20220518
127.59,127.67,127.59,127.65,1000,20220518
127.64,127.76,127.64,127.67,2974,20220518
127.73,127.73,127.73,127.73,100,20220518
127.77,127.77,127.77,127.77,114,20220518
127.82,127.91,127.77,127.78,1805,20220518
127.74,127.91,127.7125,127.86,2400,20220518
127.865,127.99,127.83,127.99,1000,20220518
127.94,127.99,127.94,127.99,200,20220518
127.91,127.98,127.91,127.97,500,20220518
127.9786,127.9786,127.84,127.91,2361,20220518
127.97,128.05,127.97,128.05,228,20220518
128.035,128.11,128.035,128.07,800,20220518
128.08,128.13,128.08,128.08,689,20220518
128.08,128.25,128.08,128.2,2501,20220518
128.125,128.125,128.04,128.04,313,20220518
128.06,128.07,128.0,128.0,1061,20220518
127.97,128.0,127.97,127.995,408,20220518
127.995,128.05,127.995,128.05,400,20220518
128.05,128.12,128.05,128.12,1084,20220518
128.06,128.06,128.03,128.03,311,20220518
128.0,128.08,127.97,128.055,3720,20220518
128.09,128.09,127.91,127.92,820,20220518
128.0,128.02,127.9,127.945,1900,20220518
128.02,128.2,128.01,128.2,4662,20220518
128.19,128.19,128.13,128.13,690,20220518
128.18,128.2,128.18,128.19,400,20220518
128.25,128.33,128.195,128.33,2492,20220518
128.32,128.385,128.32,128.365,400,20220518
128.39,128.42,128.28,128.42,1707,20220518
128.38,128.43,128.32,128.42,7152,20220518
128.41,128.42,128.3,128.42,1946,20220518
128.41,128.41,128.38,128.41,300,20220518
128.41,128.41,128.315,128.38,2264,20220518
128.305,128.305,128.305,128.305,100,20220518
128.34,128.39,128.34,128.375,1230,20220518
128.3,128.315,128.28,128.3,515,20220518
128.29,128.29,128.25,128.25,1219,20220518
128.23,128.31,128.23,128.31,201,20220518
128.24,128.27,128.2,128.22,1700,20220518
128.27,128.35,128.27,128.35,500,20220518
128.36,128.36,128.36,128.36,100,20220518
128.37,128.43,128.35,128.43,1207,20220518
128.45,128.6,128.45,128.6,800,20220518
128.6,128.6,128.52,128.52,1527,20220518
128.51,128.63,128.5,128.6,1102,20220518
128.66,128.67,128.66,128.67,300,20220518
128.65,128.65,128.57,128.62,1730,20220518
128.63,128.63,128.605,128.605,200,20220518
128.6,128.63,128.6,128.63,221,20220518
128.53,128.53,128.47,128.52,2104,20220518
128.54,128.54,128.4475,128.4475,1162,20220518
128.53,128.5769,128.475,128.53,578,20220518
128.45,128.515,128.45,128.515,200,20220518
128.43,128.43,128.43,128.43,100,20220518
128.47,128.5,128.47,128.48,2400,20220518
128.49,128.49,128.49,128.49,300,20220518
128.46,128.51,128.46,128.48,817,20220518
128.55,128.6,128.54,128.6,907,20220518
128.59,128.59,128.59,128.59,100,20220518
128.55,128.62,128.55,128.62,600,20220518
128.58,128.6,128.58,128.6,201,20220518
128.63,128.705,128.63,128.69,1339,20220518
128.66,128.66,128.63,128.63,358,20220518
128.62,128.62,128.58,128.58,300,20220518
128.66,128.66,128.66,128.66,100,20220518
128.63,128.63,128.63,128.63,200,20220518
128.615,128.615,128.59,128.61,1150,20220518
