open,high,low,close,volume,datetime
239.39,240.34,238.0,239.97,40125,20220518
239.91,241.26,239.89,241.22,1980,20220518
241.72,242.31,241.695,242.22,1000,20220518
242.63,244.15,241.84,244.15,2000,20220518
244.59,244.73,243.87,244.395,3636,20220518
244.38,244.775,243.12,244.51,3800,20220518
245.33,245.33,243.48,243.835,2002,20220518
243.71,244.535,243.33,244.535,1500,20220518
245.3,245.34,244.74,245.13,806,20220518
244.74,244.96,243.02,243.615,4974,20220518
243.94,244.41,243.35,243.85,3016,20220518
244.33,244.5809,243.84,244.095,2039,20220518
244.2,245.24,244.01,244.23,2300,20220518
245.005,245.99,244.61,245.91,4619,20220518
246.14,246.6,245.48,246.5,3823,20220518
246.785,247.84,246.32,247.84,5500,20220518
248.18,248.24,245.8001,246.19,5100,20220518
246.67,246.73,246.06,246.325,4400,20220518
246.63,247.0,245.54,246.05,4538,20220518
246.21,246.805,246.0,246.52,2099,20220518
246.65,246.785,246.0543,246.31,3033,20220518
246.13,247.14,246.13,246.765,5063,20220518
246.7,247.99,246.39,247.99,5382,20220518
247.85,248.815,247.67,248.0,3918,20220518
248.26,248.5,247.48,248.5,2000,20220518
247.85,248.165,247.3,247.685,2600,20220518
247.74,248.28,247.25,247.45,16045,20220518
247.45,247.45,246.36,246.585,2400,20220518
246.0,246.0,244.65,245.07,5118,20220518
245.03,245.1,244.26,245.1,992,20220518
245.215,245.215,244.45,244.71,600,20220518
244.92,245.23,244.26,245.0615,4045,20220518
244.63,245.41,244.63,245.19,1400,20220518
245.13,245.13,244.86,244.86,1700,20220518
244.34,245.09,243.5945,244.56,3434,20220518
244.33,245.38,244.33,245.38,1100,20220518
245.34,245.37,245.03,245.12,1396,20220518
245.35,245.36,244.645,244.965,1500,20220518
244.63,245.01,243.89,245.01,3604,20220518
244.69,244.69,243.67,244.58,700,20220518
243.765,243.985,243.72,243.93,600,20220518
243.61,244.23,242.57,242.57,2320,20220518
242.61,243.335,242.61,242.83,1552,20220518
242.59,242.74,241.82,242.47,1774,20220518
242.545,243.295,242.545,243.29,3313,20220518
243.67,243.67,242.49,243.3,2169,20220518
243.325,243.34,242.68,243.34,2433,20220518
243.3,243.33,243.08,243.12,1100,20220518
243.3,244.17,243.27,244.17,2372,20220518
243.58,243.79,243.0,243.79,1525,20220518
243.7606,244.5,243.64,244.5,2023,20220518
244.3378,244.84,244.3378,244.84,700,20220518
244.65,244.91,244.65,244.75,900,20220518
244.04,244.07,243.8,244.07,300,20220518
243.6631,243.8,243.1,243.758,2307,20220518
243.57,243.79,243.52,243.52,750,20220518
243.7,244.86,243.63,244.8,16780,20220518
244.46,244.81,244.155,244.56,7630,20220518
244.78,244.89,244.19,244.19,1500,20220518
244.11,244.11,243.12,243.24,1100,20220518
242.23,242.39,242.23,242.39,300,20220518
242.75,242.88,242.61,242.88,609,20220518
242.48,242.5,241.93,241.93,500,20220518
