open,high,low,close,volume,datetime
74.78,74.8,74.4,74.4,13518,20220518
74.55,74.59,74.44,74.52,805,20220518
74.62,74.93,74.56,74.7,2851,20220518
74.7,74.95,74.69,74.95,1920,20220518
74.925,74.925,74.64,74.82,1800,20220518
74.89,74.89,74.87,74.87,300,20220518
74.93,75.005,74.87,74.97,1404,20220518
74.965,74.965,74.78,74.8,6153,20220518
74.92,74.92,74.58,74.74,3474,20220518
74.7,74.74,74.62,74.74,600,20220518
74.8,74.83,74.51,74.51,3841,20220518
74.605,74.61,74.44,74.44,4890,20220518
74.495,74.64,74.42,74.545,8060,20220518
74.58,74.62,74.45,74.5,4300,20220518
74.5,74.565,74.17,74.17,3909,20220518
74.3,74.43,74.245,74.41,15113,20220518
74.35,74.46,74.32,74.37,2728,20220518
74.4,74.4,74.31,74.31,1974,20220518
74.37,74.445,74.37,74.445,500,20220518
74.38,74.445,74.375,74.4,800,20220518
74.4,74.43,74.36,74.4005,3078,20220518
74.24,74.25,74.17,74.215,2600,20220518
74.205,74.27,74.19,74.265,2200,20220518
74.265,74.265,74.155,74.155,2000,20220518
74.135,74.195,74.095,74.115,1600,20220518
74.21,74.22,74.17,74.2,900,20220518
74.3,74.36,74.26,74.36,4200,20220518
74.37,74.4,74.25,74.25,2702,20220518
74.21,74.23,74.13,74.165,2000,20220518
74.16,74.25,74.16,74.25,900,20220518
74.17,74.21,74.09,74.09,2500,20220518
74.12,74.16,74.0,74.05,4550,20220518
74.06,74.19,74.06,74.19,741,20220518
74.19,74.19,74.08,74.08,500,20220518
74.12,74.22,74.12,74.12,1300,20220518
74.15,74.22,74.15,74.17,800,20220518
74.25,74.25,74.07,74.14,2750,20220518
74.115,74.15,74.045,74.08,2200,20220518
74.02,74.08,74.02,74.055,500,20220518
74.1,74.1,74.03,74.06,1365,20220518
74.06,74.06,74.02,74.02,700,20220518
74.04,74.04,73.96,73.975,1600,20220518
74.0,74.0,73.925,73.925,800,20220518
73.92,73.925,73.84,73.85,2000,20220518
73.88,73.92,73.84,73.92,17238,20220518
73.955,73.955,73.85,73.895,977,20220518
73.93,73.975,73.9,73.975,1550,20220518
73.97,74.02,73.97,74.02,500,20220518
74.055,74.075,74.055,74.075,200,20220518
74.125,74.195,74.125,74.195,400,20220518
74.21,74.24,74.19,74.21,1700,20220518
74.18,74.2,74.12,74.12,1100,20220518
74.09,74.09,74.05,74.05,300,20220518
74.01,74.08,73.96,74.08,17400,20220518
74.095,74.12,74.09,74.115,1100,20220518
74.1,74.1,74.02,74.09,2246,20220518
74.04,74.065,74.02,74.055,1100,20220518
74.09,74.145,74.04,74.04,1100,20220518
74.13,74.19,74.13,74.17,1200,20220518
74.2,74.465,74.17,74.465,1900,20220518
74.38,74.43,74.38,74.42,1521,20220518
74.42,74.42,74.28,74.28,1700,20220518
74.29,74.36,74.26,74.3,1979,20220518
74.27,74.3,74.2,74.2,1034,20220518
74.245,74.25,74.2,74.22,2200,20220518
74.225,74.27,74.225,74.24,2201,20220518
74.245,74.245,74.16,74.16,700,20220518
74.14,74.18,74.14,74.18,400,20220518
74.18,74.22,74.16,74.215,1414,20220518
74.21,74.26,74.18,74.24,2000,20220518
74.275,74.305,74.275,74.305,1100,20220518
74.27,74.34,74.27,74.325,880,20220518
74.325,74.325,74.3099,74.32,703,20220518
74.32,74.385,74.32,74.385,1364,20220518
74.35,74.43,74.34,74.43,436,20220518
74.41,74.465,74.41,74.425,900,20220518
74.4,74.41,74.4,74.41,604,20220518
74.405,74.43,74.38,74.42,700,20220518
74.41,74.42,74.4,74.42,300,20220518
74.42,74.42,74.36,74.36,1304,20220518
74.37,74.37,74.37,74.37,100,20220518
74.335,74.38,74.335,74.38,500,20220518
74.385,74.41,74.34,74.35,4196,20220518
74.31,74.32,74.295,74.32,799,20220518
74.305,74.305,74.305,74.305,200,20220518
74.305,74.35,74.28,74.28,2963,20220518
74.26,74.27,74.23,74.26,1200,20220518
74.27,74.29,74.24,74.27,1200,20220518
74.3,74.35,74.3,74.34,1089,20220518
74.36,74.36,74.24,74.24,2009,20220518
74.23,74.26,74.21,74.26,1400,20220518
74.25,74.25,74.23,74.23,800,20220518
74.25,74.29,74.23,74.28,600,20220518
74.26,74.26,74.17,74.19,1478,20220518
74.15,74.17,74.15,74.17,200,20220518
74.15,74.18,74.1,74.1,1694,20220518
74.08,74.11,74.04,74.04,1200,20220518
74.035,74.035,73.98,73.98,900,20220518
74.02,74.02,74.01,74.01,704,20220518
74.0,74.0,73.995,74.0,1100,20220518
73.99,74.02,73.99,74.015,900,20220518
74.02,74.055,74.02,74.04,1000,20220518
74.055,74.07,74.055,74.07,1275,20220518
74.05,74.07,74.05,74.07,700,20220518
74.06,74.14,74.06,74.14,600,20220518
74.175,74.22,74.175,74.22,1312,20220518
74.24,74.24,74.18,74.18,1334,20220518
74.18,74.18,74.08,74.1,2400,20220518
74.07,74.08,74.05,74.08,1600,20220518
74.095,74.095,74.095,74.095,200,20220518
74.11,74.17,74.1,74.1,1700,20220518
74.105,74.14,74.105,74.14,500,20220518
74.15,74.19,74.15,74.17,300,20220518
74.17,74.17,74.16,74.16,500,20220518
74.16,74.16,74.09,74.09,1703,20220518
74.09,74.12,74.08,74.12,1333,20220518
74.16,74.16,74.155,74.155,300,20220518
74.16,74.18,74.13,74.13,800,20220518
74.13,74.16,74.13,74.14,1132,20220518
74.12,74.17,74.12,74.15,980,20220518
74.15,74.19,74.15,74.165,1105,20220518
74.14,74.22,74.14,74.22,1000,20220518
74.295,74.295,74.28,74.28,900,20220518
74.19,74.225,74.19,74.225,250,20220518
74.19,74.24,74.18,74.24,2200,20220518
74.255,74.255,74.255,74.255,100,20220518
74.28,74.3,74.28,74.3,300,20220518
74.25,74.28,74.23,74.28,1200,20220518
74.26,74.295,74.26,74.295,500,20220518
74.3,74.32,74.28,74.28,2200,20220518
74.295,74.295,74.295,74.295,200,20220518
