open,high,low,close,volume,datetime
364.15,366.89,362.73,363.62,18806,20220518
363.99,365.42,363.96,365.42,2500,20220518
365.985,368.07,365.35,367.355,3191,20220518
366.9,367.6,366.9,367.555,700,20220518
367.88,368.22,367.75,368.22,1000,20220518
367.48,367.48,366.21,367.25,1967,20220518
367.7,368.84,367.7,367.89,1684,20220518
367.0,368.23,367.0,367.9875,2408,20220518
367.87,368.375,367.59,368.06,1908,20220518
365.99,366.21,365.94,365.94,500,20220518
366.63,366.63,366.02,366.02,1419,20220518
365.91,366.09,365.58,365.58,1444,20220518
365.2,365.32,364.59,364.65,806,20220518
364.64,365.1,363.99,365.045,1235,20220518
364.605,364.605,364.41,364.41,547,20220518
363.88,365.68,363.88,364.89,1300,20220518
364.8,364.8,364.49,364.5759,500,20220518
364.205,364.68,363.99,364.68,510,20220518
365.08,365.08,363.82,363.89,1596,20220518
364.5,365.2263,364.015,365.2263,3298,20220518
364.25,364.575,364.19,364.33,1211,20220518
363.89,365.71,363.87,365.095,1800,20220518
365.4,365.92,365.4,365.48,2490,20220518
365.755,366.25,365.7,365.7,300,20220518
365.53,366.29,365.53,365.745,300,20220518
365.47,365.495,364.85,365.255,800,20220518
364.61,365.1,363.59,363.64,1704,20220518
363.64,364.195,363.64,364.195,500,20220518
364.105,364.6464,363.975,364.02,444,20220518
363.97,365.145,363.91,364.915,811,20220518
364.95,365.89,364.74,365.735,1816,20220518
366.35,366.78,366.03,366.74,2102,20220518
366.795,366.835,366.04,366.32,1833,20220518
365.94,366.51,365.83,365.83,936,20220518
365.88,367.42,365.845,367.42,3004,20220518
367.19,367.3,366.84,366.93,917,20220518
367.125,367.3,366.65,366.68,900,20220518
366.46,367.27,366.395,366.95,900,20220518
366.69,366.69,366.27,366.365,600,20220518
365.55,366.15,365.55,365.885,1000,20220518
365.88,366.06,365.65,365.84,1799,20220518
365.84,366.02,365.545,365.77,2135,20220518
365.55,365.965,365.55,365.95,300,20220518
366.43,367.05,366.43,367.05,900,20220518
366.755,367.24,366.53,367.24,1300,20220518
366.87,366.87,366.21,366.57,900,20220518
366.54,366.54,366.04,366.475,400,20220518
365.99,366.8,365.99,366.47,3300,20220518
366.16,366.16,365.24,365.55,1340,20220518
365.25,366.35,365.25,365.95,600,20220518
366.275,366.79,365.9,365.9,1200,20220518
366.045,366.34,365.85,365.93,854,20220518
365.74,365.76,365.67,365.67,300,20220518
365.04,365.4325,365.04,365.4325,522,20220518
366.15,366.15,365.26,365.73,1305,20220518
365.96,366.435,365.96,366.435,1100,20220518
366.24,366.3,365.91,366.245,1213,20220518
366.08,366.48,365.8,365.8,1150,20220518
365.94,365.99,364.45,364.45,1417,20220518
364.46,364.67,363.8025,364.435,2800,20220518
364.57,364.57,363.86,364.0,1819,20220518
363.91,363.92,363.51,363.51,2000,20220518
363.69,363.75,363.385,363.71,2925,20220518
363.775,363.775,363.13,363.13,350,20220518
363.0,363.15,363.0,363.15,1804,20220518
363.16,363.23,363.0,363.0,1800,20220518
