open,high,low,close,volume,datetime
32.34,32.48,32.24,32.24,27170,20220518
32.24,32.24,32.16,32.19,2501,20220518
32.215,32.215,32.11,32.12,7246,20220518
32.14,32.15,32.1,32.12,4505,20220518
32.12,32.215,32.12,32.2,3668,20220518
32.19,32.28,32.091,32.275,9310,20220518
32.25,32.26,32.19,32.225,7175,20220518
32.24,32.29,32.24,32.24,4500,20220518
32.25,32.26,32.185,32.185,1702,20220518
32.18,32.18,32.01,32.02,17079,20220518
31.98,32.03,31.97,31.97,4682,20220518
31.99,32.09,31.99,32.04,7687,20220518
32.05,32.05,31.97,31.99,10751,20220518
31.995,32.03,31.96,32.01,8295,20220518
32.02,32.13,32.02,32.13,8182,20220518
32.12,32.2,32.11,32.18,15144,20220518
32.17,32.205,32.14,32.19,6102,20220518
32.205,32.26,32.19,32.26,8124,20220518
32.25,32.26,32.2,32.21,3824,20220518
32.22,32.24,32.22,32.23,2544,20220518
32.25,32.25,32.18,32.18,2169,20220518
32.17,32.2453,32.14,32.2401,3402,20220518
32.23,32.25,32.22,32.24,2695,20220518
32.23,32.25,32.185,32.2,2712,20220518
32.21,32.23,32.18,32.21,2004,20220518
32.21,32.215,32.19,32.19,6360,20220518
32.19,32.19,32.12,32.12,3764,20220518
32.1,32.1,32.06,32.06,4761,20220518
32.03,32.07,32.02,32.055,3104,20220518
32.05,32.06,32.02,32.06,3108,20220518
32.09,32.15,32.09,32.14,1700,20220518
32.16,32.2,32.15,32.19,3659,20220518
32.19,32.22,32.185,32.21,6200,20220518
32.235,32.25,32.22,32.24,7643,20220518
32.23,32.25,32.21,32.21,2949,20220518
32.21,32.25,32.205,32.25,2100,20220518
32.26,32.26,32.215,32.22,1610,20220518
32.22,32.23,32.2,32.21,5737,20220518
32.2,32.2,32.155,32.17,3227,20220518
32.17,32.17,32.1,32.166,6321,20220518
32.18,32.22,32.18,32.2,2022,20220518
32.21,32.21,32.17,32.2,3821,20220518
32.21,32.22,32.15,32.15,3394,20220518
32.14,32.19,32.14,32.17,4429,20220518
32.16,32.17,32.14,32.17,4811,20220518
32.16,32.16,32.11,32.16,7022,20220518
32.159,32.16,32.12,32.14,3428,20220518
32.13,32.15,32.1,32.14,6224,20220518
32.15,32.16,32.13,32.15,7434,20220518
32.145,32.145,32.11,32.13,10634,20220518
32.125,32.16,32.11,32.16,8584,20220518
32.17,32.175,32.11,32.11,3705,20220518
32.105,32.14,32.09,32.09,5340,20220518
32.08,32.1,32.08,32.1,4000,20220518
32.09,32.11,32.06,32.07,9646,20220518
32.065,32.08,32.05,32.08,9758,20220518
32.07,32.12,32.07,32.09,4119,20220518
32.08,32.08,32.05,32.06,4428,20220518
32.065,32.075,32.03,32.03,2395,20220518
32.02,32.02,31.96,31.96,2967,20220518
31.95,31.965,31.92,31.95,7722,20220518
31.95,31.96,31.94,31.96,8651,20220518
31.97,31.99,31.96,31.99,3041,20220518
31.98,32.0135,31.98,32.005,9688,20220518
31.99,31.99,31.97,31.98,4788,20220518
31.98,31.98,31.95,31.96,2428,20220518
31.965,31.98,31.955,31.965,8119,20220518
31.97,31.99,31.96,31.96,14546,20220518
31.96,31.99,31.95,31.96,6348,20220518
31.955,31.99,31.95,31.99,11558,20220518
31.985,31.99,31.965,31.97,9052,20220518
31.98,32.04,31.97,32.04,13125,20220518
32.04,32.04,32.01,32.03,9003,20220518
32.035,32.065,32.03,32.04,5792,20220518
32.035,32.06,32.03,32.055,5718,20220518
32.05,32.05,32.005,32.02,12603,20220518
32.05,32.1,32.05,32.09,3126,20220518
32.09,32.09,32.065,32.07,2099,20220518
32.08,32.14,32.08,32.14,6635,20220518
32.11,32.11,32.095,32.11,833,20220518
32.11,32.11,32.0725,32.08,2973,20220518
32.08,32.095,32.08,32.085,5104,20220518
32.08,32.105,32.075,32.095,4077,20220518
32.09,32.105,32.08,32.1,3872,20220518
32.1,32.13,32.1,32.11,5654,20220518
32.09,32.12,32.09,32.09,4041,20220518
32.09,32.12,32.085,32.12,3611,20220518
32.12,32.15,32.12,32.145,4064,20220518
32.14,32.16,32.14,32.15,4592,20220518
32.145,32.19,32.135,32.19,9329,20220518
32.18,32.18,32.14,32.17,30800,20220518
32.17,32.2,32.15,32.17,55194,20220518
32.17,32.24,32.17,32.18,10256,20220518
32.18,32.21,32.18,32.21,3157,20220518
32.2184,32.23,32.19,32.2,16684,20220518
32.21,32.26,32.21,32.25,7244,20220518
32.25,32.255,32.19,32.19,6730,20220518
32.19,32.19,32.175,32.19,1551,20220518
32.19,32.195,32.18,32.18,3120,20220518
32.18,32.18,32.165,32.18,4624,20220518
32.17,32.17,32.095,32.095,3738,20220518
32.09,32.1,32.08,32.1,3600,20220518
32.095,32.095,32.09,32.0906,2691,20220518
32.09,32.095,32.09,32.095,500,20220518
32.09,32.1,32.09,32.1,3989,20220518
32.1,32.1,32.05,32.055,5602,20220518
32.04,32.055,32.03,32.05,2438,20220518
32.04,32.04,32.025,32.025,1763,20220518
32.03,32.08,32.03,32.08,3688,20220518
32.07,32.07,32.045,32.05,3100,20220518
32.05,32.05,32.02,32.045,3906,20220518
32.04,32.04,32.02,32.03,891,20220518
32.025,32.025,31.96,31.965,5315,20220518
31.96,31.99,31.96,31.99,6546,20220518
31.99,32.05,31.98,32.04,7381,20220518
32.04,32.04,32.015,32.015,2507,20220518
32.01,32.015,31.99,31.99,1756,20220518
31.985,31.985,31.965,31.965,1912,20220518
31.96,31.96,31.928,31.93,1985,20220518
31.94,31.95,31.9,31.9,9177,20220518
31.89,31.98,31.885,31.97,7522,20220518
31.97,31.97,31.93,31.96,4850,20220518
31.95,31.99,31.95,31.98,6405,20220518
31.97,31.975,31.95,31.96,8079,20220518
31.96,31.995,31.96,31.97,4700,20220518
31.96,31.98,31.95,31.98,2335,20220518
31.98,32.01,31.97,32.0,6250,20220518
32.005,32.005,31.99,31.99,3284,20220518
31.985,31.985,31.975,31.98,1100,20220518
31.97,31.97,31.95,31.95,4245,20220518
31.955,31.99,31.955,31.99,7197,20220518
31.99,32.02,31.99,32.02,2464,20220518
32.02,32.02,31.98,31.98,1400,20220518
31.975,32.0,31.97,32.0,11160,20220518
32.0,32.0,31.95,31.95,3724,20220518
31.95,31.98,31.945,31.96,6380,20220518
31.955,31.955,31.91,31.916,4666,20220518
31.92,31.925,31.91,31.91,2526,20220518
31.92,31.94,31.92,31.93,3986,20220518
31.93,31.94,31.9,31.94,7543,20220518
31.945,31.95,31.91,31.91,3226,20220518
31.91,31.91,31.86,31.87,3740,20220518
31.87,31.87,31.82,31.83,4574,20220518
31.83,31.83,31.79,31.79,3401,20220518
31.795,31.795,31.77,31.795,7461,20220518
31.8,31.82,31.79,31.8,7978,20220518
31.795,31.82,31.795,31.8,3499,20220518
31.8,31.81,31.79,31.79,2967,20220518
31.795,31.8,31.775,31.775,2372,20220518
31.77,31.77,31.75,31.76,3906,20220518
31.75,31.76,31.74,31.76,1309,20220518
31.78,31.78,31.725,31.73,5636,20220518
31.72,31.73,31.7,31.7,2193,20220518
31.7,31.72,31.68,31.685,7557,20220518
31.685,31.685,31.675,31.675,1373,20220518
31.66,31.67,31.65,31.65,2201,20220518
31.65,31.67,31.645,31.66,6023,20220518
31.66,31.66,31.645,31.645,2462,20220518
31.65,31.65,31.615,31.63,5020,20220518
31.625,31.65,31.61,31.64,4027,20220518
31.64,31.655,31.64,31.65,4270,20220518
31.66,31.66,31.625,31.64,5029,20220518
31.64,31.67,31.64,31.655,5615,20220518
31.655,31.68,31.65,31.67,1816,20220518
31.68,31.71,31.675,31.695,3545,20220518
31.685,31.72,31.68,31.72,4385,20220518
31.715,31.74,31.715,31.73,11955,20220518
31.72,31.72,31.69,31.705,3187,20220518
31.7,31.705,31.68,31.68,3889,20220518
31.685,31.705,31.675,31.675,5180,20220518
31.67,31.67,31.63,31.63,6528,20220518
31.63,31.65,31.63,31.64,6226,20220518
31.635,31.635,31.59,31.59,3588,20220518
31.59,31.61,31.57,31.57,7613,20220518
31.57,31.615,31.565,31.61,9107,20220518
31.605,31.615,31.605,31.615,2983,20220518
31.615,31.635,31.615,31.635,1510,20220518
31.64,31.755,31.64,31.74,31845,20220518
31.73,31.73,31.7,31.7,5980,20220518
31.705,31.705,31.65,31.65,5101,20220518
31.66,31.71,31.66,31.7,4962,20220518
31.71,31.71,31.68,31.69,3259,20220518
31.7,31.705,31.69,31.7,1278,20220518
31.705,31.73,31.695,31.73,2729,20220518
31.73,31.73,31.705,31.725,1697,20220518
31.72,31.745,31.72,31.745,900,20220518
31.77,31.77,31.74,31.74,1801,20220518
31.735,31.735,31.68,31.7,2436,20220518
31.7,31.74,31.7,31.73,4680,20220518
31.735,31.735,31.72,31.73,2468,20220518
31.73,31.73,31.715,31.72,1000,20220518
31.71,31.75,31.705,31.75,3387,20220518
31.75,31.78,31.74,31.76,3574,20220518
31.755,31.76,31.75,31.75,3703,20220518
31.74,31.74,31.72,31.74,2726,20220518
31.76,31.82,31.76,31.82,2200,20220518
31.82,31.86,31.82,31.86,300,20220518
31.89,31.89,31.86,31.86,2909,20220518
31.855,31.9065,31.855,31.9065,2260,20220518
31.905,31.92,31.895,31.92,1866,20220518
31.915,31.94,31.915,31.93,2298,20220518
31.94,31.95,31.925,31.9325,10373,20220518
31.93,31.945,31.91,31.91,1806,20220518
31.905,31.92,31.9,31.92,3669,20220518
31.91,31.91,31.9,31.9,1125,20220518
31.885,31.885,31.87,31.87,1600,20220518
31.87,31.88,31.865,31.88,2110,20220518
31.88,31.92,31.88,31.92,1500,20220518
31.92,31.925,31.9,31.92,3640,20220518
31.91,31.91,31.85,31.85,1811,20220518
31.845,31.85,31.825,31.84,7587,20220518
31.84,31.86,31.84,31.855,1899,20220518
31.85,31.855,31.83,31.845,4872,20220518
31.84,31.85,31.84,31.85,249,20220518
31.845,31.845,31.785,31.79,2957,20220518
