open,high,low,close,volume,datetime
135.38,135.38,135.38,135.38,5235,20220518
135.72,135.72,135.56,135.56,1400,20220518
135.73,135.78,135.6,135.73,1400,20220518
135.89,135.94,135.89,135.94,300,20220518
136.04,136.04,136.04,136.04,100,20220518
135.79,135.79,135.3,135.3,300,20220518
135.38,135.41,135.38,135.41,1200,20220518
135.76,135.76,135.73,135.73,316,20220518
135.61,135.65,135.57,135.65,686,20220518
135.68,135.68,135.61,135.68,600,20220518
135.77,135.79,135.77,135.79,589,20220518
135.91,135.91,135.91,135.91,100,20220518
135.99,136.14,135.95,136.04,1050,20220518
135.94,135.94,135.91,135.91,200,20220518
135.86,135.86,135.86,135.86,100,20220518
135.74,135.74,135.74,135.74,100,20220518
135.88,135.91,135.88,135.91,200,20220518
135.74,135.74,135.74,135.74,400,20220518
135.7225,135.85,135.7175,135.85,1738,20220518
135.83,135.83,135.725,135.725,300,20220518
135.85,135.85,135.74,135.74,600,20220518
135.99,136.0,135.88,135.88,300,20220518
135.75,135.82,135.74,135.74,500,20220518
135.755,135.755,135.755,135.755,100,20220518
135.7,135.88,135.68,135.86,1800,20220518
135.85,135.85,135.73,135.81,1001,20220518
135.72,135.97,135.72,135.97,1100,20220518
135.81,135.82,135.7,135.7,600,20220518
135.81,135.81,135.72,135.76,700,20220518
135.7867,135.7867,135.7867,135.7867,300,20220518
135.86,135.87,135.75,135.75,1000,20220518
135.72,135.76,135.72,135.76,700,20220518
135.74,135.76,135.73,135.74,642,20220518
135.79,135.8282,135.74,135.8282,1565,20220518
135.79,135.79,135.79,135.79,200,20220518
135.79,135.79,135.79,135.79,5000,20220518
135.92,135.92,135.84,135.84,300,20220518
135.89,135.89,135.86,135.86,1700,20220518
135.9,135.92,135.79,135.83,3497,20220518
135.74,135.74,135.7,135.7,320,20220518
135.9,135.91,135.735,135.82,3369,20220518
135.97,135.97,135.9,135.9,500,20220518
135.93,135.93,135.8,135.8,666,20220518
135.7,135.74,135.7,135.74,307,20220518
135.7,135.7,135.7,135.7,218,20220518
135.74,135.89,135.74,135.85,608,20220518
135.9,135.93,135.85,135.85,800,20220518
135.67,135.76,135.67,135.73,2803,20220518
135.74,135.84,135.7,135.84,1600,20220518
135.83,135.83,135.82,135.82,311,20220518
135.85,135.85,135.73,135.79,800,20220518
135.735,135.92,135.735,135.92,1100,20220518
135.74,135.74,135.74,135.74,100,20220518
135.78,135.78,135.74,135.74,610,20220518
135.83,135.83,135.71,135.74,1570,20220518
135.74,135.79,135.67,135.74,1224,20220518
135.8,135.86,135.8,135.85,300,20220518
135.75,135.8,135.73,135.8,975,20220518
135.71,135.76,135.71,135.76,901,20220518
135.77,135.77,135.73,135.74,1100,20220518
135.73,135.79,135.65,135.74,4554,20220518
135.77,135.81,135.7,135.74,2800,20220518
135.71,135.755,135.71,135.755,1839,20220518
135.82,135.82,135.75,135.75,906,20220518
135.7,135.79,135.67,135.79,5787,20220518
135.74,135.78,135.69,135.78,8769,20220518
135.78,135.78,135.71,135.76,7277,20220518
135.76,135.76,135.72,135.74,6693,20220518
135.74,135.79,135.72,135.74,5500,20220518
135.75,135.77,135.73,135.76,5302,20220518
135.74,135.82,135.74,135.82,800,20220518
135.88,135.93,135.87,135.87,400,20220518
135.96,136.0,135.92,136.0,600,20220518
136.01,136.07,135.98,135.98,910,20220518
135.92,135.92,135.86,135.86,572,20220518
135.74,135.83,135.74,135.82,1740,20220518
135.86,135.86,135.86,135.86,179,20220518
135.75,135.75,135.36,135.415,5021,20220518
135.34,135.34,135.3,135.3,400,20220518
135.28,135.28,135.28,135.28,200,20220518
135.145,135.145,135.145,135.145,100,20220518
135.07,135.1,135.07,135.095,1000,20220518
135.0471,135.0471,135.0471,135.0471,110,20220518
134.94,134.94,134.91,134.91,2003,20220518
134.72,134.72,134.72,134.72,100,20220518
134.7,134.71,134.7,134.71,2115,20220518
134.6253,134.6253,134.5,134.5,1843,20220518
134.5,134.5,134.41,134.41,300,20220518
134.12,134.12,134.12,134.12,100,20220518
134.0,134.03,134.0,134.03,1314,20220518
133.94,133.94,133.89,133.89,900,20220518
133.76,133.93,133.705,133.93,1634,20220518
133.865,133.865,133.865,133.865,200,20220518
133.74,133.74,133.68,133.68,900,20220518
133.74,133.74,133.56,133.57,879,20220518
133.63,133.63,133.555,133.555,473,20220518
133.41,133.41,133.41,133.41,126,20220518
133.6,133.6,133.505,133.56,900,20220518
133.69,133.69,133.66,133.66,300,20220518
133.57,133.57,133.57,133.57,499,20220518
133.68,133.68,133.68,133.68,300,20220518
133.56,133.56,133.51,133.51,456,20220518
133.45,133.48,133.45,133.48,800,20220518
133.63,133.63,133.63,133.63,100,20220518
133.65,133.65,133.64,133.64,206,20220518
133.55,133.55,133.54,133.54,300,20220518
