open,high,low,close,volume,datetime
176.75,177.955,174.51,174.97,21710,20220518
175.265,175.47,174.12,174.35,1974,20220518
174.32,174.36,173.77,174.16,1110,20220518
173.77,173.77,171.61,171.84,10007,20220518
171.84,172.05,171.32,171.32,14537,20220518
171.655,171.655,170.35,171.33,9415,20220518
171.6,171.6,171.01,171.4465,4635,20220518
171.1,171.1,170.855,170.94,1059,20220518
171.1846,171.31,170.16,170.3489,2662,20220518
170.21,170.21,169.52,169.84,5105,20220518
169.67,169.98,169.67,169.96,2069,20220518
169.52,169.6927,169.49,169.6927,500,20220518
168.97,169.15,168.63,168.63,2650,20220518
168.63,168.73,168.3,168.3,4701,20220518
168.02,168.19,167.68,167.68,1957,20220518
167.53,167.53,166.59,166.59,5442,20220518
166.51,166.53,165.98,166.075,6099,20220518
166.08,166.34,164.78,164.8,21454,20220518
164.89,165.83,164.795,165.67,14522,20220518
165.5,165.79,165.1,165.67,15870,20220518
165.92,166.52,165.39,166.17,4575,20220518
166.065,167.26,165.9,167.06,5786,20220518
167.25,167.75,166.71,166.91,15781,20220518
166.75,167.0,164.89,164.92,16018,20220518
165.04,165.34,164.5,165.34,6544,20220518
165.31,165.58,165.11,165.58,3209,20220518
165.518,165.82,165.4939,165.82,2900,20220518
165.66,165.75,164.87,165.205,4800,20220518
165.08,165.23,164.59,165.17,4925,20220518
165.365,165.365,164.925,165.0,2079,20220518
164.76,165.03,164.51,165.03,2736,20220518
164.93,165.85,164.85,165.85,6660,20220518
165.935,166.23,165.88,166.23,3386,20220518
166.28,166.28,165.6256,165.71,5422,20220518
165.89,165.89,165.45,165.815,2397,20220518
165.89,166.095,165.65,165.97,6346,20220518
165.83,165.95,165.71,165.71,4450,20220518
165.83,166.88,165.83,166.82,3298,20220518
166.825,166.825,166.12,166.28,5100,20220518
166.44,166.44,165.95,165.95,1740,20220518
166.15,166.83,166.15,166.64,3058,20220518
166.635,166.635,166.09,166.27,2300,20220518
166.1,166.3,165.75,166.135,2299,20220518
166.135,166.21,165.7,166.01,3351,20220518
165.85,167.24,165.81,166.3985,43607,20220518
166.42,166.42,165.91,166.03,6137,20220518
166.145,166.145,165.48,165.55,6194,20220518
165.5825,165.5825,164.85,164.985,6248,20220518
164.81,164.9,164.7,164.77,2878,20220518
164.5,164.5,163.85,164.02,8436,20220518
164.005,164.19,163.43,164.0575,11022,20220518
