open,high,low,close,volume,datetime
51.32,51.61,51.32,51.55,59743,20220518
51.535,51.57,51.47,51.52,7524,20220518
51.48,51.61,51.47,51.61,15666,20220518
51.65,51.69,51.52,51.52,9096,20220518
51.47,51.47,51.37,51.43,6807,20220518
51.41,51.55,51.39,51.55,11453,20220518
51.59,51.6,51.46,51.58,24925,20220518
51.6,51.64,51.56,51.58,11541,20220518
51.57,51.66,51.56,51.57,5395,20220518
51.595,51.595,51.44,51.53,10700,20220518
51.51,51.51,51.46,51.51,4622,20220518
51.53,51.53,51.49,51.51,9373,20220518
51.49,51.5,51.37,51.37,5006,20220518
51.375,51.45,51.32,51.45,5000,20220518
51.47,51.49,51.42,51.48,11321,20220518
51.45,51.57,51.45,51.55,10817,20220518
51.54,51.54,51.46,51.46,9124,20220518
51.47,51.57,51.47,51.53,3985,20220518
51.52,51.58,51.52,51.58,5599,20220518
51.61,51.68,51.57,51.68,7399,20220518
51.7,51.71,51.63,51.665,9313,20220518
51.66,51.76,51.64,51.72,6664,20220518
51.73,51.775,51.73,51.75,2394,20220518
51.775,51.83,51.76,51.78,7892,20220518
51.785,51.819,51.765,51.8,3708,20220518
51.805,51.87,51.78,51.87,5097,20220518
51.84,51.86,51.79,51.8,6557,20220518
51.8,51.86,51.79,51.83,12530,20220518
51.82,51.97,51.79,51.97,23471,20220518
51.95,52.07,51.92,52.01,32714,20220518
52.005,52.13,51.98,52.119,42772,20220518
52.13,52.25,52.11,52.23,16566,20220518
52.25,52.29,52.22,52.27,23585,20220518
52.27,52.27,52.22,52.22,12169,20220518
52.225,52.225,52.13,52.13,9533,20220518
52.105,52.19,52.105,52.18,3950,20220518
52.175,52.175,52.03,52.03,14277,20220518
52.03,52.1,52.01,52.1,24450,20220518
52.1,52.13,52.05,52.06,18723,20220518
52.06,52.06,51.975,52.0,7510,20220518
52.0,52.11,52.0,52.05,5805,20220518
52.01,52.06,51.99,52.06,1200,20220518
52.06,52.06,51.93,51.94,4437,20220518
51.91,51.965,51.91,51.92,3764,20220518
51.91,51.91,51.87,51.89,2000,20220518
51.89,52.009,51.85,52.009,5484,20220518
51.99,51.99,51.8957,51.8957,2732,20220518
51.91,51.939,51.9,51.92,6337,20220518
51.92,51.95,51.88,51.88,4843,20220518
51.86,51.86,51.825,51.85,1634,20220518
51.835,51.93,51.81,51.93,16599,20220518
51.94,51.95,51.89,51.9,13168,20220518
51.909,51.925,51.88,51.88,4019,20220518
51.815,51.85,51.81,51.81,1300,20220518
51.74,51.75,51.699,51.73,14018,20220518
51.74,51.75,51.725,51.74,3335,20220518
51.74,51.795,51.74,51.78,8447,20220518
51.78,51.796,51.78,51.78,4174,20220518
51.79,51.79,51.76,51.78,7244,20220518
51.77,51.77,51.69,51.7,8184,20220518
51.69,51.73,51.65,51.73,4965,20220518
51.73,51.73,51.685,51.7,5371,20220518
51.705,51.74,51.7,51.705,6921,20220518
51.71,51.745,51.675,51.72,14431,20220518
51.73,51.77,51.71,51.77,8570,20220518
51.78,51.78,51.72,51.74,13932,20220518
51.74,51.82,51.74,51.8,9396,20220518
51.81,51.87,51.79,51.87,12784,20220518
51.855,51.93,51.84,51.89,9683,20220518
51.88,51.94,51.88,51.94,34099,20220518
51.93,51.93,51.88,51.88,8282,20220518
51.885,51.915,51.86,51.9,33588,20220518
51.9,51.915,51.88,51.88,12678,20220518
51.89,51.97,51.89,51.96,3834,20220518
51.95,51.99,51.9,51.96,7805,20220518
51.95,52.01,51.95,51.96,23669,20220518
51.97,52.055,51.97,52.02,8239,20220518
52.01,52.02,51.98,52.02,3886,20220518
52.03,52.14,52.03,52.12,6904,20220518
52.12,52.14,52.12,52.13,8481,20220518
52.14,52.14,52.075,52.075,6658,20220518
52.075,52.105,52.03,52.04,13664,20220518
52.02,52.05,52.0,52.02,32817,20220518
52.02,52.13,52.02,52.13,12595,20220518
52.13,52.14,52.06,52.06,5403,20220518
52.04,52.04,51.93,51.93,1984,20220518
51.92,52.0,51.92,52.0,4091,20220518
52.025,52.11,52.025,52.11,6167,20220518
