open,high,low,close,volume,datetime
178.84,179.02,178.81,178.985,101971,20220518
178.995,179.1,178.84,179.1,8621,20220518
179.03,179.18,178.8,179.091,11178,20220518
179.09,179.2,179.04,179.2,13338,20220518
179.18,179.195,178.97,179.1,15066,20220518
179.07,179.37,178.95,179.06,15427,20220518
178.996,179.07,178.84,178.93,14267,20220518
178.93,179.0,178.6913,178.935,10375,20220518
178.99,178.99,178.7327,178.86,5433,20220518
178.83,178.84,178.7,178.835,13066,20220518
178.773,178.84,178.63,178.63,6296,20220518
178.58,178.89,178.57,178.68,9762,20220518
178.71,178.83,178.61,178.63,15484,20220518
178.6,178.66,178.29,178.29,10522,20220518
178.2701,178.2701,177.93,177.93,18554,20220518
177.925,178.0,177.83,177.925,6993,20220518
177.925,178.0,177.82,177.935,5321,20220518
177.92,178.07,177.86,177.9,8828,20220518
177.89,178.018,177.875,177.93,3679,20220518
177.91,177.91,177.6,177.6,8033,20220518
177.635,177.765,177.58,177.765,10421,20220518
177.74,177.74,177.31,177.39,35089,20220518
177.42,177.45,177.34,177.39,11582,20220518
177.395,177.405,177.29,177.3245,10029,20220518
177.33,177.44,177.24,177.44,7612,20220518
177.44,177.49,177.4,177.449,7826,20220518
177.465,177.53,177.45,177.48,12611,20220518
177.47,177.52,177.38,177.49,8036,20220518
177.48,177.57,177.47,177.54,4849,20220518
177.53,177.78,177.53,177.745,11627,20220518
177.71,177.93,177.48,177.72,10445,20220518
177.64,177.64,177.45,177.49,7066,20220518
177.49,177.49,177.3,177.305,5246,20220518
177.3,177.42,177.25,177.36,9653,20220518
177.385,177.4812,177.33,177.37,6932,20220518
177.34,177.41,177.22,177.24,6503,20220518
177.245,177.325,177.17,177.285,6335,20220518
177.26,177.3301,177.19,177.21,8537,20220518
177.17,177.17,177.04,177.105,8460,20220518
177.16,177.2238,177.06,177.106,11474,20220518
177.07,177.215,177.03,177.194,7681,20220518
177.21,177.39,177.19,177.34,13790,20220518
177.335,177.38,177.23,177.31,9734,20220518
177.28,177.49,177.27,177.43,5349,20220518
177.41,177.55,177.3,177.55,8286,20220518
177.53,177.62,177.4318,177.48,5527,20220518
177.4832,177.4832,177.37,177.41,8184,20220518
177.35,177.4,177.25,177.38,8936,20220518
177.395,177.48,177.34,177.38,5249,20220518
177.44,177.63,177.4,177.57,11809,20220518
177.57,177.59,177.46,177.51,13673,20220518
177.56,177.63,177.52,177.57,6018,20220518
177.55,177.65,177.48,177.5399,62309,20220518
177.515,177.545,177.44,177.47,22639,20220518
177.44,177.5492,177.44,177.53,18475,20220518
177.54,177.635,177.4,177.4,19318,20220518
177.4,177.4797,177.34,177.45,11212,20220518
177.4566,177.625,177.43,177.585,19612,20220518
177.57,177.62,177.53,177.59,11885,20220518
177.61,177.7,177.55,177.59,10174,20220518
177.63,177.7184,177.55,177.7184,12721,20220518
177.69,177.9,177.69,177.84,39009,20220518
177.88,177.88,177.74,177.795,16900,20220518
177.8,178.02,177.795,177.9,15591,20220518
177.91,177.99,177.84,177.84,11318,20220518
177.84,177.95,177.82,177.88,19025,20220518
177.89,177.97,177.8403,177.93,10339,20220518
177.94,178.04,177.91,178.04,6881,20220518
178.05,178.18,178.0,178.01,12341,20220518
178.04,178.04,177.93,178.0,5599,20220518
178.0,178.02,177.89,178.0086,8504,20220518
178.0,178.1,177.94,178.03,7996,20220518
178.06,178.06,178.0,178.01,3908,20220518
178.0399,178.11,178.0,178.104,5230,20220518
178.09,178.27,178.08,178.23,7831,20220518
