open,high,low,close,volume,datetime
23.24,23.25,22.94,23.03,206901,20220518
23.01,23.06,22.7,22.76,82460,20220518
22.74,22.83,22.51,22.64,59350,20220518
22.6316,22.6316,22.42,22.43,119468,20220518
22.42,22.52,22.3,22.3,45093,20220518
22.285,22.32,22.23,22.27,45055,20220518
22.28,22.28,22.16,22.18,68857,20220518
22.18,22.26,22.145,22.22,89445,20220518
22.22,22.46,22.18,22.46,50815,20220518
22.46,22.5,22.33,22.35,89495,20220518
22.33,22.34,22.21,22.275,46897,20220518
22.275,22.365,22.245,22.27,31571,20220518
22.255,22.3,22.2,22.29,29963,20220518
22.285,22.53,22.26,22.435,40391,20220518
22.44,22.57,22.44,22.57,92075,20220518
22.57,22.6,22.44,22.45,30490,20220518
22.455,22.6275,22.455,22.55,47085,20220518
22.55,22.93,22.54,22.905,51290,20220518
22.92,22.96,22.851,22.92,31376,20220518
22.94,22.96,22.85,22.88,21848,20220518
22.875,22.96,22.84,22.86,31951,20220518
22.855,22.95,22.8301,22.95,21398,20220518
22.94,23.06,22.94,23.06,27381,20220518
23.05,23.18,23.05,23.16,19396,20220518
23.16,23.18,23.115,23.155,14706,20220518
23.155,23.21,23.04,23.06,33407,20220518
23.0592,23.06,22.97,23.0,20042,20220518
22.99,23.01,22.97,22.98,20014,20220518
22.97,23.07,22.915,23.07,12089,20220518
23.06,23.06,22.99,23.03,20901,20220518
23.03,23.22,23.03,23.22,26361,20220518
23.24,23.345,23.235,23.305,31330,20220518
23.32,23.339,23.195,23.235,15894,20220518
23.2313,23.24,23.105,23.22,19845,20220518
23.23,23.4,23.23,23.29,86359,20220518
23.28,23.285,23.135,23.205,28624,20220518
23.2,23.21,23.1201,23.13,29787,20220518
23.12,23.14,23.03,23.07,33778,20220518
23.08,23.19,23.03,23.185,20165,20220518
23.17,23.17,23.09,23.135,20433,20220518
23.13,23.19,23.1,23.15,25525,20220518
23.15,23.2,23.105,23.175,48741,20220518
23.18,23.22,23.04,23.07,26459,20220518
23.08,23.17,23.07,23.11,62625,20220518
23.07,23.26,23.07,23.2385,13660,20220518
23.23,23.2617,23.175,23.25,7200,20220518
23.24,23.25,23.21,23.23,3770,20220518
23.23,23.33,23.22,23.25,15712,20220518
23.245,23.28,23.21,23.23,4397,20220518
23.21,23.24,23.16,23.22,36713,20220518
