open,high,low,close,volume,datetime
33.5,33.5,33.07,33.17,23424,20220518
33.205,33.205,32.91,32.91,10864,20220518
32.9,32.99,32.7,32.9301,15521,20220518
32.91,32.95,32.86,32.87,1600,20220518
32.9,32.9,32.77,32.78,5237,20220518
32.76,32.93,32.735,32.81,13490,20220518
32.79,32.96,32.66,32.96,13124,20220518
32.93,32.935,32.77,32.77,3374,20220518
32.78,32.78,32.71,32.745,7478,20220518
32.72,32.74,32.59,32.66,9464,20220518
32.63,32.68,32.57,32.68,2730,20220518
32.7,32.8,32.7,32.8,2104,20220518
32.85,32.85,32.7,32.73,6711,20220518
32.73,32.82,32.68,32.82,4257,20220518
32.765,32.815,32.72,32.79,6069,20220518
32.79,32.83,32.79,32.82,2573,20220518
32.78,32.8137,32.76,32.76,1108,20220518
32.795,32.91,32.795,32.89,1800,20220518
32.93,32.93,32.77,32.77,1400,20220518
32.79,32.85,32.74,32.85,1902,20220518
32.85,32.85,32.71,32.71,7070,20220518
32.71,32.76,32.7,32.7,5042,20220518
32.7,32.73,32.7,32.7,2844,20220518
32.76,32.76,32.72,32.76,2257,20220518
32.74,32.74,32.73,32.73,500,20220518
32.79,32.81,32.77,32.79,1403,20220518
32.76,32.7757,32.71,32.72,1061,20220518
32.7,32.7,32.61,32.63,8000,20220518
32.63,32.64,32.59,32.6,9077,20220518
32.58,32.592,32.57,32.592,9982,20220518
32.58,32.63,32.57,32.63,3639,20220518
32.66,32.785,32.65,32.785,5521,20220518
32.81,32.8336,32.78,32.8336,4253,20220518
32.84,32.86,32.78,32.86,3124,20220518
32.86,32.965,32.83,32.92,23107,20220518
32.94,32.97,32.87,32.97,5421,20220518
33.02,33.06,33.005,33.04,10459,20220518
33.03,33.06,33.02,33.025,6359,20220518
33.01,33.05,33.01,33.025,5784,20220518
33.01,33.08,32.985,33.065,13148,20220518
33.06,33.095,33.05,33.065,13424,20220518
33.01,33.04,33.0,33.04,7412,20220518
33.04,33.055,32.93,32.99,3011,20220518
32.985,33.01,32.96,32.98,1300,20220518
32.95,32.975,32.94,32.975,2292,20220518
32.97,33.0791,32.95,33.0791,3976,20220518
33.04,33.05,33.01,33.01,1037,20220518
33.03,33.03,33.0,33.02,1622,20220518
33.035,33.035,33.0,33.0,3411,20220518
32.99,32.99,32.95,32.98,1912,20220518
33.02,33.1,33.02,33.08,2100,20220518
33.09,33.09,32.99,32.99,12427,20220518
32.99,32.99,32.98,32.985,600,20220518
32.96,32.96,32.87,32.87,1750,20220518
32.8799,32.88,32.83,32.86,2400,20220518
32.85,32.85,32.84,32.84,301,20220518
32.86,32.89,32.84,32.85,2793,20220518
32.84,32.84,32.84,32.84,200,20220518
32.86,32.86,32.8,32.8,1991,20220518
32.77,32.77,32.715,32.715,1200,20220518
32.68,32.73,32.66,32.73,4039,20220518
32.74,32.76,32.72,32.72,1500,20220518
32.72,32.75,32.72,32.75,2126,20220518
32.75,32.8,32.74,32.78,2403,20220518
32.77,32.77,32.77,32.77,200,20220518
32.73,32.73,32.73,32.73,1487,20220518
32.72,32.765,32.72,32.765,403,20220518
32.78,32.81,32.77,32.78,1003,20220518
32.73,32.73,32.73,32.73,1800,20220518
32.74,32.82,32.74,32.82,1255,20220518
32.82,32.829,32.79,32.829,6486,20220518
32.82,32.9,32.82,32.9,1739,20220518
32.89,32.89,32.88,32.88,600,20220518
32.88,32.88,32.87,32.87,704,20220518
32.83,32.85,32.83,32.85,1613,20220518
32.915,33.0,32.915,33.0,400,20220518
32.95,32.97,32.92,32.935,400,20220518
32.9301,33.02,32.9301,33.015,5500,20220518
32.98,32.99,32.9474,32.9474,2600,20220518
32.97,33.0,32.95,32.99,2388,20220518
33.0,33.0,32.98,32.98,300,20220518
32.99,32.9997,32.965,32.965,2229,20220518
32.92,32.92,32.89,32.89,200,20220518
32.9,32.9,32.86,32.86,600,20220518
32.89,32.89,32.89,32.89,100,20220518
32.89,32.91,32.89,32.91,331,20220518
32.93,32.93,32.93,32.93,300,20220518
32.97,33.01,32.97,32.99,1452,20220518
33.005,33.005,33.005,33.005,100,20220518
32.99,33.015,32.99,33.015,1091,20220518
32.99,32.99,32.9515,32.9515,332,20220518
32.92,32.93,32.92,32.92,300,20220518
32.91,32.92,32.89,32.9,3427,20220518
32.91,32.91,32.865,32.865,2212,20220518
32.875,32.875,32.8375,32.8375,1250,20220518
32.86,32.865,32.81,32.81,1168,20220518
32.81,32.82,32.81,32.815,2800,20220518
32.82,32.83,32.81,32.83,600,20220518
32.81,32.83,32.79,32.8292,1485,20220518
32.84,32.84,32.79,32.81,1703,20220518
32.79,32.7908,32.79,32.7908,913,20220518
32.78,32.78,32.78,32.78,331,20220518
32.78,32.78,32.78,32.78,100,20220518
32.78,32.78,32.78,32.78,100,20220518
