open,high,low,close,volume,datetime
19.01,19.035,18.95,18.97,49553,20220518
18.98,18.98,18.93,18.93,13469,20220518
18.95,18.95,18.89,18.93,8593,20220518
18.92,18.93,18.92,18.93,3879,20220518
18.925,18.985,18.925,18.98,13782,20220518
18.98,19.05,18.96,19.05,26089,20220518
19.06,19.065,18.99,19.05,25761,20220518
19.05,19.075,19.005,19.015,17768,20220518
19.015,19.035,19.0,19.005,7993,20220518
19.01,19.01,18.965,18.99,13289,20220518
19.0,19.015,18.98,18.99,10766,20220518
19.01,19.03,19.0,19.015,7342,20220518
19.02,19.025,18.945,18.955,12703,20220518
18.96,18.965,18.935,18.96,18329,20220518
18.96,19.0,18.955,18.985,21233,20220518
18.985,19.0,18.95,18.99,20845,20220518
18.99,19.02,18.96,19.015,6401,20220518
19.015,19.055,19.0,19.05,16793,20220518
19.045,19.065,19.04,19.065,21431,20220518
19.065,19.075,19.04,19.05,17114,20220518
19.05,19.05,18.995,19.001,9271,20220518
18.99,19.03,18.98,18.99,13489,20220518
18.98,19.015,18.98,19.01,12421,20220518
19.01,19.025,18.985,19.0,9076,20220518
19.0,19.005,18.985,18.99,11859,20220518
18.99,19.0,18.98,18.9883,11454,20220518
18.98,18.985,18.95,18.95,7232,20220518
18.94,18.951,18.925,18.945,11374,20220518
18.94,18.955,18.92,18.94,11486,20220518
18.94,18.94,18.92,18.935,5475,20220518
18.94,18.96,18.94,18.96,7634,20220518
18.97,18.995,18.965,18.97,15007,20220518
18.97,18.975,18.9615,18.975,3489,20220518
18.98,18.995,18.98,18.98,7195,20220518
18.98,18.99,18.975,18.98,6499,20220518
18.98,18.9908,18.975,18.99,5040,20220518
18.995,19.0,18.975,18.98,7759,20220518
18.975,18.975,18.96,18.96,9599,20220518
18.955,18.955,18.92,18.92,6725,20220518
18.91,18.935,18.89,18.92,13794,20220518
18.925,18.95,18.925,18.94,21188,20220518
18.94,18.94,18.92,18.93,7086,20220518
18.93,18.93,18.91,18.91,13421,20220518
18.91,18.925,18.91,18.92,5977,20220518
18.91,18.94,18.905,18.94,4794,20220518
18.94,18.945,18.925,18.945,6707,20220518
18.94,18.955,18.925,18.94,12142,20220518
18.94,18.94,18.93,18.94,10114,20220518
18.935,18.945,18.93,18.93,4682,20220518
18.93,18.93,18.92,18.93,11196,20220518
18.93,18.98,18.92,18.965,35065,20220518
18.965,18.97,18.945,18.95,15968,20220518
18.95,18.97,18.945,18.95,10745,20220518
18.9423,18.9423,18.92,18.92,9045,20220518
18.92,18.935,18.91,18.92,42104,20220518
18.92,18.92,18.91,18.91,13299,20220518
18.91,18.925,18.905,18.905,79424,20220518
18.9,18.9,18.88,18.88,12756,20220518
18.8836,18.8836,18.87,18.88,16140,20220518
18.87,18.885,18.84,18.84,15056,20220518
18.84,18.84,18.815,18.83,36786,20220518
18.835,18.84,18.81,18.825,54801,20220518
18.825,18.83,18.82,18.82,7524,20220518
18.81,18.845,18.81,18.83,80901,20220518
18.835,18.845,18.825,18.835,50414,20220518
18.835,18.835,18.805,18.81,22597,20220518
18.815,18.825,18.81,18.82,66979,20220518
18.83,18.855,18.83,18.83,29072,20220518
18.83,18.8368,18.8,18.805,21749,20220518
18.805,18.82,18.795,18.81,18197,20220518
18.81,18.82,18.795,18.8,22515,20220518
18.8,18.805,18.785,18.8,19461,20220518
18.8049,18.805,18.795,18.795,16357,20220518
18.795,18.8015,18.79,18.8,6807,20220518
18.8,18.81,18.79,18.8,25168,20220518
18.8,18.81,18.79,18.805,22386,20220518
18.805,18.85,18.805,18.83,37914,20220518
18.83,18.83,18.815,18.825,9301,20220518
18.825,18.84,18.81,18.82,46395,20220518
18.81,18.825,18.81,18.82,11753,20220518
18.83,18.835,18.81,18.82,22351,20220518
18.83,18.835,18.81,18.83,29201,20220518
18.83,18.835,18.82,18.82,7454,20220518
18.82,18.8353,18.82,18.83,9405,20220518
18.835,18.84,18.81,18.81,12353,20220518
18.81,18.81,18.79,18.8,16587,20220518
18.8,18.825,18.8,18.82,19330,20220518
18.825,18.85,18.825,18.84,13956,20220518
18.85,18.855,18.84,18.84,12749,20220518
18.845,18.845,18.84,18.845,2032,20220518
18.84,18.84,18.82,18.825,8942,20220518
18.82,18.835,18.8,18.8,17600,20220518
18.805,18.825,18.8,18.8056,16014,20220518
18.8,18.815,18.795,18.8,7756,20220518
18.795,18.805,18.79,18.795,4223,20220518
18.79,18.795,18.775,18.775,12460,20220518
18.78,18.785,18.75,18.75,11989,20220518
18.74,18.75,18.735,18.75,36481,20220518
18.75,18.75,18.735,18.735,11724,20220518
18.735,18.74,18.725,18.73,10892,20220518
18.725,18.725,18.69,18.695,12725,20220518
18.695,18.715,18.69,18.715,17860,20220518
18.71,18.715,18.71,18.71,999,20220518
18.71,18.72,18.71,18.715,3604,20220518
18.71,18.71,18.71,18.71,600,20220518
18.715,18.7161,18.71,18.71,10579,20220518
18.71,18.715,18.68,18.68,18176,20220518
18.68,18.69,18.67,18.67,12460,20220518
18.675,18.675,18.66,18.67,10017,20220518
18.67,18.68,18.665,18.68,15840,20220518
18.68,18.68,18.665,18.68,10490,20220518
18.675,18.675,18.66,18.66,13239,20220518
18.66,18.67,18.655,18.6677,7477,20220518
18.66,18.67,18.65,18.661,7645,20220518
18.66,18.665,18.64,18.645,8812,20220518
18.65,18.6639,18.645,18.65,17877,20220518
18.65,18.65,18.64,18.65,5419,20220518
18.65,18.65,18.62,18.62,7400,20220518
18.615,18.615,18.59,18.605,7024,20220518
18.605,18.605,18.58,18.59,12970,20220518
18.595,18.6,18.575,18.58,7726,20220518
18.575,18.625,18.575,18.625,25367,20220518
18.625,18.63,18.605,18.61,19942,20220518
18.615,18.625,18.61,18.615,5973,20220518
18.615,18.62,18.61,18.61,8319,20220518
18.615,18.645,18.61,18.625,43977,20220518
18.625,18.645,18.62,18.645,8212,20220518
18.64,18.665,18.63,18.66,11412,20220518
18.66,18.67,18.655,18.66,11076,20220518
18.665,18.665,18.64,18.64,5198,20220518
18.64,18.645,18.635,18.645,6375,20220518
18.64,18.66,18.64,18.6513,26264,20220518
18.65,18.67,18.635,18.665,10542,20220518
18.66,18.66,18.62,18.62,5853,20220518
18.62,18.65,18.62,18.64,13380,20220518
18.64,18.645,18.6,18.6,8731,20220518
18.605,18.63,18.6,18.61,22962,20220518
18.61,18.61,18.59,18.59,8616,20220518
18.59,18.6,18.575,18.58,20359,20220518
18.58,18.6,18.58,18.595,7130,20220518
18.595,18.605,18.58,18.605,23951,20220518
18.605,18.61,18.59,18.59,4199,20220518
18.59,18.595,18.57,18.57,11230,20220518
18.57,18.58,18.55,18.555,21576,20220518
18.555,18.562,18.54,18.54,7697,20220518
18.54,18.555,18.5332,18.555,11913,20220518
18.56,18.5764,18.555,18.56,12455,20220518
18.56,18.58,18.56,18.575,12435,20220518
18.5758,18.5758,18.56,18.56,9014,20220518
18.56,18.5661,18.55,18.55,11128,20220518
18.55,18.555,18.54,18.555,7237,20220518
18.55,18.569,18.545,18.56,20177,20220518
18.555,18.555,18.545,18.55,9174,20220518
18.55,18.55,18.53,18.53,11700,20220518
18.53,18.54,18.52,18.52,11434,20220518
18.52,18.525,18.51,18.51,9698,20220518
18.505,18.52,18.505,18.52,7845,20220518
18.5129,18.53,18.5129,18.53,7529,20220518
18.521,18.535,18.515,18.515,5190,20220518
18.52,18.52,18.505,18.51,4346,20220518
18.51,18.525,18.505,18.52,13057,20220518
18.53,18.54,18.52,18.54,20941,20220518
18.55,18.55,18.5284,18.54,14152,20220518
18.5463,18.56,18.54,18.55,10787,20220518
18.55,18.56,18.54,18.56,29324,20220518
18.56,18.57,18.55,18.56,22703,20220518
18.56,18.58,18.55,18.5677,27810,20220518
18.57,18.59,18.5658,18.5805,5719,20220518
18.58,18.585,18.56,18.58,10532,20220518
18.585,18.585,18.56,18.575,3802,20220518
18.58,18.595,18.58,18.58,8313,20220518
18.58,18.58,18.55,18.55,8724,20220518
18.55,18.56,18.55,18.55,3299,20220518
18.54,18.54,18.51,18.51,5536,20220518
18.52,18.52,18.5,18.5,8420,20220518
18.51,18.52,18.5,18.505,5595,20220518
18.5,18.5,18.48,18.48,18911,20220518
18.485,18.495,18.485,18.49,12982,20220518
18.49,18.53,18.485,18.53,15300,20220518
18.525,18.525,18.505,18.51,13370,20220518
18.5165,18.5165,18.5,18.505,4399,20220518
18.5,18.5399,18.5,18.5399,13165,20220518
18.53,18.5325,18.515,18.52,12058,20220518
18.52,18.53,18.51,18.53,3090,20220518
18.52,18.55,18.52,18.55,22295,20220518
18.545,18.56,18.54,18.55,14587,20220518
18.55,18.575,18.55,18.575,10912,20220518
18.575,18.5866,18.555,18.555,43551,20220518
18.555,18.555,18.525,18.53,25708,20220518
18.54,18.565,18.53,18.565,10230,20220518
18.57,18.57,18.56,18.57,5779,20220518
18.561,18.565,18.56,18.5601,4102,20220518
18.56,18.565,18.545,18.565,7992,20220518
18.55,18.57,18.55,18.56,12614,20220518
18.555,18.555,18.53,18.54,40799,20220518
18.5422,18.55,18.535,18.55,2431,20220518
18.55,18.575,18.55,18.57,5900,20220518
18.5726,18.59,18.5726,18.59,4700,20220518
18.5904,18.5904,18.58,18.58,5947,20220518
18.59,18.5999,18.59,18.59,3245,20220518
18.6,18.61,18.59,18.61,12315,20220518
18.62,18.625,18.61,18.625,5561,20220518
18.63,18.64,18.625,18.64,10954,20220518
18.63,18.63,18.61,18.62,12795,20220518
18.62,18.62,18.605,18.61,5199,20220518
18.605,18.615,18.605,18.61,4600,20220518
18.61,18.61,18.59,18.59,2521,20220518
18.59,18.6,18.583,18.6,10667,20220518
18.6,18.61,18.59,18.61,19948,20220518
18.6,18.6,18.58,18.58,4564,20220518
18.58,18.58,18.55,18.55,14236,20220518
18.56,18.56,18.54,18.55,14205,20220518
18.555,18.566,18.555,18.555,14064,20220518
18.55,18.55,18.535,18.55,9707,20220518
18.535,18.54,18.535,18.54,1532,20220518
18.53,18.535,18.525,18.53,6606,20220518
18.53,18.54,18.52,18.525,3200,20220518
18.53,18.53,18.52,18.52,3607,20220518
18.52,18.52,18.51,18.51,8222,20220518
18.51,18.51,18.49,18.49,13827,20220518
18.491,18.495,18.48,18.48,7555,20220518
18.48,18.4892,18.48,18.481,8625,20220518
18.48,18.49,18.475,18.475,4493,20220518
18.475,18.485,18.471,18.48,5437,20220518
18.485,18.495,18.48,18.4851,8861,20220518
18.485,18.489,18.475,18.48,4648,20220518
18.485,18.485,18.47,18.47,3512,20220518
18.47,18.47,18.465,18.47,3425,20220518
18.475,18.48,18.47,18.475,7661,20220518
18.475,18.48,18.455,18.471,15560,20220518
18.471,18.49,18.471,18.48,5141,20220518
18.475,18.505,18.475,18.5,7654,20220518
18.491,18.505,18.49,18.505,1392,20220518
18.5,18.51,18.49,18.49,8056,20220518
18.48,18.48,18.47,18.475,3378,20220518
18.48,18.481,18.46,18.46,13795,20220518
18.46,18.4699,18.45,18.45,9017,20220518
18.451,18.4654,18.45,18.4654,9495,20220518
18.47,18.49,18.47,18.49,5242,20220518
18.48,18.485,18.47,18.475,18377,20220518
18.47,18.47,18.45,18.465,25881,20220518
18.47,18.49,18.47,18.485,4785,20220518
18.48,18.49,18.47,18.47,6783,20220518
18.465,18.475,18.455,18.46,6714,20220518
18.46,18.48,18.46,18.47,3600,20220518
18.475,18.49,18.475,18.475,2625,20220518
18.471,18.475,18.455,18.46,8437,20220518
18.46,18.47,18.455,18.4631,14389,20220518
18.465,18.49,18.465,18.49,18662,20220518
18.4912,18.505,18.475,18.505,33640,20220518
18.505,18.505,18.48,18.48,10913,20220518
18.48,18.49,18.46,18.465,37739,20220518
18.465,18.475,18.461,18.47,5889,20220518
18.4709,18.475,18.46,18.465,9984,20220518
18.46,18.46,18.45,18.455,14835,20220518
18.45,18.46,18.43,18.435,21195,20220518
18.44,18.44,18.43,18.43,6600,20220518
18.43,18.43,18.41,18.41,11846,20220518
18.41,18.43,18.41,18.4134,15866,20220518
18.42,18.4257,18.41,18.415,9074,20220518
18.42,18.43,18.415,18.415,3793,20220518
18.4137,18.425,18.4137,18.42,3329,20220518
18.4269,18.43,18.42,18.421,4615,20220518
18.42,18.42,18.41,18.41,31209,20220518
18.41,18.435,18.41,18.435,11004,20220518
18.43,18.43,18.415,18.415,8665,20220518
18.42,18.445,18.42,18.445,3972,20220518
18.44,18.455,18.435,18.455,6210,20220518
18.455,18.4664,18.45,18.4577,7895,20220518
18.451,18.451,18.44,18.45,4264,20220518
18.455,18.475,18.45,18.47,12634,20220518
18.465,18.465,18.435,18.44,6765,20220518
18.44,18.455,18.415,18.415,10751,20220518
18.42,18.425,18.41,18.42,5510,20220518
18.42,18.4475,18.42,18.44,3728,20220518
18.44,18.455,18.44,18.45,12508,20220518
18.44,18.4496,18.43,18.43,5578,20220518
18.43,18.43,18.42,18.421,5326,20220518
18.425,18.4325,18.409,18.43,18491,20220518
18.435,18.445,18.43,18.442,3970,20220518
18.45,18.46,18.42,18.435,14333,20220518
18.435,18.4413,18.425,18.425,6216,20220518
18.421,18.421,18.41,18.42,8483,20220518
18.42,18.435,18.42,18.43,26287,20220518
18.425,18.4268,18.415,18.42,16291,20220518
18.42,18.43,18.4,18.415,12296,20220518
18.41,18.4503,18.41,18.45,7437,20220518
18.45,18.455,18.441,18.445,11505,20220518
18.45,18.465,18.45,18.45,6700,20220518
18.45,18.456,18.445,18.45,4707,20220518
18.445,18.455,18.44,18.445,3058,20220518
18.44,18.4599,18.425,18.4599,14288,20220518
18.455,18.475,18.455,18.455,13989,20220518
18.45,18.48,18.45,18.48,6117,20220518
18.47,18.475,18.46,18.46,4172,20220518
18.47,18.49,18.47,18.49,3404,20220518
18.49,18.495,18.48,18.49,8845,20220518
18.5,18.505,18.49,18.5,3720,20220518
18.5021,18.52,18.5001,18.515,14505,20220518
18.515,18.525,18.5,18.52,15218,20220518
18.52,18.525,18.5,18.505,14303,20220518
18.5,18.505,18.465,18.47,7904,20220518
18.47,18.475,18.46,18.47,3027,20220518
18.47,18.475,18.465,18.47,3484,20220518
18.475,18.475,18.4631,18.475,3550,20220518
18.475,18.475,18.465,18.465,7071,20220518
18.46,18.47,18.46,18.462,9441,20220518
18.47,18.5,18.465,18.5,49957,20220518
18.495,18.57,18.495,18.565,72682,20220518
18.56,18.565,18.54,18.545,22464,20220518
18.54,18.57,18.54,18.56,6092,20220518
18.57,18.57,18.535,18.535,4879,20220518
18.54,18.5464,18.52,18.525,7578,20220518
18.525,18.53,18.515,18.515,6261,20220518
18.515,18.52,18.49,18.505,10214,20220518
18.5,18.51,18.49,18.495,4575,20220518
18.49,18.497,18.49,18.49,1902,20220518
18.49,18.5,18.47,18.47,7958,20220518
18.47,18.51,18.45,18.495,23962,20220518
18.495,18.52,18.49,18.495,9110,20220518
18.495,18.51,18.495,18.495,4168,20220518
18.49,18.5,18.475,18.48,13680,20220518
18.4869,18.4869,18.465,18.47,7908,20220518
18.47,18.48,18.465,18.48,12482,20220518
18.475,18.485,18.47,18.48,11691,20220518
18.4763,18.495,18.475,18.49,5433,20220518
18.485,18.485,18.47,18.475,6850,20220518
18.47,18.48,18.47,18.475,6829,20220518
18.47,18.477,18.46,18.465,6491,20220518
18.46,18.47,18.45,18.46,12390,20220518
18.46,18.495,18.46,18.495,6488,20220519
18.495,18.495,18.475,18.49,10188,20220519
18.4807,18.49,18.475,18.4789,6149,20220519
18.48,18.4899,18.474,18.48,7065,20220519
18.47,18.48,18.47,18.4763,1591,20220519
18.48,18.485,18.4727,18.48,5513,20220519
18.485,18.4899,18.475,18.4836,9714,20220519
18.48,18.505,18.48,18.49,13955,20220519
18.485,18.485,18.47,18.475,4194,20220519
18.4762,18.48,18.47,18.475,11076,20220519
18.475,18.495,18.47,18.495,17398,20220519
18.495,18.5,18.485,18.5,7069,20220519
18.49,18.5,18.48,18.485,19585,20220519
18.49,18.495,18.46,18.47,10811,20220519
18.465,18.47,18.46,18.46,11523,20220519
18.47,18.485,18.47,18.475,12355,20220519
18.47,18.495,18.47,18.495,5992,20220519
18.49,18.49,18.475,18.48,15595,20220519
18.47,18.4772,18.455,18.455,9917,20220519
18.45,18.465,18.4499,18.465,8672,20220519
18.465,18.475,18.455,18.475,3802,20220519
18.47,18.47,18.45,18.46,15359,20220519
18.45,18.45,18.435,18.445,10198,20220519
18.44,18.445,18.43,18.43,17347,20220519
18.43,18.43,18.41,18.42,46747,20220519
18.43,18.43,18.41,18.41,10176,20220519
18.41,18.415,18.4,18.41,11825,20220519
18.415,18.42,18.4,18.41,13517,20220519
18.41,18.415,18.395,18.415,14402,20220519
18.415,18.415,18.39,18.4,11638,20220519
18.4,18.415,18.39,18.4,20395,20220519
18.4,18.415,18.39,18.41,24761,20220519
18.41,18.41,18.395,18.4,19988,20220519
18.395,18.415,18.395,18.415,7281,20220519
18.415,18.43,18.415,18.415,28902,20220519
18.41,18.44,18.41,18.44,12263,20220519
18.44,18.465,18.44,18.461,16592,20220519
18.47,18.5,18.47,18.495,28782,20220519
18.495,18.5053,18.48,18.505,31994,20220519
18.505,18.525,18.505,18.505,20511,20220519
18.51,18.525,18.51,18.52,19320,20220519
18.52,18.53,18.505,18.52,17351,20220519
18.525,18.5299,18.5,18.5,26613,20220519
18.5,18.5,18.46,18.47,30962,20220519
18.475,18.485,18.47,18.47,40398,20220519
18.47,18.495,18.465,18.47,40816,20220519
18.475,18.475,18.455,18.465,47728,20220519
18.465,18.495,18.465,18.485,41448,20220519
18.49,18.495,18.47,18.48,28170,20220519
18.48,18.4899,18.465,18.48,33640,20220519
18.49,18.53,18.48,18.515,170973,20220519
18.52,18.52,18.485,18.4963,28695,20220519
18.495,18.51,18.49,18.495,16648,20220519
18.495,18.4953,18.47,18.475,28005,20220519
18.48,18.485,18.46,18.475,51109,20220519
18.475,18.5,18.47,18.49,83725,20220519
18.495,18.495,18.47,18.485,33780,20220519
18.485,18.51,18.485,18.51,69708,20220519
18.5099,18.53,18.5,18.525,62112,20220519
18.52,18.53,18.49,18.53,195506,20220519
18.25,18.32,18.17,18.24,105687,20220519
18.23,18.34,18.215,18.335,68341,20220519
18.335,18.365,18.27,18.33,33157,20220519
18.33,18.36,18.29,18.34,43381,20220519
18.35,18.41,18.335,18.385,35390,20220519
18.39,18.42,18.365,18.42,80881,20220519
18.42,18.48,18.4,18.44,50494,20220519
18.44,18.475,18.435,18.475,37252,20220519
18.48,18.5,18.44,18.46,83024,20220519
18.46,18.48,18.44,18.48,40028,20220519
18.47,18.49,18.455,18.485,25372,20220519
18.48,18.48,18.43,18.44,22154,20220519
18.44,18.465,18.415,18.44,63321,20220519
18.43,18.44,18.39,18.41,35242,20220519
18.415,18.45,18.395,18.4,47595,20220519
18.395,18.445,18.39,18.395,64797,20220519
18.39,18.39,18.335,18.335,33213,20220519
18.34,18.34,18.295,18.31,21730,20220519
18.305,18.325,18.285,18.3,17960,20220519
18.3,18.3,18.275,18.28,16467,20220519
18.285,18.32,18.285,18.32,30368,20220519
18.325,18.35,18.315,18.345,20155,20220519
18.35,18.355,18.32,18.33,29679,20220519
18.33,18.35,18.315,18.32,6229,20220519
18.3298,18.365,18.32,18.35,21215,20220519
18.34,18.38,18.34,18.38,16658,20220519
18.39,18.4,18.365,18.38,23734,20220519
18.39,18.4,18.325,18.325,21339,20220519
18.32,18.32,18.26,18.2799,26476,20220519
18.2718,18.285,18.22,18.27,32505,20220519
18.275,18.32,18.255,18.295,36040,20220519
18.3,18.36,18.3,18.3535,13224,20220519
18.35,18.3882,18.35,18.365,30379,20220519
18.365,18.38,18.36,18.365,9923,20220519
18.37,18.38,18.345,18.35,11883,20220519
18.355,18.3921,18.34,18.37,15832,20220519
18.375,18.39,18.36,18.37,19227,20220519
18.38,18.39,18.355,18.38,21784,20220519
18.39,18.41,18.38,18.385,19024,20220519
18.3894,18.39,18.325,18.375,82856,20220519
18.365,18.41,18.36,18.4,23104,20220519
18.41,18.4599,18.405,18.44,38955,20220519
18.44,18.45,18.385,18.41,13475,20220519
18.4,18.41,18.38,18.398,12439,20220519
18.39,18.42,18.375,18.42,23233,20220519
18.425,18.435,18.4,18.42,10221,20220519
18.415,18.43,18.39,18.39,20328,20220519
18.4,18.41,18.395,18.4,19641,20220519
18.39,18.4,18.38,18.395,9180,20220519
18.395,18.41,18.375,18.375,34944,20220519
18.38,18.44,18.365,18.43,21860,20220519
18.42,18.42,18.375,18.39,18399,20220519
18.38,18.38,18.34,18.35,25439,20220519
18.345,18.37,18.345,18.365,9475,20220519
18.37,18.37,18.355,18.37,9157,20220519
18.37,18.37,18.34,18.37,20950,20220519
18.355,18.365,18.3211,18.3211,11990,20220519
18.315,18.33,18.295,18.32,15950,20220519
18.32,18.32,18.29,18.2947,5494,20220519
18.29,18.3,18.275,18.28,7456,20220519
18.28,18.28,18.215,18.215,15151,20220519
18.21,18.255,18.205,18.245,14800,20220519
18.25,18.3,18.245,18.3,35749,20220519
18.3,18.32,18.285,18.285,11003,20220519
18.28,18.305,18.27,18.305,38662,20220519
18.31,18.33,18.295,18.295,13390,20220519
18.29,18.305,18.265,18.27,22933,20220519
18.265,18.285,18.265,18.27,14675,20220519
18.27,18.27,18.225,18.23,27543,20220519
18.23,18.235,18.203,18.235,22209,20220519
18.23,18.235,18.215,18.22,25686,20220519
18.23,18.245,18.22,18.235,15164,20220519
18.24,18.25,18.23,18.23,15458,20220519
18.23,18.23,18.205,18.22,17732,20220519
18.22,18.25,18.215,18.24,22339,20220519
18.235,18.2622,18.235,18.26,14471,20220519
18.26,18.27,18.245,18.265,6860,20220519
18.265,18.265,18.225,18.24,12699,20220519
18.25,18.255,18.215,18.2199,27727,20220519
18.21,18.21,18.185,18.195,11409,20220519
18.2,18.2,18.18,18.18,21120,20220519
18.18,18.18,18.16,18.16,26825,20220519
18.165,18.21,18.165,18.2008,16903,20220519
18.205,18.24,18.19,18.22,22902,20220519
18.22,18.23,18.21,18.2287,19589,20220519
18.23,18.25,18.21,18.24,20542,20220519
18.24,18.245,18.21,18.2242,15372,20220519
18.225,18.23,18.19,18.2,13021,20220519
18.2,18.2,18.175,18.19,18090,20220519
18.1932,18.195,18.17,18.18,36995,20220519
18.18,18.205,18.18,18.2,20150,20220519
18.195,18.21,18.195,18.2,15791,20220519
18.2,18.2,18.165,18.175,9946,20220519
18.18,18.2044,18.18,18.2044,20602,20220519
18.2,18.2,18.175,18.18,12039,20220519
18.185,18.1974,18.14,18.14,55422,20220519
18.15,18.16,18.13,18.16,22175,20220519
18.16,18.165,18.1413,18.165,14472,20220519
18.165,18.175,18.145,18.17,21691,20220519
18.165,18.215,18.16,18.21,11420,20220519
18.2101,18.27,18.2101,18.26,39715,20220519
18.27,18.27,18.245,18.25,27823,20220519
18.26,18.26,18.24,18.26,40440,20220519
18.2699,18.2699,18.2,18.21,15751,20220519
18.215,18.22,18.18,18.19,19735,20220519
18.18,18.1801,18.17,18.18,13341,20220519
18.18,18.18,18.14,18.165,19271,20220519
18.16,18.1861,18.155,18.175,10735,20220519
18.18,18.185,18.165,18.165,43673,20220519
18.17,18.18,18.155,18.175,11028,20220519
18.17,18.17,18.135,18.145,9799,20220519
18.15,18.18,18.145,18.18,14689,20220519
18.175,18.1892,18.17,18.18,23913,20220519
18.185,18.2,18.1725,18.2,17524,20220519
18.195,18.22,18.195,18.22,22640,20220519
18.21,18.23,18.2,18.23,16524,20220519
18.23,18.23,18.2,18.21,16419,20220519
18.22,18.2207,18.2,18.22,16187,20220519
18.21,18.225,18.205,18.21,9369,20220519
18.21,18.22,18.2,18.215,9104,20220519
18.22,18.235,18.215,18.23,20230,20220519
18.22,18.26,18.22,18.25,19084,20220519
18.25,18.25,18.23,18.235,6713,20220519
18.23,18.26,18.23,18.26,8147,20220519
18.26,18.29,18.26,18.29,11348,20220519
18.295,18.32,18.28,18.32,21162,20220519
18.32,18.325,18.305,18.315,17759,20220519
18.315,18.3562,18.315,18.35,11259,20220519
18.35,18.36,18.343,18.36,10401,20220519
18.365,18.375,18.3515,18.355,11190,20220519
18.36,18.405,18.36,18.4,14849,20220519
18.4,18.407,18.395,18.4,19473,20220519
18.4029,18.415,18.395,18.4,37607,20220519
18.395,18.415,18.395,18.415,20623,20220519
18.41,18.41,18.4,18.405,9445,20220519
18.4,18.405,18.37,18.375,36323,20220519
18.38,18.395,18.38,18.38,10013,20220519
18.38,18.39,18.38,18.39,6352,20220519
18.3902,18.4,18.38,18.4,22715,20220519
18.405,18.405,18.37,18.375,19167,20220519
18.375,18.375,18.355,18.355,6267,20220519
18.36,18.385,18.36,18.385,14329,20220519
18.385,18.395,18.375,18.38,11736,20220519
18.38,18.39,18.37,18.37,29987,20220519
18.375,18.375,18.34,18.365,38018,20220519
18.36,18.36,18.33,18.34,66567,20220519
18.335,18.335,18.305,18.3201,60735,20220519
