open,high,low,close,volume,datetime
23.92,23.96,23.91,23.92,38976,20220518
23.92,23.92,23.79,23.85,14353,20220518
23.84,23.86,23.78,23.79,11515,20220518
23.77,23.81,23.77,23.81,700,20220518
23.81,23.825,23.79,23.79,1839,20220518
23.8,23.8,23.74,23.76,8464,20220518
23.77,23.81,23.77,23.81,15994,20220518
23.82,23.82,23.78,23.78,5226,20220518
23.8,23.8,23.765,23.77,6303,20220518
23.765,23.77,23.69,23.7025,18327,20220518
23.71,23.72,23.7,23.7,6600,20220518
23.695,23.7,23.66,23.66,7268,20220518
23.65,23.69,23.64,23.68,7802,20220518
23.68,23.7,23.67,23.69,3891,20220518
23.695,23.72,23.68,23.71,9656,20220518
23.71,23.76,23.695,23.735,11637,20220518
23.73,23.745,23.715,23.74,7607,20220518
23.745,23.755,23.725,23.74,16893,20220518
23.74,23.765,23.73,23.73,8878,20220518
23.72,23.75,23.72,23.74,6194,20220518
23.75,23.75,23.66,23.66,4904,20220518
23.66,23.68,23.65,23.65,16301,20220518
23.655,23.68,23.645,23.67,19171,20220518
23.665,23.68,23.665,23.68,5213,20220518
23.67,23.68,23.65,23.67,7194,20220518
23.66,23.665,23.635,23.635,4793,20220518
23.635,23.65,23.59,23.59,10001,20220518
23.575,23.59,23.56,23.585,3103,20220518
23.58,23.58,23.57,23.57,2501,20220518
23.56,23.56,23.53,23.55,16021,20220518
23.55,23.6,23.54,23.6,35268,20220518
23.6,23.635,23.59,23.6,29423,20220518
23.605,23.655,23.605,23.65,23198,20220518
23.655,23.69,23.65,23.68,32888,20220518
23.68,23.72,23.675,23.695,19308,20220518
23.69,23.71,23.69,23.69,8551,20220518
23.71,23.71,23.695,23.7,900,20220518
23.68,23.68,23.645,23.66,5213,20220518
23.65,23.68,23.65,23.68,2872,20220518
23.68,23.68,23.655,23.665,2504,20220518
23.655,23.69,23.655,23.68,1784,20220518
23.67,23.69,23.66,23.69,2659,20220518
23.7,23.71,23.66,23.66,4135,20220518
23.66,23.68,23.66,23.68,2100,20220518
23.67,23.685,23.665,23.685,1700,20220518
23.69,23.71,23.685,23.71,9546,20220518
23.7,23.7099,23.685,23.7,6023,20220518
23.7,23.71,23.695,23.71,1900,20220518
23.695,23.71,23.69,23.705,10900,20220518
23.7,23.71,23.7,23.71,3132,20220518
23.7,23.73,23.695,23.73,68381,20220518
23.74,23.75,23.73,23.73,3600,20220518
23.72,23.73,23.715,23.73,6913,20220518
23.72,23.72,23.71,23.715,5317,20220518
23.715,23.735,23.695,23.695,32396,20220518
23.7,23.7,23.675,23.685,4464,20220518
23.685,23.73,23.685,23.73,3649,20220518
23.715,23.72,23.71,23.72,1247,20220518
23.72,23.735,23.665,23.665,30776,20220518
23.66,23.665,23.635,23.635,3974,20220518
23.625,23.655,23.625,23.63,48885,20220518
23.625,23.63,23.605,23.63,105415,20220518
23.61,23.61,23.59,23.59,26013,20220518
23.58,23.61,23.57,23.6,6608,20220518
23.6,23.6,23.58,23.59,6000,20220518
23.59,23.59,23.575,23.58,1236,20220518
23.58,23.59,23.57,23.57,7900,20220518
23.575,23.58,23.575,23.58,800,20220518
23.585,23.625,23.585,23.6,3623,20220518
23.61,23.61,23.585,23.6,10448,20220518
23.6,23.6,23.59,23.6,1878,20220518
23.6,23.65,23.6,23.65,4018,20220518
23.66,23.66,23.65,23.66,5845,20220518
23.67,23.675,23.665,23.665,1600,20220518
23.66,23.67,23.66,23.665,2728,20220518
23.665,23.6663,23.65,23.66,2276,20220518
23.67,23.715,23.67,23.7,13430,20220518
23.7,23.7,23.69,23.69,3929,20220518
23.7,23.71,23.68,23.71,9995,20220518
23.7,23.7,23.67,23.67,5715,20220518
23.675,23.675,23.65,23.655,8792,20220518
23.66,23.66,23.645,23.655,7800,20220518
23.65,23.65,23.64,23.64,3424,20220518
23.65,23.655,23.65,23.655,1700,20220518
23.66,23.66,23.65,23.66,4165,20220518
23.665,23.665,23.65,23.65,2815,20220518
23.65,23.68,23.65,23.68,14832,20220518
23.68,23.6925,23.675,23.69,29124,20220518
23.68,23.705,23.68,23.705,13114,20220518
23.7,23.725,23.695,23.725,2300,20220518
23.72,23.73,23.715,23.715,14756,20220518
23.71,23.715,23.69,23.695,9587,20220518
23.695,23.71,23.68,23.68,6722,20220518
23.6791,23.69,23.67,23.673,23348,20220518
23.68,23.68,23.67,23.68,800,20220518
23.675,23.685,23.675,23.68,6663,20220518
23.679,23.685,23.63,23.655,29530,20220518
23.655,23.68,23.65,23.67,38785,20220518
23.66,23.66,23.65,23.65,5134,20220518
23.64,23.645,23.625,23.625,13412,20220518
23.625,23.625,23.595,23.595,4594,20220518
23.6,23.635,23.599,23.63,4704,20220518
23.63,23.63,23.625,23.625,1000,20220518
23.63,23.63,23.63,23.63,1009,20220518
23.63,23.63,23.626,23.63,300,20220518
23.63,23.63,23.625,23.63,3057,20220518
