open,high,low,close,volume,datetime
137.93,137.94,137.67,137.67,19598,20220518
137.77,137.79,137.39,137.39,2210,20220518
137.08,137.28,137.08,137.12,2091,20220518
137.04,137.145,136.94,136.94,983,20220518
137.01,137.12,136.92,137.12,1369,20220518
137.05,137.05,136.86,136.89,710,20220518
136.945,137.04,136.88,137.02,1400,20220518
137.01,137.04,136.89,136.98,2947,20220518
136.935,136.935,136.56,136.56,1000,20220518
136.56,136.57,136.4,136.4,2383,20220518
136.41,136.41,136.185,136.185,1325,20220518
136.2,136.44,136.2,136.34,1100,20220518
136.27,136.32,136.23,136.27,1450,20220518
136.28,136.28,135.92,135.95,12971,20220518
135.995,136.06,135.955,135.9889,904,20220518
135.94,136.04,135.8,135.8,2600,20220518
135.89,135.94,135.7873,135.9,3700,20220518
135.78,135.78,135.66,135.66,657,20220518
135.7,135.7,135.695,135.695,343,20220518
135.62,135.68,135.6,135.635,1449,20220518
135.84,135.86,135.8,135.86,327,20220518
135.83,135.83,135.71,135.74,1650,20220518
135.68,135.69,135.59,135.635,1323,20220518
135.62,135.62,135.29,135.3758,3531,20220518
135.37,135.37,135.2,135.29,2591,20220518
135.29,135.52,135.29,135.52,1651,20220518
135.7,135.95,135.7,135.95,3226,20220518
135.84,135.91,135.63,135.76,3325,20220518
135.75,135.87,135.71,135.785,16686,20220518
135.785,135.92,135.72,135.9,5308,20220518
135.85,135.85,135.67,135.68,1414,20220518
135.745,135.75,135.56,135.6,1038,20220518
135.57,135.59,135.48,135.53,1447,20220518
135.52,135.55,135.41,135.41,1200,20220518
135.43,135.43,135.29,135.29,1000,20220518
135.31,135.31,134.88,134.88,7461,20220518
134.92,134.97,134.83,134.91,1526,20220518
134.91,134.945,134.72,134.73,7430,20220518
134.74,134.755,134.57,134.635,3950,20220518
134.7,134.7,134.51,134.62,4800,20220518
134.615,134.86,134.615,134.86,742,20220518
134.875,134.98,134.875,134.98,5890,20220518
134.95,134.9999,134.83,134.83,1924,20220518
134.87,134.87,134.65,134.7,5024,20220518
134.66,134.86,134.66,134.86,2601,20220518
134.87,135.13,134.87,135.07,1382,20220518
135.1,135.1,135.1,135.1,100,20220518
135.16,135.215,135.16,135.215,200,20220518
135.17,135.21,135.15,135.15,1250,20220518
135.18,135.34,135.17,135.28,4560,20220518
135.22,135.265,135.185,135.185,1063,20220518
135.23,135.3,135.15,135.15,5700,20220518
135.185,135.19,135.04,135.145,2640,20220518
135.11,135.17,135.08,135.13,2020,20220518
135.0978,135.22,135.08,135.185,1345,20220518
135.22,135.29,135.14,135.14,600,20220518
135.15,135.19,135.09,135.15,1712,20220518
135.175,135.23,135.175,135.23,200,20220518
135.27,135.35,135.255,135.285,1546,20220518
135.295,135.43,135.29,135.43,2410,20220518
135.46,135.46,135.33,135.33,6348,20220518
135.29,135.32,135.25,135.275,2126,20220518
135.23,135.23,135.15,135.19,3900,20220518
135.13,135.22,135.125,135.21,5557,20220518
135.24,135.28,135.14,135.19,6096,20220518
135.23,135.35,135.23,135.28,1275,20220518
135.27,135.385,135.215,135.37,3402,20220518
135.355,135.45,135.355,135.415,725,20220518
135.51,135.525,135.465,135.465,1726,20220518
135.44,135.49,135.44,135.49,1267,20220518
135.5,135.5,135.415,135.46,1113,20220518
135.46,135.46,135.42,135.42,400,20220518
135.43,135.5,135.43,135.47,1110,20220518
135.445,135.445,135.4,135.4,1161,20220518
135.43,135.4906,135.43,135.4906,595,20220518
135.49,135.54,135.45,135.51,800,20220518
135.49,135.5,135.43,135.5,1759,20220518
135.48,135.575,135.48,135.52,2001,20220518
135.54,135.54,135.45,135.455,2064,20220518
135.44,135.44,135.26,135.26,1979,20220518
135.21,135.22,135.2,135.22,800,20220518
135.26,135.32,135.26,135.32,550,20220518
135.31,135.31,135.31,135.31,100,20220518
135.29,135.32,135.26,135.26,700,20220518
135.285,135.3,135.22,135.23,910,20220518
135.225,135.225,135.13,135.16,1425,20220518
135.17,135.17,135.12,135.12,1594,20220518
135.13,135.13,135.0,135.03,1893,20220518
135.02,135.14,135.02,135.14,866,20220518
135.16,135.29,135.095,135.25,3438,20220518
135.18,135.18,135.1,135.11,1300,20220518
135.1,135.32,135.1,135.32,2367,20220518
135.32,135.33,135.21,135.28,3201,20220518
135.29,135.29,135.21,135.26,2950,20220518
135.29,135.33,135.23,135.33,3660,20220518
135.29,135.34,135.29,135.34,2280,20220518
135.34,135.415,135.32,135.35,2837,20220518
135.335,135.43,135.3,135.43,2142,20220518
