open,high,low,close,volume,datetime
19.83,19.89,19.78,19.78,191252,20220518
19.78,19.82,19.78,19.815,40587,20220518
19.81,19.835,19.77,19.78,46273,20220518
19.77,19.77,19.73,19.735,63056,20220518
19.73,19.745,19.71,19.745,24201,20220518
19.74,19.795,19.74,19.76,22387,20220518
19.77,19.805,19.77,19.79,13325,20220518
19.79,19.805,19.775,19.805,17266,20220518
19.8,19.8,19.74,19.75,23654,20220518
19.75,19.75,19.7,19.7,24701,20220518
19.7,19.71,19.66,19.66,48649,20220518
19.67,19.68,19.655,19.67,41782,20220518
19.67,19.725,19.66,19.725,56551,20220518
19.73,19.73,19.71,19.71,36418,20220518
19.72,19.735,19.7,19.73,14817,20220518
19.73,19.74,19.71,19.73,35363,20220518
19.72,19.755,19.71,19.745,32982,20220518
19.74,19.765,19.73,19.76,44200,20220518
19.75,19.76,19.72,19.73,28969,20220518
19.72,19.745,19.72,19.735,34719,20220518
19.74,19.74,19.7,19.7,30612,20220518
19.7,19.72,19.67,19.685,51992,20220518
19.68,19.71,19.675,19.7,13045,20220518
19.7,19.728,19.695,19.728,28399,20220518
19.72,19.72,19.685,19.695,32701,20220518
19.69,19.7,19.68,19.6821,21744,20220518
19.69,19.69,19.64,19.64,17301,20220518
19.65,19.65,19.63,19.645,27629,20220518
19.64,19.64,19.625,19.635,31618,20220518
19.635,19.64,19.6101,19.63,34325,20220518
19.63,19.68,19.625,19.67,27718,20220518
19.67,19.675,19.62,19.635,30010,20220518
19.64,19.65,19.64,19.65,10992,20220518
19.645,19.665,19.645,19.665,8262,20220518
19.67,19.69,19.665,19.67,27809,20220518
19.67,19.68,19.64,19.66,57777,20220518
19.655,19.67,19.655,19.665,16743,20220518
19.665,19.69,19.66,19.685,100131,20220518
19.685,19.69,19.66,19.67,64369,20220518
19.675,19.69,19.67,19.67,40568,20220518
19.67,19.69,19.665,19.674,28368,20220518
19.68,19.69,19.67,19.69,24026,20220518
19.68,19.695,19.675,19.675,12274,20220518
19.67,19.7,19.67,19.695,37178,20220518
19.695,19.705,19.68,19.695,31974,20220518
19.69,19.695,19.67,19.685,25808,20220518
19.68,19.695,19.675,19.695,18739,20220518
19.69,19.705,19.68,19.69,20435,20220518
19.69,19.7067,19.69,19.695,12417,20220518
19.695,19.7181,19.685,19.705,73056,20220518
19.7,19.72,19.69,19.71,9655,20220518
19.715,19.72,19.695,19.695,20195,20220518
19.695,19.71,19.695,19.7,12674,20220518
19.7,19.7,19.67,19.67,39341,20220518
19.67,19.67,19.655,19.67,18881,20220518
19.665,19.69,19.66,19.66,36212,20220518
19.655,19.685,19.655,19.665,16481,20220518
19.66,19.66,19.64,19.655,18636,20220518
19.655,19.655,19.63,19.635,15783,20220518
19.63,19.635,19.625,19.625,6514,20220518
19.63,19.66,19.625,19.645,63969,20220518
19.645,19.66,19.63,19.63,23759,20220518
19.635,19.635,19.61,19.615,40102,20220518
19.62,19.65,19.62,19.64,21246,20220518
19.632,19.65,19.61,19.623,67527,20220518
19.62,19.63,19.6,19.61,30330,20220518
19.61,19.61,19.58,19.58,72616,20220518
19.58,19.6,19.58,19.58,21119,20220518
19.585,19.625,19.585,19.61,49736,20220518
19.61,19.625,19.6,19.625,15948,20220518
19.62,19.635,19.61,19.62,26000,20220518
19.62,19.64,19.615,19.64,40968,20220518
19.64,19.645,19.625,19.625,42917,20220518
19.625,19.64,19.615,19.62,35773,20220518
19.625,19.64,19.62,19.625,19595,20220518
19.62,19.62,19.595,19.62,20850,20220518
19.62,19.64,19.62,19.625,17595,20220518
19.62,19.625,19.605,19.61,14217,20220518
19.62,19.635,19.615,19.615,22411,20220518
19.61,19.62,19.595,19.615,13090,20220518
19.615,19.615,19.58,19.585,15654,20220518
19.585,19.595,19.575,19.5786,18273,20220518
19.5732,19.585,19.565,19.57,24293,20220518
19.565,19.595,19.565,19.58,12237,20220518
19.58,19.59,19.575,19.58,7739,20220518
19.58,19.59,19.57,19.575,13330,20220518
19.57,19.58,19.57,19.575,8837,20220518
19.58,19.6,19.58,19.595,6769,20220518
19.595,19.62,19.59,19.615,19110,20220518
19.615,19.615,19.59,19.595,27172,20220518
19.595,19.595,19.5666,19.5666,22502,20220518
19.565,19.57,19.56,19.56,8148,20220518
19.56,19.57,19.555,19.555,23301,20220518
19.555,19.555,19.525,19.53,29857,20220518
19.54,19.54,19.5,19.51,39317,20220518
19.5,19.51,19.495,19.5,31002,20220518
19.495,19.505,19.46,19.47,121419,20220518
19.47,19.485,19.455,19.485,41190,20220518
19.485,19.485,19.465,19.47,19752,20220518
19.47,19.48,19.46,19.4642,21776,20220518
19.46,19.46,19.4178,19.4291,45656,20220518
19.42,19.445,19.42,19.435,35131,20220518
19.435,19.435,19.43,19.435,9005,20220518
19.43,19.44,19.43,19.44,21100,20220518
19.44,19.45,19.4301,19.435,9118,20220518
19.4353,19.45,19.43,19.44,15910,20220518
19.44,19.445,19.405,19.41,30745,20220518
19.41,19.42,19.41,19.415,16347,20220518
19.415,19.415,19.4,19.405,17224,20220518
19.405,19.42,19.4021,19.415,9166,20220518
19.415,19.415,19.385,19.395,21180,20220518
19.39,19.39,19.37,19.385,15839,20220518
19.3843,19.4,19.3843,19.395,38930,20220518
19.3943,19.41,19.3842,19.385,35609,20220518
19.3876,19.39,19.375,19.385,16179,20220518
19.38,19.41,19.375,19.395,17910,20220518
19.395,19.395,19.36,19.375,11375,20220518
19.3799,19.3877,19.365,19.37,20398,20220518
19.375,19.3799,19.37,19.375,6201,20220518
19.3778,19.39,19.365,19.39,15700,20220518
19.39,19.3981,19.375,19.38,18575,20220518
19.38,19.425,19.38,19.425,22222,20220518
19.425,19.4384,19.42,19.43,14515,20220518
19.425,19.455,19.4225,19.4485,10479,20220518
19.445,19.45,19.425,19.45,10215,20220518
19.45,19.4683,19.445,19.465,21517,20220518
19.465,19.465,19.455,19.46,11434,20220518
19.455,19.48,19.45,19.475,15901,20220518
19.48,19.485,19.455,19.465,23954,20220518
19.465,19.465,19.455,19.455,9568,20220518
19.455,19.46,19.44,19.45,10977,20220518
19.46,19.475,19.46,19.475,12729,20220518
19.47,19.48,19.459,19.48,27936,20220518
19.4747,19.475,19.44,19.44,10713,20220518
19.437,19.46,19.435,19.46,9673,20220518
19.45,19.455,19.4,19.4,15678,20220518
19.411,19.4331,19.411,19.42,12093,20220518
19.42,19.42,19.395,19.4,15751,20220518
19.4099,19.4099,19.38,19.38,9335,20220518
19.38,19.41,19.38,19.4,7291,20220518
19.4,19.4168,19.395,19.41,16592,20220518
19.41,19.415,19.3901,19.4,14726,20220518
19.4,19.4,19.39,19.39,10519,20220518
19.39,19.39,19.36,19.37,36883,20220518
19.37,19.38,19.35,19.35,23146,20220518
19.355,19.36,19.345,19.36,23546,20220518
19.36,19.38,19.35,19.35,15474,20220518
19.355,19.37,19.3549,19.37,23317,20220518
19.365,19.38,19.355,19.36,13997,20220518
19.36,19.37,19.35,19.36,8773,20220518
19.36,19.36,19.35,19.355,5867,20220518
19.35,19.365,19.345,19.355,24754,20220518
19.3599,19.3599,19.3426,19.3463,15758,20220518
19.35,19.355,19.335,19.335,17465,20220518
19.34,19.345,19.324,19.324,17841,20220518
19.32,19.325,19.2936,19.2975,39305,20220518
19.295,19.295,19.27,19.2786,93201,20220518
19.27,19.29,19.27,19.28,14044,20220518
19.28,19.285,19.2642,19.2642,30783,20220518
19.27,19.29,19.265,19.29,22508,20220518
19.28,19.285,19.26,19.28,12173,20220518
19.275,19.285,19.265,19.28,29815,20220518
19.28,19.29,19.27,19.275,14894,20220518
19.275,19.295,19.275,19.29,30842,20220518
19.295,19.31,19.29,19.3001,28419,20220518
19.3,19.335,19.3,19.335,24608,20220518
19.34,19.365,19.34,19.351,70803,20220518
19.355,19.375,19.355,19.36,20357,20220518
