open,high,low,close,volume,datetime
65.42,65.52,65.34,65.3494,323530,20220518
65.34,65.3799,65.2,65.23,93261,20220518
65.21,65.24,65.16,65.205,50117,20220518
65.21,65.24,65.125,65.14,28197,20220518
65.15,65.187,65.09,65.14,38532,20220518
65.15,65.27,65.13,65.2399,54138,20220518
65.24,65.295,65.23,65.275,44739,20220518
65.3,65.35,65.22,65.27,46235,20220518
65.27,65.27,65.16,65.17,19095,20220518
65.165,65.165,65.09,65.1,42120,20220518
65.1,65.11,64.98,65.0,37379,20220518
65.0101,65.09,64.97,65.02,35831,20220518
65.01,65.03,64.92,64.93,32372,20220518
64.93,64.965,64.8504,64.88,42276,20220518
64.88,64.91,64.83,64.885,34100,20220518
64.9,64.91,64.8,64.885,57036,20220518
64.885,64.95,64.865,64.89,32990,20220518
64.88,64.915,64.84,64.846,38470,20220518
64.845,64.86,64.79,64.81,37184,20220518
64.83,64.83,64.72,64.74,43841,20220518
64.745,64.77,64.66,64.69,53182,20220518
64.68,64.68,64.56,64.5601,82244,20220518
64.57,64.57,64.48,64.49,64210,20220518
64.5,64.5,64.29,64.2902,66805,20220518
64.29,64.3,64.19,64.23,101901,20220518
64.23,64.26,64.13,64.14,83779,20220518
64.14,64.23,64.13,64.16,147414,20220518
64.16,64.16,64.03,64.06,100620,20220518
64.06,64.08,63.97,64.0,90009,20220518
64.0,64.07,63.97,64.03,75387,20220518
64.03,64.03,63.9201,63.985,96529,20220518
63.99,64.0,63.88,63.95,48148,20220518
63.94,63.98,63.92,63.95,28523,20220518
63.95,64.0,63.93,63.96,79451,20220518
63.96,64.015,63.96,63.99,77426,20220518
63.99,64.015,63.91,63.93,50671,20220518
63.93,63.935,63.875,63.899,57710,20220518
63.89,63.895,63.83,63.88,47950,20220518
63.875,63.88,63.81,63.86,25625,20220518
63.87,63.8984,63.82,63.88,37309,20220518
63.87,64.0,63.845,63.99,37724,20220518
63.98,64.0,63.95,63.955,36410,20220518
63.95,64.0,63.94,63.99,44115,20220518
63.985,64.0,63.96,63.96,27971,20220518
63.95,64.005,63.95,63.99,41954,20220518
63.99,64.01,63.95,64.0,80312,20220518
64.0,64.0,63.94,63.97,67238,20220518
63.96,64.0,63.94,63.985,17112,20220518
63.99,64.0,63.95,63.97,23499,20220518
63.96,64.005,63.96,63.99,62622,20220518
63.99,63.995,63.935,63.9602,62549,20220518
63.96,64.0,63.95,63.96,40591,20220518
63.95,63.955,63.88,63.905,38592,20220518
63.9,63.975,63.89,63.95,18943,20220518
63.94,64.0,63.93,63.985,41751,20220518
63.99,63.99,63.93,63.93,33306,20220518
