open,high,low,close,volume,datetime
49.62,49.8,49.3615,49.52,335058,20220518
49.46,49.58,49.31,49.36,71153,20220518
49.36,49.43,49.32,49.42,27630,20220518
49.435,49.56,49.28,49.32,34558,20220518
49.34,49.41,49.21,49.365,32922,20220518
49.37,49.52,49.26,49.33,64194,20220518
49.32,49.44,49.16,49.44,46513,20220518
49.44,49.74,49.42,49.7,52951,20220518
49.7017,49.87,49.63,49.78,31946,20220518
49.78,49.8,49.59,49.665,22446,20220518
49.67,49.705,49.53,49.54,36322,20220518
49.5302,49.59,49.32,49.32,80093,20220518
49.35,49.36,49.26,49.335,29516,20220518
49.32,49.33,49.2,49.21,13404,20220518
49.19,49.23,49.02,49.22,31801,20220518
49.24,49.31,49.14,49.16,24630,20220518
49.15,49.19,49.03,49.035,84911,20220518
49.01,49.12,49.01,49.05,21541,20220518
49.05,49.22,49.025,49.2,31525,20220518
49.2,49.24,49.15,49.22,16134,20220518
49.23,49.31,49.23,49.29,10410,20220518
49.3,49.3,49.13,49.1499,9193,20220518
49.1422,49.1422,49.03,49.07,10150,20220518
49.0676,49.0899,48.97,48.99,32502,20220518
48.98,49.17,48.96,49.17,14841,20220518
49.18,49.42,49.18,49.39,25763,20220518
49.39,49.39,49.285,49.285,22354,20220518
49.27,49.31,49.26,49.285,7614,20220518
49.27,49.27,49.13,49.17,27642,20220518
49.17,49.235,49.11,49.2175,19898,20220518
49.22,49.29,49.15,49.26,125287,20220518
49.255,49.26,49.1,49.14,47623,20220518
49.125,49.17,49.07,49.135,24760,20220518
49.135,49.2,49.095,49.17,25559,20220518
49.16,49.25,49.15,49.18,32073,20220518
49.155,49.16,48.93,48.93,51650,20220518
48.91,48.95,48.88,48.92,48726,20220518
48.9,48.96,48.9,48.93,50548,20220518
48.925,48.98,48.89,48.9,40839,20220518
48.905,49.0,48.89,48.99,26773,20220518
48.99,48.99,48.875,48.945,48502,20220518
48.945,48.96,48.85,48.85,65582,20220518
48.87,48.87,48.76,48.86,35867,20220518
48.87,48.88,48.68,48.7,64083,20220518
48.69,48.75,48.66,48.74,20840,20220518
48.735,48.77,48.63,48.65,16588,20220518
48.66,48.72,48.6426,48.71,16324,20220518
48.69,48.71,48.6289,48.67,10157,20220518
48.66,48.69,48.595,48.595,11248,20220518
48.6,48.675,48.59,48.64,12708,20220518
48.645,48.73,48.62,48.715,27450,20220518
48.7,48.75,48.655,48.695,9541,20220518
48.68,48.695,48.61,48.61,7663,20220518
48.6,48.6237,48.565,48.595,10390,20220518
48.6,48.64,48.59,48.59,7758,20220518
48.57,48.59,48.54,48.56,15975,20220518
48.55,48.55,48.485,48.52,23282,20220518
48.515,48.565,48.49,48.54,20613,20220518
48.55,48.56,48.43,48.46,15500,20220518
48.469,48.49,48.43,48.48,10846,20220518
48.49,48.5309,48.45,48.46,8720,20220518
48.45,48.48,48.424,48.47,16372,20220518
48.465,48.4757,48.42,48.425,8930,20220518
48.435,48.54,48.41,48.53,26786,20220518
48.525,48.63,48.525,48.6,29072,20220518
48.6,48.6299,48.5949,48.615,22288,20220518
48.615,48.715,48.6,48.655,25248,20220518
48.65,48.76,48.65,48.76,9034,20220518
48.7673,48.785,48.75,48.765,24288,20220518
48.765,48.83,48.76,48.82,13845,20220518
48.815,48.82,48.77,48.815,11317,20220518
48.815,48.89,48.77,48.89,18335,20220518
48.89,48.9,48.805,48.81,12716,20220518
48.81,48.83,48.795,48.815,8353,20220518
48.815,48.85,48.79,48.84,8770,20220518
48.83,48.835,48.8,48.82,9218,20220518
48.825,48.825,48.76,48.77,22332,20220518
48.78,48.82,48.77,48.8068,19277,20220518
48.81,48.862,48.81,48.8307,14025,20220518
48.83,48.846,48.81,48.83,8883,20220518
48.83,48.83,48.8,48.815,16472,20220518
48.815,48.9,48.805,48.885,14249,20220518
48.885,48.885,48.795,48.82,18011,20220518
48.835,48.855,48.805,48.82,11091,20220518
48.81,48.82,48.73,48.73,14618,20220518
48.725,48.78,48.725,48.73,12732,20220518
48.74,48.78,48.725,48.765,13188,20220518
48.77,48.8,48.74,48.76,23449,20220518
48.75,48.75,48.73,48.74,6873,20220518
48.74,48.81,48.735,48.81,9253,20220518
48.805,48.81,48.78,48.81,12143,20220518
48.805,48.86,48.795,48.855,9463,20220518
48.86,48.9,48.86,48.88,15221,20220518
48.875,48.895,48.845,48.855,13205,20220518
48.86,48.875,48.82,48.825,12711,20220518
48.82,48.855,48.805,48.83,16823,20220518
48.83,48.83,48.79,48.795,10885,20220518
48.8,48.83,48.79,48.83,6465,20220518
48.825,48.85,48.795,48.8,12881,20220518
48.795,48.8,48.66,48.67,10380,20220518
48.6615,48.665,48.6,48.63,11602,20220518
48.62,48.655,48.62,48.65,4174,20220518
48.66,48.66,48.65,48.66,6650,20220518
48.66,48.67,48.65,48.655,6760,20220518
48.655,48.66,48.65,48.655,3849,20220518
48.655,48.66,48.65,48.655,3535,20220518
48.65,48.67,48.62,48.62,12428,20220518
48.61,48.61,48.56,48.565,3991,20220518
48.565,48.58,48.54,48.545,8109,20220518
48.545,48.555,48.53,48.55,7092,20220518
48.55,48.5857,48.55,48.585,4304,20220518
48.58,48.6,48.54,48.55,11087,20220518
48.54,48.54,48.5,48.515,7548,20220518
48.51,48.56,48.51,48.54,4874,20220518
48.5343,48.56,48.53,48.56,5318,20220518
48.565,48.635,48.565,48.61,10863,20220518
48.605,48.61,48.55,48.57,9464,20220518
48.563,48.565,48.53,48.5334,4671,20220518
48.52,48.53,48.49,48.49,19048,20220518
48.49,48.49,48.46,48.47,6609,20220518
48.47,48.5,48.4111,48.49,8005,20220518
48.49,48.51,48.49,48.505,13040,20220518
48.5,48.505,48.49,48.4925,6454,20220518
48.49,48.56,48.49,48.545,24557,20220518
48.55,48.69,48.53,48.69,14014,20220518
48.68,48.68,48.625,48.63,5224,20220518
48.63,48.64,48.62,48.625,9249,20220518
48.62,48.6523,48.585,48.6523,9145,20220518
48.66,48.68,48.62,48.63,6249,20220518
48.63,48.63,48.57,48.57,3643,20220518
48.58,48.58,48.54,48.55,7588,20220518
48.55,48.645,48.55,48.6163,6863,20220518
48.62,48.62,48.59,48.595,11199,20220518
48.59,48.59,48.55,48.55,9521,20220518
48.54,48.59,48.535,48.59,11151,20220518
48.58,48.5809,48.5,48.5,7889,20220518
48.5,48.525,48.485,48.5,6391,20220518
48.49,48.49,48.41,48.42,9413,20220518
48.43,48.445,48.42,48.44,6100,20220518
48.445,48.47,48.445,48.46,14724,20220518
48.46,48.505,48.45,48.5,8215,20220518
48.5,48.53,48.48,48.48,7346,20220518
48.475,48.49,48.47,48.47,4120,20220518
48.4704,48.475,48.43,48.435,6314,20220518
48.44,48.445,48.415,48.415,4023,20220518
48.4108,48.51,48.41,48.505,13523,20220518
48.505,48.54,48.495,48.4962,20474,20220518
48.495,48.51,48.495,48.51,3019,20220518
48.515,48.57,48.515,48.565,4400,20220518
48.57,48.6,48.5,48.555,54420,20220518
48.555,48.555,48.495,48.5,14169,20220518
48.505,48.52,48.499,48.505,26016,20220518
48.505,48.505,48.5,48.505,4367,20220518
48.505,48.53,48.505,48.5145,15941,20220518
48.51,48.515,48.49,48.5,44205,20220518
48.5,48.5,48.41,48.43,18841,20220518
48.425,48.43,48.365,48.415,33796,20220518
48.41,48.46,48.41,48.41,16367,20220518
48.41,48.4104,48.32,48.34,39294,20220518
48.34,48.346,48.33,48.34,9228,20220518
48.33,48.33,48.295,48.3,12818,20220518
48.3,48.3413,48.295,48.335,26745,20220518
48.335,48.335,48.285,48.285,10802,20220518
48.285,48.3474,48.285,48.34,16123,20220518
48.34,48.38,48.33,48.37,98018,20220518
48.38,48.425,48.36,48.36,52429,20220518
48.365,48.42,48.365,48.395,17683,20220518
48.39,48.425,48.385,48.4125,7813,20220518
48.415,48.415,48.29,48.315,14117,20220518
48.29,48.29,48.24,48.25,10741,20220518
48.245,48.3,48.24,48.285,18202,20220518
48.285,48.285,48.2621,48.275,6835,20220518
48.275,48.2952,48.22,48.23,12950,20220518
48.22,48.225,48.18,48.18,20205,20220518
48.185,48.2,48.145,48.18,13252,20220518
48.185,48.2297,48.185,48.225,10212,20220518
48.225,48.3,48.225,48.3,9000,20220518
48.3,48.33,48.29,48.31,6385,20220518
48.32,48.39,48.3101,48.39,10771,20220518
48.4,48.425,48.395,48.41,10786,20220518
48.415,48.42,48.395,48.4,9353,20220518
48.4,48.41,48.36,48.36,8820,20220518
48.36,48.365,48.34,48.345,5621,20220518
48.34,48.34,48.31,48.325,4660,20220518
48.33,48.38,48.32,48.38,10590,20220518
48.38,48.42,48.38,48.42,8927,20220518
48.43,48.52,48.4207,48.52,8056,20220518
48.52,48.55,48.51,48.55,16972,20220518
48.545,48.55,48.5137,48.53,13263,20220518
48.53,48.59,48.525,48.58,11433,20220518
48.59,48.59,48.53,48.55,15009,20220518
48.54,48.55,48.51,48.545,4681,20220518
48.55,48.6,48.55,48.59,4401,20220518
48.595,48.62,48.595,48.61,1827,20220518
48.605,48.62,48.54,48.555,12715,20220518
48.56,48.57,48.5,48.53,13023,20220518
48.53,48.59,48.53,48.59,7000,20220518
48.586,48.62,48.585,48.62,9593,20220518
48.61,48.615,48.56,48.56,6428,20220518
48.56,48.57,48.5425,48.56,18884,20220518
48.555,48.56,48.535,48.56,6139,20220518
48.55,48.56,48.54,48.545,6144,20220518
48.55,48.56,48.545,48.56,4300,20220518
48.55,48.57,48.535,48.56,14618,20220518
48.56,48.605,48.56,48.595,12374,20220518
48.595,48.6,48.545,48.55,17413,20220518
48.555,48.57,48.54,48.545,8238,20220518
48.55,48.55,48.535,48.545,5966,20220518
48.55,48.55,48.54,48.545,5683,20220518
48.54,48.555,48.515,48.515,18025,20220518
48.515,48.515,48.5,48.505,5709,20220518
48.495,48.4966,48.46,48.47,8609,20220518
48.465,48.465,48.415,48.415,4854,20220518
48.41,48.41,48.32,48.325,8339,20220518
48.31,48.35,48.275,48.34,15431,20220518
48.34,48.34,48.275,48.285,8881,20220518
48.2867,48.29,48.28,48.28,1489,20220518
48.28,48.32,48.26,48.26,11687,20220518
48.26,48.3,48.2325,48.28,9546,20220518
48.27,48.27,48.235,48.245,2884,20220518
48.24,48.2925,48.24,48.26,13956,20220518
48.26,48.26,48.235,48.245,4743,20220518
48.245,48.25,48.23,48.235,17301,20220518
48.235,48.235,48.174,48.175,27721,20220518
48.175,48.22,48.1625,48.22,29909,20220518
48.225,48.23,48.2127,48.215,8912,20220518
48.215,48.22,48.21,48.2125,2000,20220518
48.215,48.215,48.155,48.155,10269,20220518
48.155,48.1555,48.125,48.13,10100,20220518
48.135,48.135,48.08,48.08,24921,20220518
48.075,48.075,48.03,48.0325,7823,20220518
48.035,48.15,48.0343,48.13,7962,20220518
48.13,48.16,48.12,48.14,7460,20220518
48.13,48.135,48.105,48.105,4821,20220518
48.09,48.1,48.0627,48.1,4018,20220518
48.1,48.13,48.1,48.105,6703,20220518
48.105,48.125,48.1,48.1,8597,20220518
48.1,48.125,48.095,48.125,3061,20220518
48.13,48.205,48.13,48.205,12556,20220518
48.21,48.25,48.205,48.25,3833,20220518
48.245,48.3,48.245,48.29,11924,20220518
48.29,48.35,48.29,48.32,9385,20220518
48.315,48.32,48.26,48.26,6180,20220518
48.2525,48.3,48.2269,48.295,9700,20220518
48.3,48.4,48.3,48.4,6100,20220518
48.395,48.43,48.38,48.385,5201,20220518
48.38,48.4041,48.36,48.385,6803,20220518
48.38,48.38,48.365,48.37,5573,20220518
48.365,48.365,48.305,48.305,10166,20220518
48.3,48.335,48.29,48.335,9636,20220518
48.33,48.33,48.29,48.31,6363,20220518
48.315,48.335,48.305,48.305,13282,20220518
48.3,48.3,48.265,48.265,1985,20220518
48.26,48.27,48.23,48.265,7765,20220518
48.26,48.33,48.25,48.325,7219,20220518
48.325,48.34,48.31,48.315,3079,20220518
48.32,48.36,48.32,48.34,13860,20220518
48.335,48.335,48.21,48.22,13732,20220518
48.215,48.215,48.15,48.15,10060,20220518
48.14,48.14,48.07,48.07,4483,20220518
48.07,48.07,48.04,48.04,3990,20220518
48.03,48.045,48.01,48.04,9498,20220518
48.035,48.045,48.03,48.03,11975,20220518
48.02,48.025,47.97,48.005,18518,20220518
48.0,48.04,47.99,48.015,6321,20220518
48.02,48.02,47.99,48.005,10002,20220518
48.0,48.02,47.94,48.02,36827,20220518
48.015,48.015,47.94,47.95,75707,20220518
47.94,47.95,47.91,47.92,16292,20220518
47.92,47.945,47.91,47.91,7864,20220518
47.9,47.9,47.8501,47.87,12802,20220518
47.88,47.88,47.85,47.86,13574,20220518
47.85,47.86,47.77,47.79,15942,20220518
47.8,47.82,47.72,47.75,10686,20220518
47.75,47.83,47.75,47.8064,9878,20220518
47.82,47.87,47.82,47.84,33097,20220518
47.845,47.86,47.8146,47.8146,11377,20220518
47.83,47.83,47.78,47.825,13050,20220518
47.82,47.835,47.81,47.81,15945,20220518
47.81,47.82,47.786,47.81,5353,20220518
47.81,47.83,47.8,47.8,4681,20220518
47.81,47.83,47.81,47.81,3300,20220518
47.81,47.81,47.76,47.79,34598,20220518
47.795,47.83,47.785,47.83,8993,20220518
47.83,47.89,47.83,47.885,17564,20220518
47.885,47.885,47.83,47.85,19343,20220518
47.86,47.86,47.78,47.82,51569,20220518
47.82,47.86,47.815,47.86,9950,20220518
47.87,47.91,47.87,47.9,7888,20220518
47.91,47.92,47.88,47.88,4651,20220518
47.86,47.9,47.85,47.89,6476,20220518
47.885,47.925,47.84,47.915,11730,20220518
47.9174,47.93,47.89,47.91,6431,20220518
47.91,47.93,47.89,47.91,8833,20220518
47.89,47.93,47.89,47.915,42227,20220518
47.93,47.955,47.93,47.955,4017,20220518
47.9528,47.995,47.9528,47.975,5219,20220518
47.97,48.015,47.97,48.01,3001,20220518
47.9919,48.0,47.9801,47.995,2287,20220518
47.99,48.0,47.9715,48.0,17618,20220518
47.995,48.05,47.9826,47.99,18002,20220518
47.99,47.9924,47.84,47.8413,12917,20220518
47.85,47.88,47.805,47.8101,8315,20220518
47.8,47.8,47.76,47.76,4423,20220518
47.765,47.77,47.73,47.76,8604,20220518
47.76,47.765,47.725,47.735,7330,20220518
47.72,47.7253,47.69,47.7001,9644,20220518
