open,high,low,close,volume,datetime
51.09,51.2,50.39,50.46,29183,20220518
50.55,50.7,50.485,50.66,9626,20220518
50.625,50.625,50.225,50.39,8283,20220518
50.34,50.5,50.3,50.43,6100,20220518
50.41,50.47,50.33,50.36,4915,20220518
50.36,50.58,50.225,50.58,10128,20220518
50.68,50.7,50.55,50.68,6313,20220518
50.7,50.7,50.31,50.36,6586,20220518
50.38,50.4,50.295,50.36,10730,20220518
50.33,50.36,50.12,50.29,22262,20220518
50.29,50.31,50.17,50.29,12172,20220518
50.285,50.36,50.285,50.3,3662,20220518
50.27,50.3,50.11,50.3,5950,20220518
50.3,50.35,50.3,50.31,7686,20220518
50.34,50.35,50.21,50.21,7778,20220518
50.25,50.35,50.22,50.32,14885,20220518
50.31,50.34,50.25,50.275,20460,20220518
50.27,50.3,50.22,50.3,10117,20220518
50.3,50.33,50.235,50.27,13422,20220518
50.27,50.37,50.26,50.34,4137,20220518
50.38,50.38,50.28,50.28,6336,20220518
50.25,50.35,50.23,50.29,8876,20220518
50.29,50.29,50.09,50.175,12128,20220518
50.19,50.25,50.15,50.21,11411,20220518
50.19,50.29,50.16,50.27,3100,20220518
50.29,50.36,50.28,50.3,9986,20220518
50.27,50.34,50.27,50.32,7954,20220518
50.32,50.34,50.28,50.29,8843,20220518
50.27,50.31,50.24,50.31,2532,20220518
50.3,50.35,50.27,50.31,7409,20220518
50.34,50.365,50.29,50.29,5278,20220518
50.305,50.35,50.3,50.33,5233,20220518
50.31,50.33,50.25,50.33,2854,20220518
50.335,50.335,50.27,50.27,3667,20220518
50.29,50.36,50.29,50.29,4188,20220518
50.28,50.35,50.225,50.25,12836,20220518
50.25,50.3,50.25,50.3,2213,20220518
50.28,50.3,50.26,50.28,3768,20220518
50.29,50.3,50.25,50.3,2186,20220518
50.28,50.284,50.09,50.17,13766,20220518
50.2,50.24,50.2,50.24,3205,20220518
50.255,50.28,50.17,50.28,4612,20220518
50.28,50.28,50.19,50.23,5298,20220518
50.2,50.26,50.2,50.25,3588,20220518
50.21,50.28,50.21,50.27,2713,20220518
50.29,50.33,50.24,50.33,3946,20220518
50.335,50.335,50.27,50.275,4503,20220518
50.26,50.315,50.26,50.315,2568,20220518
50.3,50.3,50.01,50.06,39052,20220518
50.05,50.14,50.05,50.13,6870,20220518
50.11,50.11,50.05,50.09,11064,20220518
50.1,50.18,50.07,50.07,3270,20220518
50.09,50.11,50.09,50.11,987,20220518
50.08,50.0875,50.02,50.02,4673,20220518
50.01,50.09,50.01,50.05,2893,20220518
50.04,50.11,50.0,50.04,11256,20220518
50.11,50.14,50.1,50.13,1200,20220518
50.145,50.145,50.12,50.13,802,20220518
50.12,50.16,49.97,50.02,16455,20220518
50.02,50.04,49.94,49.94,5962,20220518
49.925,50.01,49.92,49.97,3989,20220518
49.97,50.0,49.87,49.89,7690,20220518
49.9,49.92,49.79,49.88,7272,20220518
49.88,49.88,49.8,49.8,2624,20220518
49.79,49.81,49.77,49.775,3900,20220518
49.77,49.81,49.76,49.795,4069,20220518
49.8,49.89,49.8,49.89,1292,20220518
49.89,49.97,49.88,49.88,3200,20220518
49.91,49.93,49.85,49.85,2488,20220518
49.86,49.94,49.85,49.94,3536,20220518
49.93,49.93,49.84,49.855,6421,20220518
49.85,49.94,49.85,49.94,1800,20220518
49.96,49.99,49.92,49.94,5578,20220518
49.945,50.03,49.945,50.02,2100,20220518
50.0,50.07,49.98,50.07,3172,20220518
50.075,50.115,50.06,50.09,3896,20220518
50.13,50.21,50.12,50.21,2315,20220518
50.2,50.245,50.2,50.245,3971,20220518
50.249,50.37,50.249,50.35,2512,20220518
50.34,50.34,50.294,50.294,2996,20220518
50.305,50.34,50.3,50.31,5507,20220518
50.3,50.3,50.285,50.285,600,20220518
50.26,50.275,50.255,50.27,1000,20220518
50.26,50.3,50.25,50.25,2384,20220518
50.25,50.28,50.21,50.24,4372,20220518
50.21,50.26,50.21,50.26,1461,20220518
50.26,50.28,50.23,50.28,6486,20220518
50.29,50.33,50.29,50.31,6775,20220518
50.33,50.36,50.33,50.33,3418,20220518
50.31,50.4,50.301,50.4,5340,20220518
50.38,50.39,50.35,50.37,2255,20220518
50.36,50.375,50.3,50.3,1600,20220518
50.31,50.36,50.31,50.33,4100,20220518
50.305,50.33,50.27,50.274,1900,20220518
50.27,50.27,50.23,50.24,1487,20220518
50.235,50.235,50.185,50.185,1700,20220518
50.19,50.24,50.165,50.19,1631,20220518
50.155,50.17,50.155,50.16,300,20220518
50.2,50.22,50.2,50.2,2300,20220518
50.2,50.21,50.2,50.2,900,20220518
50.19,50.19,50.15,50.154,2300,20220518
50.18,50.18,50.16,50.165,700,20220518
50.165,50.165,50.165,50.165,263,20220518
50.165,50.165,50.165,50.165,100,20220518
50.165,50.165,50.165,50.165,100,20220518
50.15,50.18,50.15,50.18,1388,20220518
50.18,50.18,50.08,50.11,7585,20220518
50.095,50.095,50.085,50.085,600,20220518
50.085,50.085,50.04,50.05,1000,20220518
50.06,50.08,50.06,50.08,2195,20220518
50.06,50.06,50.02,50.05,2516,20220518
50.05,50.05,50.05,50.05,200,20220518
50.05,50.06,50.035,50.035,3250,20220518
