open,high,low,close,volume,datetime
55.17,55.32,55.02,55.135,13004,20220518
55.08,55.1,54.92,55.08,3323,20220518
55.16,55.28,54.97,55.11,4109,20220518
55.17,55.19,55.17,55.18,402,20220518
55.28,55.28,55.21,55.27,1000,20220518
55.26,55.41,55.26,55.41,800,20220518
55.47,55.53,55.41,55.53,2600,20220518
55.62,55.62,55.455,55.5,4384,20220518
55.5031,55.57,55.46,55.48,2814,20220518
55.41,55.42,55.19,55.2,1735,20220518
55.24,55.24,55.11,55.13,1795,20220518
55.13,55.13,55.01,55.045,1343,20220518
55.05,55.09,54.9,54.9475,10415,20220518
54.99,54.99,54.88,54.97,2030,20220518
55.04,55.26,55.04,55.22,7397,20220518
55.21,55.3,55.17,55.3,3200,20220518
55.29,55.5,55.255,55.44,3548,20220518
55.51,55.6,55.41,55.6,1125,20220518
55.5625,55.63,55.51,55.62,2099,20220518
55.67,55.67,55.55,55.55,2796,20220518
55.495,55.495,55.36,55.36,1518,20220518
55.27,55.406,55.23,55.33,2636,20220518
55.26,55.33,55.26,55.33,300,20220518
55.33,55.36,55.25,55.36,900,20220518
55.37,55.405,55.34,55.36,1593,20220518
55.34,55.44,55.32,55.43,2374,20220518
55.31,55.31,55.26,55.29,1000,20220518
55.15,55.24,55.14,55.22,1999,20220518
55.17,55.215,55.14,55.17,1531,20220518
55.12,55.15,55.12,55.15,200,20220518
55.22,55.31,55.21,55.31,945,20220518
55.33,55.4,55.33,55.38,2064,20220518
55.38,55.4,55.34,55.37,2417,20220518
55.4,55.4,55.365,55.39,900,20220518
55.38,55.42,55.35,55.36,4427,20220518
55.34,55.465,55.34,55.465,2617,20220518
55.5,55.5,55.41,55.41,1675,20220518
55.42,55.42,55.37,55.37,501,20220518
55.33,55.33,55.27,55.29,3544,20220518
55.21,55.25,55.17,55.25,1856,20220518
55.28,55.33,55.26,55.28,2480,20220518
55.32,55.32,55.19,55.23,1760,20220518
55.26,55.26,55.095,55.095,1302,20220518
55.11,55.21,55.11,55.2,1233,20220518
55.19,55.36,55.19,55.36,1150,20220518
55.34,55.39,55.3,55.39,1744,20220518
55.38,55.38,55.32,55.34,900,20220518
55.39,55.39,55.39,55.39,100,20220518
55.43,55.43,55.37,55.38,2257,20220518
55.37,55.37,55.3401,55.3401,969,20220518
55.34,55.455,55.29,55.455,1300,20220518
55.516,55.516,55.43,55.43,1270,20220518
55.45,55.45,55.43,55.43,500,20220518
55.43,55.43,55.36,55.36,1114,20220518
55.3427,55.38,55.28,55.33,2536,20220518
55.289,55.315,55.289,55.315,900,20220518
55.38,55.43,55.34,55.34,2240,20220518
55.33,55.33,55.24,55.265,1184,20220518
55.28,55.29,55.21,55.24,2631,20220518
55.2,55.21,55.11,55.11,1922,20220518
55.1,55.18,55.1,55.18,616,20220518
55.185,55.19,55.13,55.13,1426,20220518
55.165,55.165,55.13,55.15,1186,20220518
55.16,55.26,55.16,55.24,1717,20220518
55.23,55.23,55.19,55.19,1112,20220518
55.21,55.21,55.13,55.16,1127,20220518
55.21,55.23,55.21,55.22,684,20220518
55.26,55.26,55.2,55.2,400,20220518
55.18,55.23,55.17,55.17,1354,20220518
55.21,55.21,55.14,55.19,1390,20220518
55.21,55.25,55.21,55.22,1493,20220518
55.2,55.27,55.18,55.27,1457,20220518
55.29,55.29,55.27,55.27,400,20220518
55.31,55.38,55.31,55.38,900,20220518
55.39,55.4,55.38,55.4,628,20220518
55.35,55.38,55.33,55.38,1540,20220518
55.38,55.48,55.38,55.42,2100,20220518
55.41,55.41,55.41,55.41,324,20220518
55.42,55.48,55.4,55.41,3577,20220518
55.37,55.41,55.37,55.41,710,20220518
55.42,55.42,55.345,55.37,1504,20220518
55.36,55.36,55.34,55.35,2290,20220518
55.32,55.32,55.25,55.25,2153,20220518
55.25,55.28,55.25,55.27,640,20220518
55.28,55.28,55.265,55.27,400,20220518
55.24,55.24,55.15,55.15,13821,20220518
55.14,55.195,55.12,55.195,2043,20220518
55.205,55.29,55.205,55.26,2149,20220518
55.28,55.28,55.25,55.25,694,20220518
55.24,55.26,55.22,55.26,1837,20220518
55.25,55.25,55.21,55.21,1127,20220518
55.19,55.25,55.12,55.12,1894,20220518
55.13,55.156,55.07,55.07,924,20220518
55.04,55.09,55.04,55.07,400,20220518
55.03,55.03,55.0,55.02,2776,20220518
54.99,54.99,54.97,54.98,1799,20220518
54.99,55.03,54.9,54.9,2484,20220518
54.88,54.95,54.875,54.95,1801,20220518
54.94,54.94,54.92,54.935,2886,20220518
54.91,54.915,54.85,54.915,2850,20220518
54.9,54.9,54.75,54.75,3466,20220518
54.72,54.79,54.71,54.7868,1014,20220518
54.786,54.786,54.77,54.77,200,20220518
54.77,54.78,54.77,54.78,1100,20220518
54.77,54.77,54.77,54.77,593,20220518
54.76,54.77,54.65,54.65,3174,20220518
54.63,54.63,54.62,54.62,400,20220518
54.6264,54.6264,54.56,54.56,1126,20220518
54.59,54.64,54.58,54.625,1419,20220518
54.64,54.64,54.56,54.58,1104,20220518
54.56,54.56,54.54,54.54,409,20220518
54.56,54.56,54.56,54.56,100,20220518
54.58,54.58,54.55,54.57,1291,20220518
54.57,54.57,54.5,54.505,1622,20220518
54.5,54.58,54.5,54.56,1597,20220518
54.54,54.54,54.54,54.54,200,20220518
54.53,54.53,54.48,54.48,1264,20220518
54.46,54.46,54.44,54.445,700,20220518
54.42,54.42,54.38,54.41,864,20220518
54.43,54.43,54.395,54.395,906,20220518
54.395,54.53,54.395,54.53,1900,20220518
54.52,54.52,54.48,54.48,1095,20220518
54.52,54.558,54.51,54.558,1710,20220518
54.54,54.57,54.54,54.56,801,20220518
54.58,54.67,54.58,54.63,1222,20220518
54.6355,54.67,54.6355,54.67,657,20220518
54.675,54.76,54.675,54.76,975,20220518
54.79,54.805,54.76,54.76,1517,20220518
54.775,54.775,54.72,54.7325,1510,20220518
54.705,54.705,54.67,54.69,933,20220518
54.75,54.8494,54.75,54.8494,696,20220518
54.83,54.83,54.8,54.805,706,20220518
54.83,54.83,54.76,54.76,1106,20220518
54.75,54.79,54.75,54.79,638,20220518
54.79,54.79,54.71,54.71,705,20220518
54.71,54.715,54.7,54.715,300,20220518
54.68,54.68,54.61,54.61,610,20220518
54.665,54.67,54.65,54.65,500,20220518
54.64,54.65,54.64,54.64,402,20220518
54.63,54.68,54.62,54.65,850,20220518
54.69,54.7,54.67,54.69,509,20220518
54.68,54.68,54.65,54.65,700,20220518
54.64,54.64,54.56,54.56,2530,20220518
54.56,54.56,54.46,54.46,1127,20220518
