open,high,low,close,volume,datetime
187.5,187.5,187.5,187.5,100,20220518
187.58,189.67,186.41,187.79,214956,20220518
188.11,188.6799,187.2,187.96,45032,20220518
187.935,188.26,187.0,187.94,91101,20220518
187.5,188.91,187.47,187.97,62041,20220518
187.78,188.47,187.46,188.295,33342,20220518
188.26,188.67,187.01,188.41,71680,20220518
188.38,189.2,187.5,187.8191,86435,20220518
187.87,188.4349,187.5,188.32,21177,20220518
188.34,188.91,187.679,187.679,36379,20220518
187.66,188.67,187.0,188.5453,61361,20220518
188.75,190.7,188.67,190.115,52030,20220518
190.1171,190.4,189.445,190.2438,20772,20220518
190.1027,191.46,190.1027,191.145,35123,20220518
191.145,191.16,190.08,190.615,16268,20220518
190.665,191.11,189.68,189.7505,47271,20220518
189.795,190.36,189.54,190.15,34875,20220518
190.16,190.46,189.51,189.64,36739,20220518
189.64,190.26,188.75,188.91,36555,20220518
188.88,190.15,188.83,190.015,15344,20220518
189.99,190.23,189.6,189.77,15936,20220518
189.57,189.77,188.84,189.39,18702,20220518
189.41,189.6,188.93,189.125,13891,20220518
189.12,189.68,189.09,189.6,13285,20220518
189.56,189.85,189.37,189.52,8198,20220518
189.52,190.45,189.44,190.225,20813,20220518
190.38,191.4,190.16,191.4,26812,20220518
191.335,191.335,190.45,190.94,17321,20220518
190.98,190.98,190.16,190.26,18274,20220518
190.375,190.47,189.62,189.87,13808,20220518
189.86,189.94,189.07,189.195,19145,20220518
189.13,189.5,189.06,189.495,23566,20220518
189.55,190.09,189.415,189.79,11343,20220518
189.6,189.9352,189.5,189.73,10273,20220518
189.76,190.88,189.74,190.585,14501,20220518
190.76,190.76,190.0,190.0,17809,20220518
189.88,190.59,189.59,190.48,18992,20220518
190.48,190.88,190.45,190.72,17591,20220518
190.6,190.73,190.28,190.355,6698,20220518
190.27,190.27,189.7588,190.0163,13003,20220518
190.0539,190.13,189.84,189.99,8016,20220518
189.89,190.3908,189.86,190.3908,7788,20220518
190.45,190.55,189.77,189.81,7234,20220518
189.86,189.945,189.66,189.7055,4969,20220518
189.77,190.49,189.75,190.43,11925,20220518
190.435,190.89,190.205,190.76,7215,20220518
190.67,190.92,190.6116,190.845,6708,20220518
190.845,190.8708,190.68,190.73,7702,20220518
190.72,191.15,190.37,190.45,9533,20220518
190.37,190.51,190.09,190.38,6004,20220518
190.36,191.28,190.36,190.886,7046,20220518
190.95,190.97,190.72,190.85,9450,20220518
190.73,190.735,190.23,190.25,5546,20220518
190.24,190.44,189.85,189.91,21749,20220518
189.8394,190.156,189.67,189.98,7587,20220518
190.04,190.71,190.04,190.375,8918,20220518
