open,high,low,close,volume,datetime
501.68,501.68,499.7033,500.3,17985,20220518
500.81,502.61,500.5201,501.155,1600,20220518
501.78,504.43,501.78,503.42,900,20220518
503.76,504.47,503.12,504.47,3531,20220518
503.7,503.7,500.825,501.535,1416,20220518
502.175,502.313,500.78,502.313,3796,20220518
502.05,502.05,501.45,501.45,728,20220518
501.1,501.1,500.13,500.13,800,20220518
501.0,501.0,499.95,500.41,2021,20220518
500.325,500.88,499.0,500.15,1587,20220518
500.55,501.08,499.73,500.39,2800,20220518
500.14,501.0,500.14,501.0,313,20220518
499.47,499.86,498.51,499.44,2754,20220518
500.0,500.77,500.0,500.77,1456,20220518
501.63,501.63,500.675,500.77,979,20220518
501.66,502.74,501.315,501.7724,1677,20220518
502.22,502.51,502.22,502.36,1104,20220518
503.865,503.865,503.385,503.79,300,20220518
503.0,503.0,502.87,502.87,203,20220518
503.68,503.68,501.95,502.0,1723,20220518
502.15,504.95,502.15,504.95,800,20220518
503.72,503.72,503.72,503.72,100,20220518
505.0,505.05,504.27,504.81,700,20220518
504.0,504.705,504.0,504.705,300,20220518
504.1,505.21,504.1,504.355,500,20220518
504.835,504.835,504.08,504.08,570,20220518
503.5,503.5,503.235,503.235,200,20220518
504.0,504.5,503.97,504.5,500,20220518
504.49,504.49,503.68,503.68,500,20220518
503.68,504.54,503.68,504.27,925,20220518
505.28,505.7,505.12,505.7,400,20220518
505.7,506.45,505.38,506.16,1001,20220518
506.75,506.845,505.85,506.68,1340,20220518
506.13,507.035,506.13,506.545,690,20220518
506.915,507.63,506.59,506.59,1010,20220518
506.91,506.98,506.81,506.98,600,20220518
506.91,507.67,506.68,507.67,4021,20220518
507.45,507.645,507.31,507.62,1775,20220518
507.19,508.44,507.19,508.44,1020,20220518
508.075,508.5,507.97,508.4,3500,20220518
507.78,507.78,507.46,507.55,1388,20220518
506.915,507.355,506.625,506.625,1067,20220518
507.32,507.32,507.32,507.32,100,20220518
507.0,507.39,506.85,507.29,1113,20220518
