open,high,low,close,volume,datetime
44.52,44.91,44.52,44.9,54585,20220518
44.95,44.97,44.73,44.91,34316,20220518
44.87,44.92,44.79,44.8,6499,20220518
44.82,44.93,44.815,44.93,6920,20220518
44.94,44.95,44.87,44.9,3783,20220518
44.89,44.91,44.745,44.91,19674,20220518
44.93,44.99,44.8701,44.895,3944,20220518
44.92,44.94,44.87,44.87,3350,20220518
44.87,44.94,44.86,44.86,3749,20220518
44.88,44.88,44.6436,44.7,6232,20220518
44.65,44.76,44.65,44.76,27900,20220518
44.74,44.819,44.74,44.79,4014,20220518
44.76,44.81,44.725,44.81,2305,20220518
44.77,44.83,44.77,44.83,700,20220518
44.89,44.98,44.88,44.98,8965,20220518
44.95,45.07,44.92,45.07,23489,20220518
45.07,45.09,45.02,45.06,21345,20220518
45.07,45.205,45.07,45.19,42534,20220518
45.21,45.215,45.1,45.1,22534,20220518
45.12,45.14,45.0668,45.08,8493,20220518
45.085,45.085,44.855,44.855,19937,20220518
44.84,45.0,44.84,44.96,23032,20220518
44.9514,45.05,44.95,45.05,4014,20220518
45.06,45.06,45.0,45.01,4314,20220518
44.96,45.0,44.94,44.99,11657,20220518
44.98,45.015,44.94,44.955,8393,20220518
44.93,45.0,44.88,44.92,23899,20220518
44.91,44.91,44.8225,44.85,34657,20220518
44.86,44.93,44.84,44.92,9814,20220518
44.9,45.04,44.9,45.04,5600,20220518
45.035,45.1,45.01,45.08,8524,20220518
45.08,45.25,45.08,45.15,26748,20220518
45.17,45.27,45.15,45.27,21705,20220518
45.26,45.27,45.18,45.26,18653,20220518
45.24,45.27,45.2,45.2,6490,20220518
45.19,45.28,45.18,45.27,14294,20220518
45.27,45.3,45.26,45.28,20455,20220518
45.29,45.32,45.23,45.32,21730,20220518
45.31,45.31,45.25,45.27,2700,20220518
45.31,45.32,45.26,45.2883,3243,20220518
45.27,45.3499,45.265,45.2699,3322,20220518
45.225,45.225,45.1508,45.2178,5507,20220518
45.22,45.23,45.1326,45.17,2025,20220518
45.16,45.21,45.15,45.18,3376,20220518
45.16,45.21,45.16,45.2,1908,20220518
45.2,45.2,45.12,45.17,3100,20220518
45.16,45.1898,45.12,45.18,4900,20220518
45.19,45.2212,45.17,45.21,2006,20220518
45.1814,45.2731,45.1814,45.2285,5576,20220518
45.21,45.23,45.19,45.2153,2146,20220518
45.2,45.34,45.17,45.305,9595,20220518
45.27,45.27,45.2,45.2,3372,20220518
45.21,45.21,45.144,45.144,5609,20220518
45.14,45.1439,45.1,45.1,16088,20220518
45.1,45.185,45.1,45.16,15260,20220518
45.13,45.155,45.12,45.15,1000,20220518
45.2,45.22,45.18,45.205,57895,20220518
45.19,45.19,45.1492,45.16,2167,20220518
45.17,45.17,45.1,45.12,7375,20220518
45.1,45.11,44.9539,44.9539,17975,20220518
44.98,45.09,44.951,45.08,12711,20220518
45.11,45.11,45.05,45.07,4665,20220518
45.1,45.1,45.04,45.06,6224,20220518
45.0522,45.17,45.04,45.13,6093,20220518
45.14,45.14,45.075,45.0903,1646,20220518
45.09,45.09,45.0148,45.03,3150,20220518
45.03,45.13,45.03,45.09,7688,20220518
45.09,45.12,45.0741,45.08,5902,20220518
45.0747,45.16,45.07,45.14,12965,20220518
45.13,45.15,45.08,45.09,6356,20220518
45.09,45.095,45.02,45.03,3100,20220518
45.02,45.12,45.0,45.12,9835,20220518
45.12,45.12,45.09,45.11,1963,20220518
45.115,45.15,45.115,45.14,1700,20220518
45.12,45.15,45.11,45.13,2300,20220518
45.13,45.1339,45.07,45.09,7849,20220518
45.095,45.16,45.095,45.16,16168,20220518
45.1101,45.1101,45.07,45.07,5346,20220518
45.07,45.13,45.0572,45.12,5406,20220518
45.09,45.1113,45.09,45.105,2223,20220518
45.1194,45.1194,45.065,45.07,3905,20220518
45.085,45.085,45.05,45.06,2165,20220518
45.05,45.06,45.02,45.045,3547,20220518
45.0436,45.05,45.03,45.03,1603,20220518
45.04,45.0536,45.0,45.0,11090,20220518
45.01,45.01,44.95,44.965,2787,20220518
44.95,44.975,44.9298,44.975,1300,20220518
44.98,45.03,44.98,45.03,5840,20220518
45.03,45.07,45.02,45.02,1500,20220518
45.01,45.04,45.01,45.0358,3225,20220518
45.03,45.04,44.98,44.98,4105,20220518
44.98,45.01,44.945,44.96,5578,20220518
44.96,45.02,44.94,44.98,20205,20220518
45.0,45.0,44.956,44.96,2805,20220518
44.9801,45.05,44.98,45.02,4619,20220518
45.02,45.02,45.0,45.0,750,20220518
44.99,44.99,44.89,44.89,5825,20220518
44.9,44.94,44.88,44.94,4481,20220518
44.93,44.94,44.91,44.91,7524,20220518
44.92,44.93,44.89,44.93,6191,20220518
44.928,44.93,44.86,44.87,8400,20220518
44.87,44.88,44.87,44.875,3900,20220518
44.878,44.88,44.8661,44.88,3471,20220518
44.878,44.888,44.87,44.879,4250,20220518
44.878,44.89,44.875,44.89,2497,20220518
44.885,44.885,44.875,44.88,3314,20220518
44.88,44.91,44.82,44.82,22752,20220518
44.81,44.81,44.74,44.74,13342,20220518
