open,high,low,close,volume,datetime
34.16,34.5,34.0,34.38,49253,20220518
34.39,34.49,34.26,34.39,11184,20220518
34.34,34.44,34.27,34.31,5705,20220518
34.29,34.36,34.23,34.33,12198,20220518
34.36,34.49,34.36,34.43,7594,20220518
34.43,34.47,34.25,34.46,5003,20220518
34.53,34.53,34.35,34.41,7404,20220518
34.42,34.5,34.42,34.42,5470,20220518
34.42,34.5,34.37,34.39,7253,20220518
34.37,34.37,34.07,34.13,18812,20220518
34.13,34.22,34.13,34.22,12658,20220518
34.2,34.23,34.0336,34.0336,20631,20220518
34.02,34.05,33.95,34.02,20479,20220518
34.02,34.1,34.02,34.09,6594,20220518
34.12,34.16,34.04,34.13,8201,20220518
34.1,34.27,34.1,34.27,11210,20220518
34.27,34.3112,34.2,34.27,10048,20220518
34.3,34.46,34.3,34.41,18873,20220518
34.385,34.44,34.27,34.27,15428,20220518
34.25,34.28,34.21,34.28,5421,20220518
34.29,34.29,34.01,34.01,11016,20220518
34.03,34.15,34.015,34.11,13497,20220518
34.08,34.25,34.08,34.24,10843,20220518
34.23,34.39,34.23,34.3,15359,20220518
34.29,34.33,34.215,34.215,7632,20220518
34.1,34.14,34.0518,34.0518,3260,20220518
34.05,34.05,33.94,33.95,6790,20220518
33.93,33.95,33.87,33.88,21537,20220518
33.86,34.05,33.86,34.04,17963,20220518
34.025,34.1,34.02,34.08,8833,20220518
34.125,34.3,34.125,34.29,11569,20220518
34.32,34.41,34.3,34.35,20015,20220518
34.34,34.4,34.31,34.36,8901,20220518
34.37,34.41,34.305,34.32,75323,20220518
34.3,34.38,34.27,34.27,19096,20220518
34.27,34.46,34.27,34.46,14448,20220518
34.445,34.51,34.415,34.49,17459,20220518
34.49,34.54,34.48,34.5294,18453,20220518
34.53,34.58,34.51,34.56,9035,20220518
34.55,34.55,34.41,34.45,7662,20220518
34.41,34.52,34.41,34.44,4369,20220518
34.43,34.43,34.365,34.4,7426,20220518
34.41,34.43,34.35,34.37,16760,20220518
34.387,34.47,34.387,34.46,6331,20220518
34.44,34.53,34.43,34.51,11943,20220518
34.49,34.5,34.41,34.5,8461,20220518
34.48,34.55,34.44,34.46,24326,20220518
34.46,34.51,34.43,34.485,7998,20220518
34.46,34.58,34.46,34.56,2318,20220518
34.55,34.55,34.45,34.49,9305,20220518
34.48,34.61,34.47,34.6,5182,20220518
34.6,34.63,34.56,34.58,4007,20220518
34.58,34.63,34.58,34.61,4884,20220518
34.5956,34.5956,34.52,34.52,6441,20220518
34.48,34.57,34.4508,34.55,3829,20220518
34.515,34.55,34.5,34.525,2656,20220518
34.5101,34.62,34.5101,34.56,4401,20220518
34.55,34.55,34.49,34.5,1933,20220518
34.52,34.55,34.46,34.46,8580,20220518
34.46,34.46,34.27,34.27,10089,20220518
34.25,34.26,34.19,34.24,4483,20220518
34.25,34.26,34.22,34.23,6235,20220518
34.23,34.25,34.215,34.24,3720,20220518
34.215,34.34,34.215,34.28,7824,20220518
34.27,34.27,34.21,34.227,2900,20220518
34.22,34.22,34.15,34.16,3863,20220518
34.18,34.23,34.175,34.19,4919,20220518
34.2,34.2,34.14,34.14,1728,20220518
34.14,34.2,34.12,34.17,6979,20220518
34.16,34.16,34.13,34.15,2706,20220518
34.17,34.18,34.09,34.09,9912,20220518
34.1,34.2,34.07,34.2,3539,20220518
34.16,34.17,34.14,34.17,2729,20220518
34.164,34.21,34.15,34.185,4041,20220518
34.18,34.22,34.17,34.21,9309,20220518
34.19,34.2,34.171,34.2,6226,20220518
34.21,34.3,34.21,34.2637,4790,20220518
34.26,34.29,34.23,34.2601,4300,20220518
34.3,34.39,34.3,34.38,13426,20220518
34.37,34.38,34.33,34.38,8352,20220518
34.3501,34.41,34.321,34.34,18031,20220518
34.32,34.3483,34.29,34.29,5544,20220518
34.3,34.335,34.25,34.25,8161,20220518
34.2399,34.3,34.23,34.2701,13321,20220518
34.3,34.31,34.2703,34.2898,7807,20220518
34.27,34.4,34.21,34.3299,107537,20220518
34.31,34.37,34.285,34.37,14748,20220518
34.375,34.45,34.375,34.405,13372,20220518
34.41,34.455,34.41,34.425,13847,20220518
34.41,34.45,34.395,34.45,8811,20220518
34.44,34.45,34.4,34.4,17254,20220518
34.395,34.4,34.315,34.315,7505,20220518
34.296,34.33,34.26,34.26,6559,20220518
34.23,34.25,34.2,34.21,5100,20220518
34.23,34.29,34.23,34.28,8700,20220518
34.26,34.26,34.225,34.225,2000,20220518
34.224,34.26,34.15,34.15,6698,20220518
34.1423,34.15,34.12,34.14,5883,20220518
34.11,34.11,34.06,34.06,4585,20220518
34.04,34.07,34.02,34.05,13383,20220518
34.04,34.0499,33.99,34.01,13020,20220518
34.01,34.02,34.0,34.0,6591,20220518
34.0,34.02,34.0,34.0,970,20220518
34.01,34.01,33.97,33.99,3315,20220518
34.0,34.01,33.99,34.005,2693,20220518
34.0,34.01,34.0,34.005,1724,20220518
34.0048,34.02,33.93,33.935,10751,20220518
33.925,33.94,33.89,33.89,5141,20220518
33.88,33.89,33.86,33.86,6832,20220518
33.86,33.875,33.84,33.875,3647,20220518
33.87,33.88,33.86,33.88,1864,20220518
33.89,33.89,33.85,33.852,3206,20220518
33.85,33.85,33.83,33.84,4630,20220518
33.84,33.85,33.83,33.835,7763,20220518
33.83,33.83,33.7689,33.8,14077,20220518
33.8,33.815,33.76,33.81,7855,20220518
33.81,33.81,33.755,33.78,3655,20220518
33.7907,33.8,33.78,33.786,3076,20220518
33.77,33.775,33.74,33.74,3431,20220518
33.73,33.75,33.68,33.74,9824,20220518
33.77,33.84,33.71,33.71,13244,20220518
33.72,33.87,33.715,33.852,6821,20220518
33.84,33.855,33.76,33.77,5382,20220518
33.81,33.82,33.77,33.82,3325,20220518
33.81,33.81,33.78,33.8,3393,20220518
33.81,33.84,33.79,33.8,3647,20220518
33.79,33.815,33.77,33.815,1502,20220518
33.815,33.87,33.78,33.87,4842,20220518
33.86,33.9,33.85,33.88,6361,20220518
33.86,33.87,33.81,33.81,4218,20220518
33.8,33.82,33.78,33.82,3582,20220518
33.82,33.91,33.82,33.89,5602,20220518
33.88,33.93,33.8638,33.92,11447,20220518
33.925,33.925,33.86,33.87,4612,20220518
33.865,33.94,33.865,33.94,8211,20220518
33.935,33.95,33.85,33.86,12246,20220518
33.855,33.88,33.85,33.865,6608,20220518
33.86,33.86,33.8082,33.81,10811,20220518
33.82,33.84,33.8045,33.8045,6425,20220518
33.82,33.86,33.82,33.86,4745,20220518
33.88,33.92,33.8286,33.92,3711,20220518
33.93,33.93,33.88,33.92,12046,20220518
33.92,33.95,33.885,33.885,14067,20220518
33.87,33.8795,33.81,33.82,13704,20220518
33.82,33.82,33.76,33.76,7957,20220518
33.75,33.76,33.71,33.75,14624,20220518
33.78,33.795,33.74,33.74,3507,20220518
33.7585,33.82,33.7585,33.805,4740,20220518
33.8,33.8,33.7493,33.7493,3843,20220518
33.7427,33.7897,33.7427,33.76,6032,20220518
33.74,33.76,33.71,33.71,6948,20220518
33.71,33.75,33.68,33.71,14462,20220518
33.71,33.71,33.65,33.65,8608,20220518
33.64,33.7,33.63,33.68,4045,20220518
33.67,33.695,33.655,33.69,4005,20220518
33.6837,33.69,33.64,33.645,18017,20220518
33.65,33.6615,33.57,33.57,4666,20220518
33.56,33.61,33.553,33.59,3089,20220518
33.59,33.6085,33.56,33.56,3660,20220518
33.55,33.58,33.5414,33.58,9664,20220518
33.58,33.59,33.55,33.585,3433,20220518
33.6,33.61,33.59,33.6,3742,20220518
33.605,33.65,33.59,33.645,6009,20220518
33.66,33.69,33.65,33.67,7761,20220518
33.68,33.685,33.58,33.585,52798,20220518
33.58,33.58,33.46,33.46,136594,20220518
33.48,33.55,33.46,33.54,16160,20220518
33.54,33.65,33.54,33.63,6526,20220518
33.62,33.63,33.59,33.62,6104,20220518
33.6,33.6,33.52,33.56,11453,20220518
33.58,33.59,33.5564,33.5564,2800,20220518
33.55,33.559,33.52,33.52,4060,20220518
33.5,33.51,33.45,33.45,2800,20220518
33.43,33.435,33.37,33.38,4982,20220518
33.38,33.395,33.366,33.366,2750,20220518
33.38,33.43,33.38,33.39,4541,20220518
33.37,33.4033,33.37,33.4033,4167,20220518
33.41,33.44,33.39,33.44,3457,20220518
33.44,33.47,33.43,33.47,14791,20220518
33.46,33.47,33.45,33.45,5507,20220518
33.44,33.46,33.38,33.4,10283,20220518
33.38,33.46,33.38,33.45,17621,20220518
33.42,33.46,33.39,33.445,3002,20220518
33.43,33.47,33.42,33.46,6747,20220518
33.46,33.5,33.44,33.5,13229,20220518
33.5,33.51,33.49,33.51,5919,20220518
33.51,33.59,33.5,33.5732,10608,20220518
33.5801,33.64,33.5801,33.62,6600,20220518
33.61,33.62,33.5,33.5,6200,20220518
33.51,33.58,33.51,33.58,5041,20220518
33.57,33.58,33.545,33.58,3033,20220518
33.57,33.57,33.54,33.555,1900,20220518
33.56,33.56,33.51,33.535,5332,20220518
33.53,33.59,33.53,33.54,5207,20220518
33.52,33.54,33.5,33.5,4700,20220518
33.505,33.51,33.46,33.49,4209,20220518
33.5,33.555,33.49,33.555,4500,20220518
33.56,33.6,33.54,33.6,2900,20220518
33.6,33.6,33.56,33.56,2101,20220518
33.57,33.61,33.57,33.61,4144,20220518
33.61,33.66,33.605,33.63,10603,20220518
33.64,33.6708,33.64,33.65,5392,20220518
33.6621,33.6737,33.66,33.6737,3324,20220518
33.66,33.6684,33.62,33.625,7024,20220518
33.6253,33.65,33.62,33.65,2100,20220518
33.65,33.69,33.65,33.68,1600,20220518
33.67,33.67,33.645,33.65,3450,20220518
33.65,33.66,33.63,33.66,3828,20220518
33.66,33.71,33.655,33.69,6990,20220518
33.69,33.71,33.675,33.71,4406,20220518
33.7,33.705,33.591,33.6142,5702,20220518
33.6,33.62,33.595,33.6,3801,20220518
33.59,33.62,33.59,33.61,2436,20220518
33.61,33.62,33.57,33.57,4800,20220518
33.58,33.59,33.55,33.55,2700,20220518
33.55,33.59,33.55,33.57,5975,20220518
33.57,33.59,33.535,33.54,7655,20220518
33.55,33.56,33.515,33.53,4656,20220518
33.51,33.51,33.49,33.49,2600,20220518
33.49,33.49,33.47,33.48,3080,20220518
33.48,33.5,33.47,33.485,3966,20220518
33.49,33.49,33.435,33.48,18755,20220518
33.48,33.48,33.46,33.48,5671,20220518
33.5,33.52,33.49,33.49,6958,20220518
33.4782,33.48,33.44,33.44,1543,20220518
33.43,33.43,33.38,33.4,8843,20220518
33.395,33.41,33.375,33.38,4363,20220518
33.38,33.38,33.33,33.33,3715,20220518
33.35,33.39,33.345,33.345,5069,20220518
33.34,33.36,33.305,33.35,4857,20220518
33.36,33.4,33.36,33.39,1721,20220518
33.39,33.44,33.3862,33.44,2840,20220518
33.42,33.44,33.4031,33.435,3900,20220518
33.44,33.44,33.39,33.4,2801,20220518
33.39,33.39,33.37,33.38,2601,20220518
33.38,33.39,33.36,33.365,1970,20220518
33.36,33.36,33.33,33.3469,3732,20220518
33.34,33.37,33.335,33.37,1430,20220518
33.39,33.42,33.385,33.41,5262,20220518
33.4,33.43,33.4,33.415,5092,20220518
33.41,33.41,33.38,33.39,2905,20220518
33.4,33.43,33.4,33.43,1700,20220518
33.44,33.46,33.425,33.43,3941,20220518
33.42,33.42,33.39,33.41,1612,20220518
33.4,33.43,33.39,33.41,4381,20220518
33.405,33.44,33.38,33.38,5630,20220518
33.36,33.37,33.3205,33.35,4942,20220518
33.35,33.37,33.335,33.34,2500,20220518
33.345,33.37,33.33,33.37,2788,20220518
33.36,33.395,33.36,33.38,3594,20220518
33.38,33.39,33.36,33.36,9167,20220518
33.38,33.38,33.29,33.29,6411,20220518
33.28,33.32,33.28,33.29,5747,20220518
33.29,33.29,33.255,33.26,4640,20220518
33.26,33.26,33.21,33.21,9538,20220518
33.22,33.25,33.2113,33.22,2300,20220518
33.23,33.25,33.22,33.225,3701,20220518
33.23,33.23,33.21,33.22,4709,20220518
33.22,33.28,33.2,33.26,9184,20220518
