open,high,low,close,volume,datetime
176.89,177.66,176.775,177.66,6015,20220518
177.18,177.18,176.46,176.47,1676,20220518
176.86,176.86,176.52,176.685,400,20220518
176.54,176.72,176.47,176.68,1200,20220518
176.77,176.91,176.62,176.62,1397,20220518
176.87,176.87,176.75,176.75,300,20220518
176.63,176.86,176.49,176.54,1263,20220518
176.65,176.65,176.43,176.59,1130,20220518
176.41,176.41,176.31,176.31,250,20220518
176.26,176.26,176.0,176.1296,646,20220518
176.08,176.18,176.08,176.18,200,20220518
175.9,176.05,175.89,176.05,300,20220518
175.86,176.05,175.75,176.04,1100,20220518
175.81,175.9,175.75,175.8,1392,20220518
175.765,176.01,175.67,175.67,800,20220518
175.63,175.88,175.61,175.88,1500,20220518
175.78,175.78,175.505,175.505,1522,20220518
175.4,175.42,175.35,175.4,1467,20220518
175.37,175.37,175.22,175.34,696,20220518
175.46,175.46,175.22,175.22,400,20220518
175.27,175.27,175.19,175.19,205,20220518
175.14,175.14,175.14,175.14,100,20220518
174.885,174.885,174.885,174.885,100,20220518
174.72,174.78,174.6192,174.78,598,20220518
174.695,174.78,174.56,174.56,500,20220518
174.61,174.74,174.53,174.53,611,20220518
174.5,174.66,174.5,174.66,800,20220518
174.51,174.51,174.51,174.51,100,20220518
174.46,174.46,174.35,174.35,495,20220518
174.31,174.31,174.26,174.26,300,20220518
174.04,174.11,174.025,174.11,898,20220518
173.96,173.96,173.58,173.83,738,20220518
173.77,173.97,173.77,173.97,200,20220518
174.46,174.48,174.46,174.48,200,20220518
174.39,174.47,174.18,174.18,713,20220518
174.33,174.39,174.24,174.24,600,20220518
174.555,174.57,174.555,174.57,200,20220518
174.21,174.38,174.03,174.38,2700,20220518
174.35,174.775,174.35,174.775,864,20220518
174.88,174.88,174.6,174.6,936,20220518
174.49,174.64,174.41,174.57,1270,20220518
174.41,174.48,174.41,174.48,400,20220518
174.62,174.74,174.62,174.74,400,20220518
174.61,174.61,174.61,174.61,100,20220518
174.46,174.79,174.46,174.74,1000,20220518
174.81,174.81,174.785,174.785,300,20220518
174.77,174.77,174.77,174.77,200,20220518
174.62,174.63,174.46,174.54,504,20220518
174.76,174.76,174.75,174.75,502,20220518
174.78,174.79,174.78,174.79,250,20220518
174.785,174.9,174.765,174.81,1847,20220518
174.81,174.8654,174.81,174.8654,757,20220518
174.825,174.98,174.825,174.88,500,20220518
174.99,175.07,174.93,174.99,528,20220518
174.9,175.045,174.9,175.045,210,20220518
175.29,175.29,174.93,175.05,4373,20220518
175.29,175.38,175.12,175.22,701,20220518
175.295,175.45,175.165,175.28,1046,20220518
175.255,175.47,175.255,175.315,700,20220518
175.24,175.55,175.21,175.22,1481,20220518
175.22,175.48,175.22,175.48,1234,20220518
175.51,175.69,175.51,175.69,300,20220518
175.7,175.78,175.66,175.78,631,20220518
175.72,175.79,175.5,175.7,2100,20220518
175.69,175.81,175.69,175.81,793,20220518
175.96,175.96,175.915,175.915,200,20220518
175.935,176.07,175.8126,175.83,613,20220518
175.74,175.82,175.72,175.76,1300,20220518
175.84,175.93,175.84,175.93,389,20220518
176.11,176.2,176.07,176.07,572,20220518
175.96,175.96,175.96,175.96,200,20220518
175.96,176.12,175.89,176.0,600,20220518
175.85,175.92,175.85,175.895,300,20220518
176.08,176.11,175.97,176.0,1000,20220518
176.03,176.03,175.94,175.94,300,20220518
175.88,175.88,175.88,175.88,100,20220518
175.74,175.8,175.74,175.8,607,20220518
175.63,175.71,175.53,175.71,700,20220518
175.64,175.8,175.64,175.8,200,20220518
175.725,175.725,175.725,175.725,100,20220518
175.83,176.02,175.83,175.94,1500,20220518
176.1,176.18,176.1,176.125,400,20220518
176.16,176.16,176.04,176.07,400,20220518
176.16,176.3,176.16,176.285,400,20220518
176.21,176.32,176.2,176.32,300,20220518
176.28,176.28,176.28,176.28,100,20220518
176.365,176.43,176.365,176.43,200,20220518
176.35,176.4,176.17,176.24,1134,20220518
176.175,176.25,176.175,176.25,234,20220518
176.39,176.49,176.39,176.43,500,20220518
176.64,176.78,176.635,176.78,400,20220518
176.77,176.81,176.46,176.5,1300,20220518
176.405,176.6,176.405,176.6,300,20220518
176.52,176.6,176.52,176.57,401,20220518
176.58,176.625,176.47,176.51,1600,20220518
176.65,176.65,176.62,176.62,200,20220518
